Time	[IL6{serum}]	[sgp130{serum}]	[sR_IL6_sgp130{serum}]	[CRP{serum}]	[sR{serum}]	[sR_IL6{serum}]	[Ab{serum}]	[Ab_sR{serum}]	[Ab_sR_IL6{serum}]	[CRP Suppression (%)]	[CRP (% of baseline)]	[gp130{liver}]	[R_IL6_gp130{liver}]	[sR_IL6{liver}]	[R]	[IL6{liver}]	[R_IL6]	[Ractive{liver}]	[STAT3{liver}]	[pSTAT3{liver}]	[CRP{liver}]	[sR{liver}]	[CRPExtracellular]	[sgp130{liver}]	[sR_IL6_sgp130{liver}]	[Ab_sR{liver}]	[Ab{liver}]	[Ab_R]	[Ab_sR_IL6{liver}]	[sR_IL6{gut}]	[gp130{gut}]	[R_IL6_gp130{gut}]	[Ractive{gut}]	[STAT3{gut}]	[pSTAT3{gut}]	[geneProduct]	[sR{gut}]	[IL6{gut}]	[sgp130{gut}]	[sR_IL6_sgp130{gut}]	[Ab{gut}]	[Ab_sR{gut}]	[Ab_sR_IL6{gut}]	[Ab{peripheral}]
10	0.00072195	3.91292	0.0474527	221.03	8.94989e-05	0.00058674	504.844	17.5553	-5.74311e-29	0.0154343	99.9846	0.39958	4.45007e-05	0.000551446	2.68845e-05	0.00240581	3.79583e-06	0.749531	0.788441	9.21156	158.228	0.000155447	409.698	5.60607	0.0669494	6.45474	103.816	1.08902	-8.21755e-29	0.000552235	0.396408	4.85467e-05	0.94515	0.628103	9.3719	159.65	0.000238426	0.0205581	5.60602	0.0670047	50.7682	4.84138	-8.2194e-29	2.01988
11	0.000716897	3.91269	0.0444014	221.017	9.69365e-05	0.00054904	490.283	18.4927	-5.73278e-29	0.0213161	99.9787	0.401251	4.27018e-05	0.000515884	2.64817e-05	0.0023113	3.63184e-06	0.746292	0.791194	9.20881	158.204	0.000149614	409.671	5.60561	0.0626431	6.68265	111.672	1.1555	-8.2033e-29	0.000516519	0.398553	4.67409e-05	0.939941	0.63122	9.36878	159.623	0.000224639	0.0205163	5.60556	0.0626869	54.7549	4.91966	-8.20409e-29	2.18897
12	0.000712146	3.91238	0.0415377	221.001	0.000104546	0.000513667	476.436	19.4059	-5.72247e-29	0.0284089	99.9716	0.402925	4.09976e-05	0.000482522	2.6232e-05	0.00222219	3.47684e-06	0.742827	0.794231	9.20577	158.177	0.000145408	409.639	5.60497	0.0586007	6.92447	119.059	1.22186	-8.18877e-29	0.000483041	0.400627	4.50231e-05	0.93453	0.634517	9.36548	159.594	0.00021391	0.020477	5.60494	0.0586362	58.5062	5.00567	-8.18911e-29	2.35284
13	0.000707685	3.91199	0.0388507	220.982	0.000112322	0.000480483	463.265	20.2962	-5.71218e-29	0.0367611	99.9632	0.404586	3.93826e-05	0.000451233	2.61007e-05	0.00213841	3.33033e-06	0.739152	0.79754	9.20246	158.147	0.000142452	409.601	5.60421	0.0548075	7.17939	126.003	1.28811	-8.17414e-29	0.000451661	0.402627	4.33887e-05	0.928932	0.637987	9.36201	159.563	0.000205503	0.0204402	5.60418	0.0548366	62.0345	5.09899	-8.17429e-29	2.51174
14	0.000703499	3.91156	0.0363303	220.961	0.000120261	0.000449359	450.736	21.1647	-5.7019e-29	0.0464065	99.9536	0.406223	3.78515e-05	0.000421894	2.60632e-05	0.00205974	3.19186e-06	0.735284	0.80111	9.19889	158.115	0.000140481	409.558	5.60335	0.0512494	7.44668	132.527	1.35423	-8.15948e-29	0.000422252	0.404552	4.18338e-05	0.923163	0.641624	9.35838	159.531	0.000198907	0.0204058	5.60333	0.0512735	65.3516	5.19924	-8.15955e-29	2.6659
15	0.000699573	3.91109	0.0339668	220.937	0.000128358	0.000420172	438.814	22.0125	-5.69165e-29	0.0573664	99.9426	0.407829	3.63995e-05	0.000394392	2.61018e-05	0.00198593	3.06099e-06	0.731237	0.804928	9.19507	158.081	0.000139303	409.51	5.60244	0.0479128	7.72562	138.653	1.42024	-8.14483e-29	0.000394694	0.406401	4.03548e-05	0.917237	0.645422	9.35458	159.498	0.000193751	0.0203734	5.60242	0.047933	68.4686	5.30603	-8.14485e-29	2.81556
16	0.000695892	3.91061	0.0317511	220.91	0.000136607	0.00039281	427.467	22.8406	-5.68141e-29	0.069652	99.9303	0.409394	3.50224e-05	0.000368617	2.62032e-05	0.00191672	2.93732e-06	0.727027	0.808985	9.19102	158.045	0.000138776	409.456	5.60149	0.0447849	8.01553	144.403	1.48612	-8.13019e-29	0.000368875	0.408173	3.89481e-05	0.911168	0.649377	9.35062	159.463	0.000189762	0.0203431	5.60148	0.0448021	71.3962	5.41903	-8.1302e-29	2.96093
17	0.000692442	3.91011	0.0296746	220.88	0.000145004	0.000367164	416.666	23.65	-5.6712e-29	0.0832663	99.9167	0.410915	3.37164e-05	0.000344469	2.63574e-05	0.00185184	2.82045e-06	0.722665	0.813271	9.18673	158.006	0.00013879	409.396	5.60053	0.0418538	8.31578	149.796	1.55189	-8.11557e-29	0.000344691	0.40987	3.76103e-05	0.904968	0.653483	9.34652	159.427	0.000186737	0.0203147	5.60052	0.0418685	74.1442	5.5379	-8.11558e-29	3.1022
18	0.000689209	3.90962	0.0277292	220.847	0.000153543	0.000343134	406.382	24.4415	-5.661e-29	0.0982051	99.9018	0.412387	3.24776e-05	0.00032185	2.65568e-05	0.00179104	2.71002e-06	0.718166	0.817777	9.18222	157.966	0.000139264	409.332	5.59957	0.0391077	8.62576	154.851	1.61754	-8.10098e-29	0.000322044	0.411491	3.63385e-05	0.898648	0.657736	9.34226	159.389	0.000184516	0.0202881	5.59955	0.0391205	76.7222	5.66232	-8.10098e-29	3.23957
19	0.000686181	3.90912	0.025907	220.811	0.000162217	0.000320624	396.587	25.2162	-5.65082e-29	0.114459	99.8855	0.413807	3.13026e-05	0.00030067	2.67954e-05	0.00173408	2.60568e-06	0.713541	0.822495	9.1775	157.923	0.000140131	409.262	5.59861	0.0365358	8.9449	159.586	1.68307	-8.08641e-29	0.000300842	0.413039	3.51294e-05	0.892222	0.662132	9.33787	159.35	0.000182976	0.0202632	5.5986	0.036547	79.1391	5.79198	-8.08641e-29	3.37322
