Time	[IL6{serum}]	[sgp130{serum}]	[sR_IL6_sgp130{serum}]	[CRP{serum}]	[sR{serum}]	[sR_IL6{serum}]	[Ab{serum}]	[Ab_sR{serum}]	[Ab_sR_IL6{serum}]	[CRP Suppression (%)]	[CRP (% of baseline)]	[gp130{liver}]	[R_IL6_gp130{liver}]	[sR_IL6{liver}]	[R]	[IL6{liver}]	[R_IL6]	[Ractive{liver}]	[STAT3{liver}]	[pSTAT3{liver}]	[CRP{liver}]	[sR{liver}]	[CRPExtracellular]	[sgp130{liver}]	[sR_IL6_sgp130{liver}]	[Ab_sR{liver}]	[Ab{liver}]	[Ab_R]	[Ab_sR_IL6{liver}]	[sR_IL6{gut}]	[gp130{gut}]	[R_IL6_gp130{gut}]	[Ractive{gut}]	[STAT3{gut}]	[pSTAT3{gut}]	[geneProduct]	[sR{gut}]	[IL6{gut}]	[sgp130{gut}]	[sR_IL6_sgp130{gut}]	[Ab{gut}]	[Ab_sR{gut}]	[Ab_sR_IL6{gut}]	[Ab{peripheral}]
46	0.000649729	3.9016	0.00400832	218.908	0.000426895	4.97002e-05	248.607	41.939	-5.38275e-29	0.975038	99.025	0.434322	1.47514e-05	4.65242e-05	4.05329e-05	0.00104805	1.18629e-06	0.570082	1.01171	8.98829	156.209	0.000230906	405.659	5.58405	0.00564878	19.573	211.917	3.40844	-7.70281e-29	4.66004e-05	0.434294	1.76777e-05	0.706404	0.825176	9.17482	157.899	0.000247126	0.0199638	5.58404	0.00565343	106.291	10.5068	-7.70281e-29	6.03644
47	0.000649281	3.90149	0.00374052	218.809	0.000437202	4.63811e-05	245.716	42.4587	-5.37307e-29	1.01987	98.9801	0.43462	1.44655e-05	4.3421e-05	4.12134e-05	0.00103963	1.16273e-06	0.56476	1.02058	8.97942	156.127	0.000235687	405.473	5.58384	0.00527138	20.0046	212.197	3.47075	-7.68895e-29	4.34971e-05	0.434593	1.73626e-05	0.699723	0.832629	9.16737	157.832	0.000251434	0.0199602	5.58384	0.00527603	106.458	10.7067	-7.68895e-29	6.11171
48	0.000648864	3.90139	0.00349089	218.708	0.000447518	4.32871e-05	242.929	42.9739	-5.36341e-29	1.06549	98.9345	0.434898	1.41916e-05	4.05284e-05	4.19035e-05	0.00103177	1.1402e-06	0.559467	1.02958	8.97042	156.045	0.00024054	405.284	5.58365	0.00491959	20.4373	212.413	3.53294	-7.67513e-29	4.06045e-05	0.434874	1.70599e-05	0.693083	0.840175	9.15982	157.765	0.000255828	0.0199567	5.58364	0.00492424	106.591	10.9074	-7.67513e-29	6.18587
49	0.000648476	3.9013	0.0032582	218.606	0.00045784	4.04029e-05	240.241	43.4848	-5.35376e-29	1.11188	98.8881	0.435159	1.39292e-05	3.78322e-05	4.26031e-05	0.00102445	1.11864e-06	0.554202	1.03868	8.96132	155.961	0.000245464	405.092	5.58347	0.00459169	20.8709	212.567	3.59502	-7.66132e-29	3.79082e-05	0.435137	1.67689e-05	0.686485	0.847812	9.15219	157.696	0.000260306	0.0199535	5.58346	0.00459634	106.693	11.109	-7.66132e-29	6.25895
50	0.000648113	3.90121	0.00304132	218.501	0.000468168	3.77145e-05	237.646	43.9916	-5.34414e-29	1.15904	98.841	0.435403	1.36775e-05	3.53191e-05	4.33123e-05	0.00101762	1.098e-06	0.548967	1.0479	8.9521	155.877	0.000250458	404.896	5.5833	0.00428606	21.3052	212.664	3.65698	-7.64755e-29	3.53952e-05	0.435382	1.64889e-05	0.679931	0.85554	9.14446	157.626	0.000264865	0.0199505	5.5833	0.00429071	106.766	11.3113	-7.64755e-29	6.33098
51	0.000647775	3.90113	0.00283918	218.396	0.000478501	3.52088e-05	235.139	44.4943	-5.33453e-29	1.20696	98.793	0.435632	1.34359e-05	3.2977e-05	4.40307e-05	0.00101126	1.07821e-06	0.543764	1.05724	8.94276	155.791	0.000255522	404.697	5.58314	0.00400122	21.7402	212.706	3.71884	-7.63379e-29	3.30531e-05	0.435612	1.62193e-05	0.673421	0.863359	9.13664	157.556	0.000269504	0.0199478	5.58314	0.00400587	106.811	11.5143	-7.63379e-29	6.40201
52	0.00064746	3.90105	0.00265079	218.288	0.000488839	3.28733e-05	232.717	44.9932	-5.32493e-29	1.25564	98.7444	0.435846	1.32038e-05	3.07941e-05	4.47585e-05	0.00100533	1.05922e-06	0.538594	1.06669	8.93331	155.704	0.000260654	404.496	5.583	0.00373575	22.1759	212.696	3.78059	-7.62006e-29	3.08702e-05	0.435827	1.59595e-05	0.666957	0.871269	9.12873	157.485	0.000274222	0.0199452	5.58299	0.0037404	106.83	11.7178	-7.62006e-29	6.47205
53	0.000647167	3.90098	0.00247521	218.179	0.000499182	3.06967e-05	230.374	45.4884	-5.31536e-29	1.30506	98.6949	0.436046	1.29806e-05	2.87597e-05	4.54955e-05	0.000999796	1.04099e-06	0.533457	1.07624	8.92376	155.616	0.000265853	404.291	5.58286	0.00348834	22.612	212.637	3.84222	-7.60636e-29	2.88359e-05	0.436028	1.57089e-05	0.66054	0.879268	9.12073	157.412	0.000279016	0.0199428	5.58285	0.003493	106.823	11.922	-7.60636e-29	6.54115
54	0.000646893	3.90091	0.00231159	218.068	0.000509528	2.86682e-05	228.106	45.98	-5.3058e-29	1.35523	98.6448	0.436233	1.27658e-05	2.68638e-05	4.62416e-05	0.000994639	1.02346e-06	0.528355	1.08591	8.91409	155.527	0.000271119	404.083	5.58273	0.00325777	23.0485	212.533	3.90374	-7.59268e-29	2.69401e-05	0.436215	1.54669e-05	0.654169	0.887357	9.11264	157.339	0.000283886	0.0199405	5.58273	0.00326244	106.793	12.1267	-7.59268e-29	6.60933
55	0.000646638	3.90085	0.00215911	217.955	0.00051988	2.67778e-05	225.911	46.4682	-5.29626e-29	1.40613	98.5939	0.436407	1.2559e-05	2.5097e-05	4.69968e-05	0.000989832	1.00661e-06	0.523288	1.09569	8.90431	155.437	0.00027645	403.873	5.58261	0.00304291	23.4853	212.384	3.96515	-7.57903e-29	2.51734e-05	0.436391	1.52332e-05	0.647847	0.895537	9.10446	157.265	0.00028883	0.0199384	5.58261	0.00304758	106.741	12.3318	-7.57903e-29	6.67662
56	0.0006464	3.90079	0.00201701	217.841	0.000530235	2.50161e-05	223.784	46.953	-5.28673e-29	1.45776	98.5422	0.43657	1.23595e-05	2.34505e-05	4.7761e-05	0.000985351	9.90377e-07	0.518256	1.10559	8.89441	155.345	0.000281847	403.659	5.5825	0.00284268	23.9224	212.195	4.02645	-7.5654e-29	2.35271e-05	0.436555	1.50072e-05	0.641573	0.903806	9.09619	157.191	0.000293847	0.0199364	5.58249	0.00284736	106.667	12.5374	-7.5654e-29	6.74304
57	0.000646178	3.90074	0.0018846	217.725	0.000540596	2.33744e-05	221.721	47.4346	-5.27722e-29	1.51013	98.4899	0.436723	1.21671e-05	2.19162e-05	4.85342e-05	0.000981173	9.74736e-07	0.513262	1.11559	8.88441	155.253	0.000287308	403.442	5.5824	0.0026561	24.3597	211.966	4.08765	-7.55179e-29	2.19929e-05	0.436708	1.47885e-05	0.635348	0.912165	9.08784	157.115	0.000298935	0.0199346	5.58239	0.00266078	106.574	12.7433	-7.55179e-29	6.80862
58	0.000645971	3.90069	0.00176121	217.608	0.000550961	2.18445e-05	219.719	47.9131	-5.26773e-29	1.56321	98.4368	0.436865	1.19814e-05	2.04865e-05	4.93164e-05	0.000977278	9.5965e-07	0.508304	1.1257	8.8743	155.159	0.000292833	403.222	5.5823	0.00248223	24.797	211.701	4.14873	-7.53821e-29	2.05633e-05	0.436851	1.45767e-05	0.629172	0.920613	9.07939	157.038	0.000304095	0.0199329	5.58229	0.00248693	106.462	12.9496	-7.53821e-29	6.87338
59	0.000645778	3.90064	0.00164623	217.489	0.000561333	2.04189e-05	217.776	48.3886	-5.25826e-29	1.61702	98.383	0.436998	1.18018e-05	1.91541e-05	5.01074e-05	0.000973647	9.45086e-07	0.503385	1.13592	8.86408	155.064	0.000298422	403	5.58221	0.00232022	25.2344	211.401	4.2097	-7.52465e-29	1.92311e-05	0.436985	1.43713e-05	0.623047	0.929151	9.07085	156.961	0.000309324	0.0199313	5.5822	0.00232492	106.332	13.1562	-7.52465e-29	6.93734
60	0.000645599	3.9006	0.00153909	217.368	0.000571711	1.90904e-05	215.888	48.8612	-5.2488e-29	1.67155	98.3285	0.437123	1.16282e-05	1.79125e-05	5.09072e-05	0.000970263	9.31013e-07	0.498503	1.14625	8.85375	154.969	0.000304073	402.774	5.58212	0.00216925	25.6718	211.068	4.27056	-7.51112e-29	1.79897e-05	0.437109	1.41722e-05	0.616971	0.937779	9.06222	156.883	0.000314621	0.0199298	5.58212	0.00217396	106.185	13.3631	-7.51112e-29	7.00053
61	0.000645431	3.90056	0.00143926	217.246	0.000582097	1.78525e-05	214.053	49.3309	-5.23936e-29	1.72679	98.2732	0.437239	1.146e-05	1.67556e-05	5.17159e-05	0.000967107	9.17404e-07	0.49366	1.15668	8.84332	154.872	0.000309786	402.546	5.58204	0.00202857	26.1092	210.704	4.33131	-7.49761e-29	1.68329e-05	0.437226	1.39788e-05	0.610946	0.946496	9.0535	156.804	0.000319987	0.0199284	5.58204	0.00203329	106.022	13.5701	-7.49761e-29	7.06296
62	0.000645275	3.90052	0.00134622	217.123	0.000592491	1.6699e-05	212.267	49.7979	-5.22994e-29	1.78275	98.2172	0.437347	1.12972e-05	1.56774e-05	5.25333e-05	0.000964165	9.04231e-07	0.488855	1.16723	8.83277	154.774	0.000315562	402.314	5.58197	0.00189748	26.5463	210.312	4.39195	-7.48413e-29	1.5755e-05	0.437334	1.37909e-05	0.604971	0.955304	9.0447	156.723	0.000325421	0.0199271	5.58197	0.00190221	105.845	13.7774	-7.48413e-29	7.12466
63	0.000645129	3.90049	0.00125954	216.997	0.000602893	1.5624e-05	210.529	50.2623	-5.22054e-29	1.83942	98.1606	0.437448	1.11393e-05	1.46728e-05	5.33595e-05	0.000961422	8.91471e-07	0.48409	1.17789	8.82211	154.674	0.000321399	402.08	5.5819	0.00177532	26.9833	209.891	4.45248	-7.47067e-29	1.47506e-05	0.437436	1.36083e-05	0.599047	0.964201	9.0358	156.642	0.000330921	0.0199259	5.5819	0.00178007	105.653	13.9849	-7.47067e-29	7.18564
64	0.000644994	3.90045	0.00117876	216.871	0.000613307	1.46224e-05	208.835	50.7241	-5.21115e-29	1.89681	98.1032	0.437542	1.0986e-05	1.37365e-05	5.41944e-05	0.000958864	8.79098e-07	0.479364	1.18865	8.81135	154.574	0.000327297	401.843	5.58184	0.00166149	27.4201	209.445	4.51291	-7.45724e-29	1.38145e-05	0.43753	1.34305e-05	0.593174	0.973188	9.02681	156.561	0.000336486	0.0199248	5.58183	0.00166626	105.447	14.1924	-7.45724e-29	7.24592
65	0.000644867	3.90042	0.00110349	216.742	0.000623732	1.3689e-05	207.185	51.1833	-5.20178e-29	1.9549	98.0451	0.43763	1.08371e-05	1.28641e-05	5.5038e-05	0.000956479	8.67093e-07	0.474677	1.19952	8.80048	154.473	0.000333255	401.602	5.58178	0.00155542	27.8566	208.975	4.57322	-7.44382e-29	1.29423e-05	0.437618	1.32574e-05	0.587352	0.982266	9.01773	156.478	0.000342116	0.0199238	5.58177	0.0015602	105.229	14.4001	-7.44382e-29	7.30551
66	0.000644749	3.90039	0.00103335	216.612	0.000634169	1.28192e-05	205.575	51.6402	-5.19242e-29	2.01371	97.9863	0.437712	1.06925e-05	1.2051e-05	5.58903e-05	0.000954255	8.55434e-07	0.47003	1.2105	8.7895	154.37	0.000339275	401.359	5.58172	0.00145658	28.2927	208.481	4.63343	-7.43044e-29	1.21295e-05	0.437701	1.30887e-05	0.581581	0.991434	9.00857	156.394	0.000347812	0.0199228	5.58172	0.00146137	105	14.6079	-7.43044e-29	7.36443
67	0.000644639	3.90037	0.000967983	216.481	0.00064462	1.20087e-05	204.003	52.0946	-5.18308e-29	2.07323	97.9268	0.437788	1.05518e-05	1.12933e-05	5.67513e-05	0.000952182	8.44103e-07	0.465423	1.22159	8.77841	154.266	0.000345355	401.113	5.58167	0.00136447	28.7285	207.965	4.69353	-7.41708e-29	1.13721e-05	0.437777	1.29243e-05	0.57586	1.00069	8.99931	156.309	0.000353572	0.0199219	5.58167	0.00136928	104.758	14.8157	-7.41708e-29	7.4227
68	0.000644536	3.90034	0.000907074	216.347	0.000655087	1.12533e-05	202.468	52.5468	-5.17376e-29	2.13346	97.8665	0.43786	1.04148e-05	1.05872e-05	5.76209e-05	0.000950248	8.33082e-07	0.460856	1.23279	8.76721	154.161	0.000351494	400.864	5.58162	0.00127864	29.1639	207.429	4.75352	-7.40374e-29	1.06662e-05	0.437849	1.27638e-05	0.570191	1.01004	8.98996	156.224	0.000359395	0.019921	5.58162	0.00128346	104.507	15.0235	-7.40374e-29	7.48033
69	0.00064444	3.90032	0.000850314	216.213	0.000665569	1.05495e-05	200.968	52.9966	-5.16446e-29	2.1944	97.8056	0.437926	1.02814e-05	9.92906e-06	5.84992e-05	0.000948444	8.22355e-07	0.456328	1.2441	8.7559	154.055	0.000357694	400.612	5.58158	0.00119865	29.5988	206.874	4.8134	-7.39042e-29	1.00084e-05	0.437916	1.26071e-05	0.564572	1.01948	8.98052	156.138	0.000365282	0.0199202	5.58157	0.00120349	104.245	15.2313	-7.39042e-29	7.53734
70	0.000644351	3.9003	0.000797418	216.076	0.00067607	9.89351e-06	199.501	53.4443	-5.15517e-29	2.25606	97.7439	0.437988	1.01514e-05	9.31572e-06	5.93861e-05	0.000946762	8.11905e-07	0.45184	1.25551	8.74449	153.948	0.000363952	400.358	5.58154	0.0011241	30.0333	206.301	4.87317	-7.37713e-29	9.39536e-06	0.437978	1.2454e-05	0.559004	1.02902	8.97098	156.05	0.000371231	0.0199194	5.58153	0.00112896	103.974	15.4391	-7.37713e-29	7.59373
71	0.000644268	3.90028	0.000748123	215.938	0.000686591	9.2822e-06	198.065	53.8899	-5.1459e-29	2.31843	97.6816	0.438046	1.00245e-05	8.74407e-06	6.02817e-05	0.000945193	8.01719e-07	0.447392	1.26704	8.73296	153.84	0.00037027	400.1	5.5815	0.00105463	30.4672	205.711	4.93284	-7.36386e-29	8.82402e-06	0.438036	1.23043e-05	0.553487	1.03864	8.96136	155.962	0.000377242	0.0199187	5.58149	0.00105951	103.694	15.6469	-7.36386e-29	7.64952
72	0.00064419	3.90026	0.000702181	215.799	0.000697132	8.71247e-06	196.659	54.3333	-5.13664e-29	2.38151	97.6185	0.4381	9.90069e-06	8.21125e-06	6.11859e-05	0.000943729	7.91783e-07	0.442984	1.27867	8.72133	153.73	0.000376648	399.839	5.58146	0.000989878	30.9006	205.104	4.99239	-7.35062e-29	8.29152e-06	0.43809	1.21579e-05	0.54802	1.04836	8.95164	155.873	0.000383316	0.0199181	5.58146	0.000994775	103.406	15.8546	-7.35062e-29	7.70472
73	0.000644117	3.90024	0.000659363	215.658	0.000707695	8.18147e-06	195.282	54.7747	-5.12741e-29	2.44532	97.5547	0.43815	9.77975e-06	7.7146e-06	6.20987e-05	0.000942363	7.82084e-07	0.438615	1.29042	8.70958	153.62	0.000383084	399.575	5.58143	0.000929529	31.3334	204.483	5.05185	-7.3374e-29	7.7952e-06	0.43814	1.20146e-05	0.542603	1.05816	8.94184	155.782	0.000389451	0.0199175	5.58142	0.000934446	103.109	16.0622	-7.3374e-29	7.75934
74	0.00064405	3.90022	0.000619455	215.515	0.000718283	7.68656e-06	193.932	55.2141	-5.11819e-29	2.50984	97.4902	0.438197	9.66155e-06	7.25165e-06	6.30202e-05	0.000941088	7.7261e-07	0.434286	1.30227	8.69773	153.508	0.000389579	399.309	5.5814	0.00087328	31.7656	203.847	5.11119	-7.32421e-29	7.3326e-06	0.438187	1.18743e-05	0.537236	1.06807	8.93193	155.691	0.000395648	0.0199169	5.58139	0.000878218	102.806	16.2697	-7.32421e-29	7.81339
75	0.000643987	3.90021	0.000582259	215.371	0.000728896	7.22527e-06	192.607	55.6515	-5.10898e-29	2.57508	97.4249	0.43824	9.54596e-06	6.82009e-06	6.39503e-05	0.000939899	7.63351e-07	0.429996	1.31423	8.68577	153.395	0.000396133	399.039	5.58137	0.000820851	32.1971	203.198	5.17043	-7.31103e-29	6.9014e-06	0.438231	1.17367e-05	0.53192	1.07806	8.92194	155.599	0.000401906	0.0199164	5.58136	0.00082581	102.495	16.4771	-7.31103e-29	7.86689
76	0.000643928	3.90019	0.000547588	215.225	0.000739535	6.79531e-06	191.307	56.087	-5.09979e-29	2.64105	97.3589	0.438281	9.43285e-06	6.41779e-06	6.48891e-05	0.000938789	7.54296e-07	0.425746	1.3263	8.6737	153.281	0.000402746	398.767	5.58134	0.000771979	32.628	202.536	5.22956	-7.29789e-29	6.49946e-06	0.438271	1.16019e-05	0.526652	1.08815	8.91185	155.506	0.000408224	0.0199159	5.58133	0.00077696	102.178	16.6843	-7.29789e-29	7.91983
77	0.000643872	3.90018	0.000515269	215.078	0.000750204	6.39451e-06	190.031	56.5207	-5.09062e-29	2.70775	97.2922	0.438319	9.32211e-06	6.04272e-06	6.58365e-05	0.000937753	7.45435e-07	0.421535	1.33849	8.66151	153.165	0.000409417	398.491	5.58131	0.000726422	33.0583	201.863	5.28858	-7.28476e-29	6.12477e-06	0.438309	1.14697e-05	0.521434	1.09833	8.90167	155.412	0.000414604	0.0199154	5.58131	0.000731425	101.854	16.8914	-7.28476e-29	7.97224
78	0.000643821	3.90017	0.000485142	214.929	0.000760902	6.02089e-06	188.776	56.9524	-5.08147e-29	2.77518	97.2248	0.438354	9.21364e-06	5.69302e-06	6.67926e-05	0.000936786	7.3676e-07	0.417363	1.35078	8.64922	153.049	0.000416147	398.213	5.58129	0.000683951	33.4878	201.179	5.3475	-7.27166e-29	5.77546e-06	0.438345	1.134e-05	0.516265	1.10861	8.89139	155.317	0.000421043	0.019915	5.58129	0.000688978	101.525	17.0983	-7.27166e-29	8.02412
79	0.000643773	3.90016	0.000457056	214.778	0.000771632	5.67259e-06	187.543	57.3824	-5.07233e-29	2.84334	97.1567	0.438387	9.10732e-06	5.36696e-06	6.77574e-05	0.000935883	7.28261e-07	0.413229	1.36319	8.63681	152.931	0.000422936	397.931	5.58127	0.000644355	33.9165	200.484	5.40631	-7.25858e-29	5.4498e-06	0.438378	1.12126e-05	0.511145	1.11898	8.88102	155.221	0.000427543	0.0199146	5.58126	0.000649406	101.19	17.3051	-7.25858e-29	8.07548
80	0.000643728	3.90015	0.000430872	214.626	0.000782396	5.34786e-06	186.33	57.8105	-5.06321e-29	2.91224	97.0878	0.438417	9.00307e-06	5.06292e-06	6.87308e-05	0.00093504	7.19931e-07	0.409135	1.37571	8.62429	152.812	0.000429783	397.647	5.58125	0.000607438	34.3446	199.78	5.46502	-7.24553e-29	5.14616e-06	0.438408	1.10875e-05	0.506074	1.12945	8.87055	155.124	0.000434104	0.0199142	5.58124	0.000612514	100.851	17.5116	-7.24553e-29	8.12632
81	0.000643686	3.90014	0.000406458	214.472	0.000793194	5.0451e-06	185.136	58.2369	-5.0541e-29	2.98188	97.0181	0.438446	8.90079e-06	4.77939e-06	6.9713e-05	0.000934252	7.11763e-07	0.405079	1.38834	8.61166	152.692	0.000436689	397.359	5.58123	0.000573016	34.7718	199.066	5.52362	-7.2325e-29	4.86305e-06	0.438437	1.09646e-05	0.50105	1.14001	8.85999	155.026	0.000440724	0.0199138	5.58122	0.000578117	100.506	17.7179	-7.2325e-29	8.17666
82	0.000643647	3.90013	0.000383695	214.316	0.000804029	4.7628e-06	183.961	58.6616	-5.04501e-29	3.05226	96.9477	0.438472	8.8004e-06	4.51497e-06	7.0704e-05	0.000933517	7.03749e-07	0.401061	1.40108	8.59892	152.57	0.000443653	397.068	5.58121	0.000540919	35.1983	198.345	5.58211	-7.21949e-29	4.59906e-06	0.438463	1.08438e-05	0.496075	1.15067	8.84933	154.927	0.000447404	0.0199135	5.58121	0.000546045	100.157	17.924	-7.21949e-29	8.2265
83	0.000643611	3.90012	0.000362468	214.159	0.000814902	4.49957e-06	182.803	59.0846	-5.03594e-29	3.12339	96.8766	0.438497	8.70183e-06	4.26834e-06	7.17037e-05	0.000932829	6.95883e-07	0.397081	1.41393	8.58607	152.448	0.000450676	396.774	5.58119	0.000510986	35.6239	197.615	5.6405	-7.20651e-29	4.35287e-06	0.438488	1.0725e-05	0.491147	1.16142	8.83858	154.828	0.000454144	0.0199132	5.58119	0.000516139	99.8037	18.1299	-7.20651e-29	8.27585
84	0.000643576	3.90011	0.000342674	214	0.000825815	4.25409e-06	181.662	59.5059	-5.02688e-29	3.19527	96.8047	0.43852	8.60499e-06	4.0383e-06	7.27122e-05	0.000932187	6.88159e-07	0.393139	1.4269	8.5731	152.324	0.000457758	396.478	5.58118	0.00048307	36.0488	196.878	5.69878	-7.19355e-29	4.12327e-06	0.438511	1.06081e-05	0.486266	1.17228	8.82772	154.727	0.000460944	0.0199129	5.58117	0.00048825	99.4464	18.3355	-7.19355e-29	8.32471
85	0.000643544	3.9001	0.000324213	213.84	0.000836769	4.02515e-06	180.536	59.9255	-5.01784e-29	3.26791	96.7321	0.438541	8.50983e-06	3.8237e-06	7.37296e-05	0.000931587	6.80571e-07	0.389234	1.43998	8.56002	152.198	0.000464898	396.178	5.58116	0.000457033	36.4728	196.134	5.75696	-7.18061e-29	3.90913e-06	0.438532	1.04931e-05	0.481433	1.18323	8.81677	154.625	0.000467804	0.0199126	5.58116	0.000462241	99.0855	18.5408	-7.18061e-29	8.3731
86	0.000643514	3.9001	0.000306995	213.677	0.000847765	3.81162e-06	179.426	60.3435	-5.00882e-29	3.34131	96.6587	0.438561	8.41627e-06	3.62349e-06	7.47557e-05	0.000931025	6.73113e-07	0.385367	1.45317	8.54683	152.072	0.000472098	395.874	5.58115	0.000432747	36.8959	195.384	5.81503	-7.1677e-29	3.70939e-06	0.438552	1.038e-05	0.476646	1.19427	8.80573	154.522	0.000474724	0.0199123	5.58115	0.000437983	98.7212	18.7459	-7.1677e-29	8.42101
87	0.000643486	3.90009	0.000290934	213.513	0.000858807	3.61245e-06	178.33	60.7599	-4.99981e-29	3.41548	96.5845	0.43858	8.32426e-06	3.43668e-06	7.57908e-05	0.000930501	6.65782e-07	0.381537	1.46648	8.53352	151.944	0.000479356	395.568	5.58114	0.00041009	37.3182	194.628	5.873	-7.15481e-29	3.52306e-06	0.438571	1.02685e-05	0.471905	1.20542	8.79458	154.417	0.000481703	0.0199121	5.58113	0.000415356	98.3536	18.9506	-7.15481e-29	8.46846
88	0.00064346	3.90008	0.000275951	213.348	0.000869894	3.42664e-06	177.248	61.1747	-4.99082e-29	3.49042	96.5096	0.438597	8.23373e-06	3.26236e-06	7.68347e-05	0.00093001	6.58571e-07	0.377743	1.47991	8.52009	151.815	0.000486673	395.259	5.58113	0.000388952	37.7396	193.866	5.93087	-7.14194e-29	3.34923e-06	0.438588	1.01588e-05	0.46721	1.21667	8.78333	154.312	0.000488742	0.0199118	5.58112	0.000394247	97.9831	19.1551	-7.14194e-29	8.51545
89	0.000643436	3.90008	0.000261973	213.18	0.000881029	3.2533e-06	176.18	61.5879	-4.98184e-29	3.56613	96.4339	0.438613	8.14463e-06	3.09967e-06	7.78877e-05	0.00092955	6.51476e-07	0.373986	1.49344	8.50656	151.685	0.00049405	394.946	5.58112	0.00036923	38.16	193.099	5.98863	-7.1291e-29	3.18705e-06	0.438604	1.00506e-05	0.46256	1.22801	8.77199	154.206	0.000495841	0.0199116	5.58111	0.000374555	97.6097	19.3593	-7.1291e-29	8.56199
90	0.000643413	3.90007	0.000248931	213.011	0.000892213	3.09157e-06	175.124	61.9996	-4.97288e-29	3.64262	96.3574	0.438628	8.05692e-06	2.94783e-06	7.89496e-05	0.000929121	6.44494e-07	0.370266	1.5071	8.4929	151.553	0.000501486	394.63	5.58111	0.000350826	38.5796	192.328	6.04629	-7.11628e-29	3.03571e-06	0.438619	9.94405e-06	0.457956	1.23946	8.76054	154.099	0.000502999	0.0199114	5.5811	0.000356182	97.2338	19.5632	-7.11628e-29	8.60807
91	0.000643391	3.90007	0.000236761	212.84	0.000903448	2.94065e-06	174.08	62.4097	-4.96394e-29	3.7199	96.2801	0.438642	7.97054e-06	2.80608e-06	8.00205e-05	0.000928718	6.3762e-07	0.366581	1.52087	8.47913	151.42	0.000508981	394.311	5.5811	0.00033365	38.9983	191.552	6.10384	-7.10348e-29	2.89448e-06	0.438633	9.83901e-06	0.453396	1.251	8.749	153.991	0.000510218	0.0199112	5.58109	0.000339037	96.8554	19.7667	-7.10348e-29	8.65371
92	0.000643371	3.90006	0.000225403	212.668	0.000914735	2.79981e-06	173.048	62.8183	-4.95501e-29	3.79797	96.202	0.438655	7.88545e-06	2.67375e-06	8.11005e-05	0.000928341	6.3085e-07	0.362932	1.53476	8.46524	151.286	0.000516536	393.989	5.58109	0.000317619	39.416	190.772	6.16129	-7.09071e-29	2.76268e-06	0.438646	9.73544e-06	0.448881	1.26265	8.73735	153.881	0.000517496	0.019911	5.58108	0.000323038	96.4749	19.9699	-7.09071e-29	8.69891
93	0.000643352	3.90006	0.000214802	212.493	0.000926075	2.66835e-06	172.026	63.2254	-4.9461e-29	3.87683	96.1232	0.438667	7.80161e-06	2.55017e-06	8.21895e-05	0.000927989	6.24182e-07	0.359319	1.54876	8.45124	151.15	0.000524151	393.663	5.58108	0.000302653	39.8328	189.989	6.21863	-7.07795e-29	2.63964e-06	0.438658	9.63331e-06	0.44441	1.2744	8.7256	153.771	0.000524835	0.0199108	5.58107	0.000308105	96.0922	20.1728	-7.07795e-29	8.74368
94	0.000643334	3.90006	0.000204906	212.317	0.000937471	2.54563e-06	171.016	63.631	-4.93721e-29	3.9565	96.0435	0.438678	7.71898e-06	2.43477e-06	8.32878e-05	0.000927658	6.17611e-07	0.355741	1.56288	8.43712	151.013	0.000531826	393.334	5.58107	0.000288681	40.2487	189.202	6.27587	-7.06522e-29	2.52479e-06	0.438669	9.53256e-06	0.439983	1.28625	8.71375	153.659	0.000532234	0.0199107	5.58107	0.000294166	95.7077	20.3753	-7.06522e-29	8.78802
95	0.000643318	3.90005	0.000195667	212.139	0.000948924	2.43108e-06	170.015	64.0351	-4.92833e-29	4.03697	95.963	0.438688	7.63752e-06	2.32698e-06	8.43952e-05	0.000927348	6.11136e-07	0.352197	1.57712	8.42288	150.875	0.000539562	393.002	5.58106	0.000275634	40.6636	188.411	6.33301	-7.05252e-29	2.41756e-06	0.43868	9.43317e-06	0.435599	1.29821	8.70179	153.546	0.000539693	0.0199105	5.58106	0.000281153	95.3214	20.5774	-7.05252e-29	8.83193
96	0.000643302	3.90005	0.000187041	211.96	0.000960435	2.32411e-06	169.025	64.4378	-4.91947e-29	4.11826	95.8817	0.438698	7.55719e-06	2.22629e-06	8.55119e-05	0.000927057	6.04752e-07	0.348688	1.59148	8.40852	150.735	0.000547358	392.666	5.58106	0.00026345	41.0775	187.618	6.39005	-7.03984e-29	2.31743e-06	0.438689	9.33509e-06	0.431258	1.31027	8.68973	153.432	0.000547213	0.0199104	5.58105	0.000269004	94.9335	20.7792	-7.03984e-29	8.87542
97	0.000643287	3.90004	0.000178986	211.778	0.000972006	2.22423e-06	168.043	64.8389	-4.91062e-29	4.20037	95.7996	0.438707	7.47797e-06	2.13221e-06	8.66379e-05	0.000926785	5.98457e-07	0.345214	1.60596	8.39404	150.594	0.000555214	392.327	5.58105	0.00025207	41.4904	186.823	6.44698	-7.02718e-29	2.22393e-06	0.438698	9.23829e-06	0.42696	1.32243	8.67757	153.317	0.000554793	0.0199102	5.58105	0.000257659	94.5441	20.9807	-7.02718e-29	8.91849
