Time	[Rab5-GDP]	[Rab5-GTP]	[Rab7-GDP]	[Rab7-GTP]
0	1	0.001	1	0.001
1	0.999631	0.0014827	0.999379	0.00178826
2	0.99879	0.00309685	0.99908	0.00246919
3	0.997885	0.00566683	0.998966	0.00306076
4	0.997047	0.00904614	0.998954	0.00357794
5	0.996311	0.0131127	0.998995	0.00403326
6	0.995674	0.0177647	0.999061	0.00443723
7	0.995128	0.022917	0.999135	0.00479866
8	0.994659	0.0284983	0.999209	0.00512499
9	0.994256	0.034449	0.999277	0.00542246
10	0.993908	0.0407187	0.999337	0.00569635
11	0.993607	0.0472652	0.99939	0.00595112
12	0.993346	0.0540529	0.999434	0.00619053
13	0.993118	0.0610516	0.999471	0.00641777
14	0.992918	0.0682357	0.999501	0.00663555
15	0.992742	0.0755837	0.999525	0.00684615
16	0.992586	0.0830771	0.999544	0.00705153
17	0.992448	0.0907002	0.999559	0.00725334
18	0.992324	0.0984395	0.99957	0.007453
19	0.992213	0.106283	0.999577	0.00765172
20	0.992112	0.114222	0.999581	0.00785054
21	0.992021	0.122247	0.999583	0.00805033
22	0.991939	0.130351	0.999583	0.00825188
23	0.991863	0.138527	0.999581	0.00845585
24	0.991793	0.146769	0.999577	0.00866282
25	0.991729	0.155072	0.999572	0.00887329
26	0.991669	0.163433	0.999566	0.00908771
27	0.991613	0.171846	0.999558	0.00930647
28	0.991563	0.180308	0.99955	0.00952993
29	0.991516	0.188815	0.999541	0.00975839
30	0.991472	0.197366	0.999531	0.00999213
31	0.991431	0.205955	0.999521	0.0102314
32	0.991393	0.214582	0.99951	0.0104765
33	0.991357	0.223242	0.999498	0.0107275
34	0.991325	0.231934	0.999486	0.0109848
35	0.991294	0.240655	0.999474	0.0112484
36	0.991266	0.249403	0.999461	0.0115185
37	0.991241	0.258175	0.999448	0.0117953
38	0.991218	0.266969	0.999434	0.012079
39	0.991197	0.275782	0.99942	0.0123696
40	0.991179	0.284611	0.999406	0.0126674
41	0.991164	0.293456	0.999391	0.0129723
42	0.991151	0.302312	0.999377	0.0132847
43	0.99114	0.311178	0.999362	0.0136044
44	0.991132	0.32005	0.999346	0.0139317
45	0.991126	0.328927	0.999331	0.0142666
46	0.991122	0.337806	0.999315	0.0146091
47	0.991122	0.346684	0.999299	0.0149594
48	0.991125	0.355559	0.999284	0.0153176
49	0.991129	0.364427	0.999267	0.0156836
50	0.991137	0.373286	0.999251	0.0160574
51	0.991147	0.382134	0.999235	0.0164392
52	0.991161	0.390967	0.999219	0.0168289
53	0.991176	0.399783	0.999202	0.0172265
54	0.991195	0.408578	0.999186	0.017632
55	0.991217	0.417351	0.99917	0.0180455
56	0.991242	0.426098	0.999153	0.0184667
57	0.991269	0.434817	0.999137	0.0188958
58	0.991299	0.443504	0.999121	0.0193327
59	0.991331	0.452157	0.999105	0.0197772
60	0.991366	0.460774	0.999089	0.0202292
61	0.991404	0.469351	0.999073	0.0206888
62	0.991445	0.477886	0.999058	0.0211558
63	0.991488	0.486376	0.999042	0.0216299
64	0.991534	0.494819	0.999027	0.0221112
65	0.991583	0.503213	0.999012	0.0225995
66	0.991634	0.511554	0.998998	0.0230945
67	0.991687	0.519841	0.998984	0.0235963
68	0.991742	0.528071	0.99897	0.0241044
69	0.9918	0.536242	0.998956	0.0246187
70	0.99186	0.544353	0.998943	0.0251391
71	0.991921	0.5524	0.99893	0.0256654
72	0.991985	0.560383	0.998918	0.0261972
73	0.992051	0.5683	0.998906	0.0267344
74	0.992118	0.576148	0.998895	0.0272767
75	0.992188	0.583926	0.998884	0.0278239
76	0.992258	0.591633	0.998874	0.0283757
77	0.99233	0.599268	0.998864	0.0289318
78	0.992403	0.606829	0.998855	0.0294921
79	0.992477	0.614315	0.998846	0.0300563
80	0.992552	0.621725	0.998838	0.030624
81	0.992628	0.629059	0.99883	0.031195
82	0.992706	0.636315	0.998823	0.031769
83	0.992783	0.643492	0.998816	0.0323458
84	0.992862	0.650591	0.99881	0.0329251
85	0.992941	0.657611	0.998805	0.0335067
86	0.993021	0.664551	0.9988	0.0340902
87	0.9931	0.671411	0.998795	0.0346754
88	0.99318	0.678191	0.998791	0.035262
89	0.99326	0.684891	0.998788	0.0358498
90	0.99334	0.691511	0.998785	0.0364386
91	0.99342	0.698051	0.998783	0.0370281
92	0.9935	0.704511	0.998781	0.037618
93	0.99358	0.710891	0.99878	0.0382081
94	0.993659	0.717192	0.998779	0.0387982
95	0.993738	0.723414	0.998779	0.0393881
96	0.993817	0.729558	0.998779	0.0399776
97	0.993895	0.735624	0.99878	0.0405664
98	0.993973	0.741612	0.998781	0.0411544
99	0.99405	0.747524	0.998783	0.0417414
100	0.994127	0.75336	0.998784	0.0423271
