Time	[phosphoribosylpyrophosphate]	[inosine monophosphate]	[adenylosuccinate]	[ATP_ADP_AMP_Ado]	[s-adenosyl-L-methionine]	[adenine]	[xanthosine monophosphate]	[GTP_GDP_GMP]	[dATP_dADP_dAMP_dAdo]	[dGTP_dGDP_dGMP]	[RNA]	[DNA]	[dIno_Ino_HX]	[xanthine]	[guanine]	[uric acid]	[ribose-5-phosphate]	[phosphate]
0	5.01742	98.2634	0.198189	2475.35	3.99187	0.98473	24.793	410.223	6.01413	3.02581	28680.5	5179.34	9.51785	5.05941	5.50638	100.293	18	1400
1	5.01743	98.2634	0.198189	2475.35	3.99187	0.98473	24.793	410.224	6.01413	3.02581	28680.5	5179.34	9.51785	5.05941	5.50639	100.293	18	1400
2	5.01743	98.2634	0.198189	2475.35	3.99187	0.98473	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51785	5.05941	5.50642	100.293	18	1400
3	5.01742	98.2634	0.198189	2475.35	3.99187	0.98473	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51786	5.05942	5.50644	100.293	18	1400
4	5.01742	98.2634	0.198189	2475.35	3.99187	0.984731	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51786	5.05942	5.50646	100.293	18	1400
5	5.01742	98.2634	0.198189	2475.35	3.99187	0.984731	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51786	5.05943	5.50647	100.293	18	1400
6	5.01742	98.2633	0.198189	2475.35	3.99187	0.984731	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51786	5.05943	5.50649	100.293	18	1400
7	5.01742	98.2633	0.198189	2475.35	3.99187	0.984731	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51786	5.05944	5.5065	100.293	18	1400
8	5.01742	98.2633	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51787	5.05944	5.50651	100.293	18	1400
9	5.01742	98.2633	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51787	5.05945	5.50652	100.293	18	1400
10	5.01742	98.2633	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51787	5.05945	5.50652	100.293	18	1400
11	5.01742	98.2633	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51787	5.05946	5.50653	100.293	18	1400
12	5.01742	98.2633	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51787	5.05946	5.50653	100.293	18	1400
13	5.01742	98.2633	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51787	5.05946	5.50653	100.293	18	1400
14	5.01742	98.2633	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51787	5.05947	5.50654	100.293	18	1400
15	5.01742	98.2633	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51787	5.05947	5.50654	100.293	18	1400
16	5.01742	98.2633	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51787	5.05947	5.50654	100.293	18	1400
17	5.01742	98.2633	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51787	5.05947	5.50654	100.293	18	1400
18	5.01742	98.2633	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51787	5.05947	5.50654	100.293	18	1400
19	5.01742	98.2632	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01414	3.02581	28680.5	5179.34	9.51787	5.05947	5.50654	100.293	18	1400
20	5.01742	98.2632	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01414	3.02582	28680.5	5179.34	9.51786	5.05947	5.50654	100.293	18	1400
21	5.01742	98.2632	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01414	3.02582	28680.5	5179.34	9.51786	5.05947	5.50654	100.293	18	1400
22	5.01742	98.2632	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01414	3.02582	28680.5	5179.34	9.51786	5.05947	5.50654	100.293	18	1400
23	5.01742	98.2632	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01415	3.02582	28680.5	5179.34	9.51786	5.05947	5.50654	100.293	18	1400
24	5.01742	98.2632	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01415	3.02582	28680.5	5179.34	9.51786	5.05947	5.50654	100.293	18	1400
25	5.01742	98.2632	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51786	5.05947	5.50654	100.293	18	1400
26	5.01742	98.2632	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51786	5.05947	5.50654	100.293	18	1400
27	5.01742	98.2632	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51786	5.05947	5.50654	100.293	18	1400
28	5.01742	98.2632	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51786	5.05947	5.50654	100.293	18	1400
29	5.01742	98.2632	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51786	5.05947	5.50654	100.293	18	1400
30	5.01742	98.2632	0.198189	2475.35	3.99187	0.984732	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51786	5.05947	5.50654	100.293	18	1400
31	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51786	5.05947	5.50654	100.293	18	1400
32	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51786	5.05947	5.50654	100.293	18	1400
33	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51786	5.05947	5.50654	100.293	18	1400
34	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51786	5.05947	5.50654	100.293	18	1400
35	5.01742	98.2632	0.198189	2475.35	3.99187	0.984733	24.793	410.225	6.01415	3.02582	28680.5	5179.35	9.51786	5.05947	5.50654	100.293	18	1400
