Time	[P2]	[Target]
0	10	10
1	10.5297	10.5297
2	11.0613	11.0613
3	11.5968	11.5968
4	12.1382	12.1382
5	12.6876	12.6876
6	13.2468	13.2468
7	13.8179	13.8179
8	14.4029	14.4029
9	15.0039	15.0039
10	15.6231	15.6231
11	16.2625	16.2625
12	16.9246	16.9246
13	17.6116	17.6116
14	18.3259	18.3259
15	19.0699	19.0699
16	19.8462	19.8462
17	20.6572	20.6572
18	21.5054	21.5054
19	22.3931	22.3931
20	23.3227	23.3227
21	24.2961	24.2961
22	25.3151	25.3151
23	26.3812	26.3812
24	27.4953	27.4953
25	28.658	28.658
26	29.869	29.869
27	31.1275	31.1275
28	32.4319	32.4319
29	33.7797	33.7797
30	35.1679	35.1679
31	36.5924	36.5924
32	38.0485	38.0485
33	39.531	39.531
34	40.9952	40.9952
35	42.3279	42.3279
36	43.5338	43.5338
37	44.6249	44.6249
38	45.6122	45.6122
39	46.5056	46.5056
40	47.3139	47.3139
41	48.0454	48.0454
42	48.7072	48.7072
43	49.306	49.306
44	49.8479	49.8479
45	50.3381	50.3381
46	50.7818	50.7818
47	51.1832	51.1832
48	51.5464	51.5464
49	51.875	51.875
50	52.1723	52.1723
51	52.4414	52.4414
52	52.6849	52.6849
53	52.9052	52.9052
54	53.1045	53.1045
55	53.2849	53.2849
56	53.4481	53.4481
57	53.5958	53.5958
58	53.7294	53.7294
59	53.8503	53.8503
60	53.9597	53.9597
61	54.0587	54.0587
62	54.1483	54.1483
63	54.2293	54.2293
64	54.3026	54.3026
65	54.369	54.369
66	54.429	54.429
67	54.4834	54.4834
68	54.5325	54.5325
69	54.577	54.577
70	54.6172	54.6172
71	54.6537	54.6537
72	54.6866	54.6866
73	54.7164	54.7164
74	54.7434	54.7434
75	54.7678	54.7678
76	54.7899	54.7899
77	54.8099	54.8099
78	54.828	54.828
79	54.8443	54.8443
80	54.8591	54.8591
81	54.8725	54.8725
82	54.8847	54.8847
83	54.8956	54.8956
84	54.9056	54.9056
85	54.9145	54.9145
86	54.9227	54.9227
87	54.93	54.93
88	54.9367	54.9367
89	54.9427	54.9427
90	54.9481	54.9481
91	54.9531	54.9531
92	54.9575	54.9575
93	54.9616	54.9616
94	54.9652	54.9652
95	54.9685	54.9685
96	54.9715	54.9715
97	54.9742	54.9742
98	54.9767	54.9767
99	54.9789	54.9789
100	54.9809	54.9809
