Time	[PAMP]	[R]	[R*]	[E_int]	[Callose]	[Path]	[Path_bulk]	[PRR*]	[PRR]	[E]
44	0.618627	0.752668	0.247332	0.383885	0.208795	0.72809	1	0.349301	0.650699	0.259808
45	0.623923	0.748674	0.251326	0.386856	0.214647	0.722145	1	0.354382	0.645618	0.260781
46	0.6286	0.745002	0.254998	0.3895	0.220137	0.716373	1	0.358998	0.641002	0.261455
47	0.632706	0.741633	0.258367	0.391838	0.225274	0.710805	1	0.363179	0.636821	0.261867
48	0.636287	0.738549	0.261451	0.393894	0.230068	0.705464	1	0.366956	0.633044	0.262053
49	0.639388	0.735735	0.264265	0.395688	0.234531	0.700367	1	0.370357	0.629643	0.262046
50	0.642051	0.733173	0.266827	0.397241	0.238677	0.695525	1	0.373411	0.626589	0.261877
51	0.644317	0.730846	0.269154	0.398574	0.24252	0.690945	1	0.376144	0.623856	0.261573
52	0.646225	0.728739	0.271261	0.399705	0.246075	0.686628	1	0.378583	0.621417	0.261159
53	0.647811	0.726837	0.273163	0.400651	0.249355	0.682575	1	0.380751	0.619249	0.260658
54	0.649108	0.725125	0.274875	0.401431	0.252378	0.67878	1	0.382671	0.617329	0.260089
55	0.650147	0.72359	0.27641	0.402059	0.255157	0.675239	1	0.384366	0.615634	0.25947
56	0.650958	0.722218	0.277782	0.402552	0.257707	0.671943	1	0.385855	0.614145	0.258816
57	0.651567	0.720996	0.279004	0.402924	0.260043	0.668883	1	0.387158	0.612842	0.258139
58	0.651999	0.719913	0.280087	0.403187	0.262179	0.666051	1	0.388291	0.611709	0.257452
59	0.652276	0.718958	0.281042	0.403354	0.264128	0.663434	1	0.389271	0.610729	0.256763
60	0.652419	0.718119	0.281881	0.403437	0.265904	0.661023	1	0.390114	0.609886	0.256081
61	0.652446	0.717388	0.282612	0.403446	0.267519	0.658806	1	0.390833	0.609167	0.255411
62	0.652373	0.716753	0.283247	0.403391	0.268985	0.656772	1	0.391441	0.608559	0.254758
63	0.652217	0.716208	0.283792	0.403281	0.270313	0.65491	1	0.39195	0.60805	0.254128
64	0.65199	0.715743	0.284257	0.403123	0.271514	0.653209	1	0.392371	0.607629	0.253522
65	0.651705	0.71535	0.28465	0.402926	0.272597	0.651658	1	0.392713	0.607287	0.252943
66	0.651372	0.715024	0.284976	0.402695	0.273573	0.650247	1	0.392985	0.607015	0.252393
67	0.651002	0.714756	0.285244	0.402438	0.274449	0.648966	1	0.393197	0.606803	0.251873
68	0.650601	0.714542	0.285458	0.402159	0.275235	0.647806	1	0.393354	0.606646	0.251383
69	0.650179	0.714374	0.285626	0.401862	0.275938	0.646758	1	0.393465	0.606535	0.250923
70	0.649741	0.714249	0.285751	0.401554	0.276565	0.645813	1	0.393535	0.606465	0.250493
71	0.649293	0.714161	0.285839	0.401236	0.277123	0.644963	1	0.393569	0.606431	0.250092
72	0.64884	0.714106	0.285894	0.400913	0.277618	0.6442	1	0.393573	0.606427	0.24972
73	0.648386	0.71408	0.28592	0.400587	0.278056	0.643517	1	0.393551	0.606449	0.249375
74	0.647935	0.714079	0.285921	0.400261	0.278442	0.642909	1	0.393507	0.606493	0.249057
75	0.647489	0.714099	0.285901	0.399937	0.27878	0.642367	1	0.393444	0.606556	0.248764
76	0.647052	0.714139	0.285861	0.399617	0.279077	0.641887	1	0.393367	0.606633	0.248495
77	0.646626	0.714194	0.285806	0.399303	0.279335	0.641463	1	0.393277	0.606723	0.248249
78	0.646211	0.714263	0.285737	0.398995	0.279559	0.641089	1	0.393177	0.606823	0.248025
79	0.64581	0.714343	0.285657	0.398695	0.279751	0.640762	1	0.393069	0.606931	0.247821
80	0.645423	0.714433	0.285567	0.398404	0.279916	0.640477	1	0.392956	0.607044	0.247635
81	0.645052	0.71453	0.28547	0.398123	0.280056	0.64023	1	0.392839	0.607161	0.247467
82	0.644697	0.714632	0.285368	0.397851	0.280174	0.640017	1	0.392719	0.607281	0.247316
83	0.644357	0.714739	0.285261	0.39759	0.280272	0.639834	1	0.392598	0.607402	0.24718
84	0.644035	0.714849	0.285151	0.397339	0.280353	0.639679	1	0.392476	0.607524	0.247058
85	0.643728	0.714962	0.285038	0.397099	0.280419	0.639549	1	0.392356	0.607644	0.246949
86	0.643438	0.715075	0.284925	0.39687	0.28047	0.639441	1	0.392237	0.607763	0.246852
87	0.643165	0.715188	0.284812	0.396652	0.28051	0.639353	1	0.39212	0.60788	0.246766
88	0.642907	0.715301	0.284699	0.396445	0.28054	0.639282	1	0.392006	0.607994	0.246691
89	0.642664	0.715412	0.284588	0.396248	0.28056	0.639226	1	0.391896	0.608104	0.246624
90	0.642437	0.715522	0.284478	0.396061	0.280573	0.639184	1	0.391789	0.608211	0.246566
91	0.642224	0.71563	0.28437	0.395885	0.280579	0.639154	1	0.391686	0.608314	0.246515
92	0.642025	0.715735	0.284265	0.395718	0.280579	0.639135	1	0.391587	0.608413	0.246472
93	0.64184	0.715837	0.284163	0.395561	0.280575	0.639125	1	0.391492	0.608508	0.246435
94	0.641667	0.715936	0.284064	0.395414	0.280566	0.639122	1	0.391401	0.608599	0.246403
95	0.641507	0.716031	0.283969	0.395275	0.280554	0.639126	1	0.391315	0.608685	0.246377
96	0.641359	0.716124	0.283876	0.395144	0.280539	0.639136	1	0.391233	0.608767	0.246355
97	0.641221	0.716212	0.283788	0.395022	0.280522	0.639151	1	0.391156	0.608844	0.246338
98	0.641095	0.716297	0.283703	0.394908	0.280504	0.63917	1	0.391083	0.608917	0.246324
99	0.640978	0.716378	0.283622	0.394801	0.280484	0.639192	1	0.391014	0.608986	0.246313
100	0.640871	0.716456	0.283544	0.394701	0.280463	0.639217	1	0.390949	0.609051	0.246305
