Time	[cCOP1c]	[cCOP1d]	[cCOP1n]	[cE3]	[cE3_m]	[cE3n]	[cE4]	[cE4_m]	[cEC]	[cEG]	[cG]	[cG_m]	[cL]	[cLUX]	[cLUX_m]	[cL_m]	[cLm]	[cNI]	[cNI_m]	[cP]	[cP7]	[cP7_m]	[cP9]	[cP9_m]	[cT]	[cT_m]	[cZG]	[cZTL]	[s1]	[s2]	[s3]	[s4]	[s5]	[s6]	[s7]	[s8]	[s9]	[s10]	[s11]	[s12]	[s13]	[s14]	[s15]	[s16]	[s17]	[s18]	[s19]	[s20]	[s21]	[s22]	[s23]	[s24]	[s25]	[s26]	[s27]	[s28]	[s29]	[s30]	[s31]	[s32]	[s33]	[s34]	[s35]	[s36]	[s37]	[s38]	[s39]	[s40]	[s41]	[s42]	[s43]	[s44]	[s45]	[s46]	[s47]	[s48]	[s49]	[s50]	[s51]
14	0.24335	0.0122684	0.524636	0.0738406	0.418496	0.00387733	1.09501	1.1144	0.0124847	0.0403775	0.390173	0.986276	0.116558	2.3936	1.1144	0.0192843	0.115343	0.887531	0.643112	0.451024	0.200413	0.562767	0.250703	0.0715883	0.17003	0.542579	0.459646	0.240769	-1.34851	2.34432	-1.74084	2.13028	-0.579284	0.542741	-0.45165	0.956625	-4.84205	4.83627	-2.90176	2.67486	-5.45375	5.29259	-10.5852	10.5015	-6.29339	5.72338	-6.18125	5.36342	-1.1626	0.717717	-1.33974	1.21321	-5.12076	4.10756	-2.533	1.64499	-1.42162	1.30222	-1.61475	0.242783	0.7061	-5.12076	4.10756	-5.47675	3.65914	-3.22	0.613606	1.22445	1.83518	-55.3058	54.4212	-8.16319	6.26392	-1.96	1.20809	0.377491	0.730776	-0.0307154	0.0891307
15	0.234911	0.0131342	0.559126	0.10735	0.456628	0.00784063	1.11485	0.907052	0.0278414	0.0338749	0.214269	0.53626	0.0983665	2.45411	0.907052	0.0277723	0.0972132	0.708434	0.472825	0.593309	0.159589	0.454705	0.192787	0.0458648	0.163704	0.528249	0.383928	0.268764	-1.36257	2.34989	-1.74711	2.15474	-0.582366	0.563953	-0.593934	0.956625	-4.87451	4.89444	-2.93667	2.76768	-5.54877	5.49566	-10.9913	10.9484	-6.39986	6.00013	-6.48015	5.84141	-1.31027	0.879726	-1.64215	1.52195	-5.52325	4.7174	-2.90906	2.00121	-1.67891	1.52139	-1.88652	0.266288	0.79129	-5.52325	4.7174	-6.28987	4.41176	-3.45	0.708982	1.27874	1.88861	-57.3828	56.9482	-8.54223	6.73534	-2.1	1.36217	0.411143	0.862875	-0.0511726	0.0942311
16	0.231807	0.0137829	0.58451	0.148011	0.485702	0.0148074	1.03943	0.673967	0.0554845	0.0243446	0.106645	0.286205	0.086833	2.32585	0.673967	0.0413245	0.0816699	0.551614	0.347771	0.698716	0.127349	0.361123	0.144019	0.0275316	0.151869	0.471512	0.320684	0.278964	-1.38428	2.35805	-1.75629	2.17545	-0.584669	0.581799	-0.699341	0.956625	-4.89222	4.93049	-2.95829	2.83808	-5.61782	5.65829	-11.3166	11.3059	-6.47838	6.20371	-6.7	6.21809	-1.4042	1.03039	-1.92339	1.81502	-5.76379	5.19102	-3.20113	2.3687	-1.94394	1.75734	-2.1791	0.298957	0.910666	-5.76379	5.19102	-6.92136	5.17151	-3.68	0.802223	1.33598	1.9452	-58.482	58.2975	-8.74462	6.98758	-2.24	1.5271	0.439251	0.965311	-0.0897048	0.10512
17	0.230665	0.0142815	0.604243	0.185986	0.506338	0.0239027	0.896536	0.477833	0.0922548	0.0160925	0.0555821	0.168901	0.0820672	2.06533	0.477833	0.0636918	0.0685991	0.422351	0.255153	0.776803	0.100621	0.284512	0.10494	0.0163896	0.135188	0.399999	0.267858	0.280248	-1.41902	2.37043	-1.77021	2.19414	-0.586585	0.596786	-0.777429	0.956625	-4.90252	4.95193	-2.97116	2.89002	-5.66975	5.78683	-11.5737	11.5897	-6.53534	6.35329	-6.86155	6.5089	-1.4635	1.1612	-2.16757	2.07588	-5.91052	5.53389	-3.41256	2.72303	-2.21292	2.00568	-2.48705	0.341577	1.06729	-5.91052	5.53389	-7.37852	5.88919	-3.91	0.89468	1.39546	2.00417	-59.1117	59.0445	-8.85668	7.11841	-2.38	1.69516	0.46273	1.0352	-0.146386	0.125032
18	0.230245	0.0146777	0.620013	0.213793	0.519053	0.0333155	0.729102	0.337255	0.126589	0.0111111	0.0342515	0.117416	0.0854186	1.75051	0.337255	0.101171	0.0578673	0.319398	0.186586	0.834652	0.079506	0.225608	0.0752453	0.0103898	0.117283	0.331556	0.223734	0.27735	-1.4759	2.38983	-1.79203	2.21261	-0.588462	0.609394	-0.835277	0.956625	-4.90957	4.96498	-2.97899	2.92754	-5.71227	5.88827	-11.7765	11.8137	-6.57634	6.46286	-6.97988	6.73019	-1.50459	1.27073	-2.37204	2.29826	-6.01175	5.7757	-3.56168	3.03958	-2.48231	2.26236	-2.80532	0.392484	1.25586	-6.01175	5.7757	-7.70093	6.52642	-4.14	0.986848	1.4567	2.06502	-59.535	59.5193	-8.92789	7.19389	-2.52	1.86258	0.48234	1.08176	-0.210777	0.155088
19	0.23009	0.0149977	0.632782	0.230587	0.523335	0.0418001	0.571688	0.244808	0.148393	0.00854332	0.0251497	0.095026	0.0998762	1.44244	0.244808	0.163631	0.0494541	0.239294	0.136293	0.877507	0.0640892	0.184629	0.0536778	0.00749875	0.100472	0.272625	0.186878	0.27275	-1.56951	2.42098	-1.82708	2.2332	-0.590741	0.620087	-0.878132	0.956625	-4.91543	4.97373	-2.98424	2.95436	-5.75273	5.96971	-11.9394	11.992	-6.6061	6.54291	-7.06634	6.89675	-1.53603	1.3611	-2.54073	2.48375	-6.09186	5.94825	-3.66809	3.3034	-2.74758	2.52334	-3.12894	0.448951	1.46665	-6.09186	5.94825	-7.931	7.06457	-4.37	1.07891	1.51936	2.12736	-59.8685	59.8752	-8.98127	7.24577	-2.66	2.02765	0.498721	1.11541	-0.27068	0.193187
20	0.230033	0.015258	0.643184	0.237959	0.516391	0.048456	0.441432	0.186585	0.154822	0.00720081	0.0209306	0.0854791	0.130481	1.17338	0.186585	0.2648	0.0436673	0.178185	0.100156	0.909255	0.0546542	0.163081	0.0386137	0.00647732	0.0855285	0.223462	0.156094	0.267711	-1.72116	2.47146	-1.88387	2.25939	-0.594217	0.629349	-0.90988	0.956625	-4.92127	4.98059	-2.98836	2.97354	-5.80002	6.03854	-12.0771	12.1391	-6.62856	6.6015	-7.12962	7.02114	-1.56106	1.43529	-2.67922	2.63719	-6.16169	6.0763	-3.74705	3.51262	-3.00113	2.78384	-3.45197	0.508424	1.69048	-6.16169	6.0763	-8.10174	7.50436	-4.6	1.17093	1.58318	2.19092	-60.1635	60.1797	-9.02696	7.28708	-2.8	2.18979	0.512403	1.14245	-0.31928	0.235358
21	0.230012	0.0154706	0.651682	0.236156	0.492149	0.052417	0.34175	0.149577	0.148516	0.0063817	0.0187931	0.0807924	0.184144	0.953105	0.149577	0.418786	0.0415285	0.132589	0.0754363	0.932774	0.0523598	0.166166	0.0285854	0.00683923	0.0723127	0.181929	0.13038	0.262847	-1.95602	2.55234	-1.97485	2.29671	-0.600523	0.637794	-0.9334	0.956625	-4.92818	4.98714	-2.99229	2.9875	-5.86799	6.10343	-12.2069	12.2712	-6.6473	6.64496	-7.17656	7.11367	-1.58017	1.49594	-2.79243	2.76361	-6.22476	6.17638	-3.80877	3.67402	-3.22991	3.03686	-3.76571	0.568611	1.91931	-6.22476	6.17638	-8.23518	7.85807	-4.83	1.26294	1.64793	2.25546	-60.4409	60.4618	-9.06928	7.32327	-2.94	2.34894	0.523831	1.16583	-0.355236	0.27762
22	0.230004	0.0156443	0.658632	0.223661	0.44407	0.0529198	0.268625	0.123226	0.134041	0.00566	0.0174173	0.0755946	0.267429	0.778199	0.123226	0.626701	0.0451913	0.0998359	0.0610635	0.950198	0.0598638	0.204061	0.0225285	0.0085693	0.0604016	0.146117	0.108903	0.258423	-2.2885	2.6769	-2.11498	2.35355	-0.612737	0.646346	-0.950823	0.956625	-4.9375	4.99473	-2.99684	2.99811	-5.97858	6.17612	-12.3522	12.4091	-6.66661	6.67865	-7.21294	7.1828	-1.59344	1.54502	-2.88403	2.86713	-6.27993	6.2579	-3.85904	3.79741	-3.41694	3.27197	-4.05724	0.627023	2.14438	-6.27993	6.2579	-8.34387	8.14167	-5.06	1.35494	1.71346	2.32081	-60.7023	60.7284	-9.10927	7.35652	-3.08	2.5053	0.533376	1.18659	-0.380169	0.317028
23	0.230002	0.0157865	0.664319	0.199843	0.374434	0.049677	0.215395	0.101008	0.115583	0.00478174	0.0160772	0.0672958	0.380799	0.639466	0.101008	0.853432	0.0574572	0.0785774	0.058646	0.963106	0.0804047	0.285706	0.0197622	0.0116753	0.0496269	0.115578	0.0909633	0.254531	-2.69311	2.85478	-2.3151	2.4403	-0.635105	0.656448	-0.963731	0.956625	-4.95062	5.00474	-3.00285	3.00688	-6.15669	6.27259	-12.5452	12.5815	-6.69354	6.70799	-7.24463	7.23576	-1.60202	1.58414	-2.95706	2.95093	-6.32485	6.32504	-3.90044	3.89205	-3.55259	3.47725	-4.31179	0.680817	2.35509	-6.32485	6.32504	-8.43339	8.36992	-5.29	1.44695	1.77962	2.38683	-60.9378	60.9722	-9.14582	7.38727	-3.22	2.65916	0.541349	1.20458	-0.39655	0.351868
