Time	[cCOP1c]	[cCOP1d]	[cCOP1n]	[cE3]	[cE3_m]	[cE3n]	[cE4]	[cE4_m]	[cEC]	[cEG]	[cG]	[cG_m]	[cL]	[cLUX]	[cLUX_m]	[cL_m]	[cLm]	[cNI]	[cNI_m]	[cP]	[cP7]	[cP7_m]	[cP9]	[cP9_m]	[cT]	[cT_m]	[cZG]	[cZTL]	[s1]	[s2]	[s3]	[s4]	[s5]	[s6]	[s7]	[s8]	[s9]	[s10]	[s11]	[s12]	[s13]	[s14]	[s15]	[s16]	[s17]	[s18]	[s19]	[s20]	[s21]	[s22]	[s23]	[s24]	[s25]	[s26]	[s27]	[s28]	[s29]	[s30]	[s31]	[s32]	[s33]	[s34]	[s35]	[s36]	[s37]	[s38]	[s39]	[s40]	[s41]	[s42]	[s43]	[s44]	[s45]	[s46]	[s47]	[s48]	[s49]	[s50]	[s51]
24	0.231165	0.188907	0.477588	0.168108	0.297637	0.043834	0.175701	0.0815556	0.0957431	0.00377894	0.0147225	0.0816834	0.514607	0.527615	0.0815556	1.04319	0.0794315	0.0696482	0.0733689	0.955925	0.117312	0.404462	0.0206139	0.0613338	0.0406553	0.0904875	0.0763278	0.250827	-3.11595	3.08786	-2.5736	2.56499	-0.670616	0.669984	-0.973256	0.973331	-5.01535	5.01981	-3.01189	3.01507	-6.41257	6.40971	-12.8194	12.8188	-6.74041	6.74014	-7.27935	7.2794	-1.6077	1.61491	-3.0145	3.01735	-6.36	6.37965	-3.93411	3.96541	-3.64375	3.64521	-4.52006	0.727474	2.54065	-6.36	6.37965	-8.50619	8.55458	-5.52	1.53776	1.84862	2.46945	-61.1673	61.1873	-9.1781	7.41524	-3.36	2.81084	0.54801	1.21922	-0.406726	0.381882
25	0.279588	0.590689	0.0194299	0.122359	0.219195	0.0425659	0.134576	0.066472	0.0428672	0.00828802	0.0446963	0.268785	0.815346	0.436884	0.066472	1.23631	0.114881	0.0842164	0.131511	0.35794	0.339377	0.573454	0.40742	1.02835	0.0514478	0.0705701	0.0960223	0.222074	-3.96614	3.74492	-3.06202	2.75267	-0.725231	0.689149	-0.973586	1.57165	-6.72217	5.75961	-3.45577	3.07215	-6.77444	6.60259	-13.2052	12.9825	-6.84681	6.7884	-7.33148	7.31696	-1.61181	1.63894	-3.05935	3.05141	-6.38896	6.42369	-3.96127	4.0337	-3.6945	3.77441	-4.68027	0.768769	2.68365	-6.38896	6.42369	-8.56492	8.70403	-5.75	1.56474	1.86416	2.6649	-62.2902	62.1232	-9.31847	7.4763	-3.5	2.95317	0.554732	1.23763	-0.411951	0.439984
26	0.304247	0.554912	0.0466612	0.0856608	0.154673	0.0312723	0.108782	0.0617707	0.0182378	0.00533904	0.0331287	0.166031	0.999242	0.364938	0.0617707	0.934756	0.15771	0.135076	0.264831	0.131679	0.569115	0.793856	0.773746	0.791996	0.0510512	0.0561052	0.115893	0.206189	-4.25622	4.33656	-3.50027	3.00703	-0.795321	0.716411	-0.973586	1.79791	-7.42328	6.69709	-4.01825	3.26831	-7.26821	6.87595	-13.7519	13.2995	-7.07618	6.88445	-7.4352	7.36983	-1.61621	1.65781	-3.09457	3.08702	-6.42215	6.46158	-3.98464	4.08286	-3.72253	3.86696	-4.79503	0.801781	2.79387	-6.42215	6.46158	-8.61544	8.8265	-5.98	1.59407	1.8768	2.83681	-62.8961	62.8318	-9.42477	7.54621	-3.64	3.08063	0.563294	1.26011	-0.414638	0.467301
27	0.316492	0.508758	0.0923346	0.0615658	0.111777	0.0230266	0.0946014	0.06836	0.00905085	0.00316214	0.0292781	0.160425	1.02945	0.313546	0.06836	0.624928	0.196649	0.236869	0.454658	0.0484419	0.802349	0.981891	0.884911	0.50001	0.046322	0.0466989	0.127039	0.202836	-4.36456	4.75473	-3.81002	3.28657	-0.869808	0.751958	-0.973586	1.88114	-7.76827	7.33406	-4.40043	3.53932	-7.81324	7.23295	-14.4659	13.7803	-7.44435	7.06279	-7.62782	7.46065	-1.62211	1.67311	-3.12313	3.12031	-6.46721	6.50005	-4.00837	4.12077	-3.74541	3.93273	-4.87659	0.826694	2.87229	-6.46721	6.50005	-8.66674	8.92919	-6.21	1.62518	1.90399	2.99675	-63.4227	63.364	-9.5046	7.59843	-3.78	3.20309	0.573037	1.27285	-0.416093	0.477942
28	0.322573	0.448437	0.152133	0.0447753	0.0867824	0.0151386	0.0908781	0.0876628	0.00458646	0.00274644	0.0391142	0.230256	0.957309	0.28497	0.0876628	0.395698	0.227572	0.384118	0.658981	0.0178208	1.00749	1.11057	0.848974	0.332964	0.0411871	0.0420852	0.139019	0.199372	-4.40704	5.02644	-4.01129	3.55998	-0.943303	0.794531	-0.973586	1.91177	-8.0076	7.74043	-4.64426	3.81909	-8.36241	7.65344	-15.3069	14.4161	-7.92734	7.34146	-7.92878	7.61436	-1.63069	1.6863	-3.14776	3.15008	-6.53259	6.54613	-4.03678	4.1529	-3.7694	3.98172	-4.93733	0.84521	2.93092	-6.53259	6.54613	-8.72817	9.0192	-6.44	1.65717	1.95258	3.14061	-64.1349	64.0063	-9.60095	7.65409	-3.92	3.32397	0.583643	1.28154	-0.416935	0.483248
29	0.325593	0.3824	0.214631	0.0336814	0.0758597	0.0087922	0.0987511	0.125067	0.00198003	0.00322723	0.0668333	0.395445	0.834258	0.283554	0.125067	0.244019	0.24885	0.556485	0.843026	0.0065559	1.16502	1.18324	0.765422	0.262818	0.0379871	0.042836	0.160892	0.188685	-4.42504	5.19612	-4.13698	3.80872	-1.01239	0.842343	-0.973586	1.92303	-8.22935	8.03234	-4.8194	4.07778	-8.89556	8.11392	-16.2278	15.1795	-8.48821	7.71829	-8.33575	7.84896	-1.64403	1.69889	-3.17126	3.17678	-6.63271	6.60884	-4.07545	4.1837	-3.79861	4.02185	-4.98709	0.859047	2.97489	-6.63271	6.60884	-8.81179	9.10424	-6.67	1.68959	2.02605	3.26523	-65.3302	65.0365	-9.75547	7.73773	-4.06	3.44088	0.595542	1.29045	-0.417453	0.486373
30	0.327092	0.321139	0.269278	0.0271122	0.0769746	0.00474178	0.121645	0.188602	0.000618056	0.00442476	0.122793	0.689328	0.696351	0.317552	0.188602	0.148767	0.259667	0.73102	0.989983	0.00241178	1.26969	1.20955	0.683905	0.241807	0.0384595	0.0504343	0.202052	0.166078	-4.43378	5.30012	-4.21401	4.02366	-1.07424	0.893372	-0.973586	1.92717	-8.45835	8.28234	-4.9694	4.3093	-9.4018	8.59385	-17.1877	16.0347	-9.09512	8.17824	-8.8325	8.17117	-1.66542	1.71269	-3.19702	3.20206	-6.78887	6.70147	-4.13257	4.21793	-3.83745	4.05957	-5.03387	0.869842	3.00835	-6.78887	6.70147	-8.9353	9.19374	-6.9	1.72224	2.12321	3.37054	-67.4341	66.8465	-10.027	7.88459	-4.2	3.54797	0.609904	1.3024	-0.417813	0.488095
31	0.327837	0.270596	0.311308	0.0242318	0.0898032	0.00277075	0.16442	0.282709	0.000217016	0.00638071	0.207653	1.05429	0.565033	0.39766	0.282709	0.0905866	0.259845	0.889854	1.09574	0.000887244	1.32458	1.19904	0.618424	0.233157	0.0442559	0.0666454	0.266056	0.133381	-4.43892	5.36343	-4.26091	4.20188	-1.12654	0.945498	-0.973586	1.9287	-8.68715	8.51979	-5.11187	4.51725	-9.8741	9.07666	-18.1533	16.9454	-9.72401	8.70137	-9.39748	8.57733	-1.69896	1.73001	-3.22935	3.2286	-7.02279	6.84129	-4.21879	4.26137	-3.89147	4.10077	-5.08495	0.878985	3.03534	-7.02279	6.84129	-9.12171	9.30005	-7.13	1.75499	2.23977	3.459	-70.7557	69.8031	-10.4705	8.14084	-4.34	3.63807	0.628496	1.32025	-0.418123	0.488806
32	0.328207	0.231859	0.340955	0.0245366	0.114961	0.00198264	0.23181	0.410389	0.000176045	0.00935597	0.309744	1.43676	0.45089	0.533946	0.410389	0.055612	0.250213	1.02194	1.162	0.000326399	1.33601	1.15893	0.565738	0.220983	0.0570868	0.0941135	0.343273	0.101644	-4.44261	5.4021	-4.28955	4.34466	-1.16807	0.996654	-0.973586	1.92926	-8.90251	8.74733	-5.2484	4.70646	-10.3065	9.54915	-19.0983	17.879	-10.3563	9.26739	-10.0088	9.05654	-1.75021	1.75379	-3.27375	3.26016	-7.35662	7.04743	-4.34592	4.32111	-3.96729	4.15143	-5.14778	0.887701	3.06005	-7.35662	7.04743	-9.39658	9.43863	-7.36	1.78779	2.3706	3.53409	-75.369	74.0339	-11.1051	8.54194	-4.48	3.70826	0.652825	1.34715	-0.418485	0.489209
33	0.32839	0.203398	0.360726	0.0270804	0.152662	0.00166476	0.328464	0.574039	0.000246215	0.0138324	0.420061	1.8193	0.357154	0.736099	0.574039	0.034802	0.232798	1.12177	1.19216	0.000120075	1.31051	1.09422	0.519706	0.203262	0.0791842	0.137164	0.422487	0.0782784	-4.44572	5.42602	-4.30727	4.45612	-1.19906	1.04506	-0.973586	1.92947	-9.09734	8.95988	-5.37593	4.88002	-10.6931	10.0005	-20.0011	18.8072	-10.9764	9.85736	-10.6459	9.59387	-1.8275	1.78803	-3.33766	3.30198	-7.81385	7.34101	-4.52696	4.4055	-4.07139	4.21783	-5.23011	0.896969	3.08585	-7.81385	7.34101	-9.78802	9.62792	-7.59	1.82062	2.51121	3.59915	-81.2929	79.5753	-11.9363	9.10793	-4.62	3.76177	0.683467	1.38771	-0.419024	0.489678
34	0.328481	0.182933	0.37345	0.031076	0.20129	0.00155189	0.457253	0.766764	0.000405068	0.0198376	0.523217	2.14561	0.282727	1.00998	0.766764	0.0225269	0.210406	1.1875	1.18958	4.41732e-05	1.25386	1.00908	0.475947	0.18127	0.113447	0.200607	0.49822	0.0635261	-4.44863	5.44121	-4.31852	4.54179	-1.22105	1.08944	-0.973586	1.92954	-9.26789	9.15242	-5.49145	5.03931	-11.0293	10.4218	-20.8436	19.7064	-11.5706	10.4541	-11.2904	10.1726	-1.94105	1.83814	-3.43119	3.36124	-8.40775	7.74219	-4.77435	4.5241	-4.20812	4.30593	-5.33935	0.907437	3.11478	-8.40775	7.74219	-10.3229	9.88893	-7.82	1.85347	2.65824	3.65693	-88.3857	86.3418	-12.9513	9.8412	-4.76	3.80393	0.720327	1.44767	-0.41992	0.490415
35	0.328527	0.168352	0.38146	0.0362954	0.256904	0.00157572	0.615845	0.968834	0.000693715	0.0267985	0.59786	2.34665	0.224622	1.35036	0.968834	0.015368	0.18583	1.21933	1.15727	1.62504e-05	1.17146	0.908256	0.432198	0.157128	0.162679	0.287387	0.568357	0.0553087	-4.45153	5.45126	-4.32597	4.60735	-1.23611	1.12908	-0.973586	1.92957	-9.41303	9.3217	-5.59302	5.18462	-11.3124	10.8057	-21.6114	20.5566	-12.1262	11.042	-11.9253	10.7757	-2.10044	1.91075	-3.56673	3.44755	-9.13069	8.26306	-5.09555	4.68671	-4.3781	4.42029	-5.48116	0.919572	3.14818	-9.13069	8.26306	-11.0174	10.243	-8.05	1.88632	2.80935	3.7095	-96.2674	94.0225	-14.1034	10.7148	-4.9	3.8393	0.763032	1.53174	-0.421457	0.491664
36	0.32688	0.148523	0.387574	0.0429254	0.314223	0.00173528	0.794438	1.15205	0.00122934	0.033769	0.62874	2.3749	0.179503	1.73612	1.15205	0.0114675	0.161258	1.21654	1.09788	0.00508488	1.0368	0.797575	0.387309	0.133356	0.225731	0.395543	0.628964	0.0546641	-4.45466	5.4583	-4.3312	4.6577	-1.24623	1.16378	-0.978772	1.92969	-9.53428	9.46673	-5.68004	5.31653	-11.5431	11.1471	-22.2942	21.3741	-12.6317	11.6069	-12.5354	11.3886	-2.31058	2.01274	-3.75711	3.57488	-9.95188	8.90103	-5.48897	4.90153	-4.57824	4.56312	-5.65826	0.933837	3.18734	-9.95188	8.90103	-11.868	10.7079	-8.28	1.92087	2.96101	3.76865	-104.376	102.103	-15.3155	11.6705	-5.04	3.87129	0.81108	1.64166	-0.424098	0.493769
37	0.266281	0.0131167	0.47279	0.0512969	0.368527	0.00207767	0.968095	1.21675	0.00493367	0.0413586	0.599667	1.68284	0.144003	2.11255	1.21675	0.0140273	0.138082	1.07097	0.877579	0.258961	0.29856	0.680722	0.312975	0.103994	0.183705	0.492445	0.528084	0.176576	-4.46029	5.46136	-4.3346	4.6966	-1.25296	1.19368	-1.23284	1.92988	-9.62446	9.58627	-5.75176	5.46259	-11.722	11.4429	-22.8858	22.7039	-12.9123	12.1078	-13.0765	12.0752	-2.5417	2.14696	-4.00766	3.86745	-10.7365	9.62096	-5.93292	5.17183	-4.80344	4.73401	-5.87018	0.948676	3.2331	-10.7365	9.62096	-12.8279	11.2914	-8.51	2.0361	3.00634	3.94888	-110.725	109.144	-16.3716	12.6676	-5.18	3.94398	0.85736	1.77667	-0.428639	0.494606
38	0.243347	0.0122611	0.524432	0.072518	0.416007	0.00376065	1.08526	1.12233	0.0119082	0.0404832	0.399378	1.0173	0.117894	2.37163	1.12233	0.019389	0.117116	0.890487	0.647047	0.451024	0.200783	0.564438	0.248374	0.0731386	0.171567	0.540498	0.441093	0.238202	-4.46961	5.46532	-4.33906	4.72716	-1.25747	1.21916	-1.42491	1.92988	-9.68191	9.67457	-5.80474	5.58017	-11.8546	11.6918	-23.3835	23.2994	-13.0603	12.4863	-13.4852	12.6644	-2.74613	2.30333	-4.29955	4.17148	-11.3507	10.3296	-6.36989	5.49163	-5.0474	4.93049	-6.11381	0.965566	3.292	-11.3507	10.3296	-13.7727	11.9771	-8.74	2.13727	3.0564	3.99979	-114.594	113.678	-17.0517	13.4514	-5.32	4.07068	0.896022	1.92248	-0.437692	0.496683
39	0.23491	0.01313	0.558957	0.105477	0.454617	0.00759334	1.11182	0.919437	0.026669	0.0342395	0.221034	0.55582	0.0994146	2.44594	0.919437	0.0277744	0.0987245	0.711711	0.476951	0.593309	0.160258	0.457057	0.191947	0.0471151	0.166066	0.529481	0.368432	0.26609	-4.48358	5.4709	-4.34534	4.75193	-1.26062	1.2407	-1.56719	1.92988	-9.71548	9.73417	-5.8405	5.67235	-11.9511	11.8957	-23.7913	23.7477	-13.1689	12.7651	-13.7863	13.1443	-2.89702	2.46524	-4.60178	4.47922	-11.764	10.9457	-6.74987	5.84506	-5.30405	5.14853	-6.38418	0.988648	3.37572	-11.764	10.9457	-14.5943	12.7244	-8.97	2.23264	3.11067	4.05319	-116.746	116.292	-17.4437	13.9354	-5.46	4.22316	0.928316	2.0555	-0.457327	0.501558
40	0.231806	0.0137794	0.584371	0.146007	0.484127	0.0144324	1.04223	0.685969	0.0536202	0.0247418	0.109993	0.295876	0.0876254	2.32941	0.685969	0.0410972	0.0829479	0.555058	0.35172	0.698716	0.128156	0.363734	0.14397	0.028364	0.154634	0.474487	0.30774	0.276439	-4.50504	5.47904	-4.35449	4.77287	-1.26297	1.25882	-1.6726	1.92988	-9.73382	9.77126	-5.86275	5.74258	-12.0214	12.0593	-24.1186	24.1071	-13.2493	12.9707	-14.0084	13.523	-2.99337	2.61658	-4.88428	4.77315	-12.0116	11.4269	-7.04657	6.21135	-5.56861	5.38359	-6.67565	1.02081	3.49327	-12.0116	11.4269	-15.2358	13.4824	-9.2	2.32589	3.16789	4.10977	-117.883	117.689	-17.6534	14.1954	-5.6	4.38653	0.95529	2.15939	-0.494756	0.512036
41	0.230665	0.0142787	0.604129	0.184404	0.505145	0.0234922	0.902757	0.487018	0.090156	0.0163197	0.0567579	0.173146	0.0825811	2.07596	0.487018	0.0629982	0.0696721	0.425758	0.258691	0.776803	0.101447	0.287059	0.105218	0.0168679	0.137888	0.403296	0.257046	0.277979	-4.53921	5.49131	-4.3683	4.79172	-1.26491	1.27404	-1.75068	1.92988	-9.74441	9.79334	-5.876	5.79459	-12.0743	12.1889	-24.3777	24.393	-13.3077	13.1222	-14.1719	13.8159	-3.05395	2.74835	-5.13026	5.03587	-12.162	11.7762	-7.26196	6.5662	-5.83729	5.63124	-6.98274	1.06296	3.64814	-12.162	11.7762	-15.7015	14.2016	-9.43	2.41834	3.22735	4.16873	-118.53	118.459	-17.7688	14.3297	-5.74	4.55315	0.977821	2.23043	-0.55065	0.531394
42	0.230244	0.0146754	0.61992	0.212808	0.518213	0.0329398	0.736256	0.343476	0.124925	0.011175	0.0345241	0.119243	0.0855553	1.7637	0.343476	0.0995916	0.0587591	0.322589	0.189597	0.834652	0.0802679	0.227868	0.0755979	0.0106409	0.119643	0.334513	0.214703	0.275367	-4.59494	5.51044	-4.38983	4.81027	-1.26681	1.28685	-1.80853	1.92988	-9.75159	9.80675	-5.88405	5.83225	-12.1175	12.2913	-24.5825	24.619	-13.3499	13.2334	-14.292	14.0391	-3.09565	2.85884	-5.3365	5.26035	-12.2648	12.0226	-7.41391	6.88466	-6.10653	5.88741	-7.30039	1.11354	3.83544	-12.2648	12.0226	-16.0301	14.8424	-9.66	2.51051	3.28858	4.22957	-118.961	118.943	-17.8415	14.4062	-5.88	4.71929	0.99664	2.27749	-0.614948	0.560923
43	0.23009	0.0149958	0.632706	0.230088	0.522889	0.041491	0.578211	0.248752	0.147505	0.00852629	0.0251151	0.0958063	0.0994261	1.45526	0.248752	0.160474	0.0501776	0.242145	0.138753	0.877507	0.0647251	0.186422	0.0539952	0.00761904	0.102413	0.275075	0.179335	0.271046	-4.68642	5.54104	-4.42425	4.83082	-1.26908	1.2977	-1.85139	1.92988	-9.7575	9.81568	-5.88941	5.85921	-12.1583	12.3735	-24.747	24.799	-13.3804	13.3148	-14.38	14.2075	-3.12739	2.95002	-5.5067	5.44779	-12.3457	12.1981	-7.52218	7.15097	-6.37186	6.14807	-7.62361	1.16983	4.04546	-12.3457	12.1981	-16.2642	15.3849	-9.89	2.60257	3.35124	4.2919	-119.298	119.303	-17.8955	14.4582	-6.02	4.88326	1.01236	2.31121	-0.675273	0.598667
44	0.230033	0.0152565	0.643122	0.237843	0.516533	0.0482428	0.446697	0.18901	0.154683	0.00715592	0.020799	0.0858035	0.129085	1.18448	0.18901	0.25906	0.0442107	0.18063	0.102092	0.909255	0.0550964	0.164162	0.0388589	0.00651691	0.0870827	0.225467	0.149793	0.266262	-4.83444	5.59048	-4.47987	4.85678	-1.2725	1.30709	-1.88314	1.92988	-9.76334	9.82262	-5.89357	5.87851	-12.2055	12.4429	-24.8859	24.9475	-13.4035	13.3745	-14.4444	14.3335	-3.15264	3.02487	-5.64643	5.60285	-12.4159	12.328	-7.6023	7.3626	-6.62591	6.40848	-7.94652	1.22922	4.26891	-12.4159	12.328	-16.4374	15.8289	-10.12	2.6946	3.41505	4.35545	-119.594	119.61	-17.9415	14.4993	-6.16	5.04446	1.02549	2.33814	-0.724481	0.640699
45	0.230012	0.0154693	0.651631	0.236451	0.493277	0.0523342	0.345717	0.151135	0.148915	0.00633628	0.0186429	0.0810023	0.181301	0.962162	0.151135	0.409428	0.0418279	0.134607	0.0768818	0.932774	0.0524879	0.166061	0.0287483	0.00681141	0.0735563	0.183626	0.125118	0.261621	-5.06389	5.66956	-4.56883	4.89353	-1.27865	1.31562	-1.90666	1.92988	-9.77018	9.82917	-5.8975	5.89256	-12.2725	12.508	-25.0161	25.0803	-13.4226	13.4188	-14.4923	14.4274	-3.172	3.08607	-5.76067	5.73061	-12.4792	12.4293	-7.66473	7.52601	-6.85597	6.6618	-8.26063	1.28943	4.49772	-12.4792	12.4293	-16.5724	16.1862	-10.35	2.7866	3.4798	4.41999	-119.872	119.893	-17.9839	14.5352	-6.3	5.20281	1.03646	2.36136	-0.761017	0.683002
46	0.230004	0.0156433	0.65859	0.224484	0.446534	0.0530015	0.27153	0.124428	0.13475	0.00563248	0.0172913	0.0759566	0.262662	0.785432	0.124428	0.613715	0.045106	0.101419	0.0619968	0.950198	0.0594674	0.202013	0.022603	0.00846836	0.0614105	0.147596	0.104507	0.257392	-5.39003	5.79142	-4.70592	4.94926	-1.2905	1.3242	-1.92408	1.92988	-9.77936	9.83669	-5.90202	5.90321	-12.3807	12.5803	-25.1607	25.2179	-13.442	13.4531	-14.5293	14.4976	-3.18552	3.13562	-5.85317	5.83526	-12.5348	12.5116	-7.7155	7.65097	-7.04523	6.8978	-8.55327	1.34798	4.72317	-12.5348	12.5116	-16.6822	16.4727	-10.58	2.87861	3.54532	4.48533	-120.135	120.16	-18.024	14.5682	-6.44	5.35849	1.04562	2.38199	-0.786417	0.722567
47	0.230002	0.0157857	0.664285	0.20121	0.377964	0.0499306	0.217549	0.102119	0.116423	0.00478108	0.0159954	0.0678839	0.374063	0.645315	0.102119	0.839346	0.0568233	0.0796814	0.0588921	0.963106	0.0792758	0.281215	0.0197425	0.0115031	0.05045	0.116849	0.0872917	0.253665	-5.79022	5.96597	-4.9023	5.03423	-1.31225	1.33423	-1.93699	1.92988	-9.79228	9.84657	-5.90794	5.912	-12.5551	12.6755	-25.351	25.3884	-13.4685	13.4827	-14.5613	14.5514	-3.19431	3.17516	-5.92696	5.92001	-12.5804	12.5794	-7.75733	7.74678	-7.18347	7.10461	-8.80972	1.40206	4.9348	-12.5804	12.5794	-16.7726	16.7033	-10.81	2.97061	3.61147	4.55135	-120.372	120.406	-18.0608	14.5988	-6.58	5.51178	1.05327	2.39994	-0.80315	0.757626
48	0.231165	0.188899	0.477568	0.169809	0.301419	0.0442164	0.177361	0.0825764	0.0965921	0.00379718	0.0146758	0.0823132	0.506622	0.532474	0.0825764	1.03222	0.0782204	0.0701326	0.0725548	0.955925	0.115441	0.398093	0.0205012	0.0611059	0.0413247	0.0915417	0.0732544	0.250108	-6.21302	6.19591	-5.1573	5.15668	-1.347	1.34758	-1.94651	1.94659	-9.85674	9.86144	-5.91686	5.92016	-12.8069	12.8104	-25.6208	25.6221	-13.5142	13.5147	-14.5959	14.5955	-3.20012	3.20628	-5.98506	5.98723	-12.6161	12.6347	-7.7914	7.82103	-7.27675	7.27443	-9.02029	1.44911	5.12175	-12.6161	12.6347	-16.8463	16.8898	-11.04	3.06142	3.68048	4.63397	-120.604	120.623	-18.0934	14.6266	-6.72	5.66298	1.05966	2.41461	-0.813575	0.787883
49	0.279588	0.590669	0.0194299	0.123894	0.222331	0.0430526	0.13572	0.0673162	0.043308	0.00837914	0.0446815	0.26931	0.806583	0.441006	0.0673162	1.23073	0.113314	0.0837777	0.128863	0.35794	0.334655	0.566879	0.407201	1.02803	0.0522008	0.0714099	0.0931361	0.221719	-7.06441	6.84878	-5.64259	5.34201	-1.40098	1.36646	-1.94684	2.5449	-11.5632	10.601	-6.36059	5.97718	-13.1659	13.0006	-26.0013	25.7833	-13.6179	13.5622	-14.6472	14.6331	-3.2043	3.23059	-6.03044	6.02174	-12.6454	12.6793	-7.8189	7.89018	-7.32862	7.40539	-9.18268	1.49087	5.26626	-12.6454	12.6793	-16.9057	17.0407	-11.27	3.0884	3.69601	4.8294	-121.728	121.561	-18.2341	14.6877	-6.86	5.805	1.06614	2.43322	-0.818944	0.846536
50	0.304247	0.554898	0.0466612	0.0868577	0.156947	0.0317042	0.109625	0.0624529	0.0184618	0.00540406	0.0331134	0.166457	0.990911	0.368444	0.0624529	0.931643	0.15607	0.133171	0.26002	0.131679	0.563269	0.788213	0.773369	0.791461	0.0517711	0.0567658	0.113182	0.206029	-7.35468	7.43814	-6.07915	5.59424	-1.47067	1.3934	-1.94684	2.77116	-12.2637	11.538	-6.92282	6.17325	-13.6582	13.2715	-26.5431	26.0965	-13.8433	13.6563	-14.7489	14.6854	-3.20875	3.24968	-6.06607	6.0578	-12.6789	12.7176	-7.84255	7.93993	-7.35713	7.49929	-9.29912	1.52432	5.37786	-12.6789	12.7176	-16.9569	17.1644	-11.5	3.11773	3.70865	5.00131	-122.336	122.271	-18.3406	14.7577	-7	5.93231	1.07448	2.45597	-0.821712	0.87415
51	0.316492	0.508747	0.0923346	0.0624564	0.113412	0.0233611	0.0952779	0.0689677	0.0091813	0.00320473	0.0292809	0.160805	1.02205	0.316543	0.0689677	0.623175	0.19504	0.233335	0.448575	0.0484419	0.796526	0.97724	0.884292	0.49922	0.0469556	0.0472278	0.124523	0.202759	-7.46311	7.85503	-6.38796	5.87191	-1.54486	1.42862	-1.94684	2.8544	-12.6078	12.1743	-7.3046	6.44411	-14.2021	13.6265	-27.253	26.5731	-14.2074	13.8319	-14.9385	14.7748	-3.21469	3.26516	-6.09497	6.09151	-12.7243	12.7565	-7.86651	7.97823	-7.38034	7.56602	-9.38187	1.54959	5.45737	-12.7243	12.7565	-17.0087	17.2681	-11.73	3.14884	3.73584	5.16124	-122.864	122.805	-18.4207	14.81	-7.14	6.0547	1.08401	2.46888	-0.823211	0.884929
52	0.322573	0.448429	0.152133	0.0454196	0.0880141	0.0153603	0.0914898	0.0883289	0.00466196	0.00278559	0.039136	0.230781	0.951012	0.2876	0.0883289	0.394717	0.22601	0.379313	0.652701	0.0178208	1.00218	1.10666	0.848069	0.332011	0.0417274	0.0425329	0.136697	0.199329	-7.50564	8.12602	-6.58869	6.14368	-1.61809	1.47088	-1.94684	2.88502	-12.846	12.5798	-7.5479	6.72363	-14.7503	14.0453	-28.0905	27.2051	-14.6871	14.1075	-15.2361	14.9264	-3.22333	3.2785	-6.11987	6.12164	-12.7901	12.803	-7.89515	8.01066	-7.40463	7.61572	-9.44349	1.56838	5.51685	-12.7901	12.803	-17.0706	17.359	-11.96	3.18083	3.78444	5.3051	-123.577	123.448	-18.5172	14.8657	-7.28	6.17555	1.09443	2.4777	-0.824079	0.890317
53	0.325593	0.382394	0.214631	0.0341433	0.0768739	0.00891242	0.0994054	0.126011	0.0020157	0.00327586	0.0669592	0.396863	0.829085	0.286035	0.126011	0.243478	0.247323	0.550986	0.837165	0.0065559	1.16029	1.1798	0.764271	0.261878	0.0384574	0.0432664	0.158779	0.188635	-7.52368	8.29531	-6.71409	6.39101	-1.6869	1.51838	-1.94684	2.89629	-13.0668	12.8708	-7.72246	6.98199	-15.2825	14.5043	-29.0086	27.965	-15.2453	14.4812	-15.6397	15.1584	-3.23679	3.29122	-6.14361	6.14865	-12.8909	12.8661	-7.93412	8.04171	-7.43418	7.6564	-9.49394	1.58241	5.56145	-12.8909	12.8661	-17.1548	17.4448	-12.19	3.21326	3.8579	5.42972	-124.777	124.481	-18.6722	14.9495	-7.42	6.29244	1.10615	2.48675	-0.824612	0.893497
54	0.327092	0.321134	0.269278	0.0274377	0.0779149	0.00478933	0.122499	0.190166	0.000629165	0.00449593	0.123349	0.693475	0.69223	0.320238	0.190166	0.148475	0.258158	0.725331	0.984718	0.00241177	1.26544	1.20632	0.682633	0.241056	0.0389095	0.0509383	0.200248	0.16593	-7.53245	8.39908	-6.79096	6.60473	-1.74846	1.56911	-1.94684	2.90043	-13.2952	13.1199	-7.87195	7.21312	-15.7876	14.9829	-29.9658	28.8171	-15.85	14.9384	-16.1335	15.4778	-3.25839	3.30515	-6.16962	6.17421	-13.0485	12.9595	-7.99169	8.07619	-7.47343	7.69461	-9.54132	1.59334	5.59537	-13.0485	12.9595	-17.2793	17.5351	-12.42	3.2459	3.95506	5.53503	-126.892	126.3	-18.945	15.0969	-7.56	6.39947	1.12035	2.49888	-0.824982	0.895253
