Time	[ATP]	[AMP]	[ADP]	[Pyr]	[NADH]	[Lac]
0	16.3	0	0	0	256	0
1	16.2469	0.0512749	0.00180681	6.21525e-05	256	0
2	16.1929	0.100482	0.00657254	0.000273607	255.999	0
3	16.1388	0.147708	0.0134855	0.000599847	255.997	0
4	16.085	0.193039	0.0219208	0.00100794	255.993	0
5	16.032	0.236556	0.0313992	0.00147257	255.987	0
6	15.9801	0.278341	0.0415546	0.00197437	255.978	0
7	15.9294	0.318468	0.052109	0.00249862	255.967	0
8	15.8801	0.35701	0.0628529	0.00303422	255.953	0
9	15.8323	0.394039	0.0736292	0.00357284	255.937	0
10	15.7861	0.429619	0.0843219	0.00410828	255.917	0
11	15.7413	0.463814	0.0948465	0.00463604	255.896	0
12	15.6982	0.496685	0.105142	0.00515289	255.871	0
13	15.6565	0.528288	0.115168	0.00565654	255.844	0
14	15.6164	0.558679	0.124895	0.00614549	255.815	0
15	15.5778	0.587908	0.134306	0.00661878	255.783	0
16	15.5406	0.616025	0.143393	0.0070759	255.748	0
17	15.5048	0.643078	0.152151	0.00751662	255.712	0
18	15.4703	0.66911	0.160584	0.00794098	255.673	0
19	15.4371	0.694164	0.168694	0.00834919	255.633	0
20	15.4052	0.71828	0.176489	0.00874156	255.59	0
21	15.3745	0.741498	0.183978	0.00911851	255.545	0
22	15.345	0.763854	0.19117	0.00948052	255.499	0
23	15.3165	0.785383	0.198075	0.00982809	255.45	0
24	15.2892	0.806117	0.204703	0.0101617	255.4	0
25	15.2628	0.826088	0.211065	0.010482	255.349	0
26	15.2375	0.845328	0.217173	0.0107893	255.296	0
27	15.2131	0.863865	0.223036	0.0110844	255.241	0
28	15.1896	0.881727	0.228664	0.0113677	255.185	0
29	15.167	0.89894	0.234069	0.0116396	255.127	0
30	15.1452	0.91553	0.239258	0.0119007	255.068	0
31	15.1242	0.931521	0.244242	0.0121515	255.008	0
32	15.104	0.946936	0.24903	0.0123924	254.947	0
33	15.0846	0.961797	0.253629	0.0126238	254.884	0
34	15.0658	0.976125	0.258049	0.0128461	254.821	0
35	15.0478	0.989941	0.262296	0.0130597	254.756	0
36	15.0304	1.00326	0.266379	0.013265	254.69	0
37	15.0136	1.01611	0.270304	0.0134624	254.623	0
38	14.9974	1.02851	0.274077	0.0136522	254.555	0
39	14.9818	1.04046	0.277707	0.0138347	254.487	0
40	14.9668	1.05199	0.281197	0.0140102	254.417	0
41	14.9523	1.06311	0.284555	0.0141791	254.347	0
42	14.9384	1.07384	0.287786	0.0143415	254.275	0
43	14.9249	1.0842	0.290896	0.0144979	254.203	0
44	14.9119	1.09418	0.293888	0.0146483	254.13	0
45	14.8994	1.10382	0.296768	0.0147931	254.057	0
46	14.8873	1.11313	0.299541	0.0149325	253.982	0
47	14.8757	1.1221	0.302211	0.0150667	253.907	0
48	14.8645	1.13076	0.304782	0.0151959	253.832	0
49	14.8536	1.13913	0.307258	0.0153204	253.756	0
50	14.8432	1.1472	0.309643	0.0154402	253.679	0
51	14.8331	1.15498	0.311941	0.0155557	253.601	0
52	14.8233	1.1625	0.314154	0.0156669	253.523	0
53	14.814	1.16976	0.316287	0.0157741	253.444	0
54	14.8049	1.17677	0.318342	0.0158774	253.365	0
55	14.7961	1.18353	0.320323	0.0159769	253.286	0
56	14.7877	1.19006	0.322232	0.0160728	253.206	0
57	14.7796	1.19637	0.324072	0.0161653	253.125	0
58	14.7717	1.20246	0.325846	0.0162544	253.044	0
59	14.7641	1.20834	0.327556	0.0163403	252.962	0
60	14.7568	1.21401	0.329205	0.0164232	252.881	0
61	14.7497	1.21949	0.330795	0.0165031	252.798	0
62	14.7429	1.22479	0.332329	0.0165801	252.716	0
63	14.7363	1.2299	0.333808	0.0166544	252.632	0
64	14.7299	1.23483	0.335234	0.016726	252.549	0
65	14.7238	1.2396	0.33661	0.0167952	252.465	0
66	14.7179	1.2442	0.337937	0.0168618	252.381	0
67	14.7121	1.24865	0.339217	0.0169261	252.297	0
68	14.7066	1.25294	0.340452	0.0169882	252.212	0
69	14.7013	1.25709	0.341644	0.017048	252.127	0
70	14.6961	1.2611	0.342794	0.0171058	252.041	0
71	14.6911	1.26496	0.343903	0.0171615	251.956	0
72	14.6863	1.2687	0.344974	0.0172153	251.87	0
73	14.6817	1.27231	0.346007	0.0172672	251.783	0
74	14.6772	1.2758	0.347004	0.0173172	251.697	0
75	14.6729	1.27917	0.347966	0.0173656	251.61	0
76	14.6687	1.28242	0.348895	0.0174122	251.523	0
77	14.6646	1.28557	0.349792	0.0174573	251.436	0
78	14.6607	1.2886	0.350657	0.0175007	251.349	0
79	14.657	1.29154	0.351493	0.0175427	251.261	0
80	14.6533	1.29437	0.352299	0.0175832	251.173	0
81	14.6498	1.29711	0.353078	0.0176223	251.085	0
82	14.6464	1.29975	0.35383	0.01766	250.997	0
83	14.6431	1.30231	0.354555	0.0176965	250.909	0
84	14.64	1.30478	0.355256	0.0177317	250.82	0
85	14.6369	1.30716	0.355933	0.0177656	250.731	0
86	14.6339	1.30947	0.356586	0.0177984	250.643	0
87	14.6311	1.31169	0.357217	0.0178301	250.553	0
88	14.6283	1.31384	0.357826	0.0178607	250.464	0
89	14.6257	1.31592	0.358414	0.0178902	250.375	0
90	14.6231	1.31793	0.358982	0.0179188	250.285	0
91	14.6206	1.31987	0.359531	0.0179463	250.196	0
92	14.6182	1.32175	0.360061	0.0179729	250.106	0
93	14.6159	1.32356	0.360572	0.0179986	250.016	0
94	14.6136	1.32531	0.361067	0.0180234	249.926	0
95	14.6115	1.327	0.361544	0.0180474	249.836	0
96	14.6094	1.32863	0.362005	0.0180705	249.745	0
97	14.6073	1.33021	0.36245	0.0180929	249.655	0
98	14.6054	1.33174	0.36288	0.0181145	249.564	0
99	14.6035	1.33321	0.363296	0.0181353	249.474	0
100	14.6017	1.33464	0.363697	0.0181555	249.383	0
