Time	[Ctelo]	[Utelo]	[Cdc13]	[Rad17Utelo]	[Rad17]	[Rad24]	[RPA]	[Mec1]	[ssDNA]	[RPAssDNA]	[RPAssDNA1]	[RPAssDNA2]	[Mec1RPAssDNA]	[ExoXI]	[ExoXA]	[Exo1I]	[Exo1A]	[Rad9I]	[Rad9A]	[Rad53I]	[Rad53A]	[Chk1I]	[Chk1A]	[Dun1I]	[Dun1A]	[ATP]	[ADP]	[Rad9Kin]	[recovery]	[G1]	[S]	[G2]	[M]	[G1cyclin]	[Scyclin]	[G2cyclin]	[Mcyclin]	[G1CdkI]	[G1CdkA]	[SCdkI]	[SCdkA]	[G2CdkI]	[G2CdkA]	[MCdkI]	[MCdkA]	[G1Soff]	[G1Son]	[SG2off]	[SG2on]	[G2Moff]	[G2Mon]	[MG1off]	[MG1on]	[sink]	[budscar]
14	63.8561	0.143815	300.144	6.54934e-05	69.9999	70	3999.99	4000	0.000240077	6.28353e-07	0.00570767	0.000428101	2.19109e-05	70	4.10335e-05	410.172	259.828	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	2.22129	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
15	63.8533	0.146595	300.147	7.26101e-05	69.9999	70	3999.99	4000	0.000253233	8.80006e-07	0.00654358	0.000567067	3.39032e-05	70	4.59029e-05	396.045	273.955	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	2.37853	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
16	63.8509	0.148987	300.149	7.98534e-05	69.9999	70	3999.99	4000	0.000264932	1.18927e-06	0.00739962	0.000731034	5.03786e-05	69.9999	5.08766e-05	382.404	287.596	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	2.53558	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
17	63.8489	0.151044	300.151	8.72054e-05	69.9999	70	3999.99	4000	0.000275261	1.55862e-06	0.00826871	0.000920499	7.22806e-05	69.9999	5.59399e-05	369.233	300.767	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	2.69244	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
18	63.8471	0.152814	300.153	9.4651e-05	69.9999	70	3999.99	4000	0.000284322	1.98902e-06	0.00914453	0.00113552	0.00010058	69.9999	6.10803e-05	356.516	313.484	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	2.84912	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
19	63.8456	0.154336	300.154	0.000102177	69.9999	70	3999.99	4000	0.000292225	2.48013e-06	0.0100216	0.00137576	0.000136253	69.9999	6.62871e-05	344.236	325.764	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	3.00561	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
20	63.8442	0.155646	300.156	0.000109772	69.9999	70	3999.99	4000	0.000299078	3.03039e-06	0.0108952	0.00164055	0.00018026	69.9999	7.1551e-05	332.38	337.62	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	3.16191	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
21	63.8431	0.156772	300.157	0.000117427	69.9999	70	3999.99	4000	0.000304988	3.63733e-06	0.0117613	0.00192898	0.000233528	69.9999	7.68639e-05	320.932	349.068	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	3.31802	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
22	63.8421	0.157741	300.158	0.000125134	69.9999	70	3999.98	4000	0.000310056	4.29771e-06	0.0126167	0.00223989	0.00029694	69.9999	8.22191e-05	309.878	360.122	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	3.47394	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
23	63.8413	0.158575	300.159	0.000132884	69.9999	70	3999.98	4000	0.000314377	5.00777e-06	0.0134585	0.002572	0.00037132	69.9999	8.76106e-05	299.205	370.795	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	3.62968	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
24	63.8406	0.159292	300.159	0.000140672	69.9999	70	3999.98	4000	0.000318036	5.76337e-06	0.0142848	0.00292391	0.000457431	69.9999	9.30334e-05	288.899	381.101	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	3.78523	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
