Time	[Ctelo]	[Utelo]	[Cdc13]	[Rad17Utelo]	[Rad17]	[Rad24]	[RPA]	[Mec1]	[ssDNA]	[RPAssDNA]	[RPAssDNA1]	[RPAssDNA2]	[Mec1RPAssDNA]	[ExoXI]	[ExoXA]	[Exo1I]	[Exo1A]	[Rad9I]	[Rad9A]	[Rad53I]	[Rad53A]	[Chk1I]	[Chk1A]	[Dun1I]	[Dun1A]	[ATP]	[ADP]	[Rad9Kin]	[recovery]	[G1]	[S]	[G2]	[M]	[G1cyclin]	[Scyclin]	[G2cyclin]	[Mcyclin]	[G1CdkI]	[G1CdkA]	[SCdkI]	[SCdkA]	[G2CdkI]	[G2CdkA]	[MCdkI]	[MCdkA]	[G1Soff]	[G1Son]	[SG2off]	[SG2on]	[G2Moff]	[G2Mon]	[MG1off]	[MG1on]	[sink]	[budscar]
68	63.8358	0.163696	300.164	0.00049218	69.9995	70	3999.93	3999.98	0.00031173	4.34007e-05	0.0338288	0.0222955	0.0185937	69.9997	0.00033891	61.7984	608.202	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	10.4479	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
69	63.8358	0.163697	300.164	0.000500201	69.9995	70	3999.92	3999.98	0.00031107	4.40029e-05	0.034018	0.022652	0.0192929	69.9997	0.000344524	59.6699	610.33	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	10.5953	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
70	63.8358	0.163698	300.164	0.000508222	69.9995	70	3999.92	3999.98	0.00031042	4.45918e-05	0.034201	0.0230026	0.0200017	69.9996	0.000350139	57.6147	612.385	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	10.7425	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
71	63.8358	0.163699	300.164	0.000516244	69.9995	70	3999.92	3999.98	0.000309778	4.51677e-05	0.034378	0.0233473	0.0207198	69.9996	0.000355754	55.6303	614.37	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	10.8895	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
72	63.8358	0.163699	300.164	0.000524265	69.9995	70	3999.92	3999.98	0.000309146	4.57308e-05	0.0345493	0.0236861	0.021447	69.9996	0.000361369	53.7142	616.286	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	11.0364	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
73	63.8358	0.163699	300.164	0.000532286	69.9995	70	3999.92	3999.98	0.000308523	4.62812e-05	0.0347151	0.024019	0.0221831	69.9996	0.000366983	51.8642	618.136	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	11.183	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
74	63.8358	0.1637	300.164	0.000540307	69.9995	70	3999.92	3999.98	0.000307909	4.68193e-05	0.0348754	0.0243461	0.0229279	69.9996	0.000372598	50.0778	619.922	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	11.3295	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
75	63.8358	0.1637	300.164	0.000548328	69.9995	70	3999.92	3999.98	0.000307304	4.73452e-05	0.0350307	0.0246674	0.0236812	69.9996	0.000378213	48.353	621.647	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	11.4758	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
76	63.8357	0.1637	300.164	0.00055635	69.9994	70	3999.92	3999.98	0.000306709	4.78592e-05	0.0351809	0.024983	0.0244429	69.9996	0.000383828	46.6876	623.312	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	11.622	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
77	63.8357	0.163701	300.164	0.000564371	69.9994	70	3999.91	3999.97	0.000306123	4.83615e-05	0.0353263	0.025293	0.0252127	69.9996	0.000389443	45.0795	624.92	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	11.7679	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
78	63.8357	0.163701	300.164	0.000572392	69.9994	70	3999.91	3999.97	0.000305546	4.88523e-05	0.035467	0.0255973	0.0259904	69.9996	0.000395057	43.5269	626.473	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	11.9137	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
79	63.8357	0.163701	300.164	0.000580413	69.9994	70	3999.91	3999.97	0.000304979	4.93317e-05	0.0356033	0.0258961	0.0267759	69.9996	0.000400672	42.0277	627.972	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	12.0594	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
80	63.8357	0.163701	300.164	0.000588435	69.9994	70	3999.91	3999.97	0.00030442	4.98001e-05	0.0357352	0.0261894	0.0275689	69.9996	0.000406287	40.5801	629.42	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	12.2048	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
81	63.8357	0.163701	300.164	0.000596456	69.9994	70	3999.91	3999.97	0.000303871	5.02577e-05	0.0358629	0.0264773	0.0283694	69.9996	0.000411902	39.1824	630.818	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	12.3501	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
82	63.8357	0.163701	300.164	0.000604477	69.9994	70	3999.91	3999.97	0.000303331	5.07047e-05	0.0359866	0.0267599	0.0291771	69.9996	0.000417517	37.8329	632.167	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	12.4952	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
83	63.8357	0.163701	300.164	0.000612499	69.9994	70	3999.91	3999.97	0.000302801	5.11413e-05	0.0361064	0.0270371	0.0299919	69.9996	0.000423132	36.5298	633.47	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	12.6401	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
84	63.8357	0.163701	300.164	0.00062052	69.9994	70	3999.91	3999.97	0.000302279	5.15677e-05	0.0362224	0.0273091	0.0308136	69.9996	0.000428746	35.2716	634.728	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	12.7848	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
85	63.8357	0.163701	300.164	0.000628541	69.9994	70	3999.9	3999.97	0.000301766	5.19841e-05	0.0363348	0.027576	0.031642	69.9996	0.000434361	34.0568	635.943	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	12.9294	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
86	63.8357	0.163701	300.164	0.000636563	69.9994	70	3999.9	3999.97	0.000301262	5.23907e-05	0.0364436	0.0278378	0.032477	69.9996	0.000439976	32.8837	637.116	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	13.0738	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
87	63.8357	0.163702	300.164	0.000644584	69.9994	70	3999.9	3999.97	0.000300767	5.27878e-05	0.036549	0.0280945	0.0333184	69.9996	0.000445591	31.7511	638.249	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	13.218	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
88	63.8356	0.163702	300.164	0.000652605	69.9993	70	3999.9	3999.97	0.00030028	5.31756e-05	0.0366512	0.0283464	0.0341661	69.9995	0.000451206	30.6575	639.342	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	13.3621	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
89	63.8356	0.163702	300.164	0.000660626	69.9993	70	3999.9	3999.96	0.000299802	5.35543e-05	0.0367501	0.0285933	0.03502	69.9995	0.000456821	29.6016	640.398	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	13.5059	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
90	63.8356	0.163702	300.164	0.000668648	69.9993	70	3999.9	3999.96	0.000299333	5.3924e-05	0.036846	0.0288355	0.0358798	69.9995	0.000462435	28.582	641.418	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	13.6497	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
91	63.8356	0.163702	300.164	0.000676669	69.9993	70	3999.9	3999.96	0.000298872	5.42849e-05	0.0369389	0.0290729	0.0367455	69.9995	0.00046805	27.5976	642.402	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	13.7932	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
92	63.8356	0.163702	300.164	0.00068469	69.9993	70	3999.9	3999.96	0.000298419	5.46374e-05	0.0370289	0.0293057	0.0376169	69.9995	0.000473665	26.647	643.353	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	13.9366	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
93	63.8356	0.163702	300.164	0.000692712	69.9993	70	3999.89	3999.96	0.000297975	5.49815e-05	0.0371162	0.0295339	0.0384938	69.9995	0.00047928	25.7292	644.271	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	14.0797	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
94	63.8356	0.163702	300.164	0.000700733	69.9993	70	3999.89	3999.96	0.000297539	5.53174e-05	0.0372008	0.0297576	0.0393762	69.9995	0.000484895	24.8431	645.157	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	14.2228	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
95	63.8356	0.163702	300.164	0.000708754	69.9993	70	3999.89	3999.96	0.00029711	5.56454e-05	0.0372827	0.0299768	0.0402639	69.9995	0.00049051	23.9874	646.013	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	14.3656	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
96	63.8356	0.163702	300.164	0.000716776	69.9993	70	3999.89	3999.96	0.00029669	5.59656e-05	0.0373622	0.0301917	0.0411568	69.9995	0.000496124	23.1612	646.839	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	14.5083	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
97	63.8356	0.163702	300.164	0.000724797	69.9993	70	3999.89	3999.96	0.000296277	5.62782e-05	0.0374392	0.0304023	0.0420548	69.9995	0.000501739	22.3635	647.637	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	14.6508	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
98	63.8356	0.163702	300.164	0.000732818	69.9993	70	3999.89	3999.96	0.000295872	5.65834e-05	0.0375139	0.0306087	0.0429576	69.9995	0.000507354	21.5932	648.407	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	14.7931	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
99	63.8356	0.163702	300.164	0.000740839	69.9993	70	3999.89	3999.96	0.000295474	5.68813e-05	0.0375863	0.030811	0.0438654	69.9995	0.000512969	20.8495	649.151	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	14.9353	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
100	63.8355	0.163701	300.164	0.000748861	69.9993	70	3999.89	3999.96	0.000295084	5.71721e-05	0.0376565	0.0310091	0.0447778	69.9995	0.000518584	20.1313	649.869	20	0	6900	0	60	0	3000	0	10000	1000	0	0	1	0	0	0	15.0773	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0
