Time	[II_f]	[II_l]	[mIIa_f]	[mIIa_l]	[V_f]	[V_l]	[Va_f]	[Va_l]	[VII_f]	[VII_l]	[VIIa_f]	[VIIa_l]	[VIII_f]	[VIII_l]	[VIIIa_f]	[VIIIa_l]	[IX_f]	[IX_l]	[IXa_f]	[IXa_l]	[X_f]	[X_l]	[Xa_f]	[Xa_l]	[APC_f]	[APC_l]	[PS_f]	[PS_l]	[VIIIai_f]	[VIIIai_l]	[Vai_f]	[Vai_l]	[PC_f]	[PC_l]	[TF_l]	[TF_VIIa_l]	[TF_VII_l]	[TF_VIIa_IX_l]	[TF_VIIa_IXa_l]	[TF_VIIa_X_l]	[TF_VIIa_Xa_l]	[TF_VII_Xa_l]	[IXa_VIIIa_l]	[Xa_Va_l]	[IXa_VIIIa_X_l]	[V_Xa_l]	[VIII_Xa_l]	[IIa_f]	[V_IIa_l]	[VIII_IIa_l]	[Xa_Va_II_l]	[Xa_Va_mIIa_l]	[XI_f]	[XI_IIa_l]	[XIa_l]	[APC_PS_l]	[APC_PS_VIIIa_l]	[TFPI_f]	[AT_f]	[IIa_AT_f]	[TFPI_Xa_l]	[TFPI_Xa_TF_VIIa_l]	[APC_PS_Va_l]	[IXa_AT_f]	[Xa_AT_f]	[VII_Xa_l]	[V_mIIa_l]	[VIII_mIIa_l]	[TM_l]	[IIa_TM_l]	[IIa_TM_PC_l]	[mIIa_AT_l]	[XIa_IX_l]	[LIPID]	[alpha2M_l]	[alpha2M_IIa_l]	[alpha2M_Xa_l]	[AT_XIa_l]
10	583.671	816.329	9.2307e-09	3.29387e-07	0.176734	19.8222	1.14202e-06	0.000126638	0.389935	9.60831	0.00135863	0.097335	0.00427785	0.695704	2.66069e-08	1.31543e-06	0.631942	89.3673	3.55543e-06	0.000508291	62.6861	107.312	0.000195653	0.000572695	3.31997e-10	1.61528e-09	3.64455	296.355	8.62562e-18	4.52191e-16	3.71296e-16	4.33578e-14	24.8533	35.1467	0.00194591	0.000732929	0.00150221	0.000263098	0	0.000230948	0.000324902	7.14172e-10	6.21891e-11	3.63379e-08	3.41059e-11	0.000918478	1.72778e-05	3.82688e-08	9.7158e-09	1.73639e-10	2.61254e-08	4.16499e-09	30	9.51634e-09	1.30994e-08	3.58779e-08	1.48684e-15	2.49997	3400	1.19621e-09	2.73554e-05	4.41296e-10	1.42566e-13	2.07621e-08	5.35258e-06	4.57229e-06	7.55416e-08	1.4915e-09	1	2.65972e-08	8.72591e-09	2.75503e-10	4.92368e-09	32525.9	2600	3.34827e-10	2.49148e-06	1.20196e-10
11	583.671	816.329	1.72859e-08	6.14272e-07	0.176733	19.822	1.53304e-06	0.000169703	0.389929	9.60816	0.00135846	0.0973241	0.00427782	0.6957	3.53246e-08	1.74321e-06	0.631941	89.3672	4.19937e-06	0.000599675	62.686	107.311	0.00023094	0.000674674	6.8493e-10	3.3167e-09	3.64455	296.355	2.94768e-17	1.53323e-15	1.28373e-15	1.48855e-13	24.8533	35.1467	0.0017775	0.000771923	0.00158385	0.000278033	0	0.00024329	0.000345408	8.87463e-10	1.0607e-10	6.06507e-08	5.83466e-11	0.00110146	2.05331e-05	6.92678e-08	1.77414e-08	3.15684e-10	4.36281e-08	6.96037e-09	30	1.73224e-08	2.63509e-08	7.89213e-08	4.51229e-15	2.49996	3400	2.41615e-09	3.58703e-05	6.78043e-10	4.37755e-13	2.72168e-08	7.01934e-06	5.38804e-06	1.42042e-07	2.79425e-09	1	5.17442e-08	1.71e-08	5.75408e-10	1.02637e-08	32525.9	2600	6.76296e-10	3.26732e-06	2.69409e-10
12	583.671	816.329	3.03749e-08	1.07572e-06	0.17673	19.8218	1.99808e-06	0.000220867	0.389923	9.608	0.00135858	0.0973335	0.0042778	0.695696	4.56219e-08	2.24796e-06	0.631941	89.3671	4.87749e-06	0.000695866	62.6858	107.311	0.000267994	0.000781666	1.31389e-09	6.3376e-09	3.64455	296.355	8.89063e-17	4.59458e-15	3.90988e-15	4.50745e-13	24.8533	35.1467	0.00162515	0.000807337	0.0016574	0.000291594	0	0.000254498	0.00036402	1.07634e-09	1.71604e-10	9.59614e-08	9.46294e-11	0.00129511	2.39619e-05	1.18023e-07	3.04492e-08	5.39839e-10	6.90577e-08	1.1024e-08	30	2.96524e-08	4.94347e-08	1.6018e-07	1.22201e-14	2.49995	3400	4.55038e-09	4.58295e-05	9.99128e-10	1.19707e-12	3.47733e-08	8.96909e-06	6.24397e-06	2.50445e-07	4.91182e-09	1	9.39505e-08	3.1235e-08	1.11717e-09	1.98437e-08	32525.9	2600	1.27368e-09	4.17487e-06	5.57831e-10
13	583.671	816.329	5.06349e-08	1.78808e-06	0.176728	19.8215	2.54154e-06	0.000280609	0.389916	9.60784	0.00135897	0.0973632	0.00427778	0.695692	5.75944e-08	2.83432e-06	0.63194	89.367	5.58666e-06	0.000796423	62.6857	107.311	0.000306623	0.000893133	2.37315e-09	1.14097e-08	3.64455	296.355	2.41958e-16	1.24363e-14	1.07286e-14	1.23082e-12	24.8533	35.1467	0.00148733	0.00083952	0.00172363	0.000303915	0	0.000264684	0.000380922	1.27937e-09	2.65704e-10	1.45268e-07	1.46825e-10	0.0014983	2.75455e-05	1.91294e-07	4.96535e-08	8.77639e-10	1.04578e-07	1.67025e-08	30	4.82482e-08	8.7534e-08	3.04156e-07	3.01325e-14	2.49994	3400	8.08698e-09	5.72992e-05	1.42178e-09	2.97562e-12	4.34859e-08	1.12149e-05	7.13576e-06	4.18681e-07	8.19043e-09	1	1.61113e-07	5.3834e-08	2.04151e-09	3.60548e-08	32525.9	2600	2.2636e-09	5.22022e-06	1.08155e-09
14	583.671	816.329	8.07503e-08	2.84463e-06	0.176726	19.8212	3.16756e-06	0.000349379	0.389909	9.60767	0.00135965	0.0974129	0.00427775	0.695687	7.1337e-08	3.50689e-06	0.631939	89.3668	6.32407e-06	0.000900949	62.6856	107.311	0.000346656	0.00100859	4.07501e-09	1.95379e-08	3.64455	296.355	6.03999e-16	3.09014e-14	2.69678e-14	3.08103e-12	24.8533	35.1467	0.00136263	0.000868784	0.00178324	0.000315114	0	0.000273945	0.00039628	1.4951e-09	3.96469e-10	2.11913e-07	2.19472e-10	0.00170998	3.12673e-05	2.97324e-07	7.75739e-08	1.3676e-09	1.52601e-07	2.43826e-08	30	7.52381e-08	1.4765e-07	5.46111e-07	6.86771e-14	2.49993	3400	1.3688e-08	7.03385e-05	1.96437e-09	6.82728e-12	5.34038e-08	1.37683e-05	8.05949e-06	6.69315e-07	1.3065e-08	1	2.63356e-07	8.83729e-08	3.54499e-09	6.21866e-08	32525.9	2600	3.83136e-09	6.40879e-06	1.98407e-09
15	583.671	816.329	1.24011e-07	4.35948e-06	0.176723	19.8209	3.88016e-06	0.000427614	0.389902	9.6075	0.0013606	0.0974825	0.00427772	0.695683	8.69466e-08	4.2704e-06	0.631938	89.3667	7.08716e-06	0.00100909	62.6854	107.31	0.000387939	0.00112758	6.7026e-09	3.20598e-08	3.64455	296.355	1.40095e-15	7.13903e-14	6.29147e-14	7.16236e-12	24.8533	35.1467	0.00124979	0.000895413	0.00183687	0.000325303	0	0.000282373	0.000410245	1.72215e-09	5.73228e-10	2.99562e-07	3.17802e-10	0.00192925	3.51119e-05	4.45952e-07	1.16867e-07	2.05575e-09	2.15774e-07	3.44887e-08	30	1.13167e-07	2.38966e-07	9.34951e-07	1.46413e-13	2.49991	3400	2.22252e-08	8.49997e-05	2.64624e-09	1.46348e-11	6.45719e-08	1.66398e-05	9.01163e-06	1.03003e-06	2.00687e-08	0.999999	4.13292e-07	1.39194e-07	5.89346e-09	1.02621e-07	32525.9	2600	6.22099e-09	7.74539e-06	3.47191e-09
16	583.671	816.329	1.84367e-07	6.46953e-06	0.17672	19.8206	4.68328e-06	0.000515744	0.389895	9.60731	0.00136183	0.0975717	0.00427769	0.695678	1.04525e-07	5.12978e-06	0.631938	89.3666	7.87366e-06	0.00112052	62.6852	107.31	0.000430331	0.00124973	1.06237e-08	5.07105e-08	3.64455	296.355	3.05053e-15	1.54916e-13	1.37656e-13	1.56229e-11	24.8533	35.1467	0.00114768	0.00091966	0.00188508	0.000334577	0	0.000290046	0.000422951	1.95917e-09	8.06588e-10	4.12195e-07	4.47766e-10	0.00215525	3.90658e-05	6.48723e-07	1.70656e-07	2.99616e-09	2.96969e-07	4.74815e-08	30	1.65025e-07	3.73235e-07	1.53642e-06	2.94765e-13	2.4999	3400	3.48184e-08	0.00010133	3.48762e-09	2.95925e-11	7.70312e-08	1.98386e-05	9.98899e-06	1.53412e-06	2.98416e-08	0.999999	6.2628e-07	2.11596e-07	9.4367e-09	1.63043e-07	32525.9	2600	9.74592e-09	9.23433e-06	5.8332e-09
17	583.671	816.329	2.66483e-07	9.33626e-06	0.176717	19.8203	5.58088e-06	0.000614202	0.389887	9.60711	0.00136334	0.0976806	0.00427766	0.695673	1.2418e-07	6.09036e-06	0.631937	89.3665	8.68149e-06	0.00123495	62.6851	107.31	0.000473707	0.00137467	1.63056e-08	7.76921e-08	3.64455	296.355	6.28877e-15	3.18407e-13	2.84901e-13	3.22471e-11	24.8533	35.1467	0.00105527	0.000941756	0.00192838	0.000343025	0	0.000297038	0.000434519	2.20491e-09	1.1085e-09	5.54096e-07	6.16072e-10	0.00238724	4.31166e-05	9.18985e-07	2.4256e-07	4.2514e-09	3.99279e-07	6.38566e-08	30	2.34273e-07	5.65194e-07	2.43662e-06	5.64756e-13	2.49988	3400	5.28764e-08	0.000119369	4.50944e-09	5.68911e-11	9.08188e-08	2.33728e-05	1.09887e-05	2.22092e-06	4.31398e-08	0.999999	9.20663e-07	3.11916e-07	1.46244e-08	2.50658e-07	32525.9	2600	1.48005e-08	1.08794e-05	9.45938e-09
18	583.671	816.329	3.75789e-07	1.31475e-05	0.176714	19.8199	6.57706e-06	0.000723434	0.389879	9.60691	0.00136511	0.0978088	0.00427763	0.695668	1.46033e-07	7.15796e-06	0.631936	89.3664	9.50882e-06	0.00135212	62.6849	107.309	0.000517952	0.00150207	2.43309e-08	1.15747e-07	3.64455	296.355	1.23592e-14	6.24108e-13	5.61662e-13	6.34222e-11	24.8533	35.1467	0.000971631	0.000961906	0.00196725	0.000350727	0	0.000303414	0.00044506	2.45819e-09	1.49232e-09	7.29845e-07	8.30222e-10	0.00262452	4.72531e-05	1.272e-06	3.3672e-07	5.89304e-09	5.26011e-07	8.41447e-08	30	3.24871e-07	8.32997e-07	3.7458e-06	1.03631e-12	2.49986	3400	7.81398e-08	0.000139155	5.73332e-09	1.04654e-10	1.05969e-07	2.72496e-05	1.20081e-05	3.13626e-06	6.08434e-08	0.999998	1.31799e-06	4.47613e-07	2.20235e-08	3.74431e-07	32525.9	2600	2.18719e-08	1.2684e-05	1.48702e-08
19	583.671	816.329	5.18533e-07	1.81193e-05	0.176711	19.8196	7.67611e-06	0.000843912	0.38987	9.60669	0.00136715	0.0979563	0.0042776	0.695662	1.70215e-07	8.33909e-06	0.631935	89.3662	1.0354e-05	0.0014718	62.6848	107.309	0.000562964	0.00163165	3.54143e-08	1.68237e-07	3.64455	296.355	2.32887e-14	1.17327e-12	1.06086e-12	1.1954e-10	24.8533	35.1467	0.000895922	0.000980297	0.00200211	0.000357754	0	0.000309233	0.000454672	2.71791e-09	1.97291e-09	9.44325e-07	1.09856e-09	0.00286648	5.14652e-05	1.72504e-06	4.57831e-07	8.00217e-09	6.80691e-07	1.08911e-07	30	4.41305e-07	1.19867e-06	5.60244e-06	1.83089e-12	2.49984	3400	1.12727e-07	0.000160718	7.18136e-09	1.85197e-10	1.22512e-07	3.14755e-05	1.30448e-05	4.3329e-06	8.39651e-08	0.999998	1.84325e-06	6.27346e-07	3.23362e-08	5.45333e-07	32525.9	2600	3.1553e-08	1.4651e-05	2.27422e-08
