Time	[II_f]	[II_l]	[mIIa_f]	[mIIa_l]	[V_f]	[V_l]	[Va_f]	[Va_l]	[VII_f]	[VII_l]	[VIIa_f]	[VIIa_l]	[VIII_f]	[VIII_l]	[VIIIa_f]	[VIIIa_l]	[IX_f]	[IX_l]	[IXa_f]	[IXa_l]	[X_f]	[X_l]	[Xa_f]	[Xa_l]	[APC_f]	[APC_l]	[PS_f]	[PS_l]	[VIIIai_f]	[VIIIai_l]	[Vai_f]	[Vai_l]	[PC_f]	[PC_l]	[TF_l]	[TF_VIIa_l]	[TF_VII_l]	[TF_VIIa_IX_l]	[TF_VIIa_IXa_l]	[TF_VIIa_X_l]	[TF_VIIa_Xa_l]	[TF_VII_Xa_l]	[IXa_VIIIa_l]	[Xa_Va_l]	[IXa_VIIIa_X_l]	[V_Xa_l]	[VIII_Xa_l]	[IIa_f]	[V_IIa_l]	[VIII_IIa_l]	[Xa_Va_II_l]	[Xa_Va_mIIa_l]	[XI_f]	[XI_IIa_l]	[XIa_l]	[APC_PS_l]	[APC_PS_VIIIa_l]	[TFPI_f]	[AT_f]	[IIa_AT_f]	[TFPI_Xa_l]	[TFPI_Xa_TF_VIIa_l]	[APC_PS_Va_l]	[IXa_AT_f]	[Xa_AT_f]	[VII_Xa_l]	[V_mIIa_l]	[VIII_mIIa_l]	[TM_l]	[IIa_TM_l]	[IIa_TM_PC_l]	[mIIa_AT_l]	[XIa_IX_l]	[LIPID]	[alpha2M_l]	[alpha2M_IIa_l]	[alpha2M_Xa_l]	[AT_XIa_l]
20	583.671	816.329	7.01832e-07	2.44975e-05	0.176708	19.8192	8.88262e-06	0.000976136	0.389861	9.60646	0.00136946	0.098123	0.00427756	0.695657	1.96877e-07	9.64103e-06	0.631934	89.3661	1.12155e-05	0.00159378	62.6846	107.309	0.000608648	0.00176313	5.04205e-08	2.39223e-07	3.64455	296.355	4.22795e-14	2.12559e-12	1.92911e-12	2.1697e-10	24.8533	35.1467	0.000827386	0.000997099	0.00203334	0.000364171	0	0.000314549	0.000463444	2.98307e-09	2.56674e-09	1.20273e-06	1.43035e-09	0.00311256	5.57438e-05	2.2975e-06	6.1117e-07	1.06699e-08	8.67071e-07	1.38757e-07	30	5.88619e-07	1.6886e-06	8.17762e-06	3.12828e-12	2.49982	3400	1.59181e-07	0.000184088	8.87615e-09	3.16683e-10	1.40477e-07	3.60561e-05	1.40968e-05	5.871e-06	1.13659e-07	0.999997	2.52508e-06	8.61048e-07	4.64199e-08	7.76599e-07	32525.8	2600	4.45559e-08	1.67832e-05	3.39409e-08
21	583.671	816.329	9.3373e-07	3.256e-05	0.176704	19.8188	1.02016e-05	0.00112066	0.389851	9.60622	0.00137204	0.0983087	0.00427753	0.695651	2.26186e-07	1.10721e-05	0.631934	89.366	1.20921e-05	0.00171788	62.6844	107.309	0.00065492	0.00189627	7.03823e-08	3.33558e-07	3.64455	296.355	7.4255e-14	3.72622e-12	3.39133e-12	3.8079e-10	24.8533	35.1467	0.000765341	0.00101246	0.00206128	0.000370037	0	0.00031941	0.000471457	3.25276e-09	3.29207e-09	1.51059e-06	1.83583e-09	0.00336226	6.00806e-05	3.01103e-06	8.0263e-07	1.39978e-08	1.08914e-06	1.74323e-07	30	7.72441e-07	2.33403e-06	1.16796e-05	5.18873e-12	2.49979	3400	2.20523e-07	0.000209289	1.08406e-08	5.25262e-10	1.5989e-07	4.09963e-05	1.51621e-05	7.81854e-06	1.51228e-07	0.999995	3.39599e-06	1.16001e-06	6.5308e-08	1.084e-06	32525.8	2600	6.1726e-08	1.90827e-05	4.95568e-08
22	583.671	816.329	1.22326e-06	4.26183e-05	0.176701	19.8184	1.16385e-05	0.00127807	0.389841	9.60596	0.00137488	0.0985134	0.00427749	0.695645	2.58336e-07	1.26416e-05	0.631933	89.3658	1.29826e-05	0.00184394	62.6843	107.308	0.000701704	0.00203087	9.65215e-08	4.56974e-07	3.64455	296.355	1.26608e-13	6.34274e-12	5.784e-12	6.48471e-10	24.8533	35.1467	0.000709168	0.00102653	0.00208625	0.000375403	0	0.000323859	0.000478783	3.52615e-09	4.16908e-09	1.87379e-06	2.32634e-09	0.00361511	6.44681e-05	3.88968e-06	1.03876e-06	1.8099e-08	1.35115e-06	2.1629e-07	30	9.99024e-07	3.1716e-06	1.63588e-05	8.38174e-12	2.49976	3400	3.00303e-07	0.000236342	1.3098e-08	8.4781e-10	1.80776e-07	4.63004e-05	1.6239e-05	1.02519e-05	1.98137e-07	0.999994	4.49263e-06	1.53696e-06	9.02319e-08	1.48615e-06	32525.8	2600	8.4057e-08	2.15516e-05	7.09456e-08
23	583.671	816.329	1.58049e-06	5.50205e-05	0.176697	19.818	1.31994e-05	0.00144905	0.38983	9.6057	0.00137798	0.0987368	0.00427746	0.695639	2.93545e-07	1.43603e-05	0.631932	89.3657	1.3886e-05	0.00197182	62.6841	107.308	0.000748931	0.00216672	1.30269e-07	6.16183e-07	3.64455	296.355	2.10205e-13	1.05149e-11	9.59952e-12	1.07478e-09	24.8533	35.1467	0.000658307	0.00103941	0.00210852	0.000380318	0	0.000327935	0.000485488	3.80251e-09	5.22013e-09	2.29862e-06	2.91446e-09	0.00387071	6.88995e-05	4.96003e-06	1.3268e-06	2.30983e-08	1.65763e-06	2.65386e-07	30	1.27528e-06	4.24392e-06	2.2513e-05	1.32232e-11	2.49973	3400	4.02659e-07	0.000265265	1.56719e-08	1.33539e-09	2.03156e-07	5.19721e-05	1.73258e-05	1.32563e-05	2.56019e-07	0.999992	5.85599e-06	2.00614e-06	1.22645e-07	2.00478e-06	32525.8	2600	1.12707e-07	2.41916e-05	9.97722e-08
24	583.671	816.329	2.01662e-06	7.01528e-05	0.176693	19.8175	1.48911e-05	0.00163433	0.389819	9.60541	0.00138135	0.098979	0.00427742	0.695632	3.32062e-07	1.62405e-05	0.631931	89.3656	1.48014e-05	0.00210139	62.6839	107.308	0.000796538	0.00230364	1.73288e-07	8.18983e-07	3.64456	296.355	3.40731e-13	1.7021e-11	1.55444e-11	1.73825e-09	24.8533	35.1467	0.000612253	0.00105123	0.00212836	0.000384825	0	0.000331675	0.000491631	4.08115e-09	6.47005e-09	2.79178e-06	3.61411e-09	0.00412867	7.33689e-05	6.25136e-06	1.67474e-06	2.91335e-08	2.01344e-06	3.2239e-07	30	1.60885e-06	5.60017e-06	3.04928e-05	2.0423e-11	2.4997	3400	5.32377e-07	0.000296074	1.85859e-08	2.05758e-09	2.27051e-07	5.80147e-05	1.84212e-05	1.69264e-05	3.2669e-07	0.99999	7.53172e-06	2.58344e-06	1.64247e-07	2.66509e-06	32525.8	2600	1.49016e-07	2.70043e-05	1.3806e-07
25	583.671	816.329	2.54406e-06	8.84431e-05	0.176689	19.817	1.67211e-05	0.00183475	0.389807	9.60512	0.00138497	0.0992397	0.00427738	0.695626	3.74172e-07	1.82959e-05	0.63193	89.3654	1.57281e-05	0.00223255	62.6837	107.307	0.000844469	0.00244147	2.27498e-07	1.07437e-06	3.64456	296.355	5.40458e-13	2.6965e-11	2.46149e-11	2.74947e-09	24.8533	35.1467	0.000570548	0.00106209	0.002146	0.000388962	0	0.000335109	0.000497267	4.36147e-09	7.94643e-09	3.36052e-06	4.4408e-09	0.00438866	7.78705e-05	7.7959e-06	2.09136e-06	3.6356e-08	2.4238e-06	3.88136e-07	30	2.0081e-06	7.29675e-06	4.07074e-05	3.09462e-11	2.49967	3400	6.94957e-07	0.000328783	2.18638e-08	3.10793e-09	2.5248e-07	6.44308e-05	1.95238e-05	2.13673e-05	4.12159e-07	0.999987	9.57043e-06	3.28647e-06	2.17011e-07	3.49608e-06	32525.8	2600	1.94523e-07	2.99908e-05	1.88245e-07
26	583.671	816.329	3.1765e-06	0.000110364	0.176685	19.8166	1.8698e-05	0.00205123	0.389794	9.60481	0.00138885	0.099519	0.00427734	0.695619	4.20195e-07	2.05424e-05	0.631929	89.3653	1.66655e-05	0.00236521	62.6835	107.307	0.000892672	0.00258008	2.95099e-07	1.39265e-06	3.64456	296.355	8.40591e-13	4.18925e-11	3.81957e-11	4.26209e-09	24.8533	35.1467	0.00053278	0.00107208	0.00216164	0.000392765	0	0.000338268	0.000502442	4.64294e-09	9.68001e-09	4.01263e-06	5.41178e-09	0.00465038	8.23994e-05	9.62905e-06	2.58632e-06	4.49321e-08	2.89434e-06	4.63529e-07	30	2.48226e-06	9.39798e-06	5.36314e-05	4.60909e-11	2.49964	3400	8.96683e-07	0.000363402	2.55297e-08	4.61069e-09	2.79463e-07	7.12229e-05	2.06324e-05	2.66948e-05	5.14647e-07	0.999984	1.2028e-05	4.13468e-06	2.83215e-07	4.53096e-06	32525.8	2600	2.50988e-07	3.31523e-05	2.53235e-07
27	583.671	816.328	3.92904e-06	0.000136435	0.17668	19.8161	2.08312e-05	0.00228482	0.389781	9.60449	0.00139299	0.0998166	0.00427729	0.695612	4.70498e-07	2.29977e-05	0.631929	89.3652	1.76131e-05	0.00249932	62.6834	107.307	0.0009411	0.00271931	3.78603e-07	1.78559e-06	3.64456	296.355	1.28426e-12	6.39385e-11	5.81832e-11	6.48636e-09	24.8533	35.1466	0.000498573	0.00108128	0.00217547	0.000396266	0	0.000341178	0.000507201	4.92506e-09	1.17052e-08	4.75655e-06	6.54637e-09	0.00491353	8.6951e-05	1.17896e-05	3.17019e-06	5.50445e-08	3.43114e-06	5.49545e-07	30	3.04143e-06	1.19769e-05	6.9811e-05	6.75858e-11	2.4996	3400	1.1447e-06	0.000399941	2.96076e-08	6.72909e-09	3.08015e-07	7.83928e-05	2.17461e-05	3.30365e-05	6.36601e-07	0.99998	1.49662e-05	5.14952e-06	3.6547e-07	5.80749e-06	32525.8	2600	3.2041e-07	3.64897e-05	3.36474e-07
28	583.671	816.328	4.81828e-06	0.000167231	0.176676	19.8155	2.31315e-05	0.0025367	0.389768	9.60415	0.00139739	0.100133	0.00427725	0.695604	5.25492e-07	2.56822e-05	0.631928	89.365	1.85705e-05	0.00263482	62.6832	107.306	0.000989712	0.00285906	4.8086e-07	2.26653e-06	3.64456	296.355	1.93044e-12	9.60198e-11	8.71435e-11	9.70661e-09	24.8533	35.1466	0.000467589	0.00108976	0.00218767	0.000399493	0	0.000343861	0.000511584	5.20753e-09	1.40605e-08	5.60146e-06	7.86619e-09	0.00517788	9.15212e-05	1.43202e-05	3.85459e-06	6.68931e-08	4.04084e-06	6.47248e-07	30	3.69669e-06	1.5116e-05	8.98714e-05	9.77156e-11	2.49956	3400	1.4471e-06	0.000438408	3.41216e-08	9.67568e-09	3.38155e-07	8.59422e-05	2.28637e-05	4.05332e-05	7.80714e-07	0.999975	1.84526e-05	6.35461e-06	4.66753e-07	7.36847e-06	32525.8	2600	4.05054e-07	4.00038e-05	4.42013e-07
29	583.671	816.328	5.86249e-06	0.00020338	0.176671	19.815	2.56107e-05	0.00280817	0.389753	9.60379	0.00140203	0.100467	0.0042772	0.695596	5.85644e-07	2.86184e-05	0.631927	89.3649	1.95376e-05	0.00277167	62.683	107.306	0.00103847	0.00299922	6.05095e-07	2.85057e-06	3.64456	296.355	2.85898e-12	1.42084e-10	1.28512e-10	1.43033e-08	24.8533	35.1466	0.000439521	0.0010976	0.00219839	0.000402473	0	0.00034634	0.000515627	5.48989e-09	1.67892e-08	6.5574e-06	9.39556e-09	0.00544318	9.61062e-05	1.72674e-05	4.65223e-06	8.06974e-08	4.73068e-06	7.57797e-07	30	4.4602e-06	1.89082e-05	0.000114525	1.39479e-10	2.49952	3400	1.81301e-06	0.000478807	3.90958e-08	1.3725e-08	3.69897e-07	9.38723e-05	2.39845e-05	4.93393e-05	9.49945e-07	0.99997	2.25619e-05	7.77587e-06	5.90449e-07	9.26222e-06	32525.8	2600	5.07475e-07	4.3695e-05	5.7459e-07
30	583.671	816.328	7.08175e-06	0.000245575	0.176666	19.8144	2.82824e-05	0.0031007	0.389738	9.60342	0.00140694	0.100819	0.00427715	0.695588	6.51476e-07	3.18321e-05	0.631926	89.3647	2.05141e-05	0.00290987	62.6828	107.306	0.00108733	0.00313968	7.54941e-07	3.55471e-06	3.64456	296.355	4.17704e-12	2.07426e-10	1.86844e-10	2.07806e-08	24.8532	35.1466	0.000414093	0.00110486	0.00220777	0.000405228	0	0.000348634	0.000519361	5.77173e-09	1.99402e-08	7.63536e-06	1.11619e-08	0.00570923	0.000100703	2.06824e-05	5.57707e-06	9.6698e-08	5.50859e-06	8.82465e-07	30	5.34528e-06	2.34578e-05	0.000144579	1.96785e-10	2.49948	3400	2.25269e-06	0.000521144	4.45545e-08	1.9229e-08	4.03259e-07	0.000102184	2.51077e-05	5.96247e-05	1.14755e-06	0.999963	2.73757e-05	9.4418e-06	7.40386e-07	1.15431e-05	32525.8	2600	6.30544e-07	4.75639e-05	7.39711e-07
31	583.671	816.328	8.49811e-06	0.000294577	0.17666	19.8138	3.11615e-05	0.00341596	0.389723	9.60304	0.00141209	0.101189	0.0042771	0.69558	7.23577e-07	3.53519e-05	0.631925	89.3646	2.15002e-05	0.00304941	62.6826	107.305	0.00113628	0.00328035	9.34481e-07	4.39807e-06	3.64456	296.355	6.02734e-12	2.99095e-10	2.68126e-10	2.98009e-08	24.8532	35.1466	0.000391053	0.00111159	0.00221594	0.000407781	0	0.000350761	0.000522816	6.05292e-09	2.35686e-08	8.84742e-06	1.3196e-08	0.00597584	0.000105307	2.46215e-05	6.64442e-06	1.15159e-07	6.3833e-06	1.02265e-06	29.9999	6.36655e-06	2.88818e-05	0.000180947	2.74709e-10	2.49943	3400	2.77765e-06	0.000565421	5.05217e-08	2.66367e-08	4.38256e-07	0.000110878	2.62324e-05	7.1576e-05	1.3771e-06	0.999956	3.2984e-05	1.13836e-05	9.20881e-07	1.42719e-05	32525.8	2600	7.77482e-07	5.16109e-05	9.43751e-07
32	583.671	816.328	1.01358e-05	0.000351221	0.176655	19.8132	3.42648e-05	0.00375576	0.389707	9.60264	0.00141749	0.101577	0.00427705	0.695571	8.02606e-07	3.92102e-05	0.631924	89.3644	2.2496e-05	0.00319033	62.6824	107.305	0.00118527	0.00342116	1.14829e-06	5.40203e-06	3.64456	296.355	8.5984e-12	4.26397e-10	3.80158e-10	4.22268e-08	24.8532	35.1465	0.000370173	0.00111784	0.00222302	0.00041015	0	0.000352737	0.00052602	6.33311e-09	2.77367e-08	1.02069e-05	1.5533e-08	0.00624284	0.000109917	2.91462e-05	7.87108e-06	1.3637e-07	7.36444e-06	1.1799e-06	29.9999	7.54008e-06	3.53105e-05	0.000224656	3.79795e-10	2.49939	3400	3.40075e-06	0.000611641	5.70217e-08	3.65169e-08	4.74903e-07	0.000119956	2.73581e-05	8.53982e-05	1.64253e-06	0.999947	3.94851e-05	1.36357e-05	1.13679e-06	1.7517e-05	32525.8	2600	9.51893e-07	5.58361e-05	1.19404e-06
33	583.672	816.328	1.20215e-05	0.000416428	0.176649	19.8125	3.7611e-05	0.00412218	0.38969	9.60223	0.00142314	0.101983	0.00427699	0.695562	8.893e-07	4.34429e-05	0.631923	89.3643	2.35017e-05	0.00333265	62.6822	107.305	0.00123429	0.00356202	1.40148e-06	6.59054e-06	3.64456	296.355	1.21382e-11	6.01571e-10	5.33046e-10	5.91757e-08	24.8532	35.1465	0.000351248	0.00112366	0.0022291	0.000412354	0	0.000354575	0.000528995	6.61212e-09	3.25153e-08	1.17286e-05	1.82126e-08	0.00651006	0.00011453	3.43245e-05	9.27554e-06	1.6065e-07	8.46265e-06	1.35591e-06	29.9999	8.88351e-06	4.28897e-05	0.00027686	5.20467e-10	2.49934	3400	4.13638e-06	0.000659803	6.40786e-08	4.95883e-08	5.13218e-07	0.000129416	2.8484e-05	0.000101317	1.94815e-06	0.999937	4.69872e-05	1.62356e-05	1.39355e-06	2.13544e-05	32525.8	2600	1.1578e-06	6.02397e-05	1.49901e-06
34	583.672	816.328	1.41846e-05	0.000491208	0.176643	19.8119	4.12211e-05	0.0045175	0.389673	9.6018	0.00142904	0.102407	0.00427693	0.695552	9.84484e-07	4.80904e-05	0.631922	89.3641	2.45178e-05	0.00347645	62.6821	107.304	0.0012833	0.00370287	1.69977e-06	7.9903e-06	3.64456	296.355	1.69706e-11	8.40596e-10	7.39796e-10	8.2085e-08	24.8532	35.1465	0.000334092	0.00112908	0.00223428	0.000414408	0	0.000356291	0.000531763	6.88977e-09	3.79846e-08	1.34289e-05	2.12797e-08	0.00677736	0.000119143	4.02308e-05	1.08781e-05	1.88349e-07	9.68973e-06	1.55259e-06	29.9999	1.04163e-05	5.17815e-05	0.00033885	7.07511e-10	2.49929	3400	5.00056e-06	0.000709907	7.17166e-08	6.6754e-08	5.53217e-07	0.00013926	2.96097e-05	0.00011958	2.29873e-06	0.999925	5.56093e-05	1.92248e-05	1.69727e-06	2.5869e-05	32525.8	2600	1.39969e-06	6.48217e-05	1.86827e-06
35	583.672	816.328	1.66573e-05	0.000576676	0.176637	19.8111	4.51182e-05	0.00494428	0.389655	9.60135	0.00143519	0.102848	0.00427687	0.695542	1.08907e-06	5.31974e-05	0.631921	89.364	2.55448e-05	0.00362181	62.6819	107.304	0.00133229	0.00384364	2.04951e-06	9.63108e-06	3.64456	296.355	2.35161e-11	1.16422e-09	1.01703e-09	1.12791e-07	24.8531	35.1464	0.000318536	0.00113416	0.00223865	0.000416326	0	0.000357894	0.000534346	7.16589e-09	4.42359e-08	1.53258e-05	2.47855e-08	0.0070446	0.000123755	4.69475e-05	1.27011e-05	2.19854e-07	1.10588e-05	1.77202e-06	29.9999	1.21597e-05	6.21662e-05	0.000412072	9.54687e-10	2.49924	3400	6.01113e-06	0.000761952	7.99597e-08	8.91451e-08	5.94917e-07	0.000149487	3.07347e-05	0.000140461	2.69949e-06	0.999912	6.5482e-05	2.26488e-05	2.05474e-06	3.11551e-05	32525.8	2600	1.68256e-06	6.95821e-05	2.31277e-06
36	583.672	816.327	1.94752e-05	0.000674061	0.17663	19.8104	4.93285e-05	0.00540535	0.389636	9.60089	0.00144158	0.103307	0.00427681	0.695531	1.2041e-06	5.88141e-05	0.63192	89.3638	2.65836e-05	0.00376882	62.6817	107.304	0.00138123	0.00398427	2.4578e-06	1.1546e-05	3.64456	296.355	3.23206e-11	1.59934e-09	1.38597e-09	1.53639e-07	24.8531	35.1464	0.000304427	0.00113891	0.00224229	0.000418122	0	0.000359396	0.000536759	7.44034e-09	5.13732e-08	1.74397e-05	2.87884e-08	0.00731166	0.000128362	5.45651e-05	1.47693e-05	2.5559e-07	1.25844e-05	2.01655e-06	29.9999	1.41375e-05	7.42443e-05	0.000498137	1.27955e-09	2.49918	3400	7.18796e-06	0.000815937	8.88321e-08	1.18177e-07	6.38339e-07	0.000160097	3.18584e-05	0.00016426	3.15621e-06	0.999897	7.67491e-05	2.65576e-05	2.47357e-06	3.73179e-05	32525.8	2600	2.01196e-06	7.45207e-05	2.84496e-06
37	583.672	816.327	2.26777e-05	0.000784716	0.176623	19.8096	5.38806e-05	0.0059039	0.389617	9.60041	0.00144822	0.103784	0.00427674	0.69552	1.33069e-06	6.49961e-05	0.631919	89.3637	2.7635e-05	0.00391763	62.6815	107.303	0.0014301	0.0041247	2.93252e-06	1.3772e-05	3.64456	296.355	4.40869e-11	2.18062e-09	1.87351e-09	2.07598e-07	24.8531	35.1463	0.000291627	0.00114338	0.00224525	0.000419807	0	0.000360807	0.000539021	7.71298e-09	5.9515e-08	1.9793e-05	3.33549e-08	0.00757842	0.000132964	6.31837e-05	1.71099e-05	2.96027e-07	1.42829e-05	2.28879e-06	29.9998	1.63756e-05	8.82384e-05	0.000598843	1.70434e-09	2.49913	3400	8.5531e-06	0.000871856	9.83579e-08	1.55613e-07	6.83501e-07	0.000171089	3.29804e-05	0.00019131	3.67524e-06	0.999879	8.9569e-05	3.10063e-05	2.96222e-06	4.4474e-05	32525.7	2600	2.39407e-06	7.96373e-05	3.47894e-06
38	583.672	816.327	2.63081e-05	0.000910138	0.176616	19.8088	5.88067e-05	0.00644342	0.389597	9.59992	0.0014551	0.104278	0.00427667	0.695508	1.47013e-06	7.18054e-05	0.631918	89.3635	2.87e-05	0.00406839	62.6813	107.303	0.0014789	0.00426489	3.48241e-06	1.63499e-05	3.64456	296.355	5.97172e-11	2.95252e-09	2.51359e-09	2.78416e-07	24.853	35.1462	0.00028001	0.00114758	0.00224762	0.000421392	0	0.000362136	0.000541144	7.98371e-09	6.87964e-08	2.24108e-05	3.85606e-08	0.00784478	0.000137558	7.29141e-05	1.97529e-05	3.41685e-07	1.61722e-05	2.59163e-06	29.9998	1.89028e-05	0.000104396	0.000716189	2.25725e-09	2.49907	3400	1.01311e-05	0.000929708	1.08561e-07	2.03643e-07	7.30426e-07	0.000182463	3.41002e-05	0.000221976	4.26362e-06	0.99986	0.000104116	3.60558e-05	3.53012e-06	5.27529e-05	32525.7	2600	2.83576e-06	8.49317e-05	4.23065e-06
39	583.672	816.327	3.04142e-05	0.00105198	0.176608	19.8079	6.41424e-05	0.00702784	0.389576	9.59941	0.00146221	0.104789	0.00427659	0.695495	1.62381e-06	7.93109e-05	0.631917	89.3633	2.97801e-05	0.00422128	62.6811	107.302	0.00152759	0.00440479	4.1172e-06	1.93252e-05	3.64456	296.355	8.03665e-11	3.97197e-09	3.34894e-09	3.70813e-07	24.853	35.1461	0.000269464	0.00115156	0.00224943	0.000422887	0	0.00036339	0.000543143	8.25243e-09	7.93715e-08	2.53211e-05	4.44921e-08	0.00811062	0.000142144	8.38785e-05	2.27318e-05	3.93139e-07	1.82727e-05	2.92831e-06	29.9998	2.1751e-05	0.00012299	0.000852398	2.9739e-09	2.49901	3400	1.19491e-05	0.000989488	1.19465e-07	2.64991e-07	7.79138e-07	0.000194219	3.52175e-05	0.000256665	4.9291e-06	0.999838	0.000120584	4.17732e-05	4.18776e-06	6.22984e-05	32525.7	2600	3.34463e-06	9.04036e-05	5.11804e-06
40	583.672	816.326	3.50493e-05	0.00121207	0.176599	19.8069	6.99273e-05	0.00766149	0.389555	9.59888	0.00146957	0.105317	0.0042765	0.695481	1.79331e-06	8.75891e-05	0.631916	89.3632	3.08767e-05	0.00437652	62.6809	107.302	0.00157616	0.00454434	4.84769e-06	2.27484e-05	3.64456	296.354	1.0751e-10	5.31163e-09	4.43325e-09	4.90711e-07	24.8529	35.146	0.000259884	0.00115531	0.00225075	0.0004243	0	0.000364577	0.00054503	8.51906e-09	9.14168e-08	2.85554e-05	5.12482e-08	0.00837586	0.000146718	9.62128e-05	2.60832e-05	4.51026e-07	2.0607e-05	3.30247e-06	29.9998	2.49554e-05	0.000144325	0.00100994	3.89927e-09	2.49895	3400	1.40373e-05	0.00105119	1.31095e-07	3.43031e-07	8.29662e-07	0.000206354	3.63319e-05	0.000295823	5.68029e-06	0.999813	0.000139186	4.82326e-05	4.94678e-06	7.32699e-05	32525.7	2600	3.92915e-06	9.60524e-05	6.16135e-06
41	583.672	816.326	4.0272e-05	0.00139244	0.176591	19.8059	7.62054e-05	0.00834919	0.389534	9.59834	0.00147717	0.105862	0.00427642	0.695466	1.98036e-06	9.67249e-05	0.631915	89.363	3.19915e-05	0.00453436	62.6807	107.302	0.0016246	0.0046835	5.68586e-06	2.66756e-05	3.64455	296.354	1.43025e-10	7.06403e-09	5.83373e-09	6.45531e-07	24.8528	35.1459	0.000251179	0.00115888	0.00225163	0.00042564	0	0.000365703	0.000546816	8.78352e-09	1.05134e-07	3.21484e-05	5.89421e-08	0.0086404	0.00015128	0.000110067	2.98482e-05	5.16051e-07	2.32003e-05	3.71815e-06	29.9997	2.85553e-05	0.00016874	0.00119156	5.08989e-09	2.49889	3400	1.64293e-05	0.00111481	1.43474e-07	4.41941e-07	8.82029e-07	0.000218869	3.7443e-05	0.000339947	6.52669e-06	0.999784	0.000160157	5.5516e-05	5.82013e-06	8.58444e-05	32525.7	2600	4.59869e-06	0.000101878	7.38331e-06
42	583.672	816.326	4.61474e-05	0.00159534	0.176581	19.8048	8.30254e-05	0.00909629	0.389511	9.59778	0.00148501	0.106425	0.00427632	0.695451	2.1869e-06	0.000106813	0.631914	89.3628	3.31266e-05	0.00469508	62.6805	107.301	0.00167289	0.00482223	6.64501e-06	3.11689e-05	3.64455	296.354	1.89296e-10	9.34655e-09	7.63428e-09	8.44531e-07	24.8527	35.1458	0.000243263	0.00116228	0.00225209	0.000426914	0	0.000366775	0.000548511	9.04574e-09	1.20754e-07	3.61395e-05	6.77032e-08	0.00890415	0.000155827	0.000125609	3.40721e-05	5.88999e-07	2.60807e-05	4.17987e-06	29.9997	3.25939e-05	0.000196606	0.00140031	6.61691e-09	2.49882	3400	1.91623e-05	0.00118034	1.56626e-07	5.6689e-07	9.36269e-07	0.000231763	3.85505e-05	0.000389586	7.47884e-06	0.999753	0.000183758	6.37142e-05	6.82222e-06	0.000100218	32525.7	2600	5.36367e-06	0.000107879	8.80944e-06
43	583.672	816.326	5.27478e-05	0.00182325	0.176571	19.8037	9.04415e-05	0.00990874	0.389488	9.59721	0.00149308	0.107004	0.00427622	0.695434	2.41507e-06	0.000117957	0.631913	89.3626	3.42842e-05	0.004859	62.6803	107.301	0.00172102	0.00496048	7.73988e-06	3.62973e-05	3.64455	296.354	2.49343e-10	1.23079e-08	9.93951e-09	1.09926e-06	24.8526	35.1456	0.000236061	0.00116552	0.00225219	0.000428128	0	0.000367798	0.000550123	9.30565e-09	1.38541e-07	4.05723e-05	7.76798e-08	0.00916702	0.00016036	0.000143023	3.88051e-05	6.70738e-07	2.92801e-05	4.69269e-06	29.9996	3.71196e-05	0.000228341	0.00163956	8.56959e-09	2.49875	3400	2.22776e-05	0.00124777	1.70575e-07	7.24264e-07	9.92419e-07	0.000245033	3.9654e-05	0.000445349	8.54845e-06	0.999717	0.000210279	7.2928e-05	7.96901e-06	0.000116609	32525.7	2600	6.23566e-06	0.000114056	1.04683e-05
44	583.671	816.325	6.01534e-05	0.00207895	0.17656	19.8025	9.85139e-05	0.0107931	0.389464	9.59662	0.00150139	0.1076	0.00427611	0.695415	2.66724e-06	0.000130275	0.631912	89.3625	3.54669e-05	0.0050265	62.6802	107.301	0.00176897	0.00509822	8.98684e-06	4.21373e-05	3.64455	296.354	3.26982e-10	1.61361e-08	1.28796e-08	1.42407e-06	24.8525	35.1454	0.000229503	0.00116862	0.00225195	0.000429289	0	0.000368777	0.000551661	9.5632e-09	1.58798e-07	4.54958e-05	8.9042e-08	0.00942892	0.000164876	0.000162516	4.41034e-05	7.62238e-07	3.28335e-05	5.26229e-06	29.9995	4.21859e-05	0.000264404	0.00191307	1.10598e-08	2.49868	3400	2.5821e-05	0.00131709	1.85345e-07	9.21948e-07	1.05052e-06	0.000258679	4.07532e-05	0.000507914	9.74851e-06	0.999677	0.000240041	8.3269e-05	9.27827e-06	0.000135258	32525.7	2600	7.22748e-06	0.000120408	1.2392e-05
45	583.671	816.325	6.84534e-05	0.0023655	0.176549	19.8012	0.000107309	0.0117568	0.38944	9.59602	0.00150993	0.108213	0.00427599	0.695396	2.94607e-06	0.000143894	0.631911	89.3623	3.66776e-05	0.00519799	62.68	107.3	0.00181673	0.0052354	1.04041e-05	4.87739e-05	3.64455	296.353	4.2703e-10	2.10683e-08	1.66162e-08	1.8368e-06	24.8524	35.1452	0.000223528	0.0011716	0.00225141	0.000430401	0	0.000369716	0.000553133	9.81831e-09	1.81875e-07	5.09648e-05	1.01985e-07	0.00968976	0.000169373	0.000184318	5.00291e-05	8.64574e-07	3.67808e-05	5.895e-06	29.9995	4.78526e-05	0.000305306	0.00222501	1.42275e-08	2.49861	3400	2.98434e-05	0.00138831	2.00959e-07	1.16968e-06	1.11061e-06	0.000272699	4.18476e-05	0.000578033	1.10934e-05	0.999632	0.000273401	9.48611e-05	1.07697e-05	0.000156433	32525.7	2600	8.35337e-06	0.000126934	1.46162e-05
