Time	[A]	[R]	[E]	[G]	[A_im]
0	1	0	0	1e+08	0
1	4.03605	842.158	3639.46	1.84678e+06	0
2	2.81175	1475	5787.02	2.18651e+06	0
3	2.17794	1799.89	6671.74	2.61584e+06	0
4	1.84594	1946.35	6955.1	2.76702e+06	0
5	1.65925	1995.61	6956.7	2.78534e+06	0
6	1.54291	1992.1	6828.86	2.74227e+06	0
7	1.46111	1959.48	6644.05	2.67185e+06	0
8	1.39675	1910.53	6436.62	2.59021e+06	0
9	1.34164	1852.38	6222.79	2.50499e+06	0
10	1.29182	1789.22	6010.13	2.41976e+06	0
11	1.2454	1723.62	5802.1	2.33617e+06	0
12	1.20141	1657.24	5600.18	2.25493e+06	0
13	1.15939	1591.16	5404.93	2.17633e+06	0
14	1.11906	1526.14	5216.48	2.10045e+06	0
15	1.08027	1462.65	5034.76	2.02726e+06	0
16	1.04291	1401.05	4859.57	1.9567e+06	0
17	1.00692	1341.53	4690.72	1.8887e+06	0
18	0.972219	1284.22	4527.97	1.82315e+06	0
19	0.938763	1229.19	4371.1	1.75996e+06	0
20	0.906499	1176.44	4219.87	1.69906e+06	0
21	0.87538	1125.96	4074.09	1.64034e+06	0
22	0.845363	1077.72	3933.52	1.58373e+06	0
23	0.816405	1031.64	3797.98	1.52915e+06	0
24	0.788466	987.657	3667.28	1.47651e+06	0
25	0.761509	945.697	3541.22	1.42575e+06	0
26	0.735497	905.677	3419.63	1.37678e+06	0
27	0.710395	867.513	3302.34	1.32955e+06	0
28	0.686169	831.121	3189.2	1.28399e+06	0
29	0.662788	796.419	3080.04	1.24003e+06	0
30	0.640219	763.326	2974.71	1.19762e+06	0
31	0.618435	731.762	2873.08	1.15669e+06	0
32	0.597406	701.653	2775	1.1172e+06	0
33	0.577105	672.926	2680.35	1.07909e+06	0
34	0.557506	645.51	2589	1.0423e+06	0
35	0.538584	619.34	2500.82	1.0068e+06	0
36	0.520314	594.354	2415.71	972533	0
37	0.502673	570.491	2333.56	939453	0
38	0.485639	547.695	2254.25	907520	0
39	0.469191	525.914	2177.68	876691	0
40	0.453307	505.095	2103.76	846928	0
41	0.437968	485.19	2032.38	818191	0
42	0.423154	466.155	1963.47	790445	0
43	0.408847	447.947	1896.93	763654	0
44	0.395029	430.525	1832.67	737784	0
45	0.381684	413.85	1770.62	712802	0
46	0.368793	397.887	1710.7	688678	0
47	0.356343	382.601	1652.83	665380	0
48	0.344317	367.96	1596.95	642880	0
49	0.332701	353.933	1542.97	621149	0
50	0.32148	340.492	1490.84	600161	0
51	0.31064	327.608	1440.49	579890	0
52	0.30017	315.255	1391.86	560311	0
53	0.290054	303.409	1344.88	541399	0
54	0.280283	292.047	1299.51	523131	0
55	0.270842	281.147	1255.68	505486	0
56	0.261722	270.687	1213.34	488441	0
57	0.252912	260.648	1172.44	471975	0
58	0.244399	251.01	1132.92	456069	0
59	0.236175	241.757	1094.76	440702	0
60	0.22823	232.87	1057.88	425858	0
61	0.220553	224.335	1022.26	411517	0
62	0.213135	216.134	987.844	397662	0
63	0.205969	208.254	954.595	384277	0
64	0.199045	200.682	922.472	371345	0
65	0.192354	193.403	891.436	358851	0
66	0.18589	186.405	861.45	346780	0
67	0.179644	179.677	832.479	335117	0
68	0.173608	173.206	804.487	323848	0
69	0.167777	166.983	777.441	312960	0
70	0.162142	160.996	751.309	302441	0
71	0.156697	155.236	726.06	292276	0
72	0.151435	149.694	701.663	282455	0
73	0.146351	144.361	678.089	272965	0
74	0.141438	139.227	655.311	263795	0
75	0.13669	134.286	633.301	254935	0
76	0.132103	129.528	612.033	246373	0
77	0.12767	124.947	591.482	238100	0
78	0.123386	120.536	571.623	230106	0
79	0.119246	116.288	552.434	222381	0
80	0.115245	112.197	533.891	214916	0
81	0.11138	108.255	515.972	207703	0
82	0.107644	104.458	498.657	200733	0
83	0.104033	100.799	481.924	193997	0
84	0.100544	97.2742	465.755	187488	0
85	0.0971728	93.877	450.13	181198	0
86	0.0939145	90.6029	435.03	175119	0
87	0.0907657	87.4472	420.438	169245	0
88	0.0877227	84.4053	406.337	163569	0
89	0.0847819	81.4729	392.71	158083	0
90	0.0819399	78.6457	379.541	152782	0
91	0.0791933	75.9199	366.814	147659	0
92	0.0765389	73.2915	354.515	142708	0
93	0.0739737	70.7568	342.63	137924	0
94	0.0714946	68.3125	331.143	133300	0
95	0.0690987	65.955	320.043	128831	0
96	0.0667832	63.6811	309.315	124513	0
97	0.0645455	61.4877	298.948	120339	0
98	0.0623828	59.3719	288.928	116306	0
99	0.0602927	57.3307	279.245	112408	0
100	0.0582727	55.3615	269.887	108641	0
