Time	[NFkB]	[IKKIkBa]	[IKKIkBaNFkB]	[IKK]	[IkBa]	[IKKIkBb]	[IKKIkBbNFkB]	[IkBb]	[IKKIkBe]	[IKKIkBeNFkB]	[IkBe]	[IkBaNFkB]	[IkBbNFkB]	[IkBeNFkB]	[source]	[IkBat]	[sink]	[NFkBn]	[IkBan]	[IkBanNFkBn]	[IkBbn]	[IkBbnNFkBn]	[IkBbt]	[IkBen]	[IkBenNFkBn]	[IkBet]
17	0.00155587	0.00594818	0.0161217	0.0762339	0.183168	0.000184415	0.000571407	0.0211513	0.000195808	0.000568114	0.0150432	0.063658	0.00858551	0.00594264	1	0.00548691	0	0.000750239	0.192931	0.00165939	0.0218348	0.000342338	0.000636954	0.0155976	0.000244539	0.000454993
18	0.0016276	0.0062311	0.0166509	0.0753444	0.182735	0.000193555	0.000597063	0.0211287	0.0002054	0.000592058	0.0150238	0.0629269	0.00856947	0.00592234	1	0.00548693	0	0.000805041	0.192874	0.0017103	0.0218274	0.000348857	0.000636954	0.0155923	0.000249196	0.000454993
19	0.00169607	0.00650802	0.017149	0.0744937	0.182301	0.000202544	0.000622072	0.0211055	0.000214821	0.00061524	0.015004	0.0622238	0.00855466	0.00590308	1	0.00548694	0	0.000859894	0.19281	0.00176572	0.0218195	0.000355932	0.000636953	0.0155867	0.00025425	0.000454992
20	0.00176134	0.00677913	0.0176178	0.07368	0.181865	0.000211386	0.000646463	0.0210818	0.000224075	0.000637694	0.0149838	0.0615472	0.00854101	0.00588483	1	0.00548696	0	0.000914526	0.192742	0.00182557	0.021811	0.000363559	0.000636953	0.0155806	0.000259699	0.000454992
21	0.00182347	0.00704462	0.0180589	0.0729013	0.181428	0.000220085	0.00067026	0.0210575	0.000233167	0.00065945	0.0149633	0.0608959	0.00852848	0.00586754	1	0.00548698	0	0.000968702	0.192668	0.00188974	0.0218019	0.000371731	0.000636953	0.0155741	0.000265536	0.000454992
22	0.00188255	0.00730463	0.0184737	0.0721559	0.180989	0.000228647	0.000693489	0.0210327	0.000242104	0.000680538	0.0149426	0.0602687	0.00851701	0.00585116	1	0.005487	0	0.00102222	0.192589	0.00195812	0.0217922	0.000380437	0.000636952	0.0155671	0.000271756	0.000454991
23	0.00193867	0.00755934	0.0188637	0.0714422	0.18055	0.000237075	0.000716172	0.0210075	0.000250888	0.000700988	0.0149215	0.0596645	0.00850655	0.00583564	1	0.00548702	0	0.0010749	0.192505	0.00203056	0.0217819	0.000389666	0.000636952	0.0155598	0.000278348	0.000454991
24	0.00199194	0.00780891	0.0192303	0.0707587	0.18011	0.000245374	0.000738332	0.0209819	0.000259526	0.000720825	0.0149001	0.0590821	0.00849705	0.00582095	1	0.00548704	0	0.0011266	0.192415	0.00210691	0.0217711	0.000399404	0.000636952	0.0155521	0.000285304	0.00045499
25	0.00204246	0.00805348	0.0195746	0.0701038	0.17967	0.000253547	0.000759989	0.0209558	0.000268021	0.000740075	0.0148785	0.0585206	0.00848847	0.00580705	1	0.00548707	0	0.0011772	0.192321	0.00218702	0.0217598	0.000409635	0.000636951	0.0155439	0.000292613	0.00045499
26	0.00209034	0.00829319	0.0198979	0.0694761	0.179228	0.000261598	0.000781163	0.0209293	0.000276378	0.000758761	0.0148567	0.057979	0.00848076	0.0057939	1	0.00548709	0	0.0012266	0.192222	0.00227071	0.0217479	0.000420344	0.000636951	0.0155354	0.000300263	0.00045499
