Time	[NFkB]	[IKKIkBa]	[IKKIkBaNFkB]	[IKK]	[IkBa]	[IKKIkBb]	[IKKIkBbNFkB]	[IkBb]	[IKKIkBe]	[IKKIkBeNFkB]	[IkBe]	[IkBaNFkB]	[IkBbNFkB]	[IkBeNFkB]	[source]	[IkBat]	[sink]	[NFkBn]	[IkBan]	[IkBanNFkBn]	[IkBbn]	[IkBbnNFkBn]	[IkBbt]	[IkBen]	[IkBenNFkBn]	[IkBet]
88	0.00280028	0.0172786	0.0229076	0.0549417	0.153714	0.000615258	0.00158534	0.0191153	0.000627334	0.00134513	0.0134258	0.0432542	0.00876127	0.0056392	1	0.00549154	0	0.0023481	0.181486	0.00892136	0.0205105	0.00142173	0.00063693	0.01465	0.00101556	0.000454965
89	0.00279873	0.0173633	0.0228638	0.0548729	0.153348	0.000619474	0.00159381	0.0190874	0.00063127	0.00134983	0.0134042	0.0431599	0.00877054	0.00564102	1	0.00549164	0	0.0023512	0.181287	0.00900628	0.020488	0.00143766	0.000636929	0.0146339	0.00102694	0.000454965
90	0.00279709	0.0174467	0.0228196	0.0548059	0.152984	0.00062366	0.0016022	0.0190595	0.000635169	0.00135446	0.0133825	0.0430677	0.00877985	0.00564289	1	0.00549173	0	0.00235415	0.181088	0.00909003	0.0204654	0.00145351	0.000636929	0.0146177	0.00103826	0.000454964
91	0.00279538	0.017529	0.022775	0.0547408	0.15262	0.000627814	0.0016105	0.0190318	0.000639032	0.00135901	0.013361	0.0429774	0.0087892	0.0056448	1	0.00549182	0	0.00235698	0.180889	0.00917261	0.0204429	0.00146927	0.000636929	0.0146016	0.00104951	0.000454964
92	0.0027936	0.01761	0.0227302	0.0546775	0.152259	0.000631936	0.00161873	0.0190041	0.000642859	0.00136349	0.0133395	0.042889	0.00879859	0.00564675	1	0.00549192	0	0.00235969	0.18069	0.00925404	0.0204203	0.00148495	0.000636928	0.0145854	0.00106071	0.000454964
93	0.00279175	0.0176898	0.022685	0.0546158	0.151899	0.000636029	0.00162689	0.0189765	0.00064665	0.0013679	0.0133181	0.0428025	0.00880802	0.00564874	1	0.00549201	0	0.00236228	0.180491	0.00933432	0.0203978	0.00150053	0.000636928	0.0145693	0.00107184	0.000454963
94	0.00278983	0.0177684	0.0226396	0.0545559	0.15154	0.000640091	0.00163497	0.018949	0.000650406	0.00137224	0.0132968	0.0427177	0.00881748	0.00565077	1	0.00549211	0	0.00236476	0.180292	0.00941346	0.0203752	0.00151602	0.000636928	0.0145532	0.0010829	0.000454963
95	0.00278787	0.0178458	0.0225939	0.0544975	0.151183	0.000644123	0.00164297	0.0189216	0.000654127	0.00137651	0.0132755	0.0426347	0.00882698	0.00565284	1	0.0054922	0	0.00236714	0.180093	0.00949145	0.0203527	0.00153143	0.000636927	0.0145371	0.00109391	0.000454963
96	0.00278585	0.0179221	0.0225481	0.0544407	0.150827	0.000648125	0.00165091	0.0188943	0.000657814	0.00138072	0.0132543	0.0425534	0.00883651	0.00565494	1	0.0054923	0	0.00236942	0.179894	0.00956831	0.0203302	0.00154674	0.000636927	0.0145209	0.00110485	0.000454962
97	0.00278378	0.0179973	0.0225021	0.0543853	0.150473	0.000652099	0.00165877	0.0188671	0.000661467	0.00138486	0.0132332	0.0424737	0.00884606	0.00565708	1	0.00549239	0	0.00237161	0.179695	0.00964404	0.0203077	0.00156197	0.000636927	0.0145048	0.00111572	0.000454962
98	0.00278167	0.0180713	0.022456	0.0543314	0.15012	0.000656043	0.00166656	0.0188399	0.000665087	0.00138893	0.0132121	0.0423956	0.00885565	0.00565924	1	0.00549249	0	0.00237372	0.179496	0.00971866	0.0202852	0.0015771	0.000636926	0.0144887	0.00112653	0.000454961
99	0.00277952	0.0181442	0.0224099	0.0542789	0.149768	0.000659959	0.00167429	0.0188129	0.000668673	0.00139295	0.0131912	0.0423191	0.00886526	0.00566144	1	0.00549258	0	0.00237574	0.179297	0.00979216	0.0202627	0.00159214	0.000636926	0.0144726	0.00113727	0.000454961
100	0.00277733	0.018216	0.0223636	0.0542278	0.149418	0.000663847	0.00168194	0.0187859	0.000672227	0.0013969	0.0131703	0.042244	0.0088749	0.00566367	1	0.00549268	0	0.00237769	0.179098	0.00986457	0.0202402	0.00160709	0.000636926	0.0144565	0.00114794	0.000454961
