Time	[d]	[ad]	[e]	[r]	[rs]	[x]	[ip3]	[kg]	[gstar]	[ro]	[ip3con]	[rscon]	[atp]	[y]	[delta]	[ca]
0	0	0.41	1	0	1.1	0	0	8.82353	0.00135417	0	0.0831727	2.06115e-09	0	0	0.0119647	0.0159835
1	0.0788378	0.41	1.20694	0.0168801	1.04794	0.111435	0.0130976	8.82353	0.00136494	9.52854e-05	0.554662	6.85089e-05	0.00238236	499.999	0.0119647	0.0159835
2	0.163811	0.694005	1.39852	0.0496004	0.980681	0.176129	0.943972	8.82353	0.0983304	0.950274	1	0.979443	477.752	478.186	0.0119647	0.299989
3	0.214798	0.694006	1.57804	0.0851007	0.908544	0.228323	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
4	0.231259	0.694006	1.7434	0.118693	0.846691	0.279081	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
5	0.229296	0.694006	1.88972	0.149447	0.801815	0.33237	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.186	0.0119647	0.299989
6	0.219907	0.694006	2.01129	0.178282	0.775123	0.390649	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
7	0.209405	0.694006	2.10225	0.206886	0.765242	0.456924	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.186	0.0119647	0.299989
8	0.200866	0.694006	2.15659	0.237217	0.770035	0.536149	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
9	0.195623	0.694006	2.16738	0.27151	0.787507	0.637723	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.186	0.0119647	0.299989
10	0.194388	0.694006	2.12482	0.312729	0.8162	0.782548	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
11	0.198152	0.694006	2.0106	0.365849	0.85547	1.02944	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.186	0.0119647	0.299989
12	0.209586	0.694006	1.77641	0.441645	0.906074	1.62802	0.943973	8.82353	0.0983305	0.950275	1	1	477.761	478.187	0.0119647	0.299989
13	0.239795	0.694005	1.18329	0.569261	0.972448	5.73069	0.943972	8.82353	0.0983305	0.950274	1	0.995972	477.76	478.187	0.0119647	0.299989
14	0.345658	0.41	0.0132252	0.744394	1.07242	82.051	0.013001	8.82353	0.00135426	8.20348e-07	0.549882	5.12021e-07	2.05087e-05	500	0.0119647	0.0159835
15	0.441287	0.41	0.0199637	0.837415	1.1542	50.3428	0.013	8.82353	0.00135417	6.03137e-14	0.549834	4.03566e-14	1.50784e-12	500	0.0119647	0.0159835
16	0.534528	0.41	0.0316341	0.884008	1.19721	29.7956	0.013	8.82353	0.00135417	1.81163e-18	0.549834	0	4.52907e-17	500	0.0119647	0.0159835
17	0.62325	0.41	0.051489	0.906821	1.21202	17.0936	0.013	8.82353	0.00135417	3.3532e-18	0.549834	0	8.383e-17	500	0.0119647	0.0159835
18	0.703666	0.41	0.0844989	0.914462	1.20951	9.47371	0.013	8.82353	0.00135417	3.18779e-17	0.549834	0	7.96948e-16	500	0.0119647	0.0159835
19	0.769578	0.41	0.137476	0.909055	1.19729	5.02095	0.013	8.82353	0.00135417	-3.54348e-16	0.549834	0	-8.8587e-15	500	0.0119647	0.0159835
20	0.812107	0.41	0.217948	0.887841	1.17983	2.51877	0.013	8.82353	0.00135417	-3.28368e-16	0.549834	2.22045e-16	-8.2092e-15	500	0.0119647	0.0159835
21	0.821201	0.41	0.330913	0.843917	1.15914	1.20372	0.013	8.82353	0.00135417	1.99319e-14	0.549834	1.50435e-14	4.98298e-13	500	0.0119647	0.0159835
22	0.789906	0.41	0.475153	0.771785	1.13555	0.576165	0.013	8.82353	0.00135417	2.24242e-12	0.549834	1.68493e-12	5.60606e-11	500	0.0119647	0.0159835
