Time	[G3P]	[PYR]	[ATP]	[NADHm]	[NADHc]	[Vm]	[Cam]
89	22.1824	17.799	3702.53	92.7372	15.2884	112.581	0.200581
90	22.1085	17.8707	3702.58	92.8782	15.333	112.612	0.200588
91	22.035	17.942	3702.64	93.0179	15.3773	112.643	0.200594
92	21.9617	18.013	3702.7	93.1562	15.4213	112.674	0.200601
93	21.8887	18.0838	3702.76	93.2932	15.465	112.705	0.200608
94	21.8159	18.1541	3702.82	93.4289	15.5084	112.735	0.200615
95	21.7435	18.2242	3702.88	93.5632	15.5515	112.765	0.200621
96	21.6713	18.2939	3702.94	93.6963	15.5943	112.795	0.200628
97	21.5994	18.3634	3703.01	93.8282	15.6368	112.825	0.200635
98	21.5278	18.4324	3703.07	93.9588	15.679	112.854	0.200642
99	21.4565	18.5012	3703.13	94.0883	15.7209	112.883	0.200648
100	21.3854	18.5697	3703.19	94.2165	15.7625	112.912	0.200655
