Time	[Aux/IAA]	[ARF]	[Aux/IAA:Aux/IAA]	[Aux/IAA:ARF]	[mRNA]	[auxin]
0	10	10	10	10	1	7.48845e-12
1	10.1863	10.404	10.3241	10.5346	1.92972	3.42032e-05
2	10.5244	10.6931	10.9887	11.1812	2.89834	0.000136875
3	11.0188	10.8898	12.0161	11.9176	3.88942	0.000308008
4	11.6562	11.0024	13.4224	12.7351	4.88711	0.000547592
5	12.4197	11.0443	15.2201	13.6206	5.87755	0.000855614
6	13.2903	11.0307	17.4172	14.5589	6.84981	0.00123205
7	14.2493	10.9762	20.0164	15.5352	7.79603	0.00167689
8	15.2789	10.8938	23.0154	16.5367	8.71117	0.00219009
9	16.3637	10.7939	26.407	17.553	9.5925	0.00277162
10	17.4903	10.6843	30.1808	18.5761	10.439	0.00342146
11	18.6475	10.5711	34.3234	19.6002	11.2508	0.00413955
12	19.8261	10.4581	38.8194	20.6213	12.0288	0.00492586
13	21.0184	10.3483	43.6523	21.6365	12.7745	0.00578033
14	22.2184	10.2433	48.8044	22.6442	13.4896	0.00670292
15	23.421	10.1442	54.2577	23.6432	14.1759	0.00769357
16	24.6222	10.0517	59.994	24.633	14.8352	0.00875221
17	25.8185	9.96611	65.9947	25.6132	15.4693	0.00987878
18	27.0073	9.88736	72.2416	26.5839	16.0799	0.0110732
19	28.1862	9.8154	78.7162	27.5451	16.6686	0.0123354
20	29.3533	9.75004	85.4002	28.4971	17.2368	0.0136654
21	30.5071	9.69105	92.2754	29.44	17.7861	0.0150629
22	31.646	9.63816	99.3238	30.3742	18.3177	0.016528
23	32.7691	9.59111	106.527	31.2999	18.8327	0.0180606
24	33.8751	9.54962	113.868	32.2174	19.3324	0.0196605
25	34.9632	9.51344	121.328	33.1269	19.8178	0.0213276
26	36.0326	9.4823	128.89	34.0288	20.2898	0.023062
27	37.0825	9.456	136.536	34.9233	20.7492	0.0248633
28	38.1123	9.43431	144.249	35.8106	21.1971	0.0267316
29	39.1212	9.41704	152.011	36.6908	21.634	0.0286668
30	40.1088	9.40401	159.806	37.5642	22.0608	0.0306686
31	41.0746	9.39505	167.615	38.431	22.4781	0.032737
32	42.0179	9.39003	175.422	39.2912	22.8865	0.0348718
33	42.9384	9.3888	183.211	40.1452	23.2867	0.037073
34	43.8356	9.39125	190.965	40.9928	23.6792	0.0393404
35	44.7091	9.39728	198.667	41.8344	24.0646	0.0416738
36	45.5586	9.4068	206.301	42.6699	24.4434	0.0440731
37	46.3835	9.41971	213.853	43.4995	24.816	0.0465381
38	47.1837	9.43594	221.306	44.3232	25.1829	0.0490688
39	47.9587	9.45545	228.646	45.1412	25.5446	0.0516649
40	48.7084	9.47815	235.858	45.9534	25.9015	0.0543263
41	49.4324	9.50402	242.928	46.76	26.254	0.0570528
42	50.1305	9.53299	249.843	47.561	26.6025	0.0598442
43	50.8025	9.56505	256.59	48.3564	26.9474	0.0627004
44	51.4482	9.60016	263.156	49.1463	27.289	0.0656213
45	52.0675	9.63829	269.529	49.9307	27.6278	0.0686065
46	52.6602	9.67942	275.699	50.7097	27.964	0.071656
47	53.2263	9.72354	281.655	51.4831	28.298	0.0747696
48	53.7656	9.77063	287.387	52.2512	28.6301	0.077947
49	54.2781	9.82068	292.886	53.0139	28.9607	0.081188
50	54.7639	9.87369	298.144	53.7711	29.2901	0.0844925
51	55.223	9.92965	303.154	54.523	29.6187	0.0878603
52	55.6554	9.98855	307.91	55.2696	29.9466	0.0912912
53	56.0613	10.0504	312.404	56.0107	30.2743	0.0947848
54	56.4407	10.1152	316.634	56.7466	30.602	0.0983411
55	56.7939	10.1829	320.593	57.477	30.93	0.10196
56	57.1211	10.2536	324.281	58.2022	31.2587	0.105641
57	57.4225	10.3273	327.693	58.922	31.5884	0.109384
58	57.6984	10.4039	330.829	59.6364	31.9192	0.113188
59	57.9491	10.4834	333.689	60.3456	32.2516	0.117054
60	58.1749	10.5659	336.272	61.0494	32.5858	0.120981
61	58.3763	10.6514	338.58	61.7479	32.9221	0.12497
62	58.5537	10.7398	340.615	62.4411	33.2609	0.129019
63	58.7075	10.8312	342.38	63.129	33.6023	0.133128
64	58.8382	10.9255	343.878	63.8116	33.9467	0.137298
65	58.9463	11.0228	345.114	64.489	34.2944	0.141528
66	59.0325	11.1231	346.092	65.1611	34.6456	0.145818
67	59.0973	11.2262	346.82	65.8279	35.0007	0.150167
68	59.1412	11.3323	347.303	66.4895	35.36	0.154575
69	59.165	11.4412	347.548	67.1459	35.7237	0.159042
70	59.1693	11.5531	347.564	67.7972	36.092	0.163568
71	59.1549	11.6678	347.357	68.4433	36.4654	0.168152
72	59.1224	11.7853	346.938	69.0843	36.8441	0.172795
73	59.0726	11.9057	346.316	69.7202	37.2283	0.177495
74	59.0063	12.0288	345.499	70.3511	37.6184	0.182252
75	58.9243	12.1546	344.498	70.977	38.0146	0.187067
76	58.8273	12.283	343.324	71.598	38.4173	0.191939
77	58.7162	12.4141	341.986	72.2142	38.8265	0.196868
78	58.5919	12.5478	340.496	72.8255	39.2428	0.201852
79	58.4551	12.6839	338.863	73.4321	39.6662	0.206893
80	58.3067	12.8225	337.101	74.0341	40.0971	0.21199
81	58.1477	12.9634	335.218	74.6315	40.5358	0.217142
82	57.9788	13.1066	333.228	75.2245	40.9823	0.222349
83	57.801	13.2519	331.139	75.813	41.4371	0.22761
84	57.615	13.3993	328.965	76.3973	41.9004	0.232926
