Time	[Acetyl-CoA]	[Acetyl phosphate]	[Acetate]	[protonated acetate]	[lac repressor]	[Acetyl-CoA synthase]	[Phosphate acetyl transferase]	[acetate export]
65	0.127751	9.44774	0.131549	0.000364383	1.02706	20.5411	0.157356	0
66	0.121004	8.72856	0.114322	0.000344351	1.01109	20.2219	0.148194	0
67	0.114938	8.06874	0.101039	0.00032534	0.992304	19.8461	0.139566	0
68	0.109474	7.46313	0.0905355	0.000307321	0.970982	19.4196	0.13144	0
69	0.104538	6.90691	0.0820576	0.000290259	0.947438	18.9488	0.123788	0
70	0.100067	6.39569	0.0750977	0.000274117	0.921992	18.4398	0.116581	0
71	0.0960046	5.92552	0.0693024	0.000258854	0.894966	17.8993	0.109794	0
72	0.0923051	5.49286	0.0644183	0.000244427	0.866674	17.3335	0.103403	0
73	0.088929	5.09449	0.0602596	0.000230797	0.83742	16.7484	0.097384	0
74	0.0858428	4.72753	0.0566867	0.000217923	0.807487	16.1497	0.0917156	0
75	0.0830179	4.38936	0.0535931	0.000205767	0.777139	15.5428	0.0863776	0
76	0.0804296	4.0776	0.0508962	0.000194291	0.746614	14.9323	0.0813507	0
77	0.0780562	3.79009	0.0485311	0.000183459	0.716125	14.3225	0.0766169	0
78	0.0758789	3.52485	0.0464461	0.000173235	0.685858	13.7172	0.072159	0
79	0.0738809	3.28004	0.0445993	0.000163588	0.655974	13.1195	0.0679611	0
80	0.0720469	3.05402	0.0429568	0.000154486	0.62661	12.5322	0.0640081	0
81	0.0703632	2.84524	0.0414908	0.0001459	0.597878	11.9576	0.0602857	0
82	0.0688175	2.65232	0.0401779	0.000137799	0.56987	11.3974	0.0567807	0
83	0.0673984	2.47394	0.038999	0.000130158	0.542659	10.8532	0.0534803	0
84	0.0660952	2.30894	0.0379376	0.000122952	0.516302	10.326	0.0503728	0
85	0.0648984	2.15621	0.0369799	0.000116155	0.490837	9.81674	0.047447	0
86	0.063799	2.01477	0.0361141	0.000109745	0.466294	9.32587	0.0446924	0
87	0.0627887	1.88371	0.03533	0.000103701	0.442687	8.85375	0.0420991	0
88	0.0618599	1.76217	0.0346189	9.80012e-05	0.420025	8.40051	0.0396579	0
89	0.0610056	1.64941	0.0339733	9.26269e-05	0.398306	7.96613	0.03736	0
90	0.0602192	1.54472	0.0333865	8.75595e-05	0.377522	7.55044	0.0351972	0
91	0.0594947	1.44746	0.0328529	8.27818e-05	0.357659	7.15319	0.0331619	0
92	0.0588266	1.35705	0.0323677	7.82774e-05	0.338701	6.77401	0.0312467	0
93	0.05821	1.27297	0.0319266	7.40309e-05	0.320624	6.41249	0.029445	0
94	0.05764	1.19473	0.0315259	7.00275e-05	0.303407	6.06813	0.0277502	0
95	0.0571127	1.1219	0.0311627	6.62536e-05	0.287021	5.74042	0.0261565	0
96	0.056624	1.05407	0.0308343	6.26961e-05	0.271441	5.42881	0.0246582	0
97	0.0561706	0.990872	0.0305387	5.93428e-05	0.256636	5.13273	0.0232501	0
98	0.0557491	0.931989	0.0302744	5.61821e-05	0.242579	4.85158	0.0219273	0
99	0.0553566	0.877113	0.0300402	5.32029e-05	0.229239	4.58478	0.0206853	0
100	0.0549904	0.825971	0.0298354	5.03952e-05	0.216587	4.33175	0.0195198	0
