Time	[CC]	[CCPT]	[clkp]	[perp]	[clkm]	[perm]	[PT]	[vrip]	[vrim]	[VRI]	[pdpp]	[pdpm]	[PDP]	[CLK]	[PER]	[timp]	[timm]	[TIM]	[CYC]	[CCbindingPer]	[CCbindingvri]	[CCbindingpdp]	[VRIbindingclkp]	[PDPbindingclkp]	[CCbindingtim]
21	0.0808688	0.511706	0.003185	0.003185	0.243067	0.267169	2.84979	0.003185	0.294169	3.67381	0.003185	0.344451	4.37891	3.33352	3.80743	0.003185	0.26716	3.80685	1	0.0225199	0.0273981	0.0764673	0.518916	0.403413	0.0225197
22	0.121204	0.520332	0.003185	0.003185	0.248499	0.257152	1.93298	0.003185	0.279936	3.49365	0.003185	0.335636	4.335	3.41914	3.4566	0.003185	0.257143	3.45604	1	0.0232261	0.0292359	0.0714405	0.508036	0.411975	0.023226
23	0.219553	0.522696	0.003185	0.003185	0.253792	0.248009	1.07089	0.003185	0.267428	3.32854	0.003185	0.32694	4.2822	3.51767	3.09117	0.003185	0.248	3.09064	1	0.0275912	0.0360807	0.0705589	0.497735	0.419917	0.0275911
24	0.52777	0.502043	0.003185	0.003185	0.258773	0.240605	0.426687	0.003185	0.258061	3.18863	0.003185	0.319159	4.22261	3.66186	2.77143	0.003185	0.240598	2.77092	1	0.0417887	0.0566418	0.0796152	0.488542	0.426858	0.0417887
25	1.23	0.4705	0.003185	0.003185	0.263179	0.237169	0.171865	0.003185	0.255493	3.09936	0.003185	0.314186	4.16028	3.92029	2.61144	0.003185	0.237162	2.61096	1	0.0815695	0.112407	0.113775	0.481645	0.431991	0.0815695
26	2.0326	0.467452	0.003185	0.003185	0.266487	0.240458	0.103572	0.003185	0.263866	3.10558	0.003185	0.314331	4.10267	4.24513	2.58426	0.003185	0.24045	2.58381	1	0.151322	0.206434	0.179457	0.479533	0.433566	0.151322
27	2.64348	0.484077	0.003185	0.003185	0.267812	0.250367	0.0825783	0.003185	0.282148	3.23113	0.003185	0.319519	4.05833	4.51639	2.62327	0.003185	0.25036	2.62284	1	0.232445	0.309613	0.261513	0.484725	0.42955	0.232445
28	2.90947	0.511864	0.003185	0.003185	0.266343	0.264443	0.0793777	0.003185	0.305863	3.45335	0.003185	0.327741	4.03239	4.65263	2.69658	0.003185	0.264436	2.69617	1	0.303339	0.393262	0.339336	0.497106	0.41972	0.303339
29	2.76201	0.544229	0.003185	0.003185	0.261972	0.280276	0.0889017	0.003185	0.33123	3.72954	0.003185	0.337145	4.02569	4.61307	2.78508	0.003185	0.28027	2.7847	1	0.350078	0.443204	0.397694	0.513997	0.406035	0.350078
30	2.20267	0.575916	0.003185	0.003185	0.255364	0.296303	0.11792	0.003185	0.356055	4.02354	0.003185	0.346693	4.03647	4.39393	2.88068	0.003185	0.296297	2.88031	1	0.366459	0.455951	0.428629	0.532241	0.391085	0.366459
