Time	[MAPKKK activator (Ras)]	[MAPKKK inactivator]	[Mos]	[Mos-P]	[Mek1]	[Mek1-P]	[Mek1-PP]	[Erk2]	[Erk2-P]	[Erk2-PP]	[MAPK-Pase]	[MAPKK-Pase]	[E1_Mos]	[E2_Mos-P]	[P-Mos_Mek1]	[P-Mos_P-Mek1]	[PP-Mek1_Erk2]	[PP-Mek1_P-Erk2]	[MAPKK-Pase_PP-Mek1]	[MAPKK-Pase_P-Mek1]	[MAPK-Pase_PP-Erk2]	[MAPK-Pase_P-Erk2]	[K_PP_norm]	[KK_PP_norm]	[KKK_P_norm]	[relative maximal K_PP]
0	3e-05	0.0003	0.003	0	1.2	0	0	1.2	0	0	0.12	0.0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.97072e-05	0.000299991	0.00295628	8.7075e-06	1.19748	0.00248088	5.43443e-07	1.19999	4.96456e-06	1.88667e-11	0.119998	0.000297555	2.92757e-07	8.67884e-09	3.46439e-05	7.13112e-08	2.14551e-06	8.7643e-12	5.32036e-10	2.44492e-06	7.34751e-12	1.9594e-06	2.18452e-11	2.24124e-06	0.0144757	2.42711e-11
2	2.97113e-05	0.000299983	0.00291461	1.70406e-05	1.19057	0.0093085	8.10448e-06	1.19986	7.75173e-05	4.7945e-09	0.119969	0.00029099	2.88669e-07	1.70124e-08	6.75207e-05	5.26259e-07	3.2207e-05	2.06679e-09	7.81159e-09	9.00172e-06	1.89262e-09	3.07985e-05	5.5726e-09	3.36012e-05	0.0283654	6.19144e-09
3	2.97152e-05	0.000299975	0.00287476	2.5012e-05	1.1801	0.0195872	3.80722e-05	1.19933	0.000369981	1.10893e-07	0.119853	0.000281612	2.8476e-07	2.49839e-08	9.82904e-05	1.6281e-06	0.000151568	4.65606e-08	3.55935e-08	1.83522e-05	4.39292e-08	0.000147188	1.29018e-07	0.000158102	0.0416478	1.43346e-07
4	2.9719e-05	0.000299967	0.00283666	3.26415e-05	1.16672	0.0325592	0.000111638	1.19802	0.00109464	9.79024e-07	0.119565	0.000270572	2.81021e-07	3.26131e-08	0.000126854	3.5348e-06	0.000444446	4.04833e-07	1.00391e-07	2.93272e-05	3.8777e-07	0.000434918	1.13899e-06	0.000463824	0.0543492	1.26548e-06
5	2.97226e-05	0.00029996	0.00280022	3.99503e-05	1.15094	0.0475987	0.000253145	1.1955	0.00249972	5.13908e-06	0.119009	0.000258765	2.77444e-07	3.99212e-08	0.000153184	6.32779e-06	0.00100635	2.09908e-06	2.17856e-07	4.10169e-05	2.02872e-06	0.000989227	5.97316e-06	0.00105151	0.0664944	6.63649e-06
6	2.9726e-05	0.000299953	0.00276538	4.69609e-05	1.13314	0.0641902	0.000488354	1.19126	0.00485703	1.95277e-05	0.118084	0.000246825	2.74024e-07	4.69307e-08	0.000177301	1.00342e-05	0.00193538	7.87502e-06	4.01061e-07	5.27738e-05	7.65567e-06	0.00190802	2.26528e-05	0.00202668	0.0781069	2.51684e-05
7	2.97292e-05	0.000299946	0.00273208	5.36968e-05	1.11362	0.0819043	0.000843387	1.18482	0.00845908	5.96749e-05	0.116692	0.000235172	2.70753e-07	5.36652e-08	0.000199257	1.46432e-05	0.00332538	2.37008e-05	6.60136e-07	6.41682e-05	2.31335e-05	0.00328491	6.9007e-05	0.00349428	0.0892088	7.66702e-05
8	2.97324e-05	0.00029994	0.00270024	6.01822e-05	1.09264	0.100378	0.00134415	1.17564	0.0136239	0.000156231	0.114737	0.000224062	2.67626e-07	6.0149e-08	0.000219129	2.01169e-05	0.00526	6.08639e-05	1.00262e-06	7.49351e-05	5.95766e-05	0.0052032	0.000179839	0.00555502	0.0998204	0.000199811
9	2.97354e-05	0.000299934	0.00266982	6.64416e-05	1.07039	0.119299	0.00201613	1.16312	0.0207066	0.000365169	0.112134	0.000213641	2.64637e-07	6.64064e-08	0.000237005	2.63992e-05	0.00780706	0.000138799	1.43416e-06	8.49251e-05	0.00013614	0.00773021	0.000417757	0.00830285	0.109961	0.000464149
10	2.97382e-05	0.000299928	0.00264076	7.24995e-05	1.04704	0.138395	0.00288444	1.1466	0.0301167	0.000784223	0.108805	0.000203973	2.61781e-07	7.24621e-08	0.000252982	3.34207e-05	0.0110125	0.000288897	1.95925e-06	9.40674e-05	0.000283767	0.0109111	0.000889992	0.0118232	0.119647	0.000988826
11	2.97409e-05	0.000299922	0.00261302	7.83799e-05	1.02273	0.157428	0.00397424	1.12531	0.042342	0.00158036	0.104688	0.000195076	2.59054e-07	7.83402e-08	0.000267161	4.1104e-05	0.0148935	0.000559747	2.58202e-06	0.000102342	0.000550322	0.0147617	0.00177557	0.0161917	0.128896	0.00197274
12	2.97435e-05	0.000299916	0.00258654	8.41066e-05	0.997606	0.176187	0.00531157	1.09826	0.0579796	0.0030374	0.0997332	0.000186933	2.56451e-07	8.40642e-08	0.000279645	4.93666e-05	0.0194289	0.00102456	3.30709e-06	0.00010976	0.00100782	0.019259	0.00337102	0.0214736	0.137722	0.00374537
13	2.9746e-05	0.00029991	0.00256129	8.97025e-05	0.971781	0.194487	0.00692492	1.06416	0.0777719	0.00564169	0.0939097	0.000179507	2.53969e-07	8.96572e-08	0.000290537	5.81233e-05	0.0245462	0.00179199	4.14061e-06	0.000116352	0.00176286	0.0243274	0.00617046	0.0277227	0.146138	0.0068557
14	2.97484e-05	0.000299905	0.00253724	9.51894e-05	0.945366	0.212167	0.00884859	1.0212	0.102641	0.0102414	0.0872092	0.000172752	2.51604e-07	9.51411e-08	0.000299934	6.72891e-05	0.0301017	0.00302231	5.09198e-06	0.000122156	0.00297212	0.0298187	0.0110112	0.0349814	0.154155	0.012234
15	2.97506e-05	0.000299899	0.00251435	0.000100589	0.918463	0.229089	0.0111296	0.966816	0.133688	0.0183524	0.0796565	0.00016661	2.49352e-07	1.00537e-07	0.000307932	7.67805e-05	0.0358485	0.00495171	6.17714e-06	0.000127213	0.00486518	0.0354784	0.019348	0.04328	0.161786	0.0214966
16	2.97528e-05	0.000299894	0.00249259	0.000105919	0.891165	0.245139	0.0138436	0.897199	0.17206	0.0327592	0.0713298	0.000161016	2.47212e-07	1.05864e-07	0.000314619	8.65172e-05	0.0413841	0.00792762	7.42568e-06	0.000131558	0.00777714	0.0408931	0.0337803	0.0526357	0.169038	0.0375316
17	2.97548e-05	0.000299889	0.00247194	0.0001112	0.863559	0.260228	0.0171331	0.806872	0.218345	0.0586696	0.0624059	0.00015589	2.45181e-07	1.11142e-07	0.000320077	9.64249e-05	0.0460675	0.0124514	8.89754e-06	0.000135212	0.0121866	0.0454076	0.0590468	0.0630507	0.175922	0.065604
18	2.97567e-05	0.000299884	0.00245238	0.000116447	0.835719	0.274303	0.0213006	0.688937	0.270604	0.105612	0.0532508	0.000151115	2.43255e-07	1.16384e-07	0.000324377	0.000106439	0.048911	0.0191865	1.07226e-05	0.000138162	0.0187204	0.0480287	0.103611	0.0745074	0.182443	0.115117
19	2.97586e-05	0.000299878	0.00243388	0.000121672	0.807703	0.287365	0.0270182	0.539312	0.319494	0.188445	0.0445678	0.000146496	2.41435e-07	1.21605e-07	0.000327574	0.000116514	0.0485788	0.0287373	1.31838e-05	0.00014032	0.0279598	0.0474723	0.180337	0.0869562	0.188609	0.200364
20	2.97603e-05	0.000299873	0.00241643	0.00012688	0.779542	0.299507	0.0355758	0.37133	0.343596	0.317766	0.037453	0.000141722	2.39717e-07	1.26809e-07	0.00032969	0.000126638	0.0440562	0.0407042	1.67916e-05	0.000141487	0.03963	0.0429169	0.29783	0.100294	0.194426	0.330904
21	2.97619e-05	0.000299868	0.0024	0.000132069	0.751236	0.310927	0.048187	0.227739	0.326524	0.469565	0.0328471	0.000136555	2.38101e-07	1.31993e-07	0.000330714	0.000136845	0.036606	0.0524127	2.19147e-05	0.00014153	0.0513773	0.0357756	0.434119	0.114356	0.1999	0.482328
22	2.97634e-05	0.000299863	0.00238459	0.000137232	0.722801	0.32179	0.0640255	0.13863	0.286544	0.59457	0.0304811	0.000131238	2.36583e-07	1.37152e-07	0.000330639	0.000147165	0.0296065	0.06113	2.79878e-05	0.000140774	0.0603857	0.0291332	0.545797	0.128992	0.205038	0.606408
23	2.97648e-05	0.000299858	0.00237017	0.000142374	0.694312	0.332085	0.081481	0.0898307	0.246923	0.6811	0.0293161	0.000126134	2.35164e-07	1.4229e-07	0.000329512	0.000157566	0.024413	0.0670489	3.42377e-05	0.000139628	0.0665403	0.0241436	0.623034	0.144148	0.209844	0.692222
24	2.97662e-05	0.000299853	0.00235673	0.000147507	0.665875	0.341697	0.0999147	0.0618951	0.213858	0.741095	0.0286867	0.000121363	2.3384e-07	1.47417e-07	0.000327412	0.000167974	0.0206249	0.0712135	4.03997e-05	0.000138237	0.070853	0.0204603	0.676623	0.159828	0.214325	0.751763
25	2.97674e-05	0.000299847	0.00234424	0.000152642	0.637598	0.35051	0.119145	0.0447269	0.18708	0.784444	0.0283127	0.000116941	2.3261e-07	1.52547e-07	0.000324425	0.000178307	0.0177716	0.0742898	4.64232e-05	0.000136636	0.0740233	0.017664	0.71539	0.176044	0.218486	0.794834
26	2.97685e-05	0.000299842	0.0023327	0.00015779	0.609576	0.358422	0.139101	0.0335271	0.165331	0.817011	0.0280738	0.000112854	2.31474e-07	1.5769e-07	0.000320631	0.000188485	0.0155521	0.0766522	5.23079e-05	0.000134838	0.0764482	0.015478	0.74455	0.192798	0.222331	0.827232
27	2.97696e-05	0.000299837	0.0023221	0.000162963	0.581896	0.365356	0.159741	0.0258692	0.147476	0.842266	0.0279127	0.000109082	2.3043e-07	1.62857e-07	0.000316107	0.000198432	0.0137799	0.0785212	5.80643e-05	0.000132853	0.0783606	0.0137268	0.767189	0.210084	0.225864	0.852386
28	2.97705e-05	0.000299832	0.00231243	0.000168168	0.554634	0.371257	0.181026	0.0204346	0.132642	0.862353	0.0277994	0.000105603	2.29477e-07	1.68056e-07	0.000310923	0.00020808	0.012335	0.0800344	6.37041e-05	0.000130693	0.079905	0.0122956	0.785215	0.227883	0.229087	0.872414
29	2.97714e-05	0.000299827	0.00230368	0.000173412	0.527859	0.376089	0.202912	0.0164604	0.120179	0.878659	0.0277171	0.000102392	2.28615e-07	1.73294e-07	0.000305144	0.000217364	0.0111371	0.0812819	6.92373e-05	0.00012837	0.0811759	0.011107	0.799862	0.246167	0.232005	0.888688
