Time	[IR]	[IRins]	[IRp]	[IRiP]	[IRi]	[IRS]	[IRSiP]	[X]	[Xp]
53	0.300328	8.0434	0.516821	1.13938	6.52035e-05	7.14475	2.85525	9.98146	0.0185353
54	0.300329	8.04341	0.516822	1.13937	6.52035e-05	7.14476	2.85524	9.98146	0.0185355
55	0.300329	8.04342	0.516822	1.13936	6.52035e-05	7.14477	2.85523	9.98146	0.0185356
56	0.300329	8.04343	0.516823	1.13936	6.52035e-05	7.14477	2.85523	9.98146	0.0185357
57	0.300329	8.04343	0.516823	1.13935	6.52035e-05	7.14478	2.85522	9.98146	0.0185358
58	0.300329	8.04344	0.516823	1.13935	6.52036e-05	7.14478	2.85522	9.98146	0.0185359
59	0.300329	8.04344	0.516824	1.13934	6.52036e-05	7.14479	2.85521	9.98146	0.018536
60	0.300329	8.04344	0.516824	1.13934	6.52036e-05	7.14479	2.85521	9.98146	0.018536
61	0.300329	8.04345	0.516824	1.13934	6.52036e-05	7.14479	2.85521	9.98146	0.0185361
62	0.300329	8.04345	0.516824	1.13933	6.52036e-05	7.14479	2.85521	9.98146	0.0185361
63	0.300329	8.04345	0.516824	1.13933	6.52036e-05	7.14479	2.85521	9.98146	0.0185361
64	0.30033	8.04345	0.516824	1.13933	6.52036e-05	7.1448	2.8552	9.98146	0.0185362
65	0.30033	8.04345	0.516824	1.13933	6.52036e-05	7.1448	2.8552	9.98146	0.0185362
66	0.30033	8.04345	0.516824	1.13933	6.52036e-05	7.1448	2.8552	9.98146	0.0185362
67	0.30033	8.04345	0.516824	1.13933	6.52036e-05	7.1448	2.8552	9.98146	0.0185362
68	0.30033	8.04345	0.516824	1.13933	6.52036e-05	7.1448	2.8552	9.98146	0.0185362
69	0.30033	8.04346	0.516824	1.13933	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
70	0.30033	8.04346	0.516825	1.13933	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
71	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
72	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
73	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
74	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
75	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
76	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
77	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
78	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
79	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
80	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
81	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
82	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
83	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
84	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
85	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
86	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
87	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
88	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
89	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
90	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
91	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
92	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
93	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
94	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
95	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
96	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
97	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
98	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
99	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
100	0.30033	8.04346	0.516825	1.13932	6.52036e-05	7.1448	2.8552	9.98146	0.0185363
