Time	[EGF]	[I]	[RE]	[Rd]	[Rp]	[GS]	[Rp_GS]	[Shc]	[Rp_Shc]	[Rp_pShc]	[pShc]	[Rp_pShc_GS]	[PI3K]	[Rp_PI3K]	[RasGAP]	[Rp_RasGAP]	[IRL]	[IRp]	[IRp_PI3K]	[IRp_RasGAP]	[IRS]	[IRp_IRS]	[IRp_IRSp]	[IRSp]	[iSrc]	[mIRS]	[mIRSp]	[mIRSp_GS]	[mIRSp_PI3K]	[SHP2]	[mIRSp_SHP2]	[GAB]	[mGAB]	[mGABp]	[mGABp_GS]	[mGABp_PI3K]	[mGABp_SHP2]	[mGABp_pSHP2]	[PIP3]	[dRas]	[Raf]	[aRaf]	[Mek]	[Erk]	[pErk]	[PDK1]	[Akt]	[pAkt]	[mTOR]	[Null]	[aaRaf]	[PKA]	[pShc_GS]	[ppMek]	[mGABp_pSHP2_GS]	[R]	[ppErk]	[IR]	[mPDK1]	[tRas]	[tRas_PI3K]	[ppAkt]	[mGABp_RasGAP]	[amTOR]	[iGS]	[imGAB]	[imIRS]	[aSrc]	[Ri]	[IRi]	[iPX]	[aPX]	[aPX_GS]	[IRSp_PI3K]	[IRSp_GS]	[IRSp_SHP2]	[GABp]	[GABp_PI3K]	[GABp_GS]	[GABp_RasGAP]	[GABp_SHP2]	[GABp_pSHP2]	[GABp_pSHP2_GS]	[imGABp]	[bRasGAP]	[phosphorylated_Akt]
20	0.091025	1.74632e-32	4.52799	0.942996	0.141709	194.632	0.344502	264.021	1.12155	0.31725	0.0788343	1.7722	194.447	2.14602	49.9989	0.00090957	1.13341e-27	4.43779e-25	-2.51976e-26	5.05173e-31	246.928	8.81843e-25	2.06846e-24	0.000444675	511.784	52.9335	0.0161687	3.14114e-05	0.110625	299.931	0.00221194	220.322	0.476322	0.273978	0.548089	3.21468	0.0608681	0.000141333	5.54672	114.324	94.493	0.337628	197.565	398.856	1.14037	95.327	99.7252	0.274722	99.9414	137.073	5.16939	100	2.68923	2.4353	0.000263197	69.0949	0.00339935	150	4.67303	35.6761	0	0.000118759	0.000164734	0.0585841	9.7015e-06	1.28928e-07	0.00554813	6.21601	6.38793	1.15172e-25	200	0	0	0.00296934	8.64405e-07	0.000189688	0.00678025	0.0787148	0.0133876	4.11787e-06	0.00504886	1.149e-05	2.11539e-05	1.5148e-07	1e-05	0.27484
21	0.0841771	2.92097e-32	4.36179	0.88533	0.138583	194.334	0.360241	263.838	1.09648	0.312766	0.082681	1.77773	194.016	2.15	49.9989	0.000953995	1.62212e-27	3.91516e-25	1.79708e-25	9.21733e-31	241.233	3.64541e-25	2.63107e-24	0.00047081	511.761	58.6126	0.0170902	3.31542e-05	0.123683	299.924	0.00235068	219.745	0.531643	0.300122	0.6202	3.61819	0.0669681	0.000156846	6.04535	113.619	93.8425	0.342292	197.048	398.52	1.47414	94.9076	99.6931	0.306794	99.9344	156.366	5.81519	100	2.89221	2.95219	0.000294131	68.862	0.00570473	150	5.09235	36.3811	0	0.000149596	0.000181261	0.0656481	1.74952e-05	2.58218e-07	0.00716347	6.23946	6.65141	2.96698e-25	200	0	0	0.00333052	9.13887e-07	0.000203202	0.00742727	0.0887117	0.0151687	4.53731e-06	0.00556573	1.28452e-05	2.38549e-05	2.98266e-07	1e-05	0.306944
22	0.0780696	4.91903e-32	4.2087	0.834467	0.135556	194.046	0.375449	263.671	1.07187	0.307986	0.0863426	1.77622	193.564	2.14776	49.9988	0.000997207	2.12796e-27	5.7255e-25	2.78554e-26	6.5158e-31	235.332	1.21409e-25	2.9693e-24	0.000495048	511.755	64.4967	0.0179482	3.47704e-05	0.136904	299.917	0.00248048	219.13	0.591709	0.327828	0.697595	4.0485	0.0734298	0.000172873	6.57481	113.187	93.1895	0.345078	196.476	398.121	1.8697	94.4671	99.6576	0.34221	99.9266	177.369	6.4654	100	3.08694	3.52424	0.000326107	68.6544	0.00921925	150	5.53288	36.8131	0	0.000187445	0.00019875	0.0734022	3.02867e-05	4.94951e-07	0.00912687	6.24471	6.90248	2.3048e-25	200	0	0	0.00369621	9.59585e-07	0.000215755	0.00811097	0.0993547	0.0170772	4.98088e-06	0.0061078	1.42366e-05	2.66335e-05	5.62024e-07	1e-05	0.342397
23	0.0726131	6.94266e-32	4.06784	0.789614	0.132632	193.768	0.390145	263.518	1.04787	0.303007	0.0898111	1.76884	193.088	2.14013	49.9987	0.00103923	2.61099e-27	5.7427e-25	-7.77196e-27	6.04994e-31	229.238	-3.58553e-26	3.11411e-24	0.000517392	511.766	70.5737	0.0187434	3.62618e-05	0.150193	299.91	0.00260133	218.472	0.656906	0.357216	0.780531	4.50674	0.0802814	0.00018942	7.13776	112.992	92.5389	0.346279	195.85	397.654	2.33144	94.0038	99.6183	0.381509	99.918	200.191	7.1148	100	3.27271	4.15024	0.000359116	68.4688	0.0144062	150	5.99619	37.0078	0	0.000234003	0.000217275	0.0819541	5.0553e-05	9.12268e-07	0.0114943	6.23409	7.14161	2.43745e-25	200	0	0	0.0040635	1.00153e-06	0.000227312	0.00883398	0.110666	0.0191183	5.45041e-06	0.00667662	1.56612e-05	2.94817e-05	1.01832e-06	1e-05	0.381743
24	0.0677303	9.11252e-32	3.93834	0.750058	0.129811	193.499	0.404347	263.379	1.02458	0.297905	0.0930814	1.75665	192.587	2.12789	49.9987	0.00108009	2.65287e-27	6.33416e-25	2.38859e-26	6.22085e-31	222.964	-2.34452e-25	3.18951e-24	0.000537872	511.79	76.8308	0.0194771	3.76315e-05	0.163464	299.902	0.00271333	217.771	0.727646	0.388413	0.869293	4.99419	0.0875535	0.000206496	7.737	112.996	91.8948	0.346197	195.172	397.115	2.86319	93.5161	99.5744	0.425338	99.9086	224.947	7.75897	100	3.44902	4.82845	0.000393163	68.3028	0.0218426	150	6.4839	37.0043	0	0.000291462	0.000236915	0.091432	8.1663e-05	1.62334e-06	0.01433	6.20974	7.36927	2.77327e-25	200	0	0	0.00442975	1.03978e-06	0.000237858	0.00959907	0.122671	0.0212979	5.94789e-06	0.00727379	1.71169e-05	3.23933e-05	1.78143e-06	1e-05	0.42563
25	0.0633545	1.13523e-31	3.81939	0.715166	0.127094	193.237	0.418073	263.253	1.00204	0.292741	0.0961508	1.74054	192.059	2.11171	49.9986	0.0011198	2.67893e-27	1.3027e-24	-1.70132e-26	5.01366e-31	216.522	-8.93924e-25	3.24209e-24	0.000556534	511.826	83.2547	0.0201514	3.88841e-05	0.176638	299.893	0.00281671	217.024	0.804365	0.421555	0.9642	5.51231	0.0952782	0.000224121	8.3755	113.158	91.2605	0.345138	194.443	396.5	3.46811	93.0023	99.5252	0.474484	99.898	251.763	8.39434	100	3.61555	5.55677	0.000428272	68.1541	0.0322301	150	6.99765	36.8424	0	0.000362668	0.000257754	0.10199	0.000128081	2.7985e-06	0.017708	6.17355	7.58591	2.5759e-25	200	0	0	0.00479253	1.07446e-06	0.000247391	0.0104092	0.135399	0.0236224	6.47542e-06	0.00790098	1.86023e-05	3.53635e-05	3.01941e-06	1e-05	0.474847
26	0.0594277	1.35927e-31	3.71021	0.684379	0.12448	192.983	0.431342	263.14	0.980292	0.287563	0.099019	1.72129	191.501	2.09219	49.9986	0.0011584	2.67425e-27	2.17567e-24	-1.44845e-25	2.00388e-31	209.928	-1.62261e-24	3.31392e-24	0.000573439	511.873	89.831	0.0207686	4.00244e-05	0.189647	299.884	0.00291176	216.228	0.887529	0.456784	1.0656	6.06267	0.10349	0.00024232	9.0564	113.438	90.6384	0.343401	193.667	395.805	4.14873	92.4609	99.4696	0.529903	99.8862	280.775	9.01819	100	3.77213	6.33282	0.000464482	68.0205	0.0464031	150	7.53908	36.5619	0	0.000451353	0.000279882	0.113814	0.000195585	4.68772e-06	0.0217141	6.12726	7.79199	1.6775e-25	200	0	0	0.00514964	1.10568e-06	0.000255925	0.0112673	0.14888	0.0260989	7.03522e-06	0.00855986	2.01161e-05	3.83888e-05	4.97352e-06	1e-05	0.530355
27	0.0558995	1.64554e-31	3.61009	0.657204	0.121967	192.734	0.444171	263.038	0.959346	0.282411	0.101687	1.69958	190.912	2.06987	49.9985	0.00119589	4.28525e-27	1.26126e-25	-3.72883e-25	-5.88881e-32	203.196	7.76816e-25	3.24706e-24	0.000588657	511.928	96.5442	0.0213314	4.10581e-05	0.20243	299.874	0.00299884	215.381	0.977626	0.494251	1.17389	6.64698	0.112226	0.000261122	9.783	113.799	90.0301	0.341275	192.846	395.028	4.90687	91.8902	99.4067	0.592775	99.8729	312.13	9.62861	100	3.91871	7.15404	0.000501842	67.9006	0.0653347	150	8.10982	36.2007	0	0.000562455	0.000303392	0.127131	0.000291494	7.64974e-06	0.0264485	6.07242	7.98795	1.10633e-25	200	0	0	0.00549915	1.13361e-06	0.000263482	0.0121766	0.163148	0.0287351	7.62965e-06	0.00925212	2.16578e-05	4.1467e-05	7.98243e-06	1e-05	0.593338
28	0.0527259	1.7685e-31	3.51833	0.633209	0.119554	192.49	0.456578	262.948	0.939206	0.277315	0.104159	1.67598	190.289	2.04521	49.9984	0.00123231	7.14729e-28	-3.93654e-26	-1.15994e-25	-2.44755e-31	196.344	4.69184e-25	3.55325e-24	0.000602267	511.99	103.378	0.0218427	4.1991e-05	0.214932	299.864	0.00307833	214.478	1.07517	0.534113	1.28947	7.2671	0.121523	0.000280564	10.5588	114.206	89.4366	0.339028	191.982	394.166	5.74369	91.2885	99.3347	0.664567	99.8578	345.984	10.2244	100	4.05536	8.01777	0.000540415	67.7927	0.0901389	150	8.7115	35.7941	0	0.000702588	0.000328384	0.142221	0.000424905	1.21889e-05	0.0320292	6.01041	8.17421	2.35996e-26	200	0	0	0.00583933	1.15839e-06	0.000270089	0.0131403	0.178239	0.0315394	8.26119e-06	0.00997943	2.32271e-05	4.45962e-05	1.25123e-05	1e-05	0.66527
29	0.0498683	1.77386e-31	3.43431	0.612016	0.11724	192.25	0.46858	262.868	0.919867	0.272303	0.106439	1.65097	189.629	2.01862	49.9984	0.00126767	8.91825e-28	-4.72051e-25	-1.15124e-25	-2.72947e-31	189.388	9.35817e-25	3.53092e-24	0.000614349	512.058	110.313	0.0223056	4.28291e-05	0.227109	299.853	0.00315066	213.519	1.1807	0.576537	1.41281	7.925	0.131424	0.000300686	11.3873	114.626	88.858	0.336907	191.079	393.218	6.6597	90.6543	99.252	0.747122	99.8406	382.51	10.8051	100	4.18221	8.92133	0.000580273	67.6955	0.122072	150	9.34569	35.3737	0	0.00088071	0.000354963	0.159432	0.00060693	1.90014e-05	0.0385959	5.94248	8.35121	1.01854e-26	200	0	0	0.00616867	1.1802e-06	0.000275782	0.0141617	0.19419	0.0345206	8.93244e-06	0.0107435	2.48238e-05	4.77757e-05	1.91933e-05	1e-05	0.748003
30	0.0472927	1.78583e-31	3.35743	0.593293	0.115021	192.012	0.480191	262.798	0.901319	0.267393	0.108531	1.62497	188.93	1.99046	49.9983	0.00130198	1.98251e-27	6.06556e-25	-1.72477e-25	-2.1622e-31	182.35	-1.11425e-26	3.42852e-24	0.000624987	512.13	117.332	0.0227232	4.35784e-05	0.238921	299.842	0.00321626	212.497	1.29476	0.621693	1.5444	8.62277	0.141969	0.000321533	12.2725	115.033	88.2942	0.335132	190.138	392.183	7.65478	89.9861	99.1561	0.842777	99.8208	421.887	11.3707	100	4.29946	9.86207	0.0006215	67.608	0.162528	150	10.0139	34.9671	0	0.00110912	0.000383236	0.1792	0.000850925	2.90318e-05	0.0463157	5.86975	8.51934	3.65483e-26	200	0	0	0.0064859	1.19919e-06	0.000280598	0.0152444	0.211041	0.0376883	9.64611e-06	0.0115458	2.6448e-05	5.10048e-05	2.88638e-05	1e-05	0.843886
31	0.0449694	1.78607e-31	3.28715	0.576749	0.112897	191.775	0.491429	262.738	0.883548	0.262601	0.110444	1.59832	188.19	1.96106	49.9982	0.00133527	-1.25079e-27	3.47551e-26	-3.35105e-25	-1.11031e-30	175.249	6.88354e-25	3.82893e-24	0.000634264	512.207	124.411	0.0230984	4.42449e-05	0.250337	299.83	0.00327556	211.411	1.41793	0.669759	1.68475	9.36263	0.153205	0.000343155	13.2181	115.403	87.7445	0.333894	189.163	391.059	8.72823	89.2824	99.0441	0.954531	99.7979	464.311	11.9217	100	4.40739	10.8375	0.000664184	67.529	0.213036	150	10.7176	34.5973	0	0.00140491	0.000413318	0.202077	0.00117272	4.35419e-05	0.0553902	5.79321	8.67901	-3.26448e-25	200	0	0	0.0067899	1.21553e-06	0.000284576	0.0163916	0.228832	0.0410526	1.0405e-05	0.0123879	2.80999e-05	5.42834e-05	4.26221e-05	1e-05	0.955936
32	0.0428721	1.51129e-31	3.22295	0.562129	0.110864	191.539	0.502307	262.686	0.866536	0.257941	0.112182	1.57131	187.406	1.93069	49.9982	0.00136753	-2.03458e-27	-2.94244e-26	-6.04944e-26	-7.36232e-31	168.109	3.94236e-25	3.81053e-24	0.000642262	512.286	131.529	0.0234343	4.48344e-05	0.26133	299.817	0.003329	210.257	1.55079	0.720916	1.83444	10.1468	0.165175	0.000365602	14.2281	115.717	87.2076	0.333351	188.155	389.846	9.87885	88.542	98.9119	1.08627	99.7712	509.991	12.459	100	4.50628	11.8451	0.000708425	67.4576	0.275251	150	11.458	34.283	0	0.00179228	0.000445324	0.228772	0.00159081	6.41936e-05	0.0660652	5.71374	8.83058	-2.24335e-25	200	0	0	0.00707978	1.22938e-06	0.000287757	0.0176068	0.247604	0.0446239	1.12121e-05	0.0132713	2.97798e-05	5.76114e-05	6.18888e-05	1e-05	1.08806
33	0.0409774	1.24046e-31	3.16436	0.549211	0.108921	191.301	0.512842	262.642	0.850266	0.253422	0.113755	1.54418	186.576	1.89958	49.9981	0.00139878	-2.09592e-27	-6.06136e-26	8.6131e-28	-5.85287e-31	160.954	3.77563e-25	3.76948e-24	0.000649063	512.368	138.66	0.0237339	4.53525e-05	0.27188	299.803	0.003377	209.03	1.69393	0.775349	1.99406	10.9778	0.177929	0.000388931	15.3068	115.961	86.6824	0.333634	187.117	388.544	11.1049	87.7637	98.7546	1.24307	99.7398	559.147	12.9839	100	4.59648	12.8828	0.000754324	67.3932	0.350949	150	12.2363	34.0387	0	0.00230594	0.000479375	0.260204	0.0021266	9.31468e-05	0.0786435	5.63214	8.97445	-1.97477e-25	200	0	0	0.00735477	1.24089e-06	0.000290184	0.0188933	0.267398	0.0484134	1.20703e-05	0.0141971	3.14877e-05	6.09888e-05	8.84777e-05	1e-05	1.24537
34	0.0392648	9.71888e-32	3.11094	0.5378	0.107065	191.061	0.523046	262.606	0.834719	0.249052	0.11517	1.51713	185.696	1.86795	49.998	0.00142904	-2.05425e-27	4.62471e-26	5.85708e-26	-4.08392e-31	153.809	2.16555e-25	3.72561e-24	0.000654744	512.451	145.78	0.024	4.58045e-05	0.281972	299.788	0.00341999	207.727	1.84792	0.833241	2.16424	11.8579	0.191513	0.000413197	16.4581	116.125	86.1673	0.334844	186.052	387.154	12.4044	86.9466	98.5654	1.43163	99.7024	612.015	13.4978	100	4.67832	13.9484	0.000801989	67.335	0.442012	150	13.0534	33.8751	0	0.00299653	0.000515591	0.297572	0.00280452	0.000133174	0.0935021	5.5491	9.11095	-1.5797e-25	200	0	0	0.0076143	1.25022e-06	0.000291898	0.0202544	0.288254	0.0524325	1.29827e-05	0.0151665	3.32238e-05	6.44154e-05	0.000124679	1e-05	1.43463
35	0.037716	7.65177e-32	3.06228	0.527723	0.105293	190.818	0.532933	262.576	0.819874	0.244836	0.116434	1.49032	184.765	1.83598	49.998	0.0014583	-1.35361e-27	7.6849e-26	5.12578e-26	-2.32805e-31	146.701	2.27265e-25	3.63744e-24	0.000659381	512.535	152.86	0.0242353	4.61957e-05	0.291595	299.773	0.00345835	206.344	2.01334	0.894777	2.34565	12.7896	0.205977	0.000438459	17.6862	116.201	85.6607	0.337058	184.96	385.675	13.7748	86.09	98.3352	1.66084	99.6575	668.843	14.0023	100	4.75219	15.0402	0.00085153	67.2823	0.550422	150	13.91	33.7994	0	0.00393928	0.000554094	0.342456	0.00365223	0.000187793	0.111116	5.46523	9.24044	-1.05243e-25	200	0	0	0.0078579	1.25751e-06	0.000292941	0.0216931	0.310211	0.0566928	1.39522e-05	0.0161803	3.4988e-05	6.78909e-05	0.000173354	1e-05	1.66478
36	0.0363146	6.1649e-32	3.018	0.518829	0.103604	190.569	0.542516	262.554	0.805711	0.240779	0.117555	1.4639	183.779	1.80381	49.9979	0.00148656	-9.32795e-28	2.47901e-25	1.97993e-26	-1.66466e-31	139.659	1.08239e-25	3.59871e-24	0.000663047	512.619	159.871	0.0244424	4.65309e-05	0.300742	299.756	0.00349249	204.876	2.19073	0.960133	2.53897	13.7753	0.22137	0.000464774	18.995	116.184	85.1608	0.340331	183.843	384.108	15.2133	85.1935	98.0522	1.9425	99.603	729.894	14.4989	100	4.81845	16.1566	0.000903058	67.2347	0.678249	150	14.8065	33.8163	0	0.00524766	0.000595004	0.396951	0.00470073	0.00026142	0.132092	5.38107	9.36326	-8.82287e-26	200	0	0	0.00808525	1.2629e-06	0.000293356	0.0232122	0.333307	0.0612062	1.4982e-05	0.017239	3.67799e-05	7.14145e-05	0.000238043	1e-05	1.94775
37	0.0350462	5.13355e-32	2.97776	0.510987	0.101995	190.315	0.551809	262.537	0.79221	0.236883	0.118543	1.43796	182.736	1.77159	49.9978	0.00151384	-6.20974e-28	-2.0124e-25	-3.27313e-26	-1.97523e-31	132.711	6.32419e-25	3.59002e-24	0.000665812	512.703	166.785	0.0246239	4.68148e-05	0.309409	299.739	0.00352275	203.32	2.38059	1.02948	2.74492	14.8174	0.237739	0.000492198	20.3884	116.072	84.6658	0.344698	182.704	382.455	16.7171	84.2571	97.7007	2.2922	99.5362	795.444	14.9895	100	4.87749	17.2961	0.000956681	67.1916	0.827642	150	15.7429	33.9281	0	0.00709535	0.000638438	0.463832	0.00598451	0.000359543	0.157208	5.29711	9.47972	-1.03088e-25	200	0	0	0.00829616	1.26651e-06	0.000293182	0.024814	0.357573	0.0659847	1.60748e-05	0.0183428	3.85989e-05	7.49848e-05	0.000323083	1e-05	2.29929
38	0.0338978	4.44086e-32	2.94123	0.504079	0.100463	190.053	0.560822	262.526	0.779351	0.233149	0.119405	1.4126	181.633	1.73941	49.9978	0.00154012	-5.3793e-29	-3.84555e-24	1.33228e-25	1.92343e-31	125.886	4.06977e-24	3.48056e-24	0.000667743	512.786	173.571	0.0247821	4.70516e-05	0.317596	299.72	0.0035495	201.673	2.58339	1.10297	2.96423	15.9182	0.255129	0.000520787	21.8701	115.864	84.1742	0.350181	181.542	380.716	18.2829	83.2812	97.2601	2.73018	99.4532	865.779	15.4756	100	4.92968	18.4576	0.0010125	67.1525	1.00082	150	16.7188	34.1357	0	0.00975114	0.000684508	0.546756	0.00754159	0.000488912	0.187476	5.21374	9.59014	4.60728e-26	200	0	0	0.00849054	1.26848e-06	0.000292461	0.0265006	0.383039	0.0710402	1.72336e-05	0.0194916	4.04441e-05	7.86e-05	0.000433747	1e-05	2.73993
39	0.0328579	3.95264e-32	2.90811	0.498002	0.0990066	189.782	0.569567	262.52	0.767113	0.229579	0.120148	1.38788	180.469	1.70737	49.9977	0.00156541	5.43861e-28	-2.59322e-24	1.86589e-24	4.19701e-30	119.211	3.90125e-25	2.66327e-24	0.000668904	512.869	180.201	0.0249192	4.72455e-05	0.325306	299.7	0.00357306	199.93	2.79951	1.18075	3.19766	17.0798	0.273585	0.000550591	23.4431	115.561	83.6843	0.356793	180.36	378.893	19.9074	82.2664	96.7043	3.28206	99.3495	941.2	15.9589	100	4.97541	19.6401	0.00107063	67.1172	1.20004	150	17.7336	34.4387	0	0.0136331	0.000733315	0.650468	0.00941365	0.000657757	0.224213	5.13132	9.69482	1.55671e-24	200	0	0	0.0086684	1.26892e-06	0.000291234	0.0282734	0.409727	0.0763842	1.84609e-05	0.0206848	4.2314e-05	8.22574e-05	0.000576388	1e-05	3.29569
40	0.0319159	3.34218e-32	2.87812	0.492664	0.0976226	189.502	0.578056	262.519	0.755477	0.226171	0.120781	1.36386	179.241	1.67556	49.9976	0.0015897	-8.14673e-27	6.68053e-23	2.57428e-24	6.52378e-30	112.716	-7.0674e-23	2.82111e-24	0.000669355	512.95	186.644	0.0250375	4.74003e-05	0.332543	299.679	0.00359375	198.089	3.02924	1.26294	3.44596	18.3041	0.293145	0.000581657	25.1104	115.164	83.1944	0.364537	179.157	376.985	21.5872	81.2141	96.002	3.97865	99.2191	1022.02	16.4411	100	5.01505	20.8428	0.00113114	67.0851	1.42765	150	18.7859	34.8361	0	0.0193893	0.000784953	0.780947	0.011646	0.000876018	0.269133	5.05017	9.79404	2.36399e-24	200	0	0	0.00882982	1.26795e-06	0.000289541	0.0301331	0.437655	0.0820281	1.97589e-05	0.0219214	4.42068e-05	8.59535e-05	0.000758605	1e-05	3.99804
41	0.0310627	7.03299e-31	2.85101	0.487986	0.096309	189.211	0.586299	262.522	0.744421	0.222926	0.121312	1.34057	177.948	1.64402	49.9975	0.00161298	1.50539e-25	1.86454e-24	6.85348e-24	4.28667e-29	106.425	-7.31533e-24	-1.55999e-23	0.000669157	513.029	192.872	0.0251388	4.75196e-05	0.339315	299.657	0.00361185	196.146	3.27278	1.34963	3.70988	19.5928	0.313843	0.000614023	26.8744	114.674	82.703	0.373412	177.935	374.995	23.3189	80.1261	95.1175	4.85453	99.0546	1108.54	16.9236	100	5.04895	22.065	0.00119411	67.0561	1.68601	150	19.8739	35.3264	0	0.02801	0.000839499	0.945394	0.0142879	0.0011556	0.324447	4.97053	9.88809	1.79314e-23	200	0	0	0.00897502	1.26567e-06	0.000287422	0.0320798	0.466831	0.0879824	2.11298e-05	0.0231997	4.61204e-05	8.9684e-05	0.000989412	1e-05	4.88254
42	0.0302898	2.256e-30	2.82653	0.483895	0.0950633	188.907	0.594305	262.529	0.733927	0.219841	0.121747	1.31805	176.588	1.61283	49.9974	0.00163524	1.75165e-25	1.99328e-25	2.43034e-24	3.84502e-29	100.363	-6.59074e-25	-1.63434e-23	0.000668366	513.107	198.86	0.025225	4.76067e-05	0.345628	299.634	0.00362764	194.1	3.53021	1.44087	3.99016	20.9472	0.335709	0.000647722	28.7366	114.092	82.2086	0.383413	176.694	372.924	25.099	79.0046	94.0143	5.94469	98.8481	1201.11	17.408	100	5.07747	23.3064	0.0012596	67.0299	1.97752	150	20.9954	35.908	0	0.0409666	0.000897014	1.15194	0.0173919	0.00151064	0.392955	4.89264	9.97723	1.8085e-23	200	0	0	0.00910425	1.26219e-06	0.000284918	0.0341126	0.497252	0.0942569	2.25749e-05	0.0245178	4.80518e-05	9.34437e-05	0.00127943	1e-05	5.98565
43	0.0295897	3.84466e-30	2.80447	0.480329	0.093883	188.59	0.602086	262.54	0.723975	0.216915	0.122093	1.29631	175.16	1.582	49.9974	0.00165648	1.78902e-25	4.37408e-26	8.23621e-25	3.37436e-29	94.5495	2.2232e-25	-1.53049e-23	0.000667036	513.183	204.582	0.0252979	4.76648e-05	0.351494	299.609	0.00364137	191.949	3.80146	1.53669	4.2875	22.3683	0.358761	0.000682775	30.6981	113.421	81.7099	0.394535	175.433	370.771	26.9239	77.8523	92.6602	7.27947	98.591	1300.04	17.8956	100	5.10096	24.5665	0.00132766	67.0061	2.30461	150	22.1477	36.5793	0	0.0603538	0.000957536	1.409	0.0210148	0.00195779	0.478112	4.81668	10.0617	1.7893e-23	200	0	0	0.00921785	1.25762e-06	0.000282068	0.0362297	0.528908	0.10086	2.40953e-05	0.0258728	4.99979e-05	9.72262e-05	0.00164108	1e-05	7.33983
44	0.0289557	5.36103e-30	2.78462	0.47723	0.0927659	188.258	0.609649	262.554	0.714546	0.214145	0.122358	1.27536	173.664	1.55158	49.9973	0.00167668	1.77339e-25	-6.83261e-26	2.32484e-25	2.93254e-29	89.0032	2.0824e-26	-1.42374e-23	0.00066522	513.257	210.016	0.0253592	4.76968e-05	0.356924	299.584	0.00365329	189.691	4.08632	1.63708	4.60259	23.8565	0.383012	0.000719193	32.7591	112.661	81.2054	0.406768	174.155	368.54	28.7903	76.6727	91.032	8.879	98.2757	1405.67	18.3878	100	5.11975	25.8454	0.0013983	66.9845	2.66975	150	23.3273	37.3387	0	0.0889885	0.00102108	1.72426	0.0252168	0.00251647	0.584031	4.74279	10.1418	1.7587e-23	200	0	0	0.00931623	1.25204e-06	0.000278911	0.0384285	0.561774	0.107799	2.56914e-05	0.0272617	5.19549e-05	0.000101024	0.0020888	1e-05	8.96799
45	0.0283816	6.78014e-30	2.76679	0.474549	0.0917095	187.911	0.617005	262.571	0.705619	0.211529	0.122548	1.25521	172.1	1.52159	49.9972	0.00169582	1.74339e-25	-3.14899e-26	1.97885e-26	2.53877e-29	83.7376	-1.51752e-25	-1.33839e-23	0.000662969	513.329	215.146	0.0254103	4.77054e-05	0.361928	299.557	0.00366362	187.328	4.3844	1.74197	4.93604	25.4116	0.408463	0.000756975	34.919	111.815	80.6941	0.420107	172.857	366.23	30.6947	75.4694	89.1211	10.7485	97.8964	1518.32	18.8858	100	5.13415	27.1429	0.00147151	66.965	3.07542	150	24.5306	38.1847	0	0.130399	0.00108764	2.10356	0.0300619	0.00320924	0.71541	4.67109	10.2177	1.72371e-23	200	0	0	0.00939987	1.24556e-06	0.000275487	0.040705	0.595814	0.115081	2.7363e-05	0.0286805	5.39185e-05	0.00010483	0.00263923	1e-05	10.8789
46	0.0278618	8.09925e-30	2.75082	0.47224	0.0907114	187.547	0.62416	262.591	0.697176	0.209064	0.122669	1.23586	170.468	1.49204	49.9971	0.00171391	1.70962e-25	-5.61383e-26	-5.13837e-26	2.191e-29	78.7621	-3.56631e-25	-1.26861e-23	0.000660332	513.398	219.954	0.0254527	4.7693e-05	0.36652	299.528	0.00367256	184.859	4.69514	1.85124	5.2884	27.033	0.435103	0.000796104	37.1762	110.884	80.1745	0.43454	171.541	363.842	32.6336	74.2465	86.9353	12.876	97.4501	1638.34	19.3909	100	5.14447	28.4591	0.00154726	66.9473	3.52413	150	25.7535	39.1161	0	0.188645	0.00115717	2.54988	0.0356179	0.00406197	0.87736	4.60169	10.2896	1.6886e-23	200	0	0	0.00946928	1.23825e-06	0.000271835	0.0430544	0.630978	0.122708	2.91091e-05	0.0301251	5.58842e-05	0.000108634	0.00331143	1e-05	13.0647
47	0.0273915	9.32073e-30	2.73654	0.470265	0.0897691	187.166	0.631123	262.613	0.689198	0.206745	0.122727	1.2173	168.77	1.46296	49.997	0.00173092	1.67342e-25	-6.55958e-26	-8.82286e-26	1.88185e-29	74.0821	-4.94503e-25	-1.21449e-23	0.000657356	513.465	224.432	0.0254877	4.7662e-05	0.370713	299.499	0.0036803	182.287	5.01781	1.96475	5.66016	28.7194	0.462911	0.000836552	39.5282	109.868	79.6457	0.450058	170.206	361.378	34.6039	73.0086	84.499	15.233	96.9373	1766.02	19.9042	100	5.151	29.7943	0.00162547	66.9313	4.01842	150	26.9914	40.1317	0	0.267951	0.0012296	3.06268	0.0419561	0.00510421	1.07518	4.53464	10.3578	1.65118e-23	200	0	0	0.00952504	1.23022e-06	0.000267992	0.0454707	0.667201	0.130683	3.09278e-05	0.0315905	5.7847e-05	0.000112427	0.00412713	1e-05	15.501
