Time	[EGF]	[I]	[RE]	[Rd]	[Rp]	[GS]	[Rp_GS]	[Shc]	[Rp_Shc]	[Rp_pShc]	[pShc]	[Rp_pShc_GS]	[PI3K]	[Rp_PI3K]	[RasGAP]	[Rp_RasGAP]	[IRL]	[IRp]	[IRp_PI3K]	[IRp_RasGAP]	[IRS]	[IRp_IRS]	[IRp_IRSp]	[IRSp]	[iSrc]	[mIRS]	[mIRSp]	[mIRSp_GS]	[mIRSp_PI3K]	[SHP2]	[mIRSp_SHP2]	[GAB]	[mGAB]	[mGABp]	[mGABp_GS]	[mGABp_PI3K]	[mGABp_SHP2]	[mGABp_pSHP2]	[PIP3]	[dRas]	[Raf]	[aRaf]	[Mek]	[Erk]	[pErk]	[PDK1]	[Akt]	[pAkt]	[mTOR]	[Null]	[aaRaf]	[PKA]	[pShc_GS]	[ppMek]	[mGABp_pSHP2_GS]	[R]	[ppErk]	[IR]	[mPDK1]	[tRas]	[tRas_PI3K]	[ppAkt]	[mGABp_RasGAP]	[amTOR]	[iGS]	[imGAB]	[imIRS]	[aSrc]	[Ri]	[IRi]	[iPX]	[aPX]	[aPX_GS]	[IRSp_PI3K]	[IRSp_GS]	[IRSp_SHP2]	[GABp]	[GABp_PI3K]	[GABp_GS]	[GABp_RasGAP]	[GABp_SHP2]	[GABp_pSHP2]	[GABp_pSHP2_GS]	[imGABp]	[bRasGAP]	[phosphorylated_Akt]
10	0.236122	0	7.05764	2.07536	0.172829	198.171	0.155029	266.833	1.24956	0.294004	0.0337845	1.01138	197.962	1.50342	49.9996	0.000396453	0	0	0	0	289.788	0	0	0.000114786	513.712	10.1932	0.00450147	8.87774e-06	0.0127821	299.983	0.000532898	224.182	0.117207	0.077534	0.0816231	0.509586	0.015037	2.13676e-05	1.77433	137.838	99.4182	0.150156	199.931	399.988	0.0122433	98.6542	99.9341	0.0659303	99.9881	20.2443	0.431675	100	0.578642	0.0689263	3.16406e-05	74.0282	3.80388e-07	150	1.34578	12.1617	0	4.30445e-06	4.01927e-05	0.0118694	3.92593e-10	1.33417e-12	9.80953e-05	4.28817	2.99162	0	200	0	0	0.000309411	2.2647e-07	3.43566e-05	0.00185986	0.0117428	0.00187616	9.53178e-07	0.00104847	1.29522e-06	1.81203e-06	1.75865e-12	1e-05	0.0659346
11	0.211344	0	6.73519	1.91328	0.170872	197.793	0.176563	266.463	1.27104	0.308484	0.0385481	1.16239	197.653	1.63779	49.9995	0.000452959	0	0	0	0	286.866	0	0	0.000147642	513.326	13.1082	0.00569045	1.12084e-05	0.0183596	299.979	0.000693981	223.942	0.140797	0.0929233	0.108861	0.674863	0.0185794	2.94656e-05	2.07877	134.651	99.1484	0.180271	199.875	399.975	0.025424	98.3783	99.9193	0.0806517	99.9849	26.6563	0.671311	100	0.756252	0.124712	4.58608e-05	73.1857	1.64393e-06	150	1.62165	15.3492	0	7.13384e-06	4.9806e-05	0.0150959	1.951e-09	7.94132e-12	0.000181784	4.67438	3.39435	0	200	0	0	0.000454197	2.90953e-07	4.7467e-05	0.0022482	0.0157715	0.00253764	1.19613e-06	0.001353	1.90277e-06	2.82011e-06	1.04807e-11	1e-05	0.0806589
12	0.189902	0	6.42422	1.75879	0.168232	197.412	0.197602	266.114	1.2772	0.318465	0.0432909	1.29629	197.337	1.75287	49.9994	0.000508568	0	0	0	0	283.6	0	0	0.000182185	512.992	16.3663	0.0069274	1.36253e-05	0.0250778	299.975	0.000865232	223.67	0.166634	0.10914	0.140283	0.863705	0.0223438	3.86996e-05	2.39587	131.443	98.8175	0.208474	199.792	399.952	0.0479716	98.0906	99.9035	0.0964465	99.9814	34.103	0.974032	100	0.950458	0.20765	6.26664e-05	72.4567	5.86654e-06	150	1.90944	18.5572	0	1.1076e-05	6.00376e-05	0.0186159	7.91175e-09	3.79932e-11	0.00031282	5.00777	3.78435	0	200	0	0	0.000631309	3.58538e-07	6.21115e-05	0.00265736	0.0204061	0.00330599	1.45567e-06	0.0016824	2.62997e-06	4.08395e-06	4.99197e-11	1e-05	0.0964576
13	0.171262	0	6.12806	1.6153	0.165178	197.033	0.218079	265.786	1.27232	0.324844	0.0480091	1.41178	197.015	1.84985	49.9994	0.000563094	0	0	0	0	280.005	0	0	0.000217577	512.708	19.9512	0.00818505	1.60745e-05	0.0328949	299.97	0.00104236	223.366	0.194863	0.126199	0.17591	1.07585	0.0263225	4.89451e-05	2.72646	128.33	98.4271	0.234299	199.676	399.916	0.0838129	97.7914	99.8866	0.113355	99.9776	42.6278	1.33861	100	1.15737	0.323659	8.18164e-05	71.8229	1.79519e-05	150	2.20858	21.6701	0	1.63492e-05	7.0861e-05	0.0224195	2.7232e-08	1.52412e-10	0.000507219	5.29154	4.16041	0	200	0	0	0.000839901	4.27555e-07	7.78573e-05	0.00308736	0.0256376	0.00418144	1.73078e-06	0.00203377	3.46682e-06	5.59159e-06	1.98586e-10	1e-05	0.113371
14	0.15499	0	5.84852	1.48429	0.161889	196.659	0.237959	265.477	1.25967	0.328378	0.05269	1.5088	196.684	1.93018	49.9993	0.000616427	0	0	0	0	276.099	0	0	0.000253111	512.47	23.8467	0.00944078	1.85115e-05	0.0417406	299.966	0.00122168	223.03	0.225648	0.14414	0.215774	1.31111	0.0305164	6.00874e-05	3.07175	125.405	97.981	0.257455	199.522	399.862	0.137517	97.4808	99.8685	0.13146	99.9735	52.2776	1.76151	100	1.37322	0.478257	0.000103058	71.2696	4.84551e-05	150	2.51917	24.5949	0	2.31989e-05	8.22733e-05	0.0265098	8.19517e-08	5.29252e-10	0.000783479	5.52954	4.52195	0	200	0	0	0.0010782	4.96611e-07	9.42862e-05	0.00353888	0.0314584	0.00516433	2.02114e-06	0.0024053	4.40182e-06	7.32347e-06	6.81963e-10	1e-05	0.131483
15	0.140732	0	5.58638	1.36605	0.158484	196.294	0.257225	265.189	1.24175	0.329691	0.057315	1.58816	196.344	1.9954	49.9992	0.000668503	0	0	0	0	271.896	0	0	0.00028821	512.274	28.0375	0.0106765	2.09011e-05	0.0515234	299.961	0.00140014	222.662	0.259179	0.163014	0.259922	1.56942	0.0349325	7.20271e-05	3.43321	122.738	97.4847	0.27778	199.324	399.786	0.214184	97.1582	99.8491	0.150886	99.9691	63.1037	2.23748	100	1.59457	0.676351	0.000126152	70.7849	0.000117873	150	2.84179	27.2618	0	3.19113e-05	9.42896e-05	0.030901	2.20585e-07	1.63016e-09	0.00116267	5.72582	4.86873	0	200	0	0	0.00134373	5.64586e-07	0.000111019	0.004013	0.0378637	0.0062553	2.32697e-06	0.00279612	5.42334e-06	9.25635e-06	2.07327e-09	1e-05	0.150918
16	0.128199	-1.91539e-36	5.34173	1.26019	0.155041	195.939	0.275876	264.919	1.22036	0.329284	0.0618622	1.65118	195.993	2.04703	49.9992	0.000719291	-1.93755e-30	-3.17126e-26	6.06551e-29	2.01578e-35	267.412	4.06383e-26	2.69422e-27	0.000322421	512.116	32.5088	0.0118779	2.32163e-05	0.0621383	299.955	0.00157532	222.262	0.29567	0.182887	0.30842	1.85086	0.0395825	8.46812e-05	3.81251	120.377	96.9447	0.295216	199.078	399.68	0.319318	96.8227	99.8282	0.171793	99.9644	75.1627	2.76006	100	1.81832	0.922104	0.000150887	70.3588	0.000262771	150	3.17733	29.6227	0	4.28311e-05	0.000106938	0.0356182	5.40526e-07	4.5391e-09	0.00166859	5.88442	5.20082	-1.34435e-27	200	0	0	0.00163356	6.30604e-07	0.00012773	0.00451114	0.0448515	0.00745542	2.64886e-06	0.00320605	6.52047e-06	1.13662e-05	5.69024e-09	1e-05	0.171836
17	0.117148	-2.30249e-34	5.11425	1.16593	0.151614	195.595	0.293916	264.668	1.19684	0.327556	0.0663087	1.69942	195.63	2.08658	49.9991	0.000768784	1.3031e-28	-3.38926e-25	-2.21096e-26	2.4092e-31	262.66	1.47046e-24	4.70601e-25	0.000355395	511.991	37.2469	0.0130345	2.5437e-05	0.0734721	299.95	0.00174531	221.829	0.335357	0.203833	0.361358	2.15565	0.0444819	9.79832e-05	4.21148	118.351	96.3682	0.30979	198.781	399.541	0.458675	96.4731	99.8056	0.194375	99.9593	88.5169	3.32203	100	2.04176	1.21884	0.000177087	69.983	0.000543904	150	3.5269	31.6491	0	5.63812e-05	0.000120257	0.040696	1.22276e-06	1.15984e-08	0.00232804	6.00922	5.51843	5.76599e-26	200	0	0	0.00194444	6.94003e-07	0.000144147	0.00503498	0.0524234	0.00876628	2.98769e-06	0.00363543	7.68345e-06	1.36302e-05	1.43177e-08	1e-05	0.194431
18	0.107378	2.76585e-33	4.90334	1.08232	0.148236	195.262	0.311357	264.435	1.17212	0.324818	0.0706324	1.73457	195.252	2.11542	49.999	0.000816985	5.11448e-28	-8.85259e-26	-5.25061e-27	4.44098e-31	257.654	1.3602e-24	1.04265e-24	0.000386873	511.896	42.2387	0.0141383	2.75487e-05	0.0854082	299.944	0.00190871	221.362	0.378501	0.225936	0.41885	2.48417	0.0496485	0.000111882	4.63208	116.671	95.7625	0.321603	198.431	399.361	0.638119	96.1082	99.7811	0.218865	99.9538	103.235	3.91586	100	2.26261	1.56903	0.000204607	69.6508	0.00105632	150	3.89178	33.3295	0	7.30866e-05	0.000134293	0.0461786	2.58232e-06	2.75257e-08	0.00317113	6.10387	5.82188	8.7322e-26	200	0	0	0.00227298	7.54303e-07	0.000160052	0.00558638	0.0605848	0.01019	3.34458e-06	0.00408499	8.90388e-06	1.60277e-05	3.34375e-08	1e-05	0.218938
19	0.0987179	9.27947e-33	4.7082	1.00834	0.14493	194.941	0.328213	264.22	1.14687	0.321318	0.0748133	1.7583	194.858	2.13484	49.999	0.000863907	7.3773e-28	1.89431e-25	-4.52898e-26	3.99046e-31	252.406	8.14137e-25	1.50964e-24	0.000416674	511.828	47.4716	0.0151842	2.95421e-05	0.0978302	299.938	0.00206448	220.86	0.425386	0.249285	0.481038	2.83695	0.0551031	0.00012634	5.07642	115.333	95.1351	0.330813	198.026	399.135	0.86347	95.7267	99.7544	0.24554	99.9479	119.393	4.53406	100	2.47895	1.97425	0.000233338	69.3564	0.00194126	150	4.27334	34.6669	0	9.36039e-05	0.000149099	0.0521198	5.13765e-06	6.12673e-08	0.00423176	6.17176	6.11157	7.95389e-26	200	0	0	0.00261573	8.11173e-07	0.000175274	0.0061674	0.0693444	0.0117293	3.72082e-06	0.00455574	1.01747e-05	1.85406e-05	7.32057e-08	1e-05	0.245633
