Time	[PII]	[UTP]	[PIIUMP]	[PPi]	[GLN]	[PIIUMP2]	[PIIUMP3]	[UMP]	[GS]	[AMP]	[NH4]	[KG]	[NADPH]	[GLU]	[NADP]	[AZGLU]	[ATP]	[ADP]	[AZglu]	[AZGLN]	[AZgln]	[P_i]
24	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
25	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
26	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
27	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
28	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
29	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
30	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
31	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
32	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
33	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
34	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
35	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
36	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
37	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
38	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
39	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
40	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
41	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
42	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
43	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
44	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
45	1.85329e-05	0.5	9.39148e-05	0.05	0.597589	0.000475909	0.00241164	0.01	0.0125463	0.0014537	0.05	0.2	0.15	4.02883	0.05	0.743254	5.15849	0.211511	0.1	0.529385	0.1	10
