Time	[Smad2c]	[Smad2n]	[Smad4c]	[Smad4n]	[T1R_Surf]	[T1R_Cave]	[T1R_EE]	[T2R_Surf]	[T2R_Cave]	[T2R_EE]	[LRC_Surf]	[LRC_Cave]	[LRC_EE]	[Smads_Complex_c]	[Smads_Complex_n]	[TGF_beta]
49	273.301	179.368	916.285	536.054	0.0227044	0.583676	0.566387	0.0175595	0.393842	0.147775	0.10392	0.00319322	0.939372	101.46	410.63	0.0771206
50	273.27	179.396	916.235	536.141	0.0221253	0.569498	0.552525	0.0178487	0.385112	0.145124	0.102889	0.00315809	0.937827	101.336	411.066	0.0770877
51	273.282	179.433	916.231	536.224	0.0215554	0.555654	0.538994	0.0181477	0.376797	0.142717	0.101871	0.00312426	0.936008	101.202	411.396	0.0770554
52	273.333	179.477	916.27	536.304	0.020995	0.542136	0.525785	0.0184565	0.368886	0.140543	0.100866	0.00309162	0.93393	101.059	411.627	0.0770237
53	273.421	179.528	916.351	536.38	0.0204443	0.528935	0.512888	0.0187752	0.361367	0.138592	0.0998722	0.00306008	0.931606	100.907	411.765	0.0769924
54	273.545	179.587	916.469	536.454	0.0199035	0.516041	0.500296	0.0191037	0.354229	0.136855	0.0988903	0.00302955	0.929048	100.747	411.817	0.0769617
55	273.703	179.652	916.625	536.526	0.0193729	0.503448	0.488	0.0194423	0.347461	0.135322	0.0979195	0.00299996	0.926269	100.577	411.789	0.0769315
56	273.891	179.724	916.814	536.596	0.0188528	0.491147	0.475992	0.0197907	0.341053	0.133986	0.0969593	0.00297124	0.923282	100.399	411.685	0.0769018
57	274.111	179.803	917.037	536.665	0.0183432	0.479131	0.464265	0.020149	0.334995	0.132839	0.0960092	0.00294333	0.920097	100.212	411.51	0.0768726
58	274.358	179.887	917.29	536.732	0.0178443	0.467393	0.452812	0.0205172	0.329277	0.131873	0.0950689	0.00291617	0.916724	100.017	411.267	0.0768439
59	274.633	179.978	917.573	536.798	0.0173563	0.455926	0.441626	0.0208953	0.323891	0.131081	0.0941379	0.00288972	0.913174	99.8137	410.961	0.0768157
60	274.934	180.074	917.885	536.863	0.0168792	0.444724	0.430701	0.0212831	0.318825	0.130456	0.0932161	0.00286393	0.909457	99.6025	410.596	0.076788
61	275.26	180.175	918.223	536.927	0.0164132	0.433781	0.420031	0.0216806	0.314074	0.129993	0.0923031	0.00283875	0.905581	99.3836	410.173	0.0767607
62	275.61	180.282	918.587	536.991	0.0159583	0.423091	0.40961	0.0220877	0.309627	0.129684	0.0913986	0.00281417	0.901556	99.1572	409.696	0.076734
63	275.983	180.394	918.976	537.055	0.0155144	0.412648	0.399431	0.0225042	0.305476	0.129525	0.0905024	0.00279013	0.897389	98.9235	409.168	0.0767076
64	276.377	180.51	919.388	537.118	0.0150818	0.402446	0.389491	0.0229301	0.301615	0.129511	0.0896143	0.00276661	0.893088	98.6826	408.591	0.0766818
65	276.792	180.632	919.823	537.18	0.0146602	0.392481	0.379782	0.0233652	0.298035	0.129634	0.0887341	0.00274359	0.888662	98.4347	407.967	0.0766564
66	277.228	180.758	920.279	537.243	0.0142497	0.382747	0.370301	0.0238093	0.294729	0.129892	0.0878617	0.00272104	0.884117	98.1802	407.298	0.0766314
67	277.682	180.888	920.757	537.305	0.0138502	0.373239	0.361043	0.0242623	0.291689	0.13028	0.086997	0.00269893	0.87946	97.9192	406.587	0.0766069
68	278.156	181.023	921.254	537.368	0.0134617	0.363953	0.352002	0.0247239	0.288909	0.130792	0.0861397	0.00267726	0.874698	97.6518	405.835	0.0765828
69	278.647	181.162	921.771	537.43	0.0130841	0.354884	0.343174	0.0251939	0.286383	0.131424	0.08529	0.00265599	0.869837	97.3783	405.043	0.0765592
70	279.155	181.304	922.306	537.492	0.0127171	0.346028	0.334554	0.0256721	0.284102	0.132173	0.0844476	0.00263512	0.864884	97.0988	404.214	0.076536
71	279.68	181.451	922.859	537.554	0.0123608	0.337379	0.326139	0.0261583	0.282062	0.133034	0.0836126	0.00261462	0.859844	96.8137	403.349	0.0765132
72	280.22	181.601	923.429	537.616	0.0120149	0.328935	0.317925	0.0266523	0.280255	0.134004	0.0827849	0.00259449	0.854722	96.5229	402.449	0.0764909
73	280.776	181.755	924.015	537.679	0.0116794	0.32069	0.309906	0.0271537	0.278676	0.135079	0.0819645	0.00257471	0.849524	96.2268	401.516	0.0764689
74	281.347	181.912	924.617	537.741	0.0113539	0.312642	0.302079	0.0276623	0.277319	0.136255	0.0811515	0.00255528	0.844256	95.9254	400.551	0.0764474
75	281.931	182.073	925.235	537.803	0.0110384	0.304785	0.29444	0.0281778	0.276177	0.137529	0.0803457	0.00253618	0.838923	95.6191	399.556	0.0764263
76	282.53	182.237	925.867	537.866	0.0107327	0.297116	0.286985	0.0287	0.275245	0.138898	0.0795473	0.0025174	0.833528	95.3078	398.53	0.0764056
77	283.141	182.403	926.513	537.928	0.0104365	0.289631	0.279711	0.0292285	0.274518	0.140358	0.0787564	0.00249894	0.828077	94.9919	397.477	0.0763853
78	283.766	182.573	927.173	537.991	0.0101497	0.282327	0.272614	0.0297631	0.273989	0.141906	0.0779728	0.00248079	0.822575	94.6714	396.395	0.0763654
79	284.402	182.746	927.846	538.054	0.00987191	0.275199	0.26569	0.0303034	0.273654	0.14354	0.0771967	0.00246294	0.817025	94.3465	395.288	0.0763459
80	285.051	182.921	928.532	538.117	0.00960308	0.268245	0.258936	0.0308493	0.273507	0.145255	0.0764282	0.00244539	0.811432	94.0175	394.155	0.0763268
81	285.71	183.099	929.23	538.18	0.00934291	0.261461	0.252348	0.0314003	0.273544	0.14705	0.0756672	0.00242814	0.8058	93.6843	392.997	0.0763081
82	286.381	183.28	929.94	538.243	0.00909119	0.254842	0.245923	0.0319562	0.273758	0.148921	0.0749139	0.00241117	0.800133	93.3472	391.816	0.0762897
83	287.062	183.463	930.661	538.306	0.00884769	0.248387	0.239657	0.0325167	0.274145	0.150865	0.0741682	0.00239449	0.794434	93.0064	390.613	0.0762718
84	287.753	183.649	931.393	538.37	0.00861217	0.242092	0.233547	0.0330815	0.2747	0.15288	0.0734303	0.00237809	0.788708	92.6619	389.387	0.0762542
85	288.454	183.837	932.135	538.433	0.00838441	0.235952	0.22759	0.0336503	0.275419	0.154964	0.0727003	0.00236197	0.782958	92.314	388.14	0.076237
86	289.164	184.027	932.887	538.497	0.00816417	0.229965	0.221783	0.0342228	0.276296	0.157113	0.0719781	0.00234613	0.777187	91.9627	386.873	0.0762201
87	289.883	184.219	933.649	538.56	0.00795123	0.224129	0.216122	0.0347988	0.277326	0.159325	0.0712638	0.00233055	0.771398	91.6083	385.587	0.0762036
88	290.611	184.413	934.421	538.624	0.00774536	0.218438	0.210605	0.0353779	0.278506	0.161598	0.0705575	0.00231525	0.765596	91.2508	384.282	0.0761875
89	291.347	184.609	935.201	538.688	0.00754633	0.212892	0.205227	0.0359599	0.279831	0.163928	0.0698593	0.00230022	0.759782	90.8903	382.958	0.0761718
90	292.091	184.807	935.99	538.751	0.00735393	0.207485	0.199987	0.0365445	0.281296	0.166315	0.0691691	0.00228545	0.75396	90.5271	381.618	0.0761564
91	292.843	185.007	936.787	538.815	0.00716795	0.202216	0.194881	0.0371315	0.282897	0.168754	0.068487	0.00227095	0.748133	90.1613	380.261	0.0761413
92	293.602	185.208	937.591	538.879	0.00698816	0.197081	0.189906	0.0377206	0.284629	0.171245	0.067813	0.00225671	0.742304	89.793	378.888	0.0761266
93	294.368	185.411	938.404	538.943	0.00681436	0.192078	0.185059	0.0383116	0.286489	0.173785	0.0671473	0.00224273	0.736476	89.4222	377.499	0.0761122
94	295.14	185.616	939.223	539.007	0.00664634	0.187203	0.180338	0.0389041	0.288473	0.176371	0.0664897	0.002229	0.73065	89.0493	376.096	0.0760982
95	295.919	185.822	940.049	539.071	0.00648392	0.182453	0.175739	0.0394981	0.290575	0.179002	0.0658404	0.00221554	0.72483	88.6742	374.68	0.0760844
96	296.703	186.029	940.882	539.134	0.00632688	0.177826	0.17126	0.0400932	0.292793	0.181675	0.0651993	0.00220233	0.719019	88.2972	373.249	0.0760711
97	297.494	186.238	941.72	539.198	0.00617506	0.173319	0.166898	0.0406892	0.295123	0.184388	0.0645664	0.00218937	0.713217	87.9182	371.806	0.076058
98	298.29	186.448	942.565	539.262	0.00602825	0.16893	0.162651	0.041286	0.29756	0.18714	0.0639418	0.00217667	0.707429	87.5376	370.351	0.0760453
99	299.09	186.659	943.415	539.326	0.00588629	0.164654	0.158515	0.0418833	0.300101	0.189928	0.0633255	0.00216421	0.701655	87.1554	368.884	0.0760328
100	299.896	186.871	944.27	539.389	0.00574901	0.160491	0.154488	0.0424809	0.302742	0.192751	0.0627174	0.002152	0.695898	86.7717	367.406	0.0760207
