Time	[V]	[C]
0	1	0
1	1.00085	0.0456158
2	1.00082	0.0636491
3	1.00044	0.0707901
4	0.999927	0.0736347
5	0.999359	0.0747848
6	0.99877	0.0752665
7	0.998172	0.0754844
8	0.997571	0.0755981
9	0.996968	0.0756708
10	0.996364	0.0757272
11	0.995761	0.0757773
12	0.995157	0.0758249
13	0.994552	0.0758715
14	0.993948	0.0759179
15	0.993343	0.0759641
16	0.992738	0.0760103
17	0.992133	0.0760566
18	0.991528	0.076103
19	0.990923	0.0761494
20	0.990318	0.0761959
21	0.989712	0.0762424
22	0.989106	0.076289
23	0.9885	0.0763357
24	0.987894	0.0763825
25	0.987288	0.0764293
26	0.986681	0.0764762
27	0.986075	0.0765232
28	0.985468	0.0765702
29	0.984861	0.0766173
30	0.984254	0.0766645
31	0.983646	0.0767118
32	0.983039	0.0767591
33	0.982431	0.0768065
34	0.981823	0.076854
35	0.981215	0.0769015
36	0.980607	0.0769491
37	0.979999	0.0769968
38	0.97939	0.0770445
39	0.978782	0.0770924
40	0.978173	0.0771403
41	0.977564	0.0771882
42	0.976955	0.0772363
43	0.976345	0.0772844
44	0.975736	0.0773326
45	0.975126	0.0773809
46	0.974516	0.0774292
47	0.973906	0.0774776
48	0.973296	0.0775261
49	0.972686	0.0775747
50	0.972075	0.0776233
51	0.971465	0.077672
52	0.970854	0.0777208
53	0.970243	0.0777697
54	0.969631	0.0778186
55	0.96902	0.0778676
56	0.968408	0.0779167
57	0.967797	0.0779659
58	0.967185	0.0780151
59	0.966573	0.0780644
60	0.965961	0.0781138
61	0.965348	0.0781633
62	0.964736	0.0782128
63	0.964123	0.0782624
64	0.96351	0.0783121
65	0.962897	0.0783619
66	0.962284	0.0784118
67	0.96167	0.0784617
68	0.961056	0.0785117
69	0.960443	0.0785618
70	0.959829	0.0786119
71	0.959215	0.0786622
72	0.9586	0.0787125
73	0.957986	0.0787629
74	0.957371	0.0788134
75	0.956757	0.0788639
76	0.956142	0.0789145
77	0.955526	0.0789653
78	0.954911	0.079016
79	0.954296	0.0790669
80	0.95368	0.0791179
81	0.953064	0.0791689
82	0.952448	0.07922
83	0.951832	0.0792712
84	0.951216	0.0793225
85	0.950599	0.0793738
86	0.949982	0.0794252
87	0.949366	0.0794768
88	0.948749	0.0795283
89	0.948131	0.07958
90	0.947514	0.0796318
91	0.946896	0.0796836
92	0.946279	0.0797355
93	0.945661	0.0797875
94	0.945043	0.0798396
95	0.944425	0.0798918
96	0.943806	0.079944
97	0.943188	0.0799964
98	0.942569	0.0800488
99	0.94195	0.0801013
100	0.941331	0.0801539
