Time	[Osteoclasts]	[Osteoblasts]	[BoneMass]
0	1.06066	212.132	100
1	1.06066	212.132	100
2	1.06066	212.132	100
3	1.06066	212.132	100
4	1.06066	212.132	100
5	1.06066	212.132	100
6	1.06066	212.132	100
7	1.06066	212.132	100
8	1.06066	212.132	100
9	1.06066	212.132	100
10	1.06066	212.132	100
11	1.06066	212.132	100
12	1.06066	212.132	100
13	1.06066	212.132	100
14	1.06066	212.132	100
15	1.06066	212.132	100
16	1.06066	212.132	100
17	1.06066	212.132	100
18	1.06066	212.132	100
19	1.06066	212.132	100
20	1.06066	212.132	100
21	1.06066	212.132	100
22	1.06066	212.132	100
23	1.06066	212.132	100
24	1.06066	212.132	100
25	1.06066	212.132	100
26	1.06066	212.132	100
27	1.06066	212.132	100
28	1.06066	212.132	100
29	1.06066	212.132	100
30	1.06066	212.132	100
31	1.06066	212.132	100
32	1.06066	212.132	100
33	1.06066	212.132	100
34	1.06066	212.132	100
35	1.06066	212.132	100
36	1.06066	212.132	100
37	1.06066	212.132	100
38	1.06066	212.132	100
39	1.06066	212.132	100
40	1.06066	212.132	100
41	1.06066	212.132	100
42	1.06066	212.132	100
43	1.06066	212.132	100
44	1.06066	212.132	100
45	1.06066	212.132	100
46	1.06066	212.132	100
47	1.06066	212.132	100
48	1.06066	212.132	100
49	1.06066	212.132	100
50	1.06066	212.132	100
51	1.06066	212.132	100
52	1.06066	212.132	100
53	1.06066	212.132	100
54	1.06066	212.132	100
55	1.06066	212.132	100
56	1.06066	212.132	100
57	1.06066	212.132	100
58	1.06066	212.132	100
59	1.06066	212.132	100
60	1.06066	212.132	100
61	1.06066	212.132	100
62	1.06066	212.132	100
63	1.06066	212.132	100
64	1.06066	212.132	100
65	1.06066	212.132	100
66	1.06066	212.132	100
67	1.06066	212.132	100
68	1.06066	212.132	100
69	1.06066	212.132	100
70	1.06066	212.132	100
71	1.06066	212.132	100
72	1.06066	212.132	100
73	1.06066	212.132	100
74	1.06066	212.132	100
75	1.06066	212.132	100
76	1.06066	212.132	100
77	1.06066	212.132	100
78	1.06066	212.132	100
79	1.06066	212.132	100
80	1.06066	212.132	100
81	1.06066	212.132	100
82	1.06066	212.132	100
83	1.06066	212.132	100
84	1.06066	212.132	100
85	1.06066	212.132	100
86	1.06066	212.132	100
87	1.06066	212.132	100
88	1.06066	212.132	100
89	1.06066	212.132	100
90	1.06066	212.132	100
91	1.06066	212.132	100
92	1.06066	212.132	100
93	1.06066	212.132	100
94	1.06066	212.132	100
95	1.06066	212.132	100
96	1.06066	212.132	100
97	1.06066	212.132	100
98	1.06066	212.132	100
99	1.06066	212.132	100
100	1.06066	212.132	100
