Time	[IIa]	[VIII]	[VIIIa]	[APC_PS]	[IX]	[IXa]	[XIa]	[XI]	[XIIa]	[VII]	[VIIa]	[X]	[Xa]	[IXa_VIIIa]	[V]	[Va]	[II]	[F]	[Fg]	[DP]	[P]	[XF]	[XIII]	[Pg]	[APC]	[IIa_Tmod]	[PC]	[Tmod]	[TF]	[VIIa_TF]	[VII_TF]	[Xa_TFPI]	[TFPI]	[PS]	[VKH2]	[Va_Xa]	[CA]	[XII]	[K]	[ATIII_Heparin]	[Xa_ATIII_Heparin]	[VK]	[C_warf]	[VKO]	[Pk]	[FDP]	[D]	[TAT]	[VIIa_TF_Xa_TFPI]	[XIIIa]	[IIa_ATIII_Heparin]	[A_warf]	[IXa_ATIII_Heparin]	[VK_p]	Values[Integral_Fibrin]
0	0	0.7	0	0	89.6	0	4.5288	10.3734	0	10	0	174.3	0	0	26.7	0	1394.4	0	8945.5	0	0	0	70.3	2154.3	0	0	60	50	0	0	0	0	2.5	300	0.1	0	0	375	0	0	0	1	0	0.1	450	0	0	0	0	0	0	0	0	0	0
1	1.44715e-05	8.68091e-07	0.00202791	0.000106189	26.8643	2.48505e-05	9.91607e-06	4.37309	0	3.25588	2.30727e-06	52.9625	5.18628e-05	6.39577e-07	0.386915	0.003066	381.653	34.0747	51.2575	619.539	0.444847	572.843	6.47433	450.485	4.38787e-06	1.92412e-05	5.88593	4.17535	0	1.95123e-27	0	3.09722e-05	2.49997	86.9133	0.0344613	1.35652e-07	0	127.982	0	0	0	0.435268	0	0.0334178	164.631	115.253	504.285	57.9267	-2.39927e-32	9.3799	0	0	0	0.0226956	418.2
2	5.29943e-12	0.00914821	0.00025007	1.09363e-10	27.0112	2.46502e-11	7.4324e-12	6.86891	0	3.29188	3.76279e-12	53.1283	4.84816e-11	3.64091e-13	1.49229	7.44649e-09	382.811	1.97099	310.989	498.887	0.0294335	570.417	6.70364	531.156	3.5923e-12	1.38973e-11	6.64426	6.41023	0	-4.68872e-29	0	5.2598e-11	2.5	87.2445	0.0371569	4.19326e-16	0	130.929	0	0	0	0.511859	0	0.0338967	178.549	9.56673	489.32	47.4264	-1.1071e-39	4.70475	0	0	0	0.050582	428.812
3	2.40663e-20	0.0479148	3.10028e-11	8.16189e-18	27.2347	1.68172e-18	1.78585e-19	9.12722	0	3.3595	1.09674e-19	53.3891	2.24441e-19	9.41441e-22	2.55325	2.23792e-16	384.395	0.318878	577.729	475.651	0.00520257	543.649	6.93218	610.089	9.81998e-20	3.33416e-19	7.45786	8.53613	0	1.11898e-30	0	1.02682e-18	2.5	87.725	0.0406548	8.80162e-25	0	133.84	0	0	0	0.569523	0	0.0349228	191.788	5.91792	469.733	38.8295	2.38993e-49	2.35979	0	0	0	0.0823664	429.655
4	-2.16311e-24	0.0846599	-2.67289e-15	-5.66923e-22	27.5461	-1.43441e-22	-2.09846e-23	11.1706	0	3.46115	-1.08765e-23	53.7598	-3.61417e-23	-1.63198e-25	3.56955	-2.46811e-20	386.473	0.109741	839.126	457.92	0.0019493	517.214	7.15989	685.343	-9.97959e-23	-3.91046e-23	8.33962	10.5583	0	-1.58107e-28	0	-1.26252e-22	2.5	88.3784	0.0444589	-1.91436e-28	0	136.717	0	0	0	0.613089	0	0.0364918	204.381	7.55294	450.367	31.7909	8.88952e-50	1.18362	0	0	0	0.117085	429.842
5	-3.29301e-22	0.119334	6.45979e-14	-4.31512e-20	27.9465	-3.17979e-23	8.80395e-23	13.0196	0	3.59453	-6.74607e-25	54.2427	-3.86995e-24	-1.8124e-26	4.54308	1.98645e-19	389.062	0.0601782	1093.03	441.274	0.00115989	491.983	7.38679	756.957	4.29468e-20	1.77202e-22	9.29021	12.4819	0	-4.24461e-28	0	-1.10646e-23	2.5	89.2088	0.0482595	2.4741e-30	0	139.559	0	0	0	0.646171	0	0.0385202	216.36	9.72103	431.553	26.0282	-7.37307e-50	0.593673	0	0	0	0.154019	429.922
6	-1.73834e-23	0.152055	2.08523e-14	7.63747e-21	28.4307	6.67967e-24	1.91174e-23	14.6926	0	3.75485	7.60893e-26	54.8326	5.48707e-25	2.83035e-27	5.47564	5.60328e-20	392.14	0.0429145	1339.14	425.291	0.000893196	467.97	7.61287	825.087	-7.67745e-21	4.11086e-23	10.3032	14.3117	0	2.98474e-28	0	1.88158e-24	2.5	90.2082	0.0518734	7.86254e-30	0	142.367	0	0	0	0.671464	0	0.0408924	227.755	11.9507	413.341	21.3101	-5.17079e-52	0.297772	0	0	0	0.192636	429.972
7	-8.85386e-23	0.182932	-2.2773e-14	8.71397e-21	28.9901	-9.88017e-23	-5.44577e-24	16.2064	0	3.93633	-4.61823e-25	55.5201	-5.03656e-25	1.62043e-28	6.36894	-5.28231e-20	395.671	0.0352107	1577.49	409.896	0.000786717	445.126	7.83814	889.897	-9.59663e-21	-2.39987e-23	11.3685	16.0523	0	3.19488e-28	0	-8.7757e-26	2.5	91.3618	0.055202	7.70709e-31	0	145.142	0	0	0	0.690966	0	0.0434887	238.594	14.1547	395.741	17.4472	-1.33309e-50	0.149356	0	0	0	0.23254	430.011
8	5.41213e-23	0.212068	-7.79633e-14	1.38166e-20	29.6145	2.26243e-22	-6.29103e-23	17.5761	0	4.13305	1.10669e-24	56.2937	1.22232e-24	-3.12413e-28	7.22465	-2.13132e-19	399.605	0.0310666	1808.27	395.062	0.000740545	423.397	8.0626	951.548	-1.13134e-20	-1.51612e-22	12.4745	17.7079	0	-9.8994e-28	0	1.12212e-26	2.5	92.652	0.0582017	-2.89544e-30	0	147.884	0	0	0	0.706152	0	0.0461999	248.904	16.3086	378.753	14.2846	1.02975e-50	0.0749132	0	0	0	0.273435	430.044
9	8.55403e-23	0.239563	7.74309e-15	-4.20489e-20	30.2936	-3.00648e-23	-2.97329e-24	18.8155	0	4.3395	-7.03736e-25	57.1415	-6.13868e-25	5.5446e-29	8.04434	1.09427e-20	403.893	0.0284445	2031.67	380.775	0.000719105	402.728	8.28625	1010.19	4.25137e-20	-3.28421e-24	13.6093	19.2828	0	1.80359e-27	0	2.0614e-25	2.5	94.06	0.0608638	8.45288e-31	0	150.593	0	0	0	0.718112	0	0.0489341	258.712	18.4034	362.372	11.6952	-8.74496e-51	0.0375747	0	0	0	0.315101	430.073
