Time	[Dshi]	[Dsha]	[APC_ast/Axin_ast/GSK3beta]	[APC/Axin/GSK3beta]	[GSK3beta]	[APC/Axin]	[APC]	[bCatenin/APC_Ast/Axin_ast/GSK3beta]	[bCatenin_ast/APC_ast/Axin_ast/GSK3beta]	[bCatenin_ast]	[bCatenin]	[Axin]	[TCF]	[bCatenin/TCF]	[bCatenin/APC]	[Rasi]	[Rasa]	[Raf-1]	[Raf-1_ast]	[MEK]	[MEK_ast]	[ERK]	[ERK_ast]	[Raf1/RKIP]	[RKIP]	[RKIP_ast]	[unknown molecule X]	[GSK3beta]
19	100	0	0.0152573	0.00760007	49.1383	0.00154668	96.6019	0.00199946	0.00199946	0.98775	42.722	0.000800543	6.18794	8.81206	3.43919	200	0	112.559	6.48597	296.114	3.88634	297.89	2.11028	180.96	418.179	0.861875	10.263	49.1383
20	100	0	0.0152573	0.00760011	49.1383	0.00154669	96.6019	0.00199947	0.00199947	0.987748	42.7222	0.000800547	6.18794	8.81206	3.4392	200	0	112.559	6.48597	296.114	3.88634	297.89	2.11028	180.96	418.179	0.861875	10.263	49.1383
21	100	0	0.0152573	0.00760013	49.1383	0.00154669	96.6019	0.00199947	0.00199947	0.987748	42.7223	0.00080055	6.18793	8.81207	3.43921	200	0	112.559	6.48597	296.114	3.88634	297.89	2.11028	180.96	418.179	0.861875	10.263	49.1383
22	100	0	0.0152573	0.00760015	49.1383	0.0015467	96.6019	0.00199948	0.00199948	0.987748	42.7224	0.000800552	6.18792	8.81208	3.43922	200	0	112.559	6.48597	296.114	3.88634	297.89	2.11028	180.96	418.179	0.861875	10.263	49.1383
23	100	0	0.0152573	0.00760017	49.1383	0.0015467	96.6019	0.00199948	0.00199948	0.98775	42.7225	0.000800554	6.18791	8.81209	3.43923	200	0	112.559	6.48597	296.114	3.88634	297.89	2.11028	180.96	418.179	0.861875	10.263	49.1383
24	100	0	0.0152573	0.00760019	49.1383	0.0015467	96.6019	0.00199949	0.00199949	0.987752	42.7226	0.000800556	6.1879	8.8121	3.43924	200	0	112.559	6.48597	296.114	3.88634	297.89	2.11028	180.96	418.179	0.861875	10.263	49.1383
25	100	0	0.0152574	0.0076002	49.1383	0.00154671	96.6019	0.0019995	0.00199949	0.987754	42.7227	0.000800557	6.18789	8.81211	3.43924	200	0	112.559	6.48597	296.114	3.88634	297.89	2.11028	180.96	418.179	0.861875	10.263	49.1383
26	100	0	0.0152574	0.00760021	49.1383	0.00154671	96.6018	0.0019995	0.0019995	0.987757	42.7228	0.000800559	6.18788	8.81212	3.43925	200	0	112.559	6.48597	296.114	3.88634	297.89	2.11028	180.96	418.179	0.861875	10.263	49.1383
27	100	0	0.0152574	0.00760022	49.1383	0.00154671	96.6018	0.00199951	0.00199951	0.987759	42.7229	0.00080056	6.18787	8.81213	3.43926	200	0	112.559	6.48597	296.114	3.88634	297.89	2.11028	180.96	418.179	0.861875	10.263	49.1383
28	100	0	0.0152574	0.00760023	49.1383	0.00154671	96.6018	0.00199952	0.00199952	0.987763	42.723	0.000800561	6.18786	8.81214	3.43927	200	0	112.559	6.48597	296.114	3.88634	297.89	2.11028	180.96	418.179	0.861875	10.263	49.1383
