Time	[MKKK]	[MKKK_P]	[MKK]	[MKK_P]	[MKK_PP]	[M]	[M_P]	[M_PP]	[P1]	[P2]	[P3]
0	1000	0	4000	0	0	1000	0	0	100	500	500
1	994.365	5.63527	3999.76	0.242667	8.07645e-06	1000	1.52856e-07	1.22256e-17	100	500	500
2	989.214	10.7857	3999.18	0.815458	9.85319e-05	1000	3.58177e-06	7.00869e-15	100	500	500
3	984.468	15.5319	3998.43	1.57032	0.000389031	1000	2.02698e-05	2.34006e-13	100	500	500
4	980.065	19.9345	3997.57	2.43066	0.000980221	1000	6.48104e-05	2.48791e-12	100	500	500
5	975.959	24.0407	3996.64	3.35714	0.00194691	1000	0.000152717	1.43264e-11	100	500	500
6	972.112	27.8878	3995.67	4.32938	0.00334478	1000	0.000298319	5.65302e-11	100	500	500
7	968.494	31.5061	3994.66	5.33671	0.00521786	999.999	0.000514076	1.73086e-10	100	500	500
8	965.079	34.9207	3993.62	6.37359	0.0076039	999.999	0.000810656	4.42533e-10	100	500	500
9	961.848	38.1524	3992.55	7.43717	0.0105378	999.999	0.0011973	9.89887e-10	100	500	500
10	958.781	41.2186	3991.46	8.5261	0.0140535	999.998	0.00168228	1.99897e-09	100	500	500
11	955.865	44.1346	3990.34	9.63987	0.0181855	999.998	0.00227323	3.72521e-09	100	500	500
12	953.087	46.9132	3989.2	10.7784	0.0229689	999.997	0.00297749	6.50927e-09	100	500	500
13	950.434	49.5656	3988.03	11.9419	0.0284405	999.996	0.00380229	1.07918e-08	100	500	500
14	947.898	52.1019	3986.83	13.1306	0.0346384	999.995	0.00475491	1.713e-08	100	500	500
15	945.469	54.5305	3985.61	14.3451	0.0416023	999.994	0.00584281	2.62153e-08	100	500	500
16	943.141	56.8593	3984.36	15.5856	0.0493737	999.993	0.00707365	3.88939e-08	100	500	500
17	940.905	59.0951	3983.09	16.8527	0.0579955	999.991	0.00845536	5.61889e-08	100	500	500
18	938.756	61.244	3981.79	18.1467	0.0675124	999.99	0.00999618	7.93252e-08	100	500	500
