Time	[pyruvate]	[adpc]	[atpc]	[phosphoenolpyruvate]	[2phosphoglycerate]	[ampc]	[3phosphoglycerate cytosol]	[dihydroxyacetonephosphate cytosol]	[glycerol3phosphate cytosol]	[glucose]	[atpg]	[adpg]	[ampg]	[glucose6phosphate]	[fructose6phosphate]	[fructose16bisphosphate]	[dihydroxyacetonephosphate]	[glyceraldehyde3phosphate]	[nad]	[nadh]	[bisphosphoglycerate]	[glycerol3phosphate]	[3phosphoglycerate]	[glycerol]	[glucose external]	[pyruvate external]	[glycerol external]
64	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
65	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
66	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
67	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
68	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
69	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
70	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
71	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
72	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
73	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
74	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
75	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
76	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
77	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
78	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
79	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
80	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
81	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
82	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
83	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
84	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
85	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
86	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
87	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
88	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
89	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
90	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
91	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
92	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
93	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
94	13.4213	0.844718	2.94831	1.44174	0.458257	0.106973	15.85	3.56035	1.43965	0.00677767	4.59858	1.251	0.150422	0.830005	0.209071	13.9085	3.94724	0.126513	3.92919	0.0708109	0.0258125	1.59615	15.8502	5.77213e-06	5	0	0
