Time	[NICD]	[Notch]	[Notch TM]	[Gamma secretase]	[DAPT]	[RBP-jk]	[Complex NICD-RBP]	[Hes-1]	[Shh]	[Ptch1]	[Complex Shh Ptch1]	[smo]	[SAG]	[EGF]	[EGFR]	[Complex EGF-EGFR]	[Erlotinib]	[Wnt]	[Frzzl]	[Complex Wnt-Frzzl]	[Dishevelled]	[FRAT-CK2]	[Complex Dishevelled-FRAT-CK2]	[GSK3B]	[Beta-catenin]	[Complex GSK3B-Bcatenin]	[6 bromoindirubin 3`oxime]
21	0.393367	4.2738	0.726201	5	100	4.66717	1.8116	1.80251	1.79129	1.79129	3.20871	5	0	2.6486	2.6486	1.84129	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.54042	1.76927	0.459577	100
22	0.398543	4.24445	0.75555	5	100	4.64299	1.8264	1.81675	1.79129	1.79129	3.20871	5	0	2.59874	2.59874	1.85343	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.52258	1.78428	0.477416	100
23	0.403575	4.21552	0.784479	5	100	4.6191	1.84039	1.83024	1.79129	1.79129	3.20871	5	0	2.55151	2.55151	1.86497	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.50471	1.7985	0.495295	100
24	0.40847	4.187	0.812996	5	100	4.59547	1.85363	1.84304	1.79129	1.79129	3.20871	5	0	2.50671	2.50671	1.87596	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.4868	1.81199	0.513202	100
25	0.413238	4.1589	0.841105	5	100	4.57213	1.86618	1.85518	1.79129	1.79129	3.20871	5	0	2.46418	2.46418	1.88642	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.46887	1.82478	0.531129	100
26	0.417884	4.13119	0.868813	5	100	4.54907	1.87806	1.86671	1.79129	1.79129	3.20871	5	0	2.42377	2.42377	1.89638	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.45093	1.83693	0.549068	100
27	0.422415	4.10387	0.896126	5	100	4.52629	1.88933	1.87767	1.79129	1.79129	3.20871	5	0	2.38535	2.38535	1.90587	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.43299	1.84847	0.567011	100
28	0.426838	4.07695	0.923049	5	100	4.50379	1.90003	1.88808	1.79129	1.79129	3.20871	5	0	2.3488	2.3488	1.91491	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.41505	1.85944	0.584952	100
29	0.431156	4.05041	0.949589	5	100	4.48157	1.91017	1.89798	1.79129	1.79129	3.20871	5	0	2.31399	2.31399	1.92353	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.39712	1.86988	0.602883	100
30	0.435375	4.02425	0.97575	5	100	4.45962	1.91981	1.90739	1.79129	1.79129	3.20871	5	0	2.28082	2.28082	1.93175	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.3792	1.8798	0.620798	100
31	0.4395	3.99846	1.00154	5	100	4.43796	1.92896	1.91635	1.79129	1.79129	3.20871	5	0	2.2492	2.2492	1.93959	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.36131	1.88925	0.638692	100
32	0.443535	3.97304	1.02696	5	100	4.41657	1.93765	1.92488	1.79129	1.79129	3.20871	5	0	2.21902	2.21902	1.94706	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.34344	1.89825	0.656559	100
33	0.447483	3.94798	1.05202	5	100	4.39546	1.94592	1.933	1.79129	1.79129	3.20871	5	0	2.19022	2.19022	1.95419	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.32561	1.90682	0.674394	100
34	0.451349	3.92327	1.07673	5	100	4.37462	1.95378	1.94073	1.79129	1.79129	3.20871	5	0	2.1627	2.1627	1.96099	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.30781	1.91499	0.692192	100
35	0.455135	3.89892	1.10108	5	100	4.35405	1.96125	1.9481	1.79129	1.79129	3.20871	5	0	2.13641	2.13641	1.96747	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.29005	1.92277	0.709949	100
36	0.458844	3.87491	1.12509	5	100	4.33375	1.96835	1.95512	1.79129	1.79129	3.20871	5	0	2.11126	2.11126	1.97366	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.27234	1.93019	0.72766	100
37	0.462481	3.85124	1.14876	5	100	4.31372	1.97511	1.96181	1.79129	1.79129	3.20871	5	0	2.0872	2.0872	1.97957	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.25468	1.93726	0.745323	100
38	0.466046	3.82791	1.17209	5	100	4.29395	1.98154	1.96818	1.79129	1.79129	3.20871	5	0	2.06418	2.06418	1.98521	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.23707	1.94401	0.762933	100
39	0.469543	3.8049	1.1951	5	100	4.27445	1.98766	1.97425	1.79129	1.79129	3.20871	5	0	2.04212	2.04212	1.99058	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.21951	1.95044	0.780487	100
40	0.472975	3.78223	1.21777	5	100	4.2552	1.99348	1.98004	1.79129	1.79129	3.20871	5	0	2.021	2.021	1.99571	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.20202	1.95658	0.797982	100
41	0.476342	3.75987	1.24013	5	100	4.23621	1.99902	1.98556	1.79129	1.79129	3.20871	5	0	2.00075	2.00075	2.00061	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.18459	1.96244	0.815414	100
42	0.479648	3.73782	1.26218	5	100	4.21747	2.00429	1.99082	1.79129	1.79129	3.20871	5	0	1.98133	1.98133	2.00527	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.16722	1.96803	0.832782	100
43	0.482894	3.71609	1.28391	5	100	4.19899	2.0093	1.99583	1.79129	1.79129	3.20871	5	0	1.96271	1.96271	2.00973	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.14992	1.97336	0.850082	100
44	0.486083	3.69466	1.30534	5	100	4.18075	2.01407	2.00061	1.79129	1.79129	3.20871	5	0	1.94484	1.94484	2.01397	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.13269	1.97845	0.867312	100
45	0.489215	3.67354	1.32646	5	100	4.16275	2.01861	2.00516	1.79129	1.79129	3.20871	5	0	1.92768	1.92768	2.01802	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.11553	1.9833	0.88447	100
46	0.492293	3.65271	1.34729	5	100	4.145	2.02293	2.0095	1.79129	1.79129	3.20871	5	0	1.9112	1.9112	2.02188	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.09845	1.98793	0.901554	100
47	0.495318	3.63217	1.36783	5	100	4.12749	2.02703	2.01363	1.79129	1.79129	3.20871	5	0	1.89537	1.89537	2.02556	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.08144	1.99235	0.918561	100
48	0.498292	3.61192	1.38808	5	100	4.11022	2.03093	2.01757	1.79129	1.79129	3.20871	5	0	1.88016	1.88016	2.02906	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.06451	1.99657	0.935491	100
49	0.501215	3.59196	1.40804	5	100	4.09317	2.03463	2.02132	1.79129	1.79129	3.20871	5	0	1.86554	1.86554	2.0324	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.04766	2.00059	0.95234	100
50	0.50409	3.57227	1.42773	5	100	4.07636	2.03816	2.02489	1.79129	1.79129	3.20871	5	0	1.85149	1.85149	2.03558	100	1.79129	1.79129	3.20871	1.79129	1.79129	3.20871	4.03089	2.00442	0.969109	100
