Time	[D]	[CDK5]	[D_CDK5]	[D75]	[CK1]	[D_CK1]	[D137]	[PKA]	[D_PKA]	[D34]	[D34_CDK5]	[D34_CK1]	[PP2B]	[D34_PP2B]	[D34:75]	[D34:137]	[D75_CK1]	[D75_PKA]	[PP2A]	[D75_PP2A]	[PP2AP]	[D75_PP2AP]	[D75:137]	[D137_CDK5]	[D137_PKA]	[D137_PP2C]	[PP2C]	[D34:75_CK1]	[D34:137_CDK5]	[D34:75:137]	[D75:137_PKA]	[D34:75_PP2B]	[D34:137_PP2B]	[D34:75:137_PP2B]	[D34:75_PP2A]	[D75:137_PP2A]	[D34:75:137_PP2A]	[D34:75_PP2AP]	[D75:137_PP2AP]	[D34:75:137_PP2AP]	[D34:137_PP2C]	[D75:137_PP2C]	[PDE]	[PP2Binactive]	[D34:75:137_PP2C]	[CK1P]	[CK1P_PP2B]	[PDE_PKA]	[PDEP]	[PP2A_PKA]	[Ca]	[PP2BinactiveCa2]	[R2C2]	[cAMP]	[cAMP_R2C2]	[cAMP2_R2C2]	[cAMP3_R2C2]	[cAMP4_R2C2]	[cAMP4_R2C]	[cAMP4_R2]	[cAMP_PDE]	[AMP]	[cAMP_PDEP]	[PP2ACa]	[D34:75_PP2ACa]	[D34:75:137_PP2ACa]	[D75_PP2ACa]	[D75:137_PP2ACa]	[D34:75_PP2APCa]	[PP2APCa]	[D34:75:137_PP2APCa]	[D75_PP2APCa]	[D75:137_PP2APCa]	[PP2ACa_PKA]	[Empty]
0	4.98e-06	2e-07	0	0	1.66e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-07	0	0	0	0	0	0	0	1.33e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-06	3.32e-07	0	0	0	0	0	0	0	0	6.64e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	4.26763e-06	7.50819e-08	1.20074e-07	3.13335e-07	4.52503e-08	5.85923e-08	1.81796e-07	0	0	0	0	0	1.52439e-10	0	0	0	4.01057e-09	0	1.93047e-07	6.59008e-09	0	0	1.16564e-08	4.84373e-09	0	1.05956e-08	1.21773e-07	0	0	0	0	0	0	0	0	2.38789e-10	0	0	0	0	0	6.31398e-10	2e-06	3.26598e-07	0	5.81389e-08	7.96172e-12	0	0	0	5.95525e-09	5.24164e-09	6.64e-06	0	0	0	0	0	0	0	0	0	0	1.15804e-10	0	0	7.71051e-12	2.72207e-13	0	0	0	0	0	0	0
2	3.93702e-06	7.78502e-08	1.14706e-07	5.56735e-07	3.00733e-08	3.58819e-08	2.59856e-07	0	0	0	0	0	7.17303e-10	0	0	0	4.91377e-09	0	1.87535e-07	1.15441e-08	0	0	3.4316e-08	7.44416e-09	0	1.49394e-08	1.16152e-07	0	0	0	0	0	0	0	0	7.05818e-10	0	0	0	0	0	1.90879e-09	2e-06	3.20815e-07	0	9.50658e-08	6.52643e-11	0	0	0	6.9922e-09	1.0402e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	1.89454e-10	0	0	2.39942e-11	1.45385e-12	0	0	0	0	0	0	0
3	3.71156e-06	8.02362e-08	1.11355e-07	7.50206e-07	1.99998e-08	2.24534e-08	2.81667e-07	0	0	0	0	0	1.53937e-09	0	0	0	4.44951e-09	0	1.83343e-07	1.52761e-08	0	0	5.4407e-08	8.40895e-09	0	1.60331e-08	1.13932e-07	0	0	0	0	0	0	0	0	1.1051e-09	0	0	0	0	0	3.03497e-09	2e-06	3.15926e-07	0	1.18919e-07	1.7856e-10	0	0	0	7.73402e-09	1.43564e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	2.32454e-10	0	0	4.04321e-11	2.91629e-12	0	0	0	0	0	0	0
4	3.55269e-06	8.22787e-08	1.09241e-07	9.08412e-07	1.36075e-08	1.45756e-08	2.75623e-07	0	0	0	0	0	2.48813e-09	0	0	0	3.67643e-09	0	1.80105e-07	1.82087e-08	0	0	6.81544e-08	8.48047e-09	0	1.56892e-08	1.13485e-07	0	0	0	0	0	0	0	0	1.36623e-09	0	0	0	0	0	3.82589e-09	2e-06	3.11663e-07	0	1.33813e-07	3.2762e-10	0	0	0	8.31208e-09	1.75211e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	2.6069e-10	0	0	5.53628e-11	4.15379e-12	0	0	0	0	0	0	0
5	3.43736e-06	8.4015e-08	1.07887e-07	1.0396e-06	9.74806e-09	1.00514e-08	2.57083e-07	0	0	0	0	0	3.48971e-09	0	0	0	3.00986e-09	0	1.77574e-07	2.05699e-08	0	0	7.5744e-08	8.09776e-09	0	1.47257e-08	1.1398e-07	0	0	0	0	0	0	0	0	1.50084e-09	0	0	0	0	0	4.29466e-09	2e-06	3.07858e-07	0	1.42698e-07	4.92388e-10	0	0	0	8.78792e-09	2.01598e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	2.81128e-10	0	0	6.8632e-11	5.01512e-12	0	0	0	0	0	0	0
6	3.35128e-06	8.54819e-08	1.06999e-07	1.1489e-06	7.57669e-09	7.56575e-09	2.34326e-07	0	0	0	0	0	4.50595e-09	0	0	0	2.57435e-09	0	1.75579e-07	2.24943e-08	0	0	7.86528e-08	7.51942e-09	0	1.35472e-08	1.14941e-07	0	0	0	0	0	0	0	0	1.54321e-09	0	0	0	0	0	4.51226e-09	2e-06	3.04405e-07	0	1.47624e-07	6.5966e-10	0	0	0	9.19391e-09	2.24292e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	2.97087e-10	0	0	8.03744e-11	5.52683e-12	0	0	0	0	0	0	0
7	3.2853e-06	8.67147e-08	1.06391e-07	1.23988e-06	6.50417e-09	6.32162e-09	2.11704e-07	0	0	0	0	0	5.51718e-09	0	0	0	2.37209e-09	0	1.73996e-07	2.40695e-08	0	0	7.85204e-08	6.8947e-09	0	1.23634e-08	1.16078e-07	0	0	0	0	0	0	0	0	1.52796e-09	0	0	0	0	0	4.55828e-09	2e-06	3.01237e-07	0	1.4998e-07	8.22174e-10	0	0	0	9.5487e-09	2.44237e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	3.1026e-10	0	0	9.07535e-11	5.77649e-12	0	0	0	0	0	0	0
8	3.23342e-06	8.77462e-08	1.05948e-07	1.31531e-06	6.13265e-09	5.83159e-09	1.91366e-07	0	0	0	0	0	6.51291e-09	0	0	0	2.36156e-09	0	1.72732e-07	2.53582e-08	0	0	7.67284e-08	6.30587e-09	0	1.12827e-08	1.17215e-07	0	0	0	0	0	0	0	0	1.48282e-09	0	0	0	0	0	4.50264e-09	2e-06	2.98308e-07	0	1.50698e-07	9.76491e-10	0	0	0	9.86391e-09	2.62029e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	3.21567e-10	0	0	9.99156e-11	5.85829e-12	0	0	0	0	0	0	0
9	3.19162e-06	8.86065e-08	1.05599e-07	1.37747e-06	6.1989e-09	5.79535e-09	1.74226e-07	0	0	0	0	0	7.48727e-09	0	0	0	2.49235e-09	0	1.71718e-07	2.64088e-08	0	0	7.42938e-08	5.79439e-09	0	1.03566e-08	1.18244e-07	0	0	0	0	0	0	0	0	1.42749e-09	0	0	0	0	0	4.39986e-09	2e-06	2.95585e-07	0	1.50392e-07	1.12136e-09	0	0	0	1.01473e-08	2.78069e-08	6.64e-06	0	0	0	0	0	0	0	0	0	0	3.31537e-10	0	0	1.07989e-10	5.85172e-12	0	0	0	0	0	0	0
