Time	[X]	[E]	[P]	[Q]
0	8	1	0	0
1	6.66126	0.069698	0.930302	0.408434
2	6.20122	0.0738741	0.926126	0.872652
3	5.74474	0.0791635	0.920837	1.33442
4	5.29185	0.0852101	0.91479	1.79336
5	4.84312	0.0921763	0.907824	2.24906
6	4.39927	0.100271	0.899729	2.701
7	3.96121	0.109767	0.890233	3.14855
8	3.53008	0.12102	0.87898	3.59094
9	3.10735	0.134505	0.865495	4.02716
10	2.6949	0.150853	0.849147	4.45595
11	2.29522	0.170912	0.829088	4.87569
12	1.91158	0.195812	0.804188	5.28424
13	1.54821	0.227038	0.772962	5.67882
14	1.21061	0.26645	0.73355	6.05584
15	0.905527	0.316181	0.683819	6.41065
16	0.640604	0.378205	0.621795	6.7376
17	0.423136	0.453379	0.546621	7.03024
18	0.2577	0.539993	0.460007	7.28229
19	0.143404	0.632631	0.367369	7.48923
20	0.072773	0.72284	0.27716	7.65007
21	0.0339085	0.802135	0.197865	7.76823
22	0.0147094	0.865348	0.134652	7.85064
23	0.00604125	0.911741	0.0882593	7.9057
24	0.00238651	0.943696	0.0563035	7.94131
25	0.000918376	0.964739	0.0352614	7.96382
26	0.000347454	0.978181	0.021819	7.97783
27	0.000130049	0.986602	0.0133982	7.98647
28	4.83512e-05	0.991812	0.00818815	7.99176
29	1.79027e-05	0.995011	0.00498937	7.99499
30	6.61196e-06	0.996965	0.00303473	7.99696
31	2.43822e-06	0.998156	0.00184381	7.99815
32	8.98274e-07	0.998881	0.00111949	7.99888
33	3.30748e-07	0.999321	0.000679433	7.99932
34	1.2174e-07	0.999588	0.000412255	7.99959
35	4.48002e-08	0.99975	0.000250103	7.99975
36	1.64843e-08	0.999848	0.000151717	7.99985
37	6.06493e-09	0.999908	9.20287e-05	7.99991
38	2.23138e-09	0.999944	5.58212e-05	7.99994
39	8.20918e-10	0.999966	3.38583e-05	7.99997
40	3.01992e-10	0.999979	2.05365e-05	7.99998
41	1.11109e-10	0.999988	1.24562e-05	7.99999
42	4.08772e-11	0.999992	7.55509e-06	7.99999
43	1.50511e-11	0.999995	4.58241e-06	8
44	5.53876e-12	0.999997	2.77938e-06	8
45	2.03154e-12	0.999998	1.68578e-06	8
46	7.46786e-13	0.999999	1.02248e-06	8
47	2.81675e-13	0.999999	6.20164e-07	8
48	1.05491e-13	1	3.76148e-07	8
49	3.61734e-14	1	2.28145e-07	8
50	5.66381e-15	1	1.38377e-07	8
51	9.03081e-15	1	8.39298e-08	8
52	6.58445e-15	1	5.0906e-08	8
53	-7.18758e-15	1	3.0876e-08	8
54	-1.82535e-15	1	1.87272e-08	8
55	9.67505e-15	1	1.13586e-08	8
56	-8.31883e-15	1	6.88936e-09	8
57	3.68598e-15	1	4.17863e-09	8
58	6.68156e-15	1	2.53447e-09	8
59	-1.00163e-15	1	1.53725e-09	8
60	-2.46462e-16	1	9.32367e-10	8
61	1.51735e-16	1	5.65423e-10	8
62	-1.71569e-15	1	3.42922e-10	8
63	-2.80945e-16	1	2.08024e-10	8
64	-2.01509e-16	1	1.26174e-10	8
65	-5.23847e-16	1	7.66241e-11	8
66	1.07754e-15	1	4.65433e-11	8
67	1.04449e-15	1	2.79175e-11	8
68	-3.59767e-16	1	1.70263e-11	8
69	-1.18802e-16	1	1.01993e-11	8
70	6.1439e-16	1	6.21347e-12	8
71	8.81203e-16	1	3.85913e-12	8
72	4.85626e-16	1	2.40041e-12	8
73	-1.19922e-16	1	1.48485e-12	8
74	-4.11073e-16	1	9.15903e-13	8
75	-2.6702e-16	1	5.65125e-13	8
76	4.57856e-17	1	3.48587e-13	8
77	2.20213e-16	1	2.14721e-13	8
78	1.66142e-16	1	1.32227e-13	8
79	-3.52505e-18	1	8.16755e-14	8
80	-1.22174e-16	1	5.06738e-14	8
81	-2.64991e-16	1	2.15571e-14	8
82	-3.98299e-16	1	-3.67898e-15	8
83	-4.5992e-16	1	-2.09101e-14	8
84	-4.49854e-16	1	-3.01362e-14	8
85	-3.68101e-16	1	-3.13574e-14	8
86	-2.14661e-16	1	-2.45736e-14	8
87	-1.86891e-16	1	-2.72378e-14	8
88	-1.70457e-16	1	-2.92392e-14	8
89	-1.47538e-16	1	-2.90014e-14	8
90	-1.18131e-16	1	-2.65246e-14	8
91	-8.22372e-17	1	-2.18088e-14	8
92	7.58573e-18	1	-1.72356e-14	8
93	6.45033e-18	1	-1.49914e-14	8
94	5.31494e-18	1	-1.27472e-14	8
95	4.17954e-18	1	-1.05031e-14	8
96	3.04415e-18	1	-8.25887e-15	8
97	1.90875e-18	1	-6.01469e-15	8
98	1.12925e-18	1	-4.46222e-15	8
99	1.10998e-18	1	-4.38736e-15	8
100	1.09071e-18	1	-4.3125e-15	8
