Time	[S22]	[S24]	[pS2tot]	[TGF]	[R]	[S2c]	[Rcom]	[pS2c]	[Rcom_S]	[S2n]	[S22n]	[S4n]	[S22c]	[pS2n]	[pS2fn]	[S24n]	[S24c]	[S4fc]	[S4c]	[pS2fc]	[S4fn]	[SBI]	[Rtot]	[RT]	[Rcom_I]	[Ract]
76	-2.66155e-24	-1.19236e-14	-1.39188e-14	1.84584e-18	0.87963	1.1943	0.120357	-2.98389e-15	0.0499944	0.558934	-8.74299e-24	1	1.74935e-26	-3.87412e-14	-4.88488e-15	-3.38563e-14	-2.26157e-15	1	1	-7.22328e-16	1	0	0.999986	4.00903e-19	0.0703625	-1.01435e-15
77	1.58966e-24	-7.13895e-15	-8.33344e-15	2.69392e-18	0.87963	1.1943	0.120359	-1.78516e-15	0.0499953	0.558934	5.17987e-24	1	8.06409e-27	-2.3198e-14	-2.92507e-15	-2.0273e-14	-1.35304e-15	1	1	-4.32126e-16	1	0	0.999989	5.80605e-19	0.0703638	-6.04408e-16
78	8.01357e-24	1.07807e-15	1.25892e-15	5.1698e-18	0.87963	1.1943	0.120361	2.7442e-16	0.0499961	0.558934	2.61289e-23	1	3.32267e-26	3.49373e-15	4.40442e-16	3.05329e-15	2.07928e-16	1	1	6.64914e-17	1	0	0.999991	1.11367e-18	0.0703649	1.01533e-16
79	4.31399e-24	6.16382e-15	7.1957e-15	4.18527e-18	0.87963	1.1943	0.120363	1.54696e-15	0.0499968	0.558934	1.40708e-23	1	1.58449e-26	2.00183e-14	2.52404e-15	1.74943e-14	1.17242e-15	1	1	3.74541e-16	1	0	0.999992	9.01971e-19	0.0703659	5.33815e-16
80	1.22855e-24	1.21064e-14	1.41326e-14	1.7075e-18	0.87963	1.1943	0.120364	3.03275e-15	0.0499973	0.558934	4.03011e-24	1	-5.62376e-27	3.93291e-14	4.95896e-15	3.43702e-14	2.29855e-15	1	1	7.34196e-16	1	0	0.999994	3.69228e-19	0.0703666	1.03649e-15
81	1.49587e-24	1.56366e-14	1.82534e-14	-3.6597e-19	0.87963	1.1943	0.120365	3.91488e-15	0.0499978	0.558934	4.91195e-24	1	-9.01766e-27	5.08018e-14	6.40558e-15	4.43962e-14	2.96716e-15	1	1	9.4772e-16	1	0	0.999995	-7.71002e-20	0.0703672	1.33402e-15
82	-8.70042e-26	9.43716e-15	1.10164e-14	-1.16536e-18	0.87963	1.1943	0.120366	2.36193e-15	0.0499982	0.558934	-2.86743e-25	1	9.86565e-28	3.0662e-14	3.86617e-15	2.67958e-14	1.79016e-15	1	1	5.71769e-16	1	0	0.999996	-2.51094e-19	0.0703678	8.03387e-16
83	-5.48164e-25	3.71932e-15	4.34156e-15	-2.32286e-18	0.87963	1.1943	0.120367	9.29261e-16	0.0499985	0.558934	-1.79765e-24	1	2.27123e-27	1.20875e-14	1.52413e-15	1.05634e-14	7.0433e-16	1	1	2.24931e-16	1	0	0.999996	-5.0097e-19	0.0703682	3.13208e-16
84	-2.27061e-25	-6.0021e-16	-7.00803e-16	-1.74298e-18	0.87963	1.1943	0.120367	-1.51787e-16	0.0499987	0.558934	-7.45251e-25	1	1.21595e-27	-1.94707e-15	-2.45482e-16	-1.70159e-15	-1.15022e-16	1	1	-3.67651e-17	1	0	0.999997	-3.75777e-19	0.0703686	-5.44224e-17
85	1.10825e-25	-5.08463e-15	-5.93559e-15	-3.97111e-19	0.87963	1.1943	0.120368	-1.27346e-15	0.0499989	0.558934	3.61605e-25	1	3.48824e-28	-1.65186e-14	-2.08282e-15	-1.44358e-14	-9.65173e-16	1	1	-3.08287e-16	1	0	0.999997	-8.55414e-20	0.0703689	-4.34724e-16
86	1.74658e-25	-7.25307e-15	-8.46682e-15	7.11291e-19	0.87963	1.1943	0.120368	-1.81545e-15	0.0499991	0.558934	5.70968e-25	1	7.26052e-29	-2.35654e-14	-2.97136e-15	-2.05941e-14	-1.37597e-15	1	1	-4.39481e-16	1	0	0.999998	1.53407e-19	0.0703691	-6.17782e-16
87	7.79457e-28	-4.24349e-15	-4.95358e-15	8.75678e-19	0.87963	1.1943	0.120369	-1.06176e-15	0.0499993	0.558934	3.03428e-27	1	-2.13859e-28	-1.3788e-14	-1.73853e-15	-1.20495e-14	-8.04733e-16	1	1	-2.57023e-16	1	0	0.999998	1.88974e-19	0.0703693	-3.60602e-16
88	-1.68369e-26	-9.69015e-16	-1.13108e-15	1.24887e-18	0.87963	1.1943	0.120369	-2.41551e-16	0.0499994	0.558934	-5.41077e-26	1	-4.1803e-28	-3.1503e-15	-3.97237e-16	-2.75306e-15	-1.8309e-16	1	1	-5.8461e-17	1	0	0.999999	2.69415e-19	0.0703695	-8.04258e-17
89	-9.55875e-27	1.0655e-15	1.24388e-15	7.98329e-19	0.87963	1.1943	0.120369	2.67473e-16	0.0499995	0.558934	-3.08551e-26	1	-1.7708e-28	3.46033e-15	4.36299e-16	3.02403e-15	2.02713e-16	1	1	6.47597e-17	1	0	0.999999	1.72012e-19	0.0703697	9.24033e-17
90	-1.43042e-26	3.34076e-15	3.89984e-15	-9.4268e-21	0.87963	1.1943	0.120369	8.36467e-16	0.0499996	0.558934	-4.70122e-26	1	1.04579e-28	1.08537e-14	1.36853e-15	9.48516e-15	6.33973e-16	1	1	2.02494e-16	1	0	0.999999	-2.34852e-21	0.0703698	2.85128e-16
91	-1.45435e-26	4.17603e-15	4.87485e-15	-6.07632e-19	0.87963	1.1943	0.12037	1.04509e-15	0.0499997	0.558934	-4.81083e-26	1	2.42672e-28	1.35684e-14	1.71084e-15	1.18576e-14	7.92101e-16	1	1	2.52992e-16	1	0	0.999999	-1.31321e-19	0.0703699	3.55329e-16
92	-3.22417e-27	2.8655e-15	3.34496e-15	-1.00873e-18	0.87963	1.1943	0.12037	7.16609e-16	0.0499997	0.558934	-1.11948e-26	1	2.87128e-28	9.31131e-15	1.17407e-15	8.13724e-15	5.43142e-16	1	1	1.73467e-16	1	0	0.999999	-2.1765e-19	0.07037	2.42738e-16
93	-2.00454e-26	2.19701e-15	2.56448e-15	-2.42382e-18	0.87963	1.1943	0.12037	5.48009e-16	0.0499998	0.558934	-6.69825e-26	1	6.31681e-28	7.14187e-15	9.00547e-16	6.24132e-15	4.15373e-16	1	1	1.32636e-16	1	0	0.999999	-5.22843e-19	0.07037	1.83089e-16
94	-2.88855e-26	8.68091e-16	1.01309e-15	-3.28108e-18	0.87963	1.1943	0.12037	2.14528e-16	0.0499998	0.558934	-9.61899e-26	1	7.6407e-28	2.82583e-15	3.56353e-16	2.46948e-15	1.62632e-16	1	1	5.18961e-17	1	0	1	-7.07704e-19	0.0703701	6.80915e-17
95	-1.49127e-26	-2.07869e-16	-2.42873e-16	-2.59964e-18	0.87963	1.1943	0.12037	-5.42866e-17	0.0499998	0.558934	-4.95858e-26	1	3.61793e-28	-6.70964e-16	-8.45651e-17	-5.86399e-16	-4.11151e-17	1	1	-1.31715e-17	1	0	1	-5.60665e-19	0.0703701	-2.24951e-17
96	2.49456e-27	-1.80294e-15	-2.1048e-15	-1.5729e-18	0.87963	1.1943	0.12037	-4.52783e-16	0.0499999	0.558934	8.38887e-27	1	-1.02053e-28	-5.85488e-15	-7.38215e-16	-5.11666e-15	-3.43154e-16	1	1	-1.09629e-16	1	0	1	-3.3916e-19	0.0703702	-1.56759e-16
97	8.20157e-27	-4.02515e-15	-4.69886e-15	-1.10042e-18	0.87963	1.1943	0.12037	-1.00878e-15	0.0499999	0.558934	2.73869e-26	1	-2.50104e-28	-1.30753e-14	-1.64864e-15	-1.14267e-14	-7.64563e-16	1	1	-2.44222e-16	1	0	1	-2.37245e-19	0.0703702	-3.45571e-16
98	1.10127e-26	-5.07544e-15	-5.92487e-15	-5.20386e-19	0.87963	1.1943	0.12037	-1.27126e-15	0.0499999	0.558934	3.65978e-26	1	-2.58295e-28	-1.64886e-14	-2.07902e-15	-1.44095e-14	-9.63506e-16	1	1	-3.07757e-16	1	0	1	-1.1216e-19	0.0703702	-4.34158e-16
99	4.56217e-27	-3.47348e-15	-4.05478e-15	-1.05435e-19	0.87963	1.1943	0.12037	-8.69799e-16	0.0499999	0.558934	1.4813e-26	1	4.63726e-29	-1.12847e-14	-1.42288e-15	-9.86182e-15	-6.59235e-16	1	1	-2.10564e-16	1	0	1	-2.27129e-20	0.0703702	-2.96668e-16
100	4.485e-27	-2.6657e-15	-3.11177e-15	5.23664e-19	0.87963	1.1943	0.12037	-6.67003e-16	0.0499999	0.558934	1.4225e-26	1	1.94248e-28	-8.6614e-15	-1.09212e-15	-7.56928e-15	-5.05539e-16	1	1	-1.61464e-16	1	0	1	1.12919e-19	0.0703703	-2.26574e-16
