Time	[S22]	[S24]	[pS2tot]	[TGF]	[R]	[S2c]	[Rcom]	[pS2c]	[Rcom_S]	[S2n]	[S22n]	[S4n]	[S22c]	[pS2n]	[pS2fn]	[S24n]	[S24c]	[S4fc]	[S4c]	[pS2fc]	[S4fn]	[SBI]	[Rtot]	[RT]	[Rcom_I]	[Ract]
23	0.00155503	0.0699251	0.085433	0.123394	0.87963	1.08681	0.0110866	0.0206028	0.00460521	0.523578	0.00488167	1.18432	8.95539e-05	0.232598	0.0283355	0.194499	0.0150468	0.903757	0.918803	0.00537689	0.989817	0	0.905429	0.00200295	0.00648141	0.0127095
24	0.00143345	0.0671641	0.081918	0.093653	0.87963	1.09123	0.0136712	0.0197374	0.00567881	0.525041	0.0045018	1.17709	8.17573e-05	0.223068	0.0272097	0.186855	0.0144371	0.907551	0.921988	0.00513683	0.990233	0	0.907266	0.00187914	0.00799239	0.0120861
25	0.00127909	0.0634765	0.0772419	0.068337	0.87963	1.09711	0.0170453	0.018585	0.00708035	0.526987	0.00401923	1.16743	7.19823e-05	0.210393	0.0257081	0.176646	0.013622	0.912619	0.926241	0.00481904	0.990787	0	0.909653	0.00171582	0.00996493	0.0112621
26	0.0010875	0.0585627	0.0710437	0.0473655	0.87963	1.1049	0.0214487	0.0170572	0.00890944	0.529563	0.00341975	1.15457	6.00721e-05	0.193593	0.02371	0.163043	0.012536	0.919373	0.931909	0.0044011	0.991523	0	0.912767	0.00150464	0.0125392	0.010184
27	0.000860773	0.0521317	0.0629882	0.0307105	0.87963	1.11503	0.0271224	0.0150743	0.0112662	0.532906	0.00270951	1.13771	4.63506e-05	0.171753	0.0210993	0.145235	0.0111173	0.928216	0.939333	0.00386431	0.99248	0	0.916809	0.00124344	0.0158562	0.00881383
28	0.000614203	0.0440575	0.0529642	0.0182933	0.87963	1.12764	0.0342142	0.0126152	0.0142121	0.53706	0.00193587	1.11653	3.19727e-05	0.144556	0.0178265	0.122858	0.00934364	0.939321	0.948665	0.00320761	0.993673	0	0.921956	0.000944742	0.0200022	0.00716747
29	0.000379426	0.034634	0.0413901	0.00982653	0.87963	1.1422	0.0426361	0.00979334	0.0177104	0.54185	0.00119775	1.09176	1.89321e-05	0.113115	0.0140123	0.0967069	0.00728911	0.952287	0.959576	0.00246636	0.995055	0	0.928267	0.000641591	0.0249257	0.00535947
30	0.000194254	0.0247721	0.0294207	0.00468808	0.87963	1.15727	0.0519624	0.00690165	0.0215844	0.546795	0.000614255	1.06577	9.23175e-06	0.0805389	0.0100247	0.0692857	0.00516255	0.965863	0.971025	0.00172063	0.996487	0	0.93558	0.000379531	0.030378	0.00360801
31	7.942e-05	0.0158222	0.0186843	0.00197138	0.87963	1.17078	0.0615032	0.00433831	0.0255475	0.551226	0.000251559	1.04211	3.58798e-06	0.0512496	0.00640713	0.0443393	0.00325958	0.978189	0.981448	0.00107155	0.997773	0	0.943479	0.000192451	0.0359557	0.00215403
32	2.54118e-05	0.00893388	0.0105027	0.000732107	0.87963	1.18108	0.070559	0.00241144	0.0293091	0.5546	8.06117e-05	1.02384	1.09473e-06	0.0288699	0.00362171	0.0250869	0.001818	0.987681	0.989499	0.000591248	0.998751	0	0.951407	8.35085e-05	0.0412499	0.00113487
33	6.37137e-06	0.00446329	0.00523126	0.000242492	0.87963	1.18772	0.078663	0.00118764	0.0326754	0.556774	2.02364e-05	1.01194	2.63419e-07	0.0144103	0.00181192	0.0125579	0.000897381	0.993844	0.994741	0.000289731	0.99938	0	0.958855	3.13561e-05	0.0459876	0.000530631
34	1.27586e-06	0.00199247	0.00233117	7.26545e-05	0.87963	1.19137	0.0856411	0.000523677	0.035574	0.557971	4.05631e-06	1.00534	5.09988e-08	0.00643419	0.000810092	0.00561598	0.000396209	0.997251	0.997647	0.000127366	0.999725	0	0.965504	1.03772e-05	0.0500671	0.000223045
35	2.10039e-07	0.000806573	0.000942789	1.99873e-05	0.87963	1.19312	0.0915236	0.000209815	0.0380175	0.558544	6.6828e-07	1.00217	8.1713e-09	0.00260664	0.000328412	0.00227689	0.000158856	0.998887	0.999046	5.09426e-05	0.999889	0	0.971242	3.08829e-06	0.0535061	8.5648e-05
36	2.93368e-08	0.00030083	0.000351462	5.11874e-06	0.87963	1.19386	0.0964332	7.75962e-05	0.0400569	0.558788	9.3396e-08	1.00081	1.1169e-09	0.000973136	0.000122647	0.000850303	5.8772e-05	0.999585	0.999644	1.88219e-05	0.999959	0	0.976094	8.41838e-07	0.0563764	3.05339e-05
37	3.58196e-09	0.000104936	0.000122564	1.23507e-06	0.87963	1.19415	0.100514	2.68823e-05	0.0417521	0.558883	1.14087e-08	1.00028	1.34052e-10	0.000339762	4.28283e-05	0.000296911	2.03652e-05	0.999855	0.999876	6.51684e-06	0.999986	0	0.980154	2.13506e-07	0.0587622	1.02551e-05
38	3.92453e-10	3.46869e-05	4.05075e-05	2.83612e-07	0.87963	1.19425	0.103901	8.83746e-06	0.043159	0.558917	1.25043e-09	1.00009	1.4489e-11	0.000112399	1.41695e-05	9.82265e-05	6.69586e-06	0.999952	0.999959	2.14157e-06	0.999995	0	0.983534	5.10341e-08	0.0607423	3.28585e-06
39	3.94694e-11	1.09875e-05	1.28299e-05	6.25067e-08	0.87963	1.19429	0.106711	2.78728e-06	0.0443261	0.558928	1.25791e-10	1.00003	1.44207e-12	3.56267e-05	4.49152e-06	3.11349e-05	2.11202e-06	0.999985	0.999987	6.75254e-07	0.999998	0	0.986342	1.16186e-08	0.0623849	1.01495e-06
40	3.71821e-12	3.36643e-06	3.93061e-06	1.33152e-08	0.87963	1.1943	0.109042	8.51106e-07	0.0452942	0.558932	1.1858e-11	1.00001	1.32399e-13	1.09211e-05	1.3769e-06	9.54417e-06	6.44955e-07	0.999995	0.999996	2.0615e-07	1	0	0.988672	2.54116e-09	0.0637474	3.04816e-07
41	3.3148e-13	1.00527e-06	1.17368e-06	2.75728e-09	0.87963	1.1943	0.110974	2.53495e-07	0.0460971	0.558933	1.05711e-12	1	1.18198e-14	3.26249e-06	4.11336e-07	2.85115e-06	1.92104e-07	0.999999	0.999999	6.13911e-08	1	0	0.990604	5.37673e-10	0.0648774	8.96173e-08
42	2.84442e-14	2.94385e-07	3.43688e-07	5.5777e-10	0.87963	1.1943	0.112578	7.40885e-08	0.046763	0.558933	9.07028e-14	1	1.01746e-15	9.5568e-07	1.20495e-07	8.35185e-07	5.61479e-08	1	1	1.79407e-08	1	0	0.992207	1.107e-10	0.0658146	2.59332e-08
43	2.40759e-15	8.49566e-08	9.91819e-08	1.10665e-10	0.87963	1.1943	0.113907	2.13499e-08	0.0473153	0.558933	7.55863e-15	1	1.38406e-16	2.7586e-07	3.47818e-08	2.41079e-07	1.61804e-08	1	1	5.16949e-09	1	0	0.993537	2.22835e-11	0.0665919	7.4174e-09
44	2.2931e-16	2.42546e-08	2.83152e-08	2.16088e-11	0.87963	1.1943	0.11501	6.08872e-09	0.0477734	0.558934	5.2678e-16	1	9.8266e-17	7.87692e-08	9.93169e-09	6.88375e-08	4.61453e-09	1	1	1.47418e-09	1	0	0.99464	4.4032e-12	0.0672366	2.10367e-09
45	4.08573e-18	6.87063e-09	8.02075e-09	4.16481e-12	0.87963	1.1943	0.115925	1.72342e-09	0.0481533	0.558934	-1.47184e-16	1	7.07242e-17	2.23157e-08	2.81372e-09	1.9502e-08	1.30617e-09	1	1	4.17251e-10	1	0	0.995554	8.57017e-13	0.0677713	5.93055e-10
46	2.12358e-16	1.93567e-09	2.25966e-09	7.94922e-13	0.87963	1.1943	0.116683	4.8527e-10	0.0484684	0.558934	-3.87448e-19	1	3.06078e-16	6.28754e-09	7.92781e-10	5.49475e-09	3.67786e-10	1	1	1.17484e-10	1	0	0.996313	1.64894e-13	0.0682147	1.66509e-10
47	8.57682e-16	5.43362e-10	6.34308e-10	1.50728e-13	0.87963	1.1943	0.117312	1.36168e-10	0.0487297	0.558934	2.69455e-15	1	4.84896e-17	1.76509e-09	2.22557e-10	1.54253e-09	1.03202e-10	1	1	3.29652e-11	1	0	0.996942	3.14755e-14	0.0685825	4.6628e-11
