Time	[IL6{serum}]	[sgp130{serum}]	[sR_IL6_sgp130{serum}]	[CRP{serum}]	[sR{serum}]	[sR_IL6{serum}]	[Ab{serum}]	[Ab_IL6{serum}]	[Ab_sR_IL6{serum}]	[CRP Suppression (%)]	[gp130{liver}]	[R_IL6_gp130{liver}]	[sR_IL6{liver}]	[R]	[IL6{liver}]	[R_IL6]	[Ractive{liver}]	[STAT3{liver}]	[pSTAT3{liver}]	[CRP{liver}]	[sR{liver}]	[CRPExtracellular]	[sgp130{liver}]	[sR_IL6_sgp130{liver}]	[Ab_sR_IL6{liver}]	[Ab_IL6{liver}]	[Ab{liver}]	[sR_IL6{gut}]	[gp130{gut}]	[R_IL6_gp130{gut}]	[Ractive{gut}]	[STAT3{gut}]	[pSTAT3{gut}]	[geneProduct]	[sR{gut}]	[IL6{gut}]	[sgp130{gut}]	[sR_IL6_sgp130{gut}]	[Ab{gut}]	[Ab_IL6{gut}]	[Ab_sR_IL6{gut}]	[Ab{peripheral}]
10	5.03726e-07	3.91285	0.0466224	221.026	4.29013	0.000576495	522.384	0.102295	-1.64044e-26	0.0168481	0.400032	4.40089e-05	0.000541678	0.438739	5.20693e-07	3.75609e-06	0.748688	0.789145	9.21085	158.222	6.13614	409.692	5.60595	0.0657656	-1.30368e-26	0.0227428	111.204	0.000542977	0.397	4.80813e-05	0.943717	0.628961	9.37104	159.643	6.13609	1.61991e-05	5.60586	0.065851	55.27	0.34334	-7.66918e-27	2.06194
11	5.74847e-07	3.9126	0.0436307	221.013	4.29233	0.000539536	508.76	0.114053	-1.62959e-26	0.0230514	0.401704	4.22408e-05	0.000506813	0.438758	5.41643e-07	3.59537e-06	0.745387	0.791977	9.20802	158.197	6.13963	409.663	5.60543	0.0615428	-1.30819e-26	0.0254628	119.333	0.000507978	0.39912	4.63047e-05	0.938458	0.632125	9.36788	159.615	6.13958	1.63584e-05	5.60535	0.0616184	59.3059	0.373296	-7.66594e-27	2.23721
12	6.50055e-07	3.91226	0.0408233	220.996	4.29431	0.000504862	495.826	0.126022	-1.61917e-26	0.0304807	0.403374	4.05657e-05	0.00047411	0.438773	5.64307e-07	3.44348e-06	0.741865	0.795088	9.20491	158.169	6.14277	409.629	5.60475	0.0575795	-1.31237e-26	0.028302	127.007	0.000475174	0.401168	4.46147e-05	0.933001	0.635466	9.36453	159.585	6.14273	1.65324e-05	5.60468	0.0576479	63.1149	0.402639	-7.66169e-27	2.40756
13	7.29344e-07	3.91185	0.0381895	220.977	4.29608	0.000472337	483.545	0.138191	-1.60916e-26	0.0391795	0.405028	3.89782e-05	0.000443441	0.438786	5.88617e-07	3.29995e-06	0.738139	0.798468	9.20153	158.139	6.1456	409.59	5.60395	0.0538611	-1.31625e-26	0.0312659	134.249	0.000444429	0.403143	4.30069e-05	0.927363	0.638978	9.36102	159.554	6.14556	1.67183e-05	5.60389	0.053924	66.7089	0.431389	-7.65647e-27	2.57325
14	8.12699e-07	3.91141	0.0357192	220.955	4.29765	0.000441834	471.884	0.150547	-1.59954e-26	0.0491776	0.406655	3.7473e-05	0.000414688	0.438797	6.1453e-07	3.16434e-06	0.734224	0.802104	9.1979	158.106	6.14813	409.546	5.60308	0.0503736	-1.31984e-26	0.0343595	141.083	0.000415617	0.405042	4.14776e-05	0.921558	0.642655	9.35735	159.522	6.14809	1.69137e-05	5.60302	0.0504323	70.0992	0.459564	-7.65037e-27	2.7345
15	9.00093e-07	3.91094	0.0334031	220.93	4.29905	0.000413235	460.81	0.163079	-1.59029e-26	0.060493	0.408248	3.60458e-05	0.000387738	0.438806	6.42017e-07	3.03622e-06	0.730135	0.805985	9.19401	158.071	6.15038	409.496	5.60216	0.0471038	-1.32316e-26	0.0375871	147.53	0.000388622	0.406865	4.0023e-05	0.9156	0.646491	9.35351	159.488	6.15034	1.71172e-05	5.6021	0.0471593	73.2967	0.487184	-7.64342e-27	2.89152
16	9.9149e-07	3.91045	0.0312322	220.902	4.30027	0.000386427	450.292	0.175777	-1.5814e-26	0.073134	0.409799	3.46922e-05	0.000362486	0.438813	6.7106e-07	2.91519e-06	0.725886	0.810102	9.1899	158.035	6.15238	409.441	5.6012	0.044039	-1.32621e-26	0.0409525	153.61	0.000363335	0.408612	3.86397e-05	0.909503	0.650481	9.34952	159.453	6.15233	1.73275e-05	5.60115	0.0440921	76.3114	0.514264	-7.6357e-27	3.04453
17	1.08684e-06	3.90995	0.0291981	220.871	4.30134	0.000361305	440.3	0.188628	-1.57283e-26	0.0871013	0.411304	3.34086e-05	0.00033883	0.438819	7.01647e-07	2.80086e-06	0.721491	0.814444	9.18556	157.996	6.15413	409.38	5.60024	0.0411674	-1.32902e-26	0.0444593	159.344	0.000339653	0.410283	3.73245e-05	0.903279	0.654622	9.34538	159.417	6.15408	1.75437e-05	5.60019	0.0412186	79.1532	0.540823	-7.62726e-27	3.19371
18	1.1861e-06	3.90946	0.0272925	220.837	4.30225	0.00033777	430.808	0.201625	-1.56458e-26	0.102389	0.412759	3.21911e-05	0.000316676	0.438824	7.33771e-07	2.69288e-06	0.716962	0.819004	9.181	157.955	6.15565	409.314	5.59928	0.0384775	-1.33159e-26	0.0481101	164.748	0.000317479	0.411879	3.60742e-05	0.89694	0.658908	9.34109	159.379	6.1556	1.7765e-05	5.59923	0.0385273	81.8311	0.566877	-7.61813e-27	3.33926
19	1.2892e-06	3.90897	0.0255081	220.801	4.30303	0.000315726	421.788	0.214758	-1.55663e-26	0.118987	0.414162	3.10365e-05	0.000295934	0.438828	7.6743e-07	2.59091e-06	0.71231	0.823774	9.17623	157.912	6.15695	409.242	5.59833	0.0359587	-1.33394e-26	0.0519075	169.841	0.000296724	0.413402	3.48859e-05	0.890498	0.663335	9.33666	159.34	6.15691	1.79908e-05	5.59828	0.0360074	84.3539	0.59244	-7.60838e-27	3.48135
