Time	[IL6{serum}]	[sgp130{serum}]	[sR_IL6_sgp130{serum}]	[CRP{serum}]	[sR{serum}]	[sR_IL6{serum}]	[Ab{serum}]	[Ab_IL6{serum}]	[Ab_sR_IL6{serum}]	[CRP Suppression (%)]	[gp130{liver}]	[R_IL6_gp130{liver}]	[sR_IL6{liver}]	[R]	[IL6{liver}]	[R_IL6]	[Ractive{liver}]	[STAT3{liver}]	[pSTAT3{liver}]	[CRP{liver}]	[sR{liver}]	[CRPExtracellular]	[sgp130{liver}]	[sR_IL6_sgp130{liver}]	[Ab_sR_IL6{liver}]	[Ab_IL6{liver}]	[Ab{liver}]	[sR_IL6{gut}]	[gp130{gut}]	[R_IL6_gp130{gut}]	[Ractive{gut}]	[STAT3{gut}]	[pSTAT3{gut}]	[geneProduct]	[sR{gut}]	[IL6{gut}]	[sgp130{gut}]	[sR_IL6_sgp130{gut}]	[Ab{gut}]	[Ab_IL6{gut}]	[Ab_sR_IL6{gut}]	[Ab{peripheral}]
47	5.33185e-06	3.90145	0.00386046	218.786	4.28876	4.79747e-05	288.188	0.612147	-1.41002e-26	1.03024	0.434595	1.45153e-05	4.46903e-05	0.438836	2.33361e-06	1.1961e-06	0.56367	1.02249	8.97751	156.11	6.13954	405.43	5.58379	0.0054204	-1.3414e-26	0.218682	234.312	4.55853e-05	0.434527	1.74522e-05	0.698407	0.834164	9.16584	157.819	6.13948	2.52242e-05	5.58373	0.00547491	116.108	1.1571	-7.20509e-27	6.54179
48	5.50216e-06	3.90135	0.00361906	218.685	4.28741	4.4986e-05	285.918	0.626788	-1.40641e-26	1.07593	0.434866	1.42474e-05	4.18928e-05	0.438836	2.41152e-06	1.17506e-06	0.558399	1.03148	8.96852	156.028	6.13768	405.241	5.5836	0.00508001	-1.34039e-26	0.226632	234.981	4.27942e-05	0.4348	1.71559e-05	0.691799	0.841703	9.1583	157.751	6.13761	2.54992e-05	5.58354	0.00513491	116.431	1.17316	-7.18889e-27	6.63002
49	5.67335e-06	3.90126	0.0033943	218.582	4.28603	4.22034e-05	283.741	0.641432	-1.40286e-26	1.12238	0.43512	1.39907e-05	3.92881e-05	0.438835	2.49089e-06	1.15499e-06	0.553158	1.04058	8.95942	155.944	6.13575	405.048	5.58342	0.00476307	-1.33933e-26	0.234701	235.589	4.0196e-05	0.435054	1.68712e-05	0.685234	0.849332	9.15067	157.682	6.13569	2.57748e-05	5.58336	0.00481836	116.723	1.18901	-7.17268e-27	6.71733
50	5.84535e-06	3.90117	0.00318504	218.478	4.2846	3.96129e-05	281.654	0.656078	-1.39937e-26	1.1696	0.435357	1.37446e-05	3.68631e-05	0.438835	2.57172e-06	1.13583e-06	0.547947	1.0498	8.9502	155.859	6.13378	404.853	5.58326	0.00446798	-1.33822e-26	0.242886	236.14	3.77774e-05	0.435293	1.65973e-05	0.678712	0.857051	9.14295	157.613	6.13371	2.60509e-05	5.5832	0.00452366	116.987	1.20466	-7.15647e-27	6.80375
51	6.0181e-06	3.90109	0.00299025	218.372	4.28314	3.72015e-05	279.652	0.670725	-1.39594e-26	1.21757	0.435579	1.35084e-05	3.46058e-05	0.438834	2.65398e-06	1.11754e-06	0.542768	1.05912	8.94088	155.774	6.13174	404.654	5.5831	0.00419328	-1.33706e-26	0.251184	236.636	3.55265e-05	0.435516	1.63336e-05	0.672236	0.864859	9.13514	157.542	6.13168	2.63274e-05	5.58304	0.00424936	117.224	1.22009	-7.14027e-27	6.88931
52	6.19155e-06	3.90102	0.00280894	218.264	4.28164	3.49573e-05	277.729	0.68537	-1.39256e-26	1.26628	0.435786	1.32815e-05	3.25049e-05	0.438834	2.73767e-06	1.10005e-06	0.537623	1.06856	8.93144	155.687	6.12966	404.452	5.58296	0.00393759	-1.33586e-26	0.259595	237.081	3.34319e-05	0.435724	1.60796e-05	0.665806	0.872757	9.12724	157.471	6.12959	2.66044e-05	5.5829	0.00399406	117.435	1.23533	-7.12408e-27	6.97404
53	6.36563e-06	3.90095	0.00264021	218.155	4.2801	3.2869e-05	275.883	0.700012	-1.38924e-26	1.31573	0.43598	1.30634e-05	3.05497e-05	0.438834	2.82278e-06	1.08333e-06	0.532511	1.07811	8.92189	155.599	6.12751	404.247	5.58282	0.00369964	-1.33462e-26	0.268115	237.477	3.1483e-05	0.435918	1.58346e-05	0.659422	0.880743	9.11926	157.399	6.12745	2.68817e-05	5.58277	0.00375649	117.622	1.25037	-7.1079e-27	7.05797
54	6.54031e-06	3.90088	0.00248321	218.044	4.27853	3.0926e-05	274.109	0.71465	-1.38596e-26	1.36591	0.436161	1.28536e-05	2.87305e-05	0.438833	2.9093e-06	1.06732e-06	0.527434	1.08777	8.91223	155.51	6.12532	404.04	5.5827	0.0034782	-1.33333e-26	0.276743	237.827	2.967e-05	0.4361	1.55982e-05	0.653087	0.888817	9.11118	157.326	6.12526	2.71594e-05	5.58264	0.00353544	117.787	1.26523	-7.09175e-27	7.14113
55	6.71552e-06	3.90082	0.00233714	217.932	4.27692	2.91184e-05	272.403	0.729282	-1.38273e-26	1.41682	0.43633	1.26516e-05	2.70379e-05	0.438833	2.99722e-06	1.05198e-06	0.522393	1.09754	8.90246	155.42	6.12308	403.829	5.58258	0.00327218	-1.33201e-26	0.285475	238.133	2.79837e-05	0.436269	1.53698e-05	0.646799	0.89698	9.10302	157.252	6.12301	2.74374e-05	5.58252	0.00332979	117.93	1.27989	-7.07563e-27	7.22354
56	6.89124e-06	3.90077	0.00220127	217.817	4.27528	2.74372e-05	270.761	0.743908	-1.37954e-26	1.46845	0.436488	1.24569e-05	2.54635e-05	0.438833	3.08653e-06	1.03728e-06	0.517388	1.10741	8.89259	155.328	6.12078	403.615	5.58247	0.00308052	-1.33065e-26	0.29431	238.398	2.64154e-05	0.436427	1.5149e-05	0.640561	0.905231	9.09477	157.178	6.12071	2.77156e-05	5.58241	0.00313852	118.052	1.29438	-7.05953e-27	7.30522
57	7.06741e-06	3.90071	0.0020749	217.702	4.2736	2.58738e-05	269.181	0.758526	-1.3764e-26	1.5208	0.436635	1.22692e-05	2.39992e-05	0.438832	3.17721e-06	1.02318e-06	0.512421	1.11739	8.88261	155.236	6.11843	403.398	5.58237	0.00290226	-1.32926e-26	0.303245	238.624	2.49573e-05	0.436575	1.49354e-05	0.634371	0.91357	9.08643	157.102	6.11837	2.79941e-05	5.58231	0.00296063	118.155	1.30868	-7.04347e-27	7.38621
58	7.24401e-06	3.90066	0.00195739	217.584	4.27189	2.44202e-05	267.66	0.773135	-1.37329e-26	1.57387	0.436773	1.2088e-05	2.26376e-05	0.438832	3.26925e-06	1.00964e-06	0.507491	1.12749	8.87251	155.143	6.11604	403.179	5.58227	0.00273648	-1.32783e-26	0.312279	238.813	2.36018e-05	0.436712	1.47287e-05	0.628232	0.921997	9.078	157.026	6.11597	2.82729e-05	5.58222	0.00279522	118.24	1.32282	-7.02745e-27	7.46651
59	7.42099e-06	3.90062	0.00184813	217.466	4.27015	2.30689e-05	266.193	0.787734	-1.37023e-26	1.62765	0.436901	1.19129e-05	2.13716e-05	0.438832	3.36265e-06	9.96636e-07	0.502598	1.13768	8.86232	155.048	6.1136	402.956	5.58219	0.00258234	-1.32637e-26	0.321409	238.967	2.23418e-05	0.436841	1.45283e-05	0.622142	0.930513	9.06949	156.949	6.11353	2.85518e-05	5.58213	0.00264145	118.307	1.33678	-7.01147e-27	7.54616
60	7.59833e-06	3.90058	0.00174657	217.345	4.26837	2.1813e-05	264.779	0.802322	-1.3672e-26	1.68213	0.43702	1.17436e-05	2.01948e-05	0.438832	3.45739e-06	9.84131e-07	0.497745	1.14799	8.85201	154.952	6.11111	402.731	5.5821	0.00243904	-1.32488e-26	0.330633	239.088	2.1171e-05	0.43696	1.43339e-05	0.616103	0.939116	9.06088	156.871	6.11104	2.88309e-05	5.58204	0.00249852	118.359	1.35058	-6.99553e-27	7.62518
61	7.77599e-06	3.90054	0.00165217	217.223	4.26657	2.0646e-05	263.415	0.816898	-1.36421e-26	1.73732	0.437132	1.15798e-05	1.91011e-05	0.438831	3.55346e-06	9.721e-07	0.492929	1.1584	8.8416	154.856	6.10858	402.503	5.58203	0.00230584	-1.32337e-26	0.339948	239.177	2.00833e-05	0.437072	1.41453e-05	0.610115	0.947807	9.05219	156.792	6.10851	2.91101e-05	5.58197	0.00236569	118.394	1.36422	-6.97964e-27	7.70357
62	7.95396e-06	3.9005	0.00156447	217.1	4.26473	1.95619e-05	262.097	0.831462	-1.36125e-26	1.79322	0.437235	1.14211e-05	1.80849e-05	0.438831	3.65084e-06	9.60516e-07	0.488154	1.16892	8.83108	154.758	6.106	402.272	5.58195	0.00218207	-1.32182e-26	0.349353	239.237	1.90729e-05	0.437175	1.39621e-05	0.604177	0.956586	9.04341	156.712	6.10593	2.93895e-05	5.58189	0.00224228	118.416	1.3777	-6.96379e-27	7.78136
63	8.13221e-06	3.90046	0.00148298	216.974	4.26286	1.8555e-05	260.824	0.846011	-1.35832e-26	1.84981	0.437332	1.12673e-05	1.71408e-05	0.438831	3.74952e-06	9.49355e-07	0.483417	1.17955	8.82045	154.659	6.10337	402.037	5.58189	0.00206707	-1.32025e-26	0.358845	239.269	1.81347e-05	0.437272	1.3784e-05	0.59829	0.965453	9.03455	156.631	6.1033	2.96689e-05	5.58183	0.00212764	118.423	1.39103	-6.948e-27	7.85857
64	8.31069e-06	3.90043	0.00140731	216.848	4.26095	1.762e-05	259.594	0.860546	-1.35542e-26	1.90711	0.437422	1.11182e-05	1.6264e-05	0.43883	3.8495e-06	9.38595e-07	0.47872	1.19028	8.80972	154.559	6.1007	401.801	5.58183	0.00196025	-1.31865e-26	0.368423	239.274	1.72637e-05	0.437362	1.36108e-05	0.592455	0.974409	9.02559	156.549	6.10063	2.99485e-05	5.58176	0.00202118	118.417	1.4042	-6.93227e-27	7.93521
65	8.48942e-06	3.9004	0.00133704	216.72	4.25902	1.6752e-05	258.403	0.875066	-1.35256e-26	1.96511	0.437506	1.09734e-05	1.54498e-05	0.43883	3.95076e-06	9.28213e-07	0.474062	1.20112	8.79888	154.458	6.09798	401.561	5.58177	0.00186105	-1.31704e-26	0.378083	239.255	1.64553e-05	0.437446	1.34422e-05	0.58667	0.983453	9.01655	156.467	6.09791	3.02281e-05	5.58171	0.00192233	118.399	1.41723	-6.91658e-27	8.01129
66	8.66837e-06	3.90037	0.00127181	216.59	4.25706	1.59465e-05	257.251	0.889571	-1.34972e-26	2.02381	0.437584	1.08327e-05	1.46941e-05	0.43883	4.05328e-06	9.18189e-07	0.469445	1.21206	8.78794	154.355	6.09523	401.318	5.58171	0.00176896	-1.31539e-26	0.387825	239.211	1.57052e-05	0.437524	1.3278e-05	0.580937	0.992585	9.00741	156.384	6.09516	3.05077e-05	5.58165	0.00183058	118.369	1.43011	-6.90096e-27	8.08684
67	8.84752e-06	3.90035	0.00121127	216.458	4.25507	1.51993e-05	256.135	0.904058	-1.3469e-26	2.0832	0.437656	1.06959e-05	1.39927e-05	0.43883	4.15705e-06	9.08506e-07	0.464867	1.22311	8.77689	154.252	6.09242	401.073	5.58166	0.00168348	-1.31373e-26	0.397646	239.146	1.50095e-05	0.437596	1.31179e-05	0.575254	1.00181	8.99819	156.299	6.09235	3.07874e-05	5.5816	0.00174545	118.329	1.44285	-6.88539e-27	8.16186
68	9.02685e-06	3.90032	0.00115511	216.326	4.25304	1.45062e-05	255.053	0.918529	-1.34411e-26	2.1433	0.437724	1.05628e-05	1.33421e-05	0.438829	4.26207e-06	8.99144e-07	0.46033	1.23427	8.76573	154.148	6.08958	400.824	5.58162	0.00160416	-1.31205e-26	0.407544	239.059	1.43644e-05	0.437664	1.29617e-05	0.569623	1.01112	8.98888	156.214	6.08951	3.1067e-05	5.58155	0.00166648	118.278	1.45545	-6.86988e-27	8.23638
69	9.20636e-06	3.9003	0.00110303	216.191	4.25099	1.38637e-05	254.004	0.932981	-1.34135e-26	2.2041	0.437787	1.04333e-05	1.27386e-05	0.438829	4.36831e-06	8.90088e-07	0.455832	1.24553	8.75447	154.042	6.08669	400.573	5.58157	0.00153059	-1.31034e-26	0.417517	238.952	1.37665e-05	0.437726	1.28092e-05	0.564043	1.02052	8.97948	156.128	6.08662	3.13467e-05	5.58151	0.00159325	118.217	1.46792	-6.85444e-27	8.31039
70	9.38603e-06	3.90028	0.00105474	216.055	4.24891	1.32683e-05	252.986	0.947416	-1.33861e-26	2.26559	0.437845	1.0307e-05	1.21792e-05	0.438829	4.47577e-06	8.81323e-07	0.451374	1.2569	8.7431	153.935	6.08376	400.319	5.58153	0.00146237	-1.30862e-26	0.427563	238.826	1.32126e-05	0.437785	1.26604e-05	0.558513	1.03	8.97	156.041	6.08369	3.16263e-05	5.58147	0.00152536	118.146	1.48025	-6.83905e-27	8.38392
71	9.56586e-06	3.90026	0.00100998	215.918	4.2468	1.27167e-05	251.996	0.961831	-1.33589e-26	2.32779	0.437899	1.01839e-05	1.16608e-05	0.438829	4.58443e-06	8.72834e-07	0.446957	1.26837	8.73163	153.827	6.08079	400.062	5.58149	0.00139914	-1.30688e-26	0.437681	238.682	1.26996e-05	0.437839	1.25149e-05	0.553035	1.03958	8.96042	155.953	6.08071	3.19059e-05	5.58143	0.00146246	118.068	1.49246	-6.82373e-27	8.45697
72	9.74583e-06	3.90024	0.000968528	215.779	4.24466	1.2206e-05	251.035	0.976228	-1.33319e-26	2.39069	0.437949	1.00639e-05	1.11806e-05	0.438828	4.69428e-06	8.64607e-07	0.442579	1.27996	8.72004	153.718	6.07777	399.802	5.58146	0.00134054	-1.30513e-26	0.447867	238.522	1.22247e-05	0.437889	1.23726e-05	0.547606	1.04925	8.95075	155.864	6.0777	3.21855e-05	5.58139	0.0014042	117.98	1.50454	-6.80848e-27	8.52955
73	9.92594e-06	3.90022	0.000930142	215.638	4.24249	1.17334e-05	250.1	0.990604	-1.33051e-26	2.45429	0.437996	9.94664e-06	1.07359e-05	0.438828	4.8053e-06	8.5663e-07	0.438241	1.29165	8.70835	153.608	6.07472	399.539	5.58142	0.00128628	-1.30335e-26	0.458121	238.345	1.17854e-05	0.437936	1.22334e-05	0.542228	1.05901	8.94099	155.775	6.07464	3.24649e-05	5.58136	0.00135026	117.885	1.51649	-6.79329e-27	8.60168
74	1.01062e-05	3.90021	0.000894615	215.496	4.24029	1.12962e-05	249.19	1.00496	-1.32785e-26	2.5186	0.43804	9.83212e-06	1.03244e-05	0.438828	4.91749e-06	8.48892e-07	0.433943	1.30344	8.69656	153.497	6.07162	399.274	5.58139	0.00123605	-1.30157e-26	0.46844	238.154	1.13792e-05	0.437979	1.20971e-05	0.536901	1.06886	8.93114	155.684	6.07154	3.27443e-05	5.58133	0.00130036	117.783	1.52833	-6.77816e-27	8.67337
75	1.02866e-05	3.90019	0.000861753	215.352	4.23807	1.0892e-05	248.304	1.0193	-1.32522e-26	2.58362	0.43808	9.72019e-06	9.94382e-06	0.438828	5.03082e-06	8.4138e-07	0.429684	1.31534	8.68466	153.384	6.06848	399.005	5.58136	0.00118957	-1.29976e-26	0.478823	237.948	1.10038e-05	0.438019	1.19636e-05	0.531623	1.07879	8.92121	155.593	6.0684	3.30236e-05	5.5813	0.0012542	117.673	1.54004	-6.7631e-27	8.74462
76	1.0467e-05	3.90018	0.000831373	215.207	4.23581	1.05187e-05	247.44	1.03361	-1.32259e-26	2.64935	0.438117	9.61072e-06	9.592e-06	0.438827	5.1453e-06	8.34086e-07	0.425465	1.32735	8.67265	153.271	6.0653	398.733	5.58134	0.00114659	-1.29795e-26	0.489268	237.729	1.06572e-05	0.438056	1.18328e-05	0.526395	1.08882	8.91118	155.5	6.06522	3.33029e-05	5.58127	0.00121154	117.557	1.55164	-6.7481e-27	8.81544
77	1.06477e-05	3.90016	0.000803305	215.06	4.23352	1.0174e-05	246.598	1.0479	-1.31999e-26	2.71578	0.438152	9.50359e-06	9.26699e-06	0.438827	5.26089e-06	8.26998e-07	0.421286	1.33947	8.66053	153.156	6.06208	398.459	5.58131	0.00110687	-1.29612e-26	0.499773	237.497	1.03373e-05	0.438091	1.17046e-05	0.521216	1.09895	8.90105	155.407	6.062	3.3582e-05	5.58125	0.00117213	117.435	1.56313	-6.73317e-27	8.88585
78	1.08284e-05	3.90015	0.000777391	214.912	4.23121	9.85597e-06	245.777	1.06217	-1.3174e-26	2.78293	0.438184	9.39871e-06	8.96696e-06	0.438827	5.3776e-06	8.20108e-07	0.417145	1.3517	8.6483	153.04	6.05881	398.182	5.58129	0.00107019	-1.29428e-26	0.510336	237.253	1.00423e-05	0.438122	1.15788e-05	0.516087	1.10916	8.89084	155.312	6.05874	3.3861e-05	5.58122	0.00113576	117.307	1.5745	-6.71831e-27	8.95584
79	1.10093e-05	3.90014	0.000753483	214.762	4.22887	9.56286e-06	244.974	1.07642	-1.31483e-26	2.8508	0.438213	9.29597e-06	8.69019e-06	0.438827	5.49541e-06	8.13408e-07	0.413043	1.36403	8.63597	152.923	6.05551	397.901	5.58127	0.00103634	-1.29242e-26	0.520956	236.998	9.77054e-06	0.438152	1.14554e-05	0.511006	1.11946	8.88054	155.217	6.05543	3.41399e-05	5.5812	0.00110222	117.174	1.58577	-6.70352e-27	9.02543
80	1.11902e-05	3.90013	0.000731445	214.61	4.2265	9.29292e-06	244.19	1.09065	-1.31227e-26	2.91939	0.438241	9.19528e-06	8.43511e-06	0.438827	5.61431e-06	8.0689e-07	0.408981	1.37647	8.62353	152.805	6.05216	397.618	5.58125	0.00100512	-1.29056e-26	0.531631	236.733	9.52041e-06	0.438179	1.13342e-05	0.505974	1.12986	8.87014	155.121	6.05209	3.44187e-05	5.58118	0.0010713	117.035	1.59692	-6.68879e-27	9.09463
81	1.13713e-05	3.90012	0.000711148	214.457	4.2241	9.04458e-06	243.423	1.10485	-1.30973e-26	2.9887	0.438266	9.09655e-06	8.20022e-06	0.438826	5.73428e-06	8.00545e-07	0.404956	1.38902	8.61098	152.685	6.04878	397.332	5.58123	0.000976355	-1.28868e-26	0.542359	236.457	9.29042e-06	0.438205	1.12151e-05	0.50099	1.14035	8.85965	155.023	6.0487	3.46973e-05	5.58116	0.00104284	116.892	1.60798	-6.67413e-27	9.16343
82	1.15525e-05	3.90011	0.000692473	214.302	4.22167	8.81635e-06	242.673	1.11904	-1.3072e-26	3.05874	0.43829	8.99969e-06	7.98415e-06	0.438826	5.85531e-06	7.94368e-07	0.400971	1.40168	8.59832	152.565	6.04535	397.043	5.58121	0.000949878	-1.28679e-26	0.553139	236.172	9.07919e-06	0.438228	1.10982e-05	0.496054	1.15094	8.84906	154.925	6.04528	3.49759e-05	5.58115	0.00101666	116.744	1.61893	-6.65953e-27	9.23185
83	1.17339e-05	3.9001	0.000675309	214.145	4.21922	8.60685e-06	241.939	1.13319	-1.30469e-26	3.12951	0.438311	8.90464e-06	7.7856e-06	0.438826	5.97739e-06	7.88351e-07	0.397023	1.41445	8.58555	152.443	6.04189	396.75	5.5812	0.000925531	-1.2849e-26	0.563969	235.878	8.88544e-06	0.438249	1.09832e-05	0.491166	1.16161	8.83839	154.826	6.04181	3.52543e-05	5.58113	0.000992608	116.591	1.62978	-6.64501e-27	9.2999
84	1.19153e-05	3.90009	0.000659552	213.987	4.21673	8.4148e-06	241.22	1.14733	-1.30219e-26	3.20101	0.438331	8.81131e-06	7.6034e-06	0.438826	6.1005e-06	7.82488e-07	0.393113	1.42732	8.57268	152.32	6.03838	396.455	5.58118	0.00090317	-1.28299e-26	0.574847	235.575	8.70797e-06	0.438269	1.08702e-05	0.486325	1.17239	8.82761	154.726	6.0383	3.55325e-05	5.58111	0.000970538	116.435	1.64053	-6.63055e-27	9.36758
85	1.20969e-05	3.90009	0.000645106	213.828	4.21422	8.23901e-06	240.514	1.16144	-1.2997e-26	3.27324	0.43835	8.71964e-06	7.4364e-06	0.438825	6.22464e-06	7.76773e-07	0.389241	1.44031	8.55969	152.195	6.03483	396.157	5.58117	0.000882657	-1.28108e-26	0.585772	235.265	8.54566e-06	0.438287	1.0759e-05	0.481531	1.18325	8.81675	154.624	6.03475	3.58106e-05	5.5811	0.000950313	116.274	1.65119	-6.61615e-27	9.43489
86	1.22786e-05	3.90008	0.000631882	213.666	4.21168	8.07836e-06	239.823	1.17553	-1.29722e-26	3.34622	0.438367	8.62957e-06	7.28358e-06	0.438825	6.34979e-06	7.71201e-07	0.385406	1.45341	8.54659	152.07	6.03124	395.855	5.58115	0.000863866	-1.27916e-26	0.596743	234.947	8.39748e-06	0.438304	1.06497e-05	0.476784	1.19421	8.80579	154.522	6.03116	3.60885e-05	5.58109	0.000931807	116.11	1.66175	-6.60183e-27	9.50184
87	1.24604e-05	3.90007	0.000619795	213.503	4.20911	7.93182e-06	239.144	1.18959	-1.29476e-26	3.41994	0.438382	8.54103e-06	7.14397e-06	0.438825	6.47595e-06	7.65768e-07	0.381608	1.46661	8.53339	151.943	6.02761	395.551	5.58114	0.00084668	-1.27723e-26	0.607758	234.622	8.26245e-06	0.43832	1.0542e-05	0.472083	1.20527	8.79473	154.419	6.02753	3.63664e-05	5.58107	0.000914903	115.943	1.67222	-6.58757e-27	9.56844
88	1.26424e-05	3.90007	0.000608768	213.339	4.20651	7.79842e-06	238.477	1.20363	-1.29231e-26	3.49442	0.438396	8.45397e-06	7.01666e-06	0.438825	6.60309e-06	7.60467e-07	0.377848	1.47993	8.52007	151.815	6.02394	395.243	5.58113	0.000830989	-1.27529e-26	0.618815	234.291	8.13967e-06	0.438334	1.0436e-05	0.467428	1.21642	8.78358	154.315	6.02386	3.6644e-05	5.58106	0.000899491	115.772	1.68259	-6.57337e-27	9.63469
89	1.28245e-05	3.90006	0.000598728	213.172	4.20388	7.67725e-06	237.822	1.21764	-1.28986e-26	3.56964	0.43841	8.36834e-06	6.90081e-06	0.438825	6.73121e-06	7.55294e-07	0.374124	1.49336	8.50664	151.686	6.02022	394.933	5.58112	0.00081669	-1.27335e-26	0.629913	233.954	8.0283e-06	0.438347	1.03316e-05	0.462819	1.22767	8.77233	154.209	6.02014	3.69215e-05	5.58105	0.000885467	115.599	1.69288	-6.55924e-27	9.7006
90	1.30067e-05	3.90006	0.000589608	213.005	4.20122	7.56749e-06	237.179	1.23163	-1.28743e-26	3.64562	0.438422	8.28408e-06	6.79565e-06	0.438824	6.86029e-06	7.50246e-07	0.370436	1.5069	8.4931	151.555	6.01647	394.619	5.58111	0.000803689	-1.2714e-26	0.641051	233.61	7.92757e-06	0.438359	1.02288e-05	0.458255	1.23901	8.76099	154.103	6.01639	3.71989e-05	5.58104	0.000872738	115.423	1.70309	-6.54518e-27	9.76617
91	1.31891e-05	3.90005	0.000581345	212.835	4.19854	7.46835e-06	236.545	1.2456	-1.28501e-26	3.72237	0.438433	8.20115e-06	6.70043e-06	0.438824	6.99033e-06	7.45317e-07	0.366784	1.52055	8.47945	151.423	6.01267	394.302	5.5811	0.000791896	-1.26944e-26	0.652227	233.261	7.83673e-06	0.43837	1.01275e-05	0.453735	1.25045	8.74955	153.996	6.01259	3.74761e-05	5.58103	0.000861215	115.244	1.7132	-6.53118e-27	9.8314
92	1.33717e-05	3.90005	0.000573879	212.664	4.19582	7.3791e-06	235.922	1.25954	-1.2826e-26	3.79988	0.438443	8.11951e-06	6.61449e-06	0.438824	7.12131e-06	7.40505e-07	0.363169	1.53431	8.46569	151.29	6.00884	393.982	5.58109	0.000781229	-1.26747e-26	0.66344	232.907	7.75511e-06	0.43838	1.00277e-05	0.449261	1.26199	8.73801	153.887	6.00876	3.77532e-05	5.58102	0.000850814	115.062	1.72323	-6.51724e-27	9.8963
93	1.35543e-05	3.90004	0.000567157	212.49	4.19308	7.29907e-06	235.308	1.27345	-1.2802e-26	3.87816	0.438452	8.03911e-06	6.53719e-06	0.438824	7.25323e-06	7.35806e-07	0.359588	1.54819	8.45181	151.156	6.00496	393.659	5.58109	0.000771611	-1.26551e-26	0.674688	232.549	7.68209e-06	0.438389	9.92924e-06	0.44483	1.27363	8.72637	153.778	6.00488	3.80301e-05	5.58102	0.000841459	114.878	1.73319	-6.50337e-27	9.96087
94	1.37372e-05	3.90004	0.000561127	212.316	4.1903	7.22763e-06	234.704	1.28734	-1.27781e-26	3.95722	0.43846	7.95991e-06	6.46794e-06	0.438824	7.38606e-06	7.31216e-07	0.356043	1.56218	8.43782	151.02	6.00104	393.333	5.58108	0.000762971	-1.26353e-26	0.685971	232.185	7.61706e-06	0.438397	9.8322e-06	0.440443	1.28537	8.71463	153.667	6.00096	3.83069e-05	5.58101	0.000833079	114.693	1.74306	-6.48957e-27	10.0251
95	1.39202e-05	3.90004	0.000555743	212.139	4.1875	7.16418e-06	234.108	1.3012	-1.27542e-26	4.03706	0.438468	7.88188e-06	6.40619e-06	0.438823	7.5198e-06	7.26732e-07	0.352533	1.57628	8.42372	150.883	5.99707	393.003	5.58107	0.000755241	-1.26155e-26	0.697287	231.818	7.55948e-06	0.438404	9.7365e-06	0.4361	1.2972	8.7028	153.556	5.99699	3.85835e-05	5.581	0.000825606	114.505	1.75285	-6.47582e-27	10.0891
96	1.41033e-05	3.90003	0.000550959	211.961	4.18467	7.10818e-06	233.52	1.31504	-1.27305e-26	4.11769	0.438475	7.80497e-06	6.35143e-06	0.438823	7.65444e-06	7.22351e-07	0.349058	1.5905	8.4095	150.745	5.99307	392.67	5.58106	0.00074836	-1.25957e-26	0.708635	231.446	7.50885e-06	0.438411	9.6421e-06	0.431799	1.30914	8.69086	153.443	5.99299	3.886e-05	5.58099	0.000818978	114.315	1.76256	-6.46214e-27	10.1527
97	1.42867e-05	3.90003	0.000546735	211.781	4.1818	7.05912e-06	232.94	1.32886	-1.27068e-26	4.19911	0.438481	7.72917e-06	6.30318e-06	0.438823	7.78997e-06	7.1807e-07	0.345617	1.60483	8.39517	150.605	5.98902	392.334	5.58106	0.000742269	-1.25758e-26	0.720013	231.071	7.46468e-06	0.438417	9.54898e-06	0.427541	1.32117	8.67883	153.329	5.98894	3.91363e-05	5.58099	0.000813137	114.123	1.7722	-6.44852e-27	10.216
98	1.44702e-05	3.90003	0.000543033	211.599	4.17891	7.01653e-06	232.368	1.34264	-1.26832e-26	4.28132	0.438486	7.65444e-06	6.261e-06	0.438823	7.92638e-06	7.13887e-07	0.34221	1.61928	8.38072	150.464	5.98493	391.995	5.58105	0.000736914	-1.25559e-26	0.73142	230.692	7.42653e-06	0.438422	9.45709e-06	0.423326	1.3333	8.6667	153.215	5.98485	3.94126e-05	5.58098	0.000808031	113.93	1.78176	-6.43496e-27	10.279
99	1.46538e-05	3.90002	0.000539817	211.416	4.17599	6.97996e-06	231.802	1.35641	-1.26597e-26	4.36434	0.438491	7.58074e-06	6.22447e-06	0.438823	8.06366e-06	7.09798e-07	0.338837	1.63384	8.36616	150.322	5.9808	391.652	5.58105	0.000732246	-1.25359e-26	0.742856	230.31	7.39398e-06	0.438427	9.36641e-06	0.419152	1.34554	8.65446	153.099	5.98072	3.96886e-05	5.58098	0.000803607	113.735	1.79125	-6.42146e-27	10.3416
100	1.48377e-05	3.90002	0.000537053	211.23	4.17303	6.949e-06	231.244	1.37014	-1.26363e-26	4.44817	0.438496	7.50805e-06	6.19322e-06	0.438822	8.20179e-06	7.05803e-07	0.335497	1.64851	8.35149	150.178	5.97663	391.306	5.58104	0.000728216	-1.25159e-26	0.754319	229.925	7.36666e-06	0.438432	9.2769e-06	0.41502	1.35788	8.64212	152.982	5.97654	3.99646e-05	5.58097	0.00079982	113.539	1.80067	-6.40803e-27	10.404
