Time	[X]	[ES]
0	1	1
1	4.54602	-2.54602
2	4.97537	-2.97537
3	5.03755	-3.03755
4	5.04677	-3.04677
5	5.04814	-3.04814
6	5.04834	-3.04834
7	5.04837	-3.04837
8	5.04838	-3.04838
9	5.04838	-3.04838
10	5.04838	-3.04838
11	5.04838	-3.04838
12	5.04838	-3.04838
13	5.04838	-3.04838
14	5.04838	-3.04838
15	5.04838	-3.04838
16	5.04838	-3.04838
17	5.04838	-3.04838
18	5.04838	-3.04838
19	5.04838	-3.04838
20	5.04838	-3.04838
21	5.04838	-3.04838
22	5.04838	-3.04838
23	5.04838	-3.04838
24	5.04838	-3.04838
25	5.04838	-3.04838
26	5.04838	-3.04838
27	5.04838	-3.04838
28	5.04838	-3.04838
29	5.04838	-3.04838
30	5.04838	-3.04838
31	5.04838	-3.04838
32	5.04838	-3.04838
33	5.04838	-3.04838
34	5.04838	-3.04838
35	5.04838	-3.04838
36	5.04838	-3.04838
37	5.04838	-3.04838
38	5.04838	-3.04838
39	5.04838	-3.04838
40	5.04838	-3.04838
41	5.04838	-3.04838
42	5.04838	-3.04838
43	5.04838	-3.04838
44	5.04838	-3.04838
45	5.04838	-3.04838
46	5.04838	-3.04838
47	5.04838	-3.04838
48	5.04838	-3.04838
49	5.04838	-3.04838
50	5.04838	-3.04838
51	5.04838	-3.04838
52	5.04838	-3.04838
53	5.04838	-3.04838
54	5.04838	-3.04838
55	5.04838	-3.04838
56	5.04838	-3.04838
57	5.04838	-3.04838
58	5.04838	-3.04838
59	5.04838	-3.04838
60	5.04838	-3.04838
61	5.04838	-3.04838
62	5.04838	-3.04838
63	5.04838	-3.04838
64	5.04838	-3.04838
65	5.04838	-3.04838
66	5.04838	-3.04838
67	5.04838	-3.04838
68	5.04838	-3.04838
69	5.04838	-3.04838
70	5.04838	-3.04838
71	5.04838	-3.04838
72	5.04838	-3.04838
73	5.04838	-3.04838
74	5.04838	-3.04838
75	5.04838	-3.04838
76	5.04838	-3.04838
77	5.04838	-3.04838
78	5.04838	-3.04838
79	5.04838	-3.04838
80	5.04838	-3.04838
81	5.04838	-3.04838
82	5.04838	-3.04838
83	5.04838	-3.04838
84	5.04838	-3.04838
85	5.04838	-3.04838
86	5.04838	-3.04838
87	5.04838	-3.04838
88	5.04838	-3.04838
89	5.04838	-3.04838
90	5.04838	-3.04838
91	5.04838	-3.04838
92	5.04838	-3.04838
93	5.04838	-3.04838
94	5.04838	-3.04838
95	5.04838	-3.04838
96	5.04838	-3.04838
97	5.04838	-3.04838
98	5.04838	-3.04838
99	5.04838	-3.04838
100	5.04838	-3.04838
