Time	[CRP]	[CRPsiteI_crp]	[CRPsiteII_crp]	[CRPsite_cyaA]	[CRPsite_genome]	[CRPsite_ptsGp1]	[CRPsite_ptsGp2]	[CRPsite_ptsHp0]	[CRPsite_ptsHp1]	[CRPsite_ptsIp0]	[CRPsite_ptsIp1]	[CRPsite_mlcp1]	[CRPsite_mlcp2]	[Mlc]	[Mlcsite_mlcp1]	[Mlcsite_mlcp2]	[Mlcsite_ptsGp1]	[Mlcsite_ptsGp2]	[Mlcsite_ptsHp0]	[Mlcsite_ptsIp0]	[CRP_cAMP]	[CRP_cAMP_CRPsiteI_crp]	[CRP_cAMP_CRPsiteII_crp]	[CRP_cAMP_CRPsite_cyaA]	[CRP_cAMP_CRPsite_genome]	[CRP_cAMP_CRPsite_ptsGp1]	[CRP_cAMP_CRPsite_ptsGp2]	[CRP_cAMP_CRPsite_ptsHp0]	[CRP_cAMP_CRPsite_ptsHp1]	[CRP_cAMP_CRPsite_ptsIp0]	[CRP_cAMP_CRPsite_ptsIp1]	[CRP_cAMP_CRPsite_mlcp1]	[CRP_cAMP_CRPsite_mlcp2]	[Mlc_Mlcsite_ptsGp1]	[Mlc_Mlcsite_ptsGp2]	[Mlc_Mlcsite_ptsIp0]	[Mlc_Mlcsite_ptsHp0]	[Mlc_Mlcsite_mlcp1]	[Mlc_Mlcsite_mlcp2]	[IICB]	[IICB_Mlc]	[CYA]	[IIA_P]	[IIA_P_CYA]	[mRNA_cyaA]	[mRNA_crp]	[mRNA_ptsG]	[mRNA_ptsH]	[mRNA_ptsI]	[mRNA_crr]	[mRNA_mlc]	[IICB_P]	[IIA]	[HPr_P]	[HPr]	[EI_P]	[EI]	[cAMP]	[cyaA]	[cyaA_basal]	[crp]	[crp_basal]	[ptsGp1]	[ptsGp2]	[ptsHp0]	[ptsHp1]	[ptsIp0]	[ptsIp1]	[crr]	[mlcp1]	[mlcp2]	[Pyr]	[PEP]	[Glc6P]	[Glucose]	[ATP]
10	5.42118e-06	7.42412e-11	1.9037e-10	3.10368e-11	3.67111e-09	1.20064e-10	1.20064e-10	1.20064e-10	1.20064e-10	1.20064e-10	1.20064e-10	1.20064e-10	1.20064e-10	5.51595e-10	2.4267e-10	2.4282e-10	2.18855e-10	2.18855e-10	2.18855e-10	2.18855e-10	1.02391e-07	1.68757e-10	5.2629e-11	2.11966e-10	3.75889e-09	1.22936e-10	1.22936e-10	1.22936e-10	1.22936e-10	1.22936e-10	1.22936e-10	1.22936e-10	1.22936e-10	2.41439e-11	2.41439e-11	2.41439e-11	2.41439e-11	3.25269e-13	1.80817e-13	4.28531e-05	1.65463e-07	1.4977e-06	7.00962e-06	7.35891e-09	1.36323e-08	5.02801e-08	4.55933e-07	1.14156e-07	1.00418e-08	9.38609e-07	1.51012e-09	7.10698e-06	9.62346e-05	7.58766e-07	1.17945e-05	2.43212e-07	8.61073e-07	4.72424e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
11	5.42138e-06	7.42334e-11	1.90364e-10	3.10328e-11	3.67083e-09	1.20055e-10	1.20055e-10	1.20055e-10	1.20055e-10	1.20055e-10	1.20055e-10	1.20055e-10	1.20055e-10	5.51565e-10	2.4267e-10	2.4282e-10	2.18856e-10	2.18856e-10	2.18856e-10	2.18856e-10	1.02407e-07	1.68765e-10	5.26353e-11	2.1197e-10	3.75917e-09	1.22945e-10	1.22945e-10	1.22945e-10	1.22945e-10	1.22945e-10	1.22945e-10	1.22945e-10	1.22945e-10	2.41427e-11	2.41427e-11	2.41427e-11	2.41427e-11	3.25251e-13	1.80807e-13	4.28555e-05	1.65463e-07	1.49787e-06	7.00965e-06	7.35979e-09	1.36306e-08	5.02841e-08	4.55979e-07	1.14164e-07	1.00425e-08	9.38609e-07	1.51013e-09	7.1074e-06	9.62348e-05	7.58794e-07	1.17948e-05	2.43218e-07	8.611e-07	4.72478e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
12	5.42161e-06	7.42265e-11	1.90358e-10	3.10291e-11	3.67058e-09	1.20047e-10	1.20047e-10	1.20047e-10	1.20047e-10	1.20047e-10	1.20047e-10	1.20047e-10	1.20047e-10	5.51533e-10	2.4267e-10	2.4282e-10	2.18858e-10	2.18858e-10	2.18858e-10	2.18858e-10	1.02421e-07	1.68772e-10	5.26408e-11	2.11974e-10	3.75942e-09	1.22953e-10	1.22953e-10	1.22953e-10	1.22953e-10	1.22953e-10	1.22953e-10	1.22953e-10	1.22953e-10	2.41414e-11	2.41414e-11	2.41414e-11	2.41414e-11	3.25232e-13	1.80796e-13	4.28581e-05	1.65463e-07	1.498e-06	7.00969e-06	7.36054e-09	1.3629e-08	5.02879e-08	4.56023e-07	1.14172e-07	1.00432e-08	9.38609e-07	1.51013e-09	7.10786e-06	9.6235e-05	7.58827e-07	1.17953e-05	2.43225e-07	8.61131e-07	4.72522e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
13	5.42185e-06	7.42203e-11	1.90353e-10	3.10259e-11	3.67035e-09	1.2004e-10	1.2004e-10	1.2004e-10	1.2004e-10	1.2004e-10	1.2004e-10	1.2004e-10	1.2004e-10	5.51499e-10	2.4267e-10	2.4282e-10	2.18859e-10	2.18859e-10	2.18859e-10	2.18859e-10	1.02433e-07	1.68778e-10	5.26458e-11	2.11977e-10	3.75965e-09	1.2296e-10	1.2296e-10	1.2296e-10	1.2296e-10	1.2296e-10	1.2296e-10	1.2296e-10	1.2296e-10	2.41401e-11	2.41401e-11	2.41401e-11	2.41401e-11	3.25212e-13	1.80785e-13	4.28608e-05	1.65464e-07	1.4981e-06	7.00976e-06	7.36119e-09	1.36274e-08	5.02916e-08	4.56064e-07	1.1418e-07	1.00439e-08	9.38609e-07	1.51013e-09	7.10836e-06	9.62352e-05	7.58865e-07	1.17957e-05	2.43233e-07	8.61164e-07	4.72557e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
14	5.42211e-06	7.42148e-11	1.90349e-10	3.1023e-11	3.67015e-09	1.20033e-10	1.20033e-10	1.20033e-10	1.20033e-10	1.20033e-10	1.20033e-10	1.20033e-10	1.20033e-10	5.51464e-10	2.4267e-10	2.4282e-10	2.1886e-10	2.1886e-10	2.1886e-10	2.1886e-10	1.02444e-07	1.68783e-10	5.26502e-11	2.1198e-10	3.75985e-09	1.22967e-10	1.22967e-10	1.22967e-10	1.22967e-10	1.22967e-10	1.22967e-10	1.22967e-10	1.22967e-10	2.41387e-11	2.41387e-11	2.41387e-11	2.41387e-11	3.25192e-13	1.80774e-13	4.28635e-05	1.65464e-07	1.49818e-06	7.00985e-06	7.36175e-09	1.36259e-08	5.02952e-08	4.56103e-07	1.14188e-07	1.00445e-08	9.38609e-07	1.51013e-09	7.1089e-06	9.62353e-05	7.58907e-07	1.17962e-05	2.43241e-07	8.612e-07	4.72586e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
15	5.42238e-06	7.42099e-11	1.90345e-10	3.10204e-11	3.66998e-09	1.20027e-10	1.20027e-10	1.20027e-10	1.20027e-10	1.20027e-10	1.20027e-10	1.20027e-10	1.20027e-10	5.51428e-10	2.4267e-10	2.4282e-10	2.18862e-10	2.18862e-10	2.18862e-10	2.18862e-10	1.02454e-07	1.68788e-10	5.26541e-11	2.11983e-10	3.76002e-09	1.22973e-10	1.22973e-10	1.22973e-10	1.22973e-10	1.22973e-10	1.22973e-10	1.22973e-10	1.22973e-10	2.41373e-11	2.41373e-11	2.41373e-11	2.41373e-11	3.25171e-13	1.80762e-13	4.28663e-05	1.65464e-07	1.49824e-06	7.00995e-06	7.36225e-09	1.36244e-08	5.02985e-08	4.56139e-07	1.14196e-07	1.00452e-08	9.38609e-07	1.51013e-09	7.10947e-06	9.62354e-05	7.58954e-07	1.17968e-05	2.4325e-07	8.61238e-07	4.72607e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
16	5.42265e-06	7.42054e-11	1.90341e-10	3.10181e-11	3.66982e-09	1.20022e-10	1.20022e-10	1.20022e-10	1.20022e-10	1.20022e-10	1.20022e-10	1.20022e-10	1.20022e-10	5.51393e-10	2.4267e-10	2.4282e-10	2.18863e-10	2.18863e-10	2.18863e-10	2.18863e-10	1.02462e-07	1.68793e-10	5.26577e-11	2.11985e-10	3.76018e-09	1.22978e-10	1.22978e-10	1.22978e-10	1.22978e-10	1.22978e-10	1.22978e-10	1.22978e-10	1.22978e-10	2.41359e-11	2.41359e-11	2.41359e-11	2.41359e-11	3.2515e-13	1.8075e-13	4.28691e-05	1.65464e-07	1.49827e-06	7.01008e-06	7.36269e-09	1.3623e-08	5.03017e-08	4.56173e-07	1.14203e-07	1.00458e-08	9.38609e-07	1.51013e-09	7.11007e-06	9.62354e-05	7.59005e-07	1.17973e-05	2.43259e-07	8.61278e-07	4.72624e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
17	5.42294e-06	7.42014e-11	1.90338e-10	3.1016e-11	3.66967e-09	1.20018e-10	1.20018e-10	1.20018e-10	1.20018e-10	1.20018e-10	1.20018e-10	1.20018e-10	1.20018e-10	5.51357e-10	2.4267e-10	2.4282e-10	2.18865e-10	2.18865e-10	2.18865e-10	2.18865e-10	1.0247e-07	1.68797e-10	5.26608e-11	2.11987e-10	3.76033e-09	1.22982e-10	1.22982e-10	1.22982e-10	1.22982e-10	1.22982e-10	1.22982e-10	1.22982e-10	1.22982e-10	2.41345e-11	2.41345e-11	2.41345e-11	2.41345e-11	3.25129e-13	1.80739e-13	4.2872e-05	1.65464e-07	1.49829e-06	7.01023e-06	7.36309e-09	1.36217e-08	5.03048e-08	4.56204e-07	1.14211e-07	1.00465e-08	9.38609e-07	1.51013e-09	7.11069e-06	9.62354e-05	7.59059e-07	1.17979e-05	2.43269e-07	8.6132e-07	4.72635e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
18	5.42323e-06	7.41979e-11	1.90335e-10	3.10141e-11	3.66954e-09	1.20013e-10	1.20013e-10	1.20013e-10	1.20013e-10	1.20013e-10	1.20013e-10	1.20013e-10	1.20013e-10	5.51322e-10	2.4267e-10	2.4282e-10	2.18866e-10	2.18866e-10	2.18866e-10	2.18866e-10	1.02477e-07	1.688e-10	5.26637e-11	2.11989e-10	3.76046e-09	1.22987e-10	1.22987e-10	1.22987e-10	1.22987e-10	1.22987e-10	1.22987e-10	1.22987e-10	1.22987e-10	2.41331e-11	2.41331e-11	2.41331e-11	2.41331e-11	3.25108e-13	1.80727e-13	4.28747e-05	1.65464e-07	1.49829e-06	7.0104e-06	7.36346e-09	1.36204e-08	5.03076e-08	4.56233e-07	1.14218e-07	1.00471e-08	9.38609e-07	1.51013e-09	7.11133e-06	9.62353e-05	7.59117e-07	1.17984e-05	2.43279e-07	8.61363e-07	4.72643e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
19	5.42351e-06	7.41946e-11	1.90333e-10	3.10124e-11	3.66943e-09	1.2001e-10	1.2001e-10	1.2001e-10	1.2001e-10	1.2001e-10	1.2001e-10	1.2001e-10	1.2001e-10	5.51287e-10	2.4267e-10	2.4282e-10	2.18867e-10	2.18867e-10	2.18867e-10	2.18867e-10	1.02484e-07	1.68803e-10	5.26663e-11	2.11991e-10	3.76057e-09	1.2299e-10	1.2299e-10	1.2299e-10	1.2299e-10	1.2299e-10	1.2299e-10	1.2299e-10	1.2299e-10	2.41317e-11	2.41317e-11	2.41317e-11	2.41317e-11	3.25088e-13	1.80716e-13	4.28775e-05	1.65465e-07	1.49828e-06	7.0106e-06	7.36381e-09	1.36193e-08	5.03103e-08	4.5626e-07	1.14225e-07	1.00477e-08	9.38609e-07	1.51013e-09	7.11198e-06	9.62353e-05	7.59178e-07	1.1799e-05	2.43289e-07	8.61408e-07	4.72648e-07	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	2.43e-10	0.00267	0.00267	0.00148	0.2	0.0069942
