Time	Values[v]	Values[u]
0	-60	6
1	-60	6
2	-60	6
3	-60	6
4	-60	6
5	-60	6
6	-60	6
7	-60	6
8	-60	6
9	-60	6
10	-60	6
11	-60	6
12	-60	6
13	-60	6
14	-60	6
15	-60	6
16	-60	6
17	-60	6
18	-60	6
19	-60	6
20	-60	6
21	-60	6
22	-60	6
23	-60	6
24	-60	6
25	-60	6
26	-60	6
27	-60	6
28	-60	6
29	-60	6
30	-60	6
31	-59.9698	5.99998
32	-59.9008	5.99986
33	-59.8119	5.99958
34	-59.7125	5.99911
35	-59.607	5.99846
36	-59.4977	5.9976
37	-59.3855	5.99654
38	-59.271	5.99528
39	-59.1542	5.99382
40	-59.0354	5.99215
41	-58.9145	5.99027
42	-58.7914	5.98819
43	-58.666	5.98591
44	-58.5384	5.98342
45	-58.4082	5.98073
46	-58.2755	5.97782
47	-58.1402	5.97472
48	-58.002	5.9714
49	-57.8608	5.96787
50	-57.7164	5.96412
51	-57.5688	5.96017
52	-57.4176	5.95599
53	-57.2626	5.95159
54	-57.1036	5.94697
55	-56.9403	5.94213
56	-56.7724	5.93705
57	-56.5995	5.93173
58	-56.4213	5.92617
59	-56.2373	5.92037
60	-56.047	5.9143
61	-55.8498	5.90798
62	-55.6451	5.90138
63	-55.432	5.8945
64	-55.2096	5.88732
65	-54.9769	5.87984
66	-54.7326	5.87203
67	-54.4751	5.86388
68	-54.2025	5.85537
69	-53.9125	5.84647
70	-53.6022	5.83715
71	-53.2677	5.82738
72	-52.9043	5.81711
73	-52.5054	5.80629
74	-52.0622	5.79485
75	-51.5623	5.78271
76	-50.9874	5.76975
77	-50.3096	5.75581
78	-49.484	5.74066
79	-48.4318	5.72398
80	-47.0019	5.7052
81	-44.8593	5.68333
82	-41.0776	5.65628
83	-31.7731	5.6181
84	-55.2347	11.5328
85	-58.3604	11.4172
86	-60.0242	11.3086
87	-60.7296	11.2043
88	-60.9377	11.103
89	-60.912	11.0038
90	-60.7793	10.9064
91	-60.5972	10.8106
92	-60.3912	10.7163
93	-60.1723	10.6235
94	-59.9455	10.532
95	-59.7128	10.442
96	-59.475	10.3532
97	-59.2322	10.2657
98	-58.9842	10.1795
99	-58.7306	10.0945
100	-58.4712	10.0106
