Time	[r0]	[r1]	[r2]	[r11]	[r12]	[r22]	[r1x2]	[r11x2]	[r1x22]	[r1x22d]	[r11x22]	[rend]	[rendP]	[iendIR]	[iend]	[rPbasal]	[IRS]	[IRSiP]	[X]	[X_P]	[PI3K]	[PI3K_]	[PDK1]	[PDK1_]	[PKC]	[PKC_P]	[PKB]	[PKB_P]	[mTOR]	[mTOR_]	[GLUT4_C]	[GLUT4_M]	Values[G_p]	Values[G_t]	Values[I_l]	Values[I_p]	Values[Q_sto1]	Values[Q_sto2]	Values[Q_gut]	Values[I_1]	Values[I_d]	Values[INS]	Values[I_po]	Values[Y]
46	8.70657	1.10088	0.147304	0.0348038	0.00931477	0.000623737	5.40701e-05	3.41893e-06	4.56857e-07	2.32067e-15	7.7744e-10	7.58558e-05	0.000330251	0.000222217	5.1027e-05	3.3822e-05	9.99972	0.000275044	9.88772	0.112284	9.96252	0.0374821	8.06613	1.93387	2.49874e-05	9.99998	9.85921	0.140791	0.0140731	9.98593	9.99021	0.00979315	288.628	184.363	34.907	9.74401	5988.91	43288.1	7841.01	61.1964	29.3074	106.711	14.1567	4.21228
47	8.68025	1.11906	0.153536	0.0360719	0.00989913	0.000679721	5.5129e-05	3.55421e-06	4.86975e-07	2.51966e-15	8.42693e-10	7.67859e-05	0.000332108	0.000225745	5.218e-05	3.37198e-05	9.99972	0.000276584	9.88695	0.113051	9.96231	0.0376912	8.05744	1.94256	2.48757e-05	9.99998	9.85859	0.141415	0.0140111	9.98599	9.99016	0.00983679	289.511	185.087	35.0348	9.77243	5663.88	43256.6	7753.14	62.2506	29.5625	108.776	14.2123	4.32211
48	8.65449	1.13664	0.159805	0.0373252	0.0104964	0.000738597	5.61637e-05	3.68877e-06	5.17902e-07	2.72748e-15	9.10747e-10	7.76976e-05	0.000333927	0.000229186	5.3313e-05	3.36197e-05	9.99972	0.000278092	9.8862	0.113796	9.9621	0.037896	8.04895	1.95105	2.47673e-05	9.99998	9.85798	0.142024	0.013951	9.98605	9.99012	0.00987943	290.33	185.763	35.178	9.80569	5356.49	43209	7668.63	63.3012	29.8238	110.795	14.2694	4.429
49	8.62923	1.15368	0.166108	0.0385653	0.0111064	0.000800386	5.71761e-05	3.82272e-06	5.49629e-07	2.94421e-15	9.81629e-10	7.85926e-05	0.000335713	0.000232548	5.44275e-05	3.35216e-05	9.99972	0.000279573	9.88548	0.11452	9.9619	0.038097	8.04063	1.95937	2.46622e-05	9.99998	9.85738	0.142622	0.0138927	9.98611	9.99008	0.00992117	291.087	186.392	35.3352	9.84342	5065.78	43146.2	7587.32	64.3492	30.0914	112.771	14.3275	4.53293
50	8.60443	1.17023	0.172439	0.0397937	0.0117289	0.000865102	5.81683e-05	3.95621e-06	5.82147e-07	3.16996e-15	1.05537e-09	7.94724e-05	0.000337469	0.000235837	5.55257e-05	3.34253e-05	9.99972	0.000281028	9.88478	0.115225	9.96171	0.0382945	8.03247	1.96753	2.45599e-05	9.99998	9.85679	0.143207	0.013836	9.98616	9.99004	0.00996209	291.784	186.974	35.5047	9.88523	4790.85	43069.2	7509.03	65.3953	30.3651	114.709	14.3862	4.63387
51	8.58006	1.18632	0.178796	0.0410119	0.0123636	0.000932761	5.9142e-05	4.08934e-06	6.15448e-07	3.40483e-15	1.13201e-09	8.03385e-05	0.000339197	0.000239062	5.6609e-05	3.33306e-05	9.99972	0.000282461	9.88409	0.115912	9.96151	0.038489	8.02445	1.97555	2.44602e-05	9.99998	9.85622	0.143782	0.0137807	9.98622	9.99	0.0100023	292.425	187.511	35.6849	9.93068	4530.85	42978.8	7433.62	66.4399	30.6449	116.611	14.4448	4.73179
52	8.55607	1.202	0.185175	0.0422213	0.0130104	0.00100337	6.00987e-05	4.22223e-06	6.49527e-07	3.64892e-15	1.21157e-09	8.11922e-05	0.0003409	0.000242227	5.76789e-05	3.32374e-05	9.99972	0.000283872	9.88342	0.116583	9.96132	0.0386806	8.01656	1.98344	2.4363e-05	9.99998	9.85565	0.144348	0.0137268	9.98627	9.98996	0.0100418	293.009	188.004	35.8741	9.97933	4284.95	42875.7	7360.91	67.4838	30.9306	118.483	14.5029	4.82668
53	8.53243	1.2173	0.191574	0.0434232	0.0136691	0.00107695	6.10398e-05	4.35499e-06	6.84378e-07	3.90236e-15	1.29411e-09	8.20346e-05	0.000342579	0.000245338	5.8737e-05	3.31456e-05	9.99971	0.000285265	9.88276	0.117239	9.96113	0.0388696	8.0088	1.9912	2.4268e-05	9.99998	9.8551	0.144904	0.0136742	9.98633	9.98992	0.0100806	293.541	188.453	36.0707	10.0307	4052.4	42760.9	7290.75	68.5273	31.2224	120.326	14.5602	4.91854
54	8.50912	1.23225	0.197989	0.0446188	0.0143396	0.00115351	6.19666e-05	4.48771e-06	7.19995e-07	4.16524e-15	1.37964e-09	8.28667e-05	0.000344237	0.000248399	5.97842e-05	3.3055e-05	9.99971	0.000286639	9.88212	0.117881	9.96094	0.0390561	8.00116	1.99884	2.41752e-05	9.99998	9.85455	0.145453	0.0136227	9.98638	9.98988	0.0101189	294.021	188.859	36.2729	10.0844	3832.47	42635	7222.98	69.5709	31.52	122.144	14.6163	5.00735
55	8.4861	1.24689	0.204417	0.0458091	0.0150218	0.00123305	6.28802e-05	4.62047e-06	7.56372e-07	4.43768e-15	1.46822e-09	8.36894e-05	0.000345875	0.000251415	6.08216e-05	3.29656e-05	9.99971	0.000287997	9.88149	0.118511	9.96076	0.0392404	7.99362	2.00638	2.40844e-05	9.99998	9.85401	0.145993	0.0135723	9.98643	9.98984	0.0101566	294.451	189.223	36.4793	10.1399	3624.47	42498.6	7157.45	70.6148	31.8236	123.938	14.6708	5.09314
56	8.46335	1.26123	0.210858	0.046995	0.0157155	0.00131558	6.37813e-05	4.75335e-06	7.93504e-07	4.71978e-15	1.55986e-09	8.45034e-05	0.000347493	0.000254387	6.18502e-05	3.28772e-05	9.99971	0.000289339	9.88087	0.119129	9.96058	0.0394225	7.98618	2.01382	2.39954e-05	9.99998	9.85347	0.146526	0.013523	9.98648	9.98981	0.0101938	294.832	189.546	36.6881	10.1967	3427.76	42352.6	7094.03	71.6594	32.1329	125.71	14.7234	5.17589
57	8.44086	1.2753	0.217307	0.048177	0.0164205	0.0014011	6.46709e-05	4.88638e-06	8.31383e-07	5.01162e-15	1.65461e-09	8.53094e-05	0.000349093	0.000257319	6.28706e-05	3.27898e-05	9.99971	0.000290665	9.88026	0.119737	9.9604	0.0396025	7.97885	2.02115	2.39083e-05	9.99998	9.85295	0.147052	0.0134747	9.98653	9.98977	0.0102305	295.166	189.829	36.8978	10.2545	3241.73	42197.5	7032.57	72.7048	32.4481	127.462	14.7738	5.25563
58	8.41861	1.2891	0.223764	0.0493558	0.0171366	0.00148962	6.55494e-05	5.01962e-06	8.70003e-07	5.31328e-15	1.75247e-09	8.61077e-05	0.000350675	0.000260212	6.38833e-05	3.27034e-05	9.99971	0.000291977	9.87967	0.120334	9.96022	0.0397805	7.9716	2.0284	2.3823e-05	9.99998	9.85243	0.147572	0.0134273	9.98657	9.98973	0.0102668	295.454	190.073	37.1071	10.3127	3065.8	42033.9	6972.94	73.7511	32.769	129.194	14.8218	5.33237
59	8.3966	1.30265	0.230226	0.0505315	0.0178638	0.00158114	6.64175e-05	5.15307e-06	9.09355e-07	5.62481e-15	1.85347e-09	8.6899e-05	0.00035224	0.000263069	6.4889e-05	3.26179e-05	9.99971	0.000293274	9.87908	0.120923	9.96004	0.0399565	7.96446	2.03554	2.37393e-05	9.99998	9.85192	0.148084	0.0133809	9.98662	9.9897	0.0103025	295.698	190.278	37.3144	10.371	2899.41	41862.4	6915.01	74.7984	33.0956	130.908	14.8672	5.40612
60	8.37481	1.31597	0.236692	0.0517044	0.0186016	0.00167566	6.72754e-05	5.28673e-06	9.4943e-07	5.94624e-15	1.95762e-09	8.76833e-05	0.000353787	0.00026589	6.58877e-05	3.25332e-05	9.99971	0.000294557	9.8785	0.121502	9.95987	0.0401306	7.9574	2.0426	2.36573e-05	9.99998	9.85141	0.14859	0.0133355	9.98666	9.98966	0.0103378	295.899	190.445	37.5184	10.429	2742.05	41683.6	6858.68	75.8465	33.4279	132.604	14.9097	5.47691
61	8.35323	1.32906	0.24316	0.0528744	0.0193499	0.00177318	6.81235e-05	5.4206e-06	9.90216e-07	6.2776e-15	2.06493e-09	8.84609e-05	0.000355317	0.000268677	6.68798e-05	3.24494e-05	9.9997	0.000295825	9.87793	0.122074	9.9597	0.0403027	7.95044	2.04956	2.35769e-05	9.99998	9.85091	0.149089	0.0132909	9.98671	9.98963	0.0103726	296.057	190.576	37.7179	10.4862	2593.24	41497.9	6803.82	76.8955	33.7658	134.283	14.9493	5.54476
62	8.33187	1.34193	0.249628	0.0540412	0.0201085	0.00187369	6.89618e-05	5.55464e-06	1.0317e-06	6.61885e-15	2.17538e-09	8.92318e-05	0.00035683	0.00027143	6.78653e-05	3.23664e-05	9.9997	0.000297079	9.87736	0.122638	9.95953	0.0404728	7.94356	2.05644	2.34981e-05	9.99998	9.85042	0.149581	0.0132472	9.98675	9.98959	0.010407	296.173	190.671	37.9117	10.5423	2452.5	41305.8	6750.33	77.9452	34.1093	135.944	14.9856	5.60969
63	8.31072	1.35457	0.256096	0.0552046	0.0208769	0.00197719	6.97905e-05	5.68881e-06	1.07387e-06	6.96996e-15	2.28895e-09	8.99962e-05	0.000358324	0.000274148	6.88442e-05	3.22843e-05	9.9997	0.000298318	9.87681	0.123194	9.95936	0.0406409	7.93678	2.06322	2.34209e-05	9.99998	9.84993	0.150067	0.0132044	9.9868	9.98956	0.0104409	296.25	190.731	38.0986	10.5971	2319.4	41107.9	6698.1	78.9953	34.4584	137.586	15.0187	5.67173
64	8.28979	1.36699	0.26256	0.0563639	0.0216548	0.00208366	7.06095e-05	5.82303e-06	1.11671e-06	7.33085e-15	2.40563e-09	9.07538e-05	0.0003598	0.000276833	6.98162e-05	3.2203e-05	9.9997	0.000299541	9.87626	0.123742	9.95919	0.0408069	7.9301	2.0699	2.33453e-05	9.99998	9.84945	0.150546	0.0131624	9.98684	9.98953	0.0104743	296.287	190.757	38.2777	10.6501	2193.52	40904.5	6647.06	80.0456	34.813	139.211	15.0484	5.7309
65	8.26907	1.37919	0.269021	0.0575184	0.0224419	0.0021931	7.14187e-05	5.95724e-06	1.16019e-06	7.70141e-15	2.52537e-09	9.15047e-05	0.000361257	0.000279483	7.07813e-05	3.21225e-05	9.9997	0.000300749	9.87572	0.124284	9.95903	0.0409708	7.92351	2.07649	2.32712e-05	9.99998	9.84898	0.151017	0.0131214	9.98688	9.98949	0.0105072	296.285	190.75	38.4481	10.701	2074.47	40696	6597.1	81.0959	35.173	140.816	15.0747	5.78724
66	8.24858	1.39117	0.275476	0.0586673	0.0232376	0.00230548	7.2218e-05	6.09135e-06	1.20431e-06	8.08148e-15	2.64813e-09	9.22485e-05	0.000362695	0.000282098	7.17391e-05	3.20429e-05	9.9997	0.000301941	9.87518	0.124818	9.95887	0.0411325	7.91702	2.08298	2.31987e-05	9.99998	9.84852	0.151482	0.0130811	9.98692	9.98946	0.0105397	296.245	190.71	38.6087	10.7497	1961.89	40482.9	6548.15	82.1457	35.5385	142.402	15.0974	5.84077
67	8.22831	1.40292	0.281924	0.0598096	0.0240416	0.0024208	7.30072e-05	6.22524e-06	1.24904e-06	8.47089e-15	2.77384e-09	9.2985e-05	0.000364113	0.000284678	7.26892e-05	3.19642e-05	9.9997	0.000303117	9.87465	0.125345	9.95871	0.041292	7.91064	2.08936	2.31278e-05	9.99998	9.84806	0.15194	0.0130418	9.98696	9.98943	0.0105716	296.169	190.639	38.7589	10.7957	1855.41	40265.5	6500.13	83.1947	35.9094	143.966	15.1165	5.89152
68	8.20829	1.41444	0.288364	0.0609443	0.0248533	0.00253902	7.37861e-05	6.3588e-06	1.29435e-06	8.8694e-15	2.90243e-09	9.3714e-05	0.00036551	0.00028722	7.36312e-05	3.18864e-05	9.9997	0.000304275	9.87413	0.125865	9.95855	0.0414491	7.90435	2.09565	2.30584e-05	9.99998	9.84761	0.15239	0.0130034	9.987	9.9894	0.010603	296.056	190.536	38.8979	10.839	1754.72	40044.2	6452.98	84.2425	36.2856	145.509	15.132	5.93953
69	8.18851	1.42572	0.294795	0.0620701	0.0256722	0.00266012	7.45542e-05	6.49191e-06	1.34021e-06	9.27676e-15	3.03381e-09	9.4435e-05	0.000366886	0.000289726	7.45645e-05	3.18095e-05	9.99969	0.000305415	9.87362	0.126378	9.9584	0.0416038	7.89817	2.10183	2.29907e-05	9.99998	9.84717	0.152832	0.0129658	9.98703	9.98937	0.0106339	295.908	190.404	39.0251	10.8792	1659.49	39819.3	6406.61	85.2887	36.6671	147.029	15.1439	5.98482
70	8.16898	1.43676	0.301214	0.0631858	0.0264976	0.00278408	7.53113e-05	6.62442e-06	1.38661e-06	9.69267e-15	3.16787e-09	9.51477e-05	0.000368239	0.000292192	7.54887e-05	3.17337e-05	9.99969	0.000306537	9.87312	0.126884	9.95824	0.041756	7.89211	2.10789	2.29245e-05	9.99998	9.84673	0.153267	0.0129291	9.98707	9.98934	0.0106643	295.725	190.243	39.1399	10.9162	1569.42	39591.2	6360.98	86.3326	37.0538	148.524	15.1521	6.02743
71	8.14972	1.44755	0.307622	0.0642899	0.027329	0.00291086	7.60571e-05	6.7562e-06	1.43351e-06	1.01168e-14	3.30451e-09	9.58516e-05	0.000369569	0.000294619	7.64031e-05	3.16589e-05	9.99969	0.00030764	9.87262	0.127383	9.95809	0.0419055	7.88615	2.11385	2.28599e-05	9.99998	9.84631	0.153693	0.0128933	9.98711	9.98931	0.0106941	295.507	190.054	39.2419	10.9499	1484.25	39360	6316.03	87.374	37.4457	149.994	15.1567	6.0674
72	8.13074	1.45808	0.314015	0.065381	0.0281656	0.00304041	7.6791e-05	6.88708e-06	1.48088e-06	1.05487e-14	3.4436e-09	9.65464e-05	0.000370875	0.000297005	7.73071e-05	3.15851e-05	9.99969	0.000308722	9.87213	0.127874	9.95795	0.0420524	7.88031	2.11969	2.2797e-05	9.99998	9.84589	0.154111	0.0128583	9.98714	9.98928	0.0107233	295.257	189.838	39.3305	10.98	1403.7	39126.1	6271.7	88.4121	37.8427	151.437	15.1577	6.10474
73	8.11204	1.46834	0.320393	0.0664577	0.0290068	0.00317271	7.75128e-05	7.0169e-06	1.52868e-06	1.09879e-14	3.585e-09	9.72316e-05	0.000372156	0.000299348	7.82001e-05	3.15125e-05	9.99969	0.000309785	9.87164	0.128357	9.9578	0.0421965	7.8746	2.1254	2.27356e-05	9.99998	9.84548	0.15452	0.0128243	9.98718	9.98925	0.0107519	294.974	189.595	39.4056	11.0065	1327.51	38889.8	6227.95	89.4466	38.2447	152.851	15.1551	6.1395
74	8.09365	1.47833	0.326755	0.0675182	0.0298518	0.0033077	7.8222e-05	7.14549e-06	1.57687e-06	1.14341e-14	3.72855e-09	9.79066e-05	0.000373412	0.000301647	7.90813e-05	3.1441e-05	9.99969	0.000310826	9.87117	0.128833	9.95766	0.0423377	7.869	2.131	2.26759e-05	9.99998	9.84508	0.154921	0.0127912	9.98721	9.98922	0.0107799	294.658	189.327	39.4667	11.0293	1255.47	38651.3	6184.73	90.4767	38.6516	154.235	15.1489	6.17171
75	8.07557	1.48803	0.333098	0.068561	0.0306999	0.00344533	7.89181e-05	7.27268e-06	1.62543e-06	1.18867e-14	3.87408e-09	9.85711e-05	0.000374641	0.000303902	7.99501e-05	3.13708e-05	9.99969	0.000311845	9.8707	0.1293	9.95752	0.0424759	7.86353	2.13647	2.26178e-05	9.99998	9.84469	0.155312	0.012759	9.98724	9.98919	0.0108073	294.311	189.034	39.5136	11.0482	1187.33	38410.9	6142	91.5021	39.0635	155.588	15.1393	6.2014
76	8.05781	1.49745	0.339422	0.0695846	0.0315502	0.00358555	7.96009e-05	7.39831e-06	1.67431e-06	1.23452e-14	4.02143e-09	9.92245e-05	0.000375843	0.00030611	8.08058e-05	3.13018e-05	9.99969	0.000312842	9.87024	0.129759	9.95739	0.0426111	7.85818	2.14182	2.25614e-05	9.99998	9.84431	0.155695	0.0127277	9.98727	9.98917	0.010834	293.934	188.717	39.5462	11.0631	1122.89	38168.7	6099.73	92.522	39.4801	156.908	15.1261	6.22862
77	8.04039	1.50657	0.345725	0.0705872	0.0324019	0.0037283	8.02698e-05	7.52218e-06	1.72346e-06	1.28089e-14	4.17039e-09	9.98663e-05	0.000377018	0.00030827	8.16477e-05	3.12342e-05	9.99969	0.000313815	9.86979	0.13021	9.95726	0.0427432	7.85297	2.14703	2.25066e-05	9.99998	9.84393	0.156068	0.0126973	9.9873	9.98914	0.0108601	293.526	188.377	39.5644	11.0741	1061.95	37925	6057.88	93.536	39.9015	158.193	15.1095	6.25338
78	8.02332	1.51538	0.352006	0.0715672	0.0332541	0.0038735	8.09244e-05	7.64411e-06	1.77285e-06	1.32772e-14	4.32076e-09	0.000100496	0.000378164	0.000310382	8.24749e-05	3.11678e-05	9.99969	0.000314765	9.86935	0.130652	9.95713	0.042872	7.84789	2.15211	2.24535e-05	9.99998	9.84357	0.156431	0.0126678	9.98733	9.98911	0.0108856	293.089	188.015	39.5681	11.0811	1004.32	37680	6016.42	94.5434	40.3275	159.442	15.0896	6.27573
79	8.00661	1.52387	0.358262	0.072523	0.0341061	0.0040211	8.15643e-05	7.76394e-06	1.82244e-06	1.37496e-14	4.47233e-09	0.000101113	0.00037928	0.000312443	8.3287e-05	3.11029e-05	9.99968	0.000315691	9.86892	0.131085	9.957	0.0429975	7.84295	2.15705	2.24021e-05	9.99998	9.84322	0.156785	0.0126393	9.98736	9.98909	0.0109103	292.623	187.633	39.5573	11.084	949.811	37433.8	5975.32	95.5436	40.7581	160.654	15.0664	6.2957
80	7.99028	1.53204	0.364493	0.073453	0.0349568	0.00417102	8.21892e-05	7.88148e-06	1.87217e-06	1.42253e-14	4.62489e-09	0.000101718	0.000380367	0.000314453	8.4083e-05	3.10395e-05	9.99968	0.000316591	9.86849	0.131508	9.95688	0.0431197	7.83815	2.16185	2.23523e-05	9.99998	9.84287	0.157128	0.0126117	9.98739	9.98907	0.0109344	292.129	187.229	39.5321	11.0829	898.263	37186.7	5934.56	96.5362	41.1931	161.827	15.04	6.31333
81	7.97433	1.53989	0.370696	0.0743555	0.0358053	0.00432317	8.27986e-05	7.99655e-06	1.92201e-06	1.47035e-14	4.77819e-09	0.000102308	0.000381422	0.00031641	8.48624e-05	3.09775e-05	9.99968	0.000317467	9.86808	0.131923	9.95676	0.0432384	7.83349	2.16651	2.23042e-05	9.99998	9.84254	0.157462	0.012585	9.98741	9.98904	0.0109578	291.608	186.807	39.4925	11.0778	849.512	36938.8	5894.11	97.5204	41.6325	162.959	15.0105	6.32865
82	7.95877	1.54739	0.376871	0.0752291	0.0366508	0.00447748	8.33922e-05	8.10897e-06	1.9719e-06	1.51836e-14	4.93199e-09	0.000102885	0.000382447	0.000318314	8.56245e-05	3.09171e-05	9.99968	0.000318316	9.86767	0.132328	9.95665	0.0433536	7.82897	2.17103	2.22578e-05	9.99998	9.84221	0.157785	0.0125593	9.98744	9.98902	0.0109804	291.06	186.365	39.4386	11.0686	803.408	36690.2	5853.96	98.4957	42.0761	164.05	14.9779	6.34169
83	7.94362	1.55456	0.383015	0.0760722	0.0374923	0.00463385	8.39696e-05	8.21859e-06	2.02179e-06	1.56648e-14	5.08606e-09	0.000103448	0.00038344	0.000320162	8.63686e-05	3.08582e-05	9.99968	0.00031914	9.86728	0.132722	9.95653	0.0434652	7.82459	2.17541	2.2213e-05	9.99998	9.8419	0.158098	0.0125345	9.98747	9.989	0.0110023	290.485	185.906	39.3708	11.0554	759.805	36441.2	5814.08	99.4616	42.5239	165.098	14.9423	6.3525
84	7.92888	1.56137	0.389128	0.0768834	0.0383288	0.00479219	8.45305e-05	8.32522e-06	2.07164e-06	1.61463e-14	5.24013e-09	0.000103995	0.000384401	0.000321955	8.70941e-05	3.0801e-05	9.99968	0.000319936	9.86689	0.133107	9.95643	0.0435732	7.82037	2.17963	2.217e-05	9.99998	9.8416	0.1584	0.0125106	9.98749	9.98898	0.0110236	289.885	185.431	39.289	11.0383	718.569	36191.8	5774.46	100.418	42.9757	166.103	14.9038	6.3611
85	7.91457	1.56783	0.395206	0.0776612	0.0391595	0.00495241	8.50746e-05	8.42871e-06	2.1214e-06	1.66273e-14	5.39395e-09	0.000104528	0.000385329	0.000323691	8.78004e-05	3.07454e-05	9.99968	0.000320706	9.86652	0.133482	9.95632	0.0436776	7.81629	2.18371	2.21285e-05	9.99998	9.84131	0.158692	0.0124876	9.98751	9.98896	0.011044	289.261	184.939	39.1937	11.0173	679.571	35942.1	5735.08	101.363	43.4314	167.062	14.8625	6.36754
86	7.9007	1.57393	0.401249	0.0784045	0.0399832	0.0051144	8.56017e-05	8.52891e-06	2.17101e-06	1.7107e-14	5.54725e-09	0.000105045	0.000386224	0.00032537	8.84868e-05	3.06915e-05	9.99968	0.000321448	9.86615	0.133846	9.95622	0.0437782	7.81236	2.18764	2.20888e-05	9.99998	9.84103	0.158973	0.0124655	9.98753	9.98894	0.0110638	288.612	184.431	39.085	10.9925	642.689	35692.4	5695.94	102.297	43.891	167.975	14.8185	6.37184
87	7.88727	1.57967	0.407256	0.0791118	0.0407992	0.00527805	8.61114e-05	8.62565e-06	2.22044e-06	1.75845e-14	5.69978e-09	0.000105545	0.000387086	0.00032699	8.9153e-05	3.06393e-05	9.99968	0.000322162	9.8658	0.134199	9.95612	0.0438751	7.80858	2.19142	2.20507e-05	9.99998	9.84076	0.159243	0.0124444	9.98756	9.98892	0.0110827	287.94	183.91	38.9632	10.9638	607.809	35442.6	5657	103.22	44.3542	168.841	14.7718	6.37405
88	7.87428	1.58504	0.413223	0.0797821	0.0416064	0.00544326	8.66035e-05	8.71881e-06	2.26962e-06	1.80591e-14	5.85125e-09	0.00010603	0.000387914	0.000328552	8.97983e-05	3.05889e-05	9.99968	0.000322848	9.86546	0.134542	9.95603	0.0439681	7.80495	2.19505	2.20142e-05	9.99998	9.8405	0.159503	0.0124242	9.98758	9.9889	0.011101	287.246	183.375	38.8287	10.9315	574.822	35193	5618.28	104.131	44.821	169.658	14.7226	6.37421
89	7.86176	1.59004	0.419151	0.0804143	0.0424039	0.00560991	8.70778e-05	8.80825e-06	2.31851e-06	1.85298e-14	6.0014e-09	0.000106498	0.000388707	0.000330053	9.04222e-05	3.05402e-05	9.99968	0.000323507	9.86513	0.134874	9.95594	0.0440573	7.80147	2.19853	2.19794e-05	9.99998	9.84025	0.159751	0.0124049	9.9876	9.98888	0.0111184	286.529	182.827	38.6818	10.8956	543.625	34943.6	5579.75	105.029	45.2913	170.427	14.6709	6.37234
90	7.8497	1.59467	0.425036	0.0810073	0.0431908	0.00577788	8.75341e-05	8.89383e-06	2.36705e-06	1.89959e-14	6.14996e-09	0.00010695	0.000389467	0.000331494	9.10243e-05	3.04934e-05	9.99968	0.000324136	9.86481	0.135194	9.95586	0.0441427	7.79815	2.20185	2.19463e-05	9.99998	9.84001	0.159989	0.0123865	9.98761	9.98886	0.0111351	285.791	182.267	38.5229	10.8562	514.121	34694.5	5541.41	105.914	45.7648	171.147	14.6168	6.36848
91	7.8381	1.59892	0.430877	0.0815604	0.0439662	0.00594705	8.79722e-05	8.97545e-06	2.4152e-06	1.94565e-14	6.29667e-09	0.000107384	0.000390192	0.000332875	9.16042e-05	3.04483e-05	9.99968	0.000324737	9.8645	0.135503	9.95578	0.0442242	7.79498	2.20502	2.19147e-05	9.99998	9.83978	0.160216	0.012369	9.98763	9.98885	0.0111511	285.033	181.696	38.3523	10.8134	486.219	34445.7	5503.26	106.786	46.2416	171.816	14.5604	6.36268
92	7.82699	1.60279	0.436674	0.0820726	0.0447292	0.0061173	8.8392e-05	9.05299e-06	2.46291e-06	1.99108e-14	6.44126e-09	0.000107801	0.000390882	0.000334195	9.21615e-05	3.04051e-05	9.99967	0.00032531	9.8642	0.135801	9.9557	0.0443019	7.79197	2.20803	2.18848e-05	9.99998	9.83957	0.160431	0.0123524	9.98765	9.98883	0.0111663	284.255	181.114	38.1705	10.7672	459.831	34197.5	5465.28	107.644	46.7214	172.434	14.5019	6.35497
93	7.81635	1.60629	0.442423	0.0825432	0.0454788	0.0062885	8.87934e-05	9.12635e-06	2.51013e-06	2.0358e-14	6.58346e-09	0.0001082	0.000391538	0.000335453	9.26958e-05	3.03638e-05	9.99967	0.000325854	9.86391	0.136088	9.95562	0.0443756	7.7891	2.2109	2.18565e-05	9.99998	9.83936	0.160636	0.0123367	9.98766	9.98882	0.0111807	283.458	180.523	37.9777	10.7178	434.875	33949.8	5427.47	108.488	47.2041	173.001	14.4411	6.34539
94	7.8062	1.6094	0.448124	0.0829717	0.0462144	0.00646051	8.91763e-05	9.19545e-06	2.55681e-06	2.07972e-14	6.72303e-09	0.000108581	0.000392159	0.000336649	9.32068e-05	3.03244e-05	9.99967	0.000326368	9.86364	0.136362	9.95555	0.0444454	7.7864	2.2136	2.18298e-05	9.99998	9.83917	0.160829	0.0123219	9.98768	9.98881	0.0111943	282.642	179.922	37.7745	10.6654	411.274	33702.8	5389.83	109.317	47.6896	173.517	14.3784	6.33398
95	7.79653	1.61214	0.453774	0.0833575	0.0469349	0.00663321	8.95405e-05	9.2602e-06	2.6029e-06	2.12277e-14	6.8597e-09	0.000108945	0.000392745	0.000337784	9.36942e-05	3.02868e-05	9.99967	0.000326854	9.86337	0.136626	9.95549	0.0445113	7.78384	2.21616	2.18046e-05	9.99998	9.83899	0.161012	0.0123079	9.98769	9.98879	0.0112072	281.809	179.314	37.5613	10.6099	388.953	33456.4	5352.35	110.131	48.1778	173.98	14.3136	6.32076
96	7.78735	1.6145	0.459373	0.0837001	0.0476397	0.00680646	8.98861e-05	9.32052e-06	2.64836e-06	2.16487e-14	6.99324e-09	0.00010929	0.000393297	0.000338856	9.41579e-05	3.02512e-05	9.99967	0.000327312	9.86312	0.136877	9.95543	0.0445732	7.78144	2.21856	2.1781e-05	9.99998	9.83882	0.161183	0.0122948	9.98771	9.98878	0.0112193	280.959	178.697	37.3384	10.5516	367.844	33210.8	5315.03	110.929	48.6684	174.392	14.247	6.3058
97	7.77866	1.61648	0.464918	0.0839994	0.0483279	0.00698012	9.0213e-05	9.37637e-06	2.69314e-06	2.20594e-14	7.1234e-09	0.000109618	0.000393813	0.000339866	9.45975e-05	3.02174e-05	9.99967	0.00032774	9.86288	0.137117	9.95537	0.0446313	7.77919	2.22081	2.17589e-05	9.99998	9.83866	0.161344	0.0122826	9.98772	9.98877	0.0112307	280.093	178.074	37.1063	10.4906	347.881	32966.1	5277.87	111.712	49.1614	174.751	14.1786	6.28911
98	7.77047	1.61808	0.470407	0.084255	0.0489988	0.00715405	9.05211e-05	9.42768e-06	2.7372e-06	2.24592e-14	7.24996e-09	0.000109927	0.000394295	0.000340815	9.5013e-05	3.01856e-05	9.99967	0.000328139	9.86266	0.137344	9.95531	0.0446855	7.7771	2.2229	2.17384e-05	9.99998	9.83851	0.161494	0.0122712	9.98773	9.98876	0.0112413	279.212	177.445	36.8655	10.4269	329.001	32722.2	5240.87	112.479	49.6567	175.058	14.1085	6.27074
99	7.76277	1.61931	0.47584	0.0844668	0.0496517	0.00732812	9.08106e-05	9.47441e-06	2.78049e-06	2.28472e-14	7.3727e-09	0.000110218	0.000394742	0.000341701	9.54041e-05	3.01557e-05	9.99967	0.00032851	9.86244	0.13756	9.95526	0.0447357	7.77515	2.22485	2.17194e-05	9.99998	9.83837	0.161633	0.0122606	9.98774	9.98875	0.0112512	278.316	176.81	36.6163	10.3607	311.145	32479.2	5204.02	113.23	50.154	175.312	14.0367	6.25073
