Time	[r0]	[r1]	[r2]	[r11]	[r12]	[r22]	[r1x2]	[r11x2]	[r1x22]	[r1x22d]	[r11x22]	[rend]	[rendP]	[iendIR]	[iend]	[rPbasal]	[IRS]	[IRSiP]	[X]	[X_P]	[PI3K]	[PI3K_]	[PDK1]	[PDK1_]	[PKC]	[PKC_P]	[PKB]	[PKB_P]	[mTOR]	[mTOR_]	[GLUT4_C]	[GLUT4_M]	Values[G_p]	Values[G_t]	Values[I_l]	Values[I_p]	Values[Q_sto1]	Values[Q_sto2]	Values[Q_gut]	Values[I_1]	Values[I_d]	Values[INS]	Values[I_po]	Values[Y]
10	9.90822	0.0785554	0.0127147	0.000155704	5.04037e-05	4.07523e-06	3.94536e-06	1.56408e-08	2.53096e-09	8.81334e-19	2.91781e-13	3.50908e-05	0.000220038	2.03663e-05	3.24109e-06	3.849e-05	9.99982	0.000183683	9.92293	0.0770674	9.97494	0.0250629	8.61837	1.38163	3.49748e-05	9.99997	9.89901	0.100993	0.019608	9.98039	9.99297	0.00702844	191.156	135.88	11.7981	2.74388	44643.5	25163.6	6696.13	25.6826	25.0128	2.69746	9.62409	0.0828705
11	9.89899	0.0872155	0.0132365	0.000192105	5.83113e-05	4.42118e-06	4.34019e-06	1.91206e-08	2.90123e-09	1.14234e-18	3.79606e-13	3.53798e-05	0.000221301	2.23138e-05	3.55854e-06	3.84542e-05	9.99982	0.00018473	9.92273	0.0772681	9.97479	0.0252054	8.6116	1.3884	3.48044e-05	9.99997	9.89852	0.101482	0.0195136	9.98049	9.99294	0.00706031	194.519	136.533	13.5322	3.15195	42220.6	26317.1	7558.98	25.9438	25.019	3.71312	10.585	0.119417
12	9.88726	0.0982715	0.0138456	0.000244187	6.88082e-05	4.84369e-06	4.84219e-06	2.40649e-08	3.38977e-09	1.5271e-18	5.09799e-13	3.57498e-05	0.000222917	2.4793e-05	3.96509e-06	3.84086e-05	9.99981	0.000186068	9.92248	0.0775214	9.97461	0.0253876	8.60297	1.39703	3.45893e-05	9.99997	9.89789	0.102107	0.0193944	9.98061	9.9929	0.0071014	198.19	137.334	15.4144	3.61013	39929.2	27364	8349.63	26.2712	25.0276	4.97815	11.4949	0.164235
13	9.87271	0.112014	0.0145622	0.000317723	8.2611e-05	5.36646e-06	5.46489e-06	3.10032e-08	4.0296e-09	2.09343e-18	7.02609e-13	3.62115e-05	0.000224909	2.78667e-05	4.47321e-06	3.83521e-05	9.99981	0.000187719	9.92216	0.0778404	9.97439	0.0256123	8.59234	1.40766	3.43282e-05	9.99997	9.89712	0.102876	0.0192498	9.98075	9.99285	0.00715237	202.111	138.284	17.4053	4.11126	37762.2	28343	9041.58	26.6716	25.0389	6.51487	12.3229	0.217716
14	9.85508	0.128675	0.0154074	0.000420024	0.000100587	6.01887e-06	6.21939e-06	4.06046e-08	4.86078e-09	2.9239e-18	9.87144e-13	3.67744e-05	0.000227292	3.15826e-05	5.09382e-06	3.82836e-05	9.99981	0.000189694	9.92176	0.0782372	9.97412	0.025881	8.57967	1.42033	3.4022e-05	9.99997	9.89621	0.103792	0.0190802	9.98092	9.99279	0.00721358	206.212	139.379	19.4559	4.64554	35712.8	29284.8	9616.8	27.1505	25.0536	8.33933	13.042	0.280054
15	9.83418	0.148415	0.0164031	0.000559967	0.000123778	6.83706e-06	7.11365e-06	5.36816e-08	5.93147e-09	4.13393e-18	1.40434e-12	3.74453e-05	0.000230067	3.59686e-05	5.83556e-06	3.82024e-05	9.99981	0.000191994	9.92128	0.0787219	9.97381	0.0261939	8.56496	1.43504	3.36733e-05	9.99997	9.89514	0.104856	0.018887	9.98111	9.99271	0.00728508	210.423	140.611	21.5106	5.20067	33774.6	30208.6	10069.6	27.7115	25.0722	10.4599	13.6341	0.351228
16	9.8099	0.171302	0.0175705	0.000747835	0.000153413	7.86498e-06	8.1517e-06	7.11769e-08	7.29862e-09	5.88104e-18	2.01031e-12	3.82289e-05	0.000233221	4.10292e-05	6.7042e-06	3.81081e-05	9.99981	0.000194608	9.9207	0.0793027	9.97345	0.0265496	8.54831	1.45169	3.32869e-05	9.99997	9.89394	0.10606	0.018673	9.98133	9.99263	0.00736649	214.678	141.969	23.5129	5.76259	31941.6	31121.4	10405.7	28.3562	25.0955	12.8758	14.093	0.431026
17	9.78225	0.197303	0.0189299	0.000994894	0.000190908	9.15556e-06	9.33314e-06	9.41277e-08	9.02814e-09	8.37439e-18	2.87964e-12	3.9126e-05	0.000236725	4.67425e-05	7.70205e-06	3.80007e-05	9.9998	0.000197512	9.92001	0.0799852	9.97306	0.0269447	8.52988	1.47012	3.28696e-05	9.99997	9.89261	0.107392	0.0184418	9.98156	9.99254	0.00745704	218.921	143.437	25.4108	6.31665	30208.1	32021.9	10638.5	29.0838	25.1239	15.5773	14.4241	0.519069
18	9.75133	0.226282	0.0204995	0.00131275	0.000237854	1.07716e-05	1.0653e-05	1.23609e-07	1.11943e-08	1.18834e-17	4.10838e-12	4.01343e-05	0.000240537	5.30607e-05	8.82763e-06	3.78805e-05	9.9998	0.000200671	9.91923	0.0807715	9.97263	0.0273745	8.50992	1.49008	3.24294e-05	9.99997	9.89117	0.108834	0.0181979	9.9818	9.99244	0.00755557	223.107	144.999	27.1623	6.84896	28568.6	32904.6	10784.3	29.8914	25.1582	18.5451	14.6413	0.614854
19	9.71735	0.258	0.0222949	0.00171254	0.00029598	1.27865e-05	1.21017e-05	1.60662e-07	1.38783e-08	1.67442e-17	5.81593e-12	4.12479e-05	0.000244601	5.99124e-05	1.00757e-05	3.77485e-05	9.9998	0.00020404	9.91834	0.0816606	9.97217	0.0278329	8.48875	1.51125	3.1975e-05	9.99997	9.88964	0.110363	0.0179462	9.98205	9.99234	0.0076606	227.203	146.638	28.7373	7.34757	27018.1	33763	10859.3	30.7738	25.1989	21.7525	14.7633	0.717791
20	9.68061	0.292137	0.0243287	0.00220404	0.000367105	1.52844e-05	1.3666e-05	2.06217e-07	1.71663e-08	2.33624e-17	8.14559e-12	4.24579e-05	0.000248857	6.72075e-05	1.14374e-05	3.76058e-05	9.99979	0.000207568	9.91735	0.082648	9.97169	0.0283127	8.46669	1.53331	3.1515e-05	9.99997	9.88804	0.111956	0.0176913	9.98231	9.99223	0.00777045	231.184	148.337	30.1185	7.80325	25551.8	34591	10877.8	31.7245	25.2465	25.1665	14.81	0.827235
21	9.64147	0.328306	0.0266101	0.0027949	0.000453077	1.83606e-05	1.53298e-05	2.61018e-07	2.11465e-08	3.22114e-17	1.12632e-11	4.37527e-05	0.000253239	7.48441e-05	1.29009e-05	3.74538e-05	9.99979	0.0002112	9.91627	0.0837262	9.97119	0.0288067	8.4441	1.5559	3.10574e-05	9.99997	9.88641	0.113587	0.0174377	9.98256	9.99212	0.00788337	235.035	150.079	31.3	8.20983	24165.1	35384	10852.1	32.7356	25.3014	28.7502	14.8001	0.942517
22	9.60035	0.366082	0.0291447	0.00348997	0.000555702	2.21202e-05	1.70747e-05	3.2557e-07	2.59064e-08	4.38249e-17	1.53538e-11	4.51191e-05	0.000257683	8.27157e-05	1.44523e-05	3.7294e-05	9.99979	0.000214884	9.91512	0.0848849	9.97069	0.0293077	8.42131	1.57869	3.06091e-05	9.99997	9.88477	0.115231	0.0171893	9.98281	9.992	0.00799766	238.743	151.85	32.2854	8.56412	22853.6	36138.6	10792	33.7987	25.364	32.465	14.7499	1.06296
23	9.55768	0.405022	0.0319347	0.00429101	0.00067668	2.66777e-05	1.88818e-05	4.00102e-07	3.15294e-08	5.87847e-17	2.0617e-11	4.65428e-05	0.000262131	9.07179e-05	1.60763e-05	3.71283e-05	9.99978	0.000218571	9.91389	0.0861119	9.97019	0.0298091	8.39862	1.60138	3.01755e-05	9.99997	9.88313	0.116868	0.016949	9.98305	9.99189	0.00811174	242.302	153.634	33.0856	8.86557	21613.3	36852.5	10705.6	34.905	25.4348	36.2723	14.673	1.1879
24	9.51391	0.444692	0.0349792	0.00519656	0.000817536	3.21554e-05	2.07321e-05	4.8456e-07	3.80923e-08	7.77047e-17	2.72602e-11	4.80093e-05	0.000266533	9.87541e-05	1.7757e-05	3.69583e-05	9.99978	0.00022222	9.91261	0.087394	9.96969	0.0303053	8.3763	1.6237	2.97606e-05	9.99997	9.88152	0.118478	0.0167191	9.98328	9.99178	0.00822429	245.71	155.42	33.7162	9.11579	20440.3	37524.4	10599.4	36.0459	25.5137	40.1349	14.5803	1.31668
25	9.46945	0.48468	0.0382744	0.00620216	0.000979577	3.86814e-05	2.26077e-05	5.78616e-07	4.56629e-08	1.01211e-16	3.5492e-11	4.95046e-05	0.000270847	0.000106739	1.94785e-05	3.67855e-05	9.99977	0.000225797	9.91128	0.0887173	9.96921	0.0307915	8.35453	1.64547	2.93669e-05	9.99997	9.87995	0.120047	0.0165009	9.9835	9.99167	0.00833421	248.965	157.197	34.196	9.31802	19331	38153.9	10478.5	37.2134	25.6012	44.0188	14.4801	1.44869
26	9.42468	0.524611	0.0418142	0.00730075	0.00116385	4.6388e-05	2.44919e-05	6.81709e-07	5.42979e-08	1.29924e-16	4.55154e-11	5.10155e-05	0.000275042	0.000114601	2.12262e-05	3.66116e-05	9.99977	0.000229274	9.90993	0.0900683	9.96874	0.0312642	8.33348	1.66652	2.8996e-05	9.99997	9.87844	0.121564	0.0162953	9.9837	9.99156	0.00844071	252.069	158.954	34.5449	9.4766	18281.9	38740.8	10347.1	38.4001	25.6972	47.8934	14.3786	1.58333
27	9.37995	0.564158	0.0455902	0.00848324	0.00137113	5.54096e-05	2.63701e-05	7.93085e-07	6.40426e-08	1.64437e-16	5.75213e-11	5.25302e-05	0.000279095	0.000122283	2.2986e-05	3.64379e-05	9.99977	0.000232634	9.90857	0.091434	9.96828	0.0317209	8.31324	1.68676	2.86481e-05	9.99997	9.87698	0.123022	0.0161025	9.9839	9.99146	0.00854318	255.024	160.685	34.7833	9.59654	17289.7	39285.8	10208.5	39.5993	25.8019	51.7322	14.2805	1.72005
28	9.33556	0.603041	0.0495929	0.00973906	0.0016019	6.58805e-05	2.82298e-05	9.11852e-07	7.49298e-08	2.05301e-16	7.16832e-11	5.40382e-05	0.00028299	0.000129742	2.4746e-05	3.62654e-05	9.99976	0.000235863	9.9072	0.0928027	9.96784	0.0321598	8.29389	1.70611	2.83231e-05	9.99997	9.87558	0.124416	0.0159223	9.98408	9.99136	0.00864129	257.833	162.383	34.9309	9.68313	16351.3	39789.5	10065.2	40.8052	25.9152	55.5128	14.1891	1.85832
29	9.29175	0.641035	0.0538113	0.0110568	0.00185639	7.79332e-05	3.00606e-05	1.03703e-06	8.69806e-08	2.53011e-16	8.81537e-11	5.55308e-05	0.00028672	0.000136947	2.64955e-05	3.60953e-05	9.99976	0.000238955	9.90584	0.0941639	9.96742	0.0325801	8.27544	1.72456	2.802e-05	9.99997	9.87426	0.125745	0.0157544	9.98425	9.99127	0.00873486	260.5	164.041	35.0058	9.74168	15463.9	40253.1	9919.52	42.0129	26.0372	59.2173	14.1065	1.99766
30	9.24874	0.67796	0.0582335	0.0124249	0.00213457	9.16965e-05	3.18541e-05	1.16762e-06	1.00205e-07	3.08002e-16	1.07062e-10	5.70008e-05	0.000290282	0.000143879	2.82258e-05	3.59282e-05	9.99976	0.000241909	9.90449	0.0955089	9.96702	0.0329814	8.25789	1.74211	2.77379e-05	9.99997	9.87299	0.127008	0.015598	9.9844	9.99118	0.00882384	263.029	165.656	35.025	9.77728	14624.7	40677.6	9772.99	43.2185	26.1676	62.8316	14.0341	2.13761
31	9.20667	0.713686	0.0628473	0.0138319	0.00243619	0.000107295	3.36041e-05	1.3026e-06	1.14602e-07	3.70636e-16	1.28514e-10	5.84425e-05	0.000293679	0.000150528	2.99295e-05	3.57647e-05	9.99976	0.000244724	9.90317	0.0968302	9.96664	0.033364	8.24124	1.75876	2.74752e-05	9.99997	9.87179	0.128207	0.0154523	9.98455	9.99109	0.00890833	265.426	167.224	35.003	9.79469	13831	41064.5	9626.98	44.4188	26.3065	66.3451	13.9727	2.27777
32	9.16566	0.748122	0.0676404	0.0152669	0.00276081	0.000124845	3.53061e-05	1.44104e-06	1.30165e-07	4.41211e-16	1.52591e-10	5.98516e-05	0.000296914	0.000156892	3.16013e-05	3.56054e-05	9.99975	0.000247407	9.90188	0.098122	9.96627	0.0337285	8.22543	1.77457	2.72305e-05	9.99997	9.87066	0.129344	0.0153167	9.98468	9.99101	0.00898849	267.695	168.743	34.953	9.7982	13080.3	41415	9482.51	45.6111	26.4538	69.7508	13.9227	2.41774
33	9.12578	0.781212	0.0726001	0.0167202	0.00310786	0.000144459	3.69572e-05	1.58204e-06	1.46876e-07	5.19957e-16	1.79355e-10	6.1225e-05	0.000299996	0.000162974	3.3237e-05	3.54505e-05	9.99975	0.000249962	9.90062	0.0993799	9.96592	0.0340756	8.21044	1.78956	2.70023e-05	9.99997	9.86958	0.130422	0.0151902	9.98481	9.99094	0.00906451	269.841	170.21	34.8859	9.79165	12370.4	41730.5	9340.4	46.7938	26.6092	73.0444	13.8841	2.55718
34	9.08708	0.812935	0.0777142	0.0181828	0.00347664	0.00016624	3.85556e-05	1.7248e-06	1.64716e-07	6.07045e-16	2.08845e-10	6.2561e-05	0.000302932	0.000168782	3.48337e-05	3.53002e-05	9.99975	0.000252396	9.8994	0.100601	9.96559	0.0344064	8.1962	1.8038	2.67892e-05	9.99997	9.86855	0.131446	0.0150721	9.98493	9.99086	0.00913667	271.868	171.623	34.811	9.77838	11699.1	42012.6	9201.26	47.9656	26.7726	76.2242	13.8565	2.69578
35	9.04959	0.843291	0.0829707	0.0196472	0.00386639	0.000190283	4.0101e-05	1.86864e-06	1.83658e-07	7.02596e-16	2.41088e-10	6.38584e-05	0.000305733	0.000174327	3.63899e-05	3.51545e-05	9.99975	0.000254718	9.89822	0.101782	9.96528	0.0347218	8.18267	1.81733	2.65898e-05	9.99997	9.86758	0.132419	0.0149615	9.98504	9.99079	0.00920521	273.783	172.982	34.7359	9.76121	11064.1	42262.6	9065.56	49.1258	26.944	79.2904	13.8396	2.83323
