Time	[Ex_cAMP]	[In_cAMP]	[PKA]	[REGA]	[ACA]	[CAR1]	[ERK2]
0	0	1	1	2.5	1.4	1.5	1.6
1	0.321956	0.430409	0.906652	1.38727	1.80864	2.20984	1.32745
2	0.405511	0.496487	0.785306	0.940098	2.2877	3.50239	2.01023
3	0.557801	0.811616	1.04912	0.628252	3.16236	3.94995	2.62142
4	0.676661	1.19089	1.60555	0.644393	3.56107	3.22391	2.1935
5	0.62181	1.20397	1.96644	0.93118	2.99602	2.38882	1.33202
6	0.473502	0.810226	1.69837	1.32426	2.2117	2.05136	0.969519
7	0.3724	0.489832	1.14338	1.45939	1.83519	2.28636	1.10981
8	0.375024	0.444644	0.825272	1.13564	2.03796	3.07087	1.67008
9	0.487614	0.655848	0.904156	0.726963	2.7765	3.86572	2.41305
10	0.63639	1.03762	1.35347	0.611584	3.47111	3.57941	2.46568
11	0.658018	1.24266	1.8535	0.786884	3.28385	2.69909	1.66182
12	0.53455	0.987588	1.85802	1.1566	2.51379	2.14413	1.0713
13	0.406519	0.599373	1.36719	1.4359	1.94539	2.13621	1.01523
14	0.363767	0.441128	0.925382	1.3001	1.8978	2.68776	1.39427
15	0.430369	0.543918	0.834296	0.875256	2.42185	3.57729	2.10398
16	0.576091	0.868292	1.13421	0.630247	3.22204	3.80273	2.54613
17	0.664448	1.19098	1.65949	0.688123	3.44479	3.05426	2.01996
18	0.591656	1.1289	1.91293	0.988039	2.838	2.32699	1.26362
19	0.453831	0.746976	1.58906	1.33983	2.14	2.08948	0.998194
20	0.371998	0.482242	1.08241	1.39738	1.86488	2.40013	1.19641
21	0.391735	0.477938	0.836228	1.05146	2.14775	3.19527	1.78146
22	0.510666	0.713816	0.972208	0.700921	2.88752	3.82084	2.43184
23	0.640024	1.07253	1.43242	0.637398	3.43828	3.40175	2.31736
24	0.634069	1.19985	1.85556	0.841719	3.13229	2.58882	1.54081
25	0.509132	0.911592	1.7662	1.19905	2.40091	2.13798	1.06038
26	0.397381	0.567477	1.28015	1.4125	1.92938	2.21591	1.07511
27	0.372859	0.456302	0.904165	1.21843	1.973	2.8213	1.49994
28	0.452427	0.592543	0.877454	0.82145	2.54663	3.63175	2.1851
29	0.591902	0.921629	1.21592	0.63494	3.26942	3.66509	2.46806
30	0.652226	1.18711	1.70688	0.731911	3.33563	2.90742	1.86847
31	0.564878	1.05952	1.85999	1.0428	2.69969	2.2756	1.20697
32	0.437008	0.692638	1.4915	1.35225	2.0803	2.13087	1.02778
33	0.372938	0.477578	1.0307	1.33783	1.8996	2.51516	1.28308
34	0.408862	0.512091	0.850985	0.978357	2.25798	3.30967	1.8882
35	0.532472	0.770489	1.04088	0.681564	2.98854	3.76522	2.43669
36	0.641636	1.10172	1.50608	0.66516	3.39766	3.2423	2.17664
37	0.611422	1.15526	1.85081	0.896241	2.99338	2.49427	1.43792
38	0.486702	0.843459	1.67904	1.23758	2.30319	2.13904	1.05525
39	0.390318	0.541454	1.20371	1.38575	1.92223	2.29988	1.13695
40	0.383118	0.473752	0.889589	1.14263	2.0529	2.95241	1.60543
41	0.474373	0.642027	0.924051	0.777138	2.66738	3.66759	2.25388
42	0.605329	0.970931	1.29595	0.643679	3.30218	3.53033	2.38069
43	0.638894	1.17669	1.74556	0.777277	3.22667	2.77785	1.73309
44	0.540254	0.992912	1.80335	1.09516	2.57565	2.23538	1.16196
45	0.422694	0.645911	1.40206	1.35888	2.03247	2.17893	1.06155
46	0.375623	0.476897	0.98779	1.27753	1.94218	2.63351	1.37238
47	0.426857	0.548584	0.871369	0.91412	2.37038	3.41086	1.98911
48	0.552834	0.826022	1.11155	0.668768	3.07734	3.69501	2.42378
49	0.640547	1.12363	1.57349	0.696069	3.3453	3.09549	2.04028
50	0.589216	1.10713	1.83667	0.95071	2.86261	2.41387	1.35084
51	0.466713	0.781782	1.59394	1.27077	2.21884	2.14918	1.05747
52	0.385425	0.52131	1.1365	1.35343	1.92531	2.39044	1.20314
53	0.394918	0.494612	0.882425	1.07121	2.13939	3.07978	1.71096
54	0.496204	0.692907	0.975418	0.741362	2.78305	3.68141	2.30709
55	0.615902	1.01521	1.37406	0.657093	3.31766	3.39597	2.28267
56	0.623986	1.15846	1.77378	0.824754	3.11546	2.66291	1.61181
57	0.5173	0.928354	1.7415	1.14435	2.46364	2.20669	1.12831
58	0.410764	0.606222	1.31946	1.3581	1.99665	2.23554	1.10125
59	0.380289	0.480762	0.953562	1.21555	1.9941	2.75539	1.46536
60	0.445843	0.588122	0.898372	0.857974	2.48488	3.49518	2.08192
61	0.571372	0.879891	1.18446	0.662423	3.15137	3.60977	2.39129
62	0.636439	1.13704	1.63327	0.730694	3.28001	2.95927	1.9083
63	0.5672	1.05519	1.81202	1.00479	2.73853	2.34688	1.27831
64	0.448962	0.726178	1.51033	1.29734	2.1472	2.16956	1.06787
65	0.382796	0.507038	1.07805	1.31466	1.93956	2.48861	1.27497
66	0.40843	0.519522	0.883185	1.00408	2.23305	3.20069	1.81557
67	0.517673	0.745092	1.03205	0.713597	2.89148	3.67147	2.34174
68	0.623224	1.05327	1.44924	0.675513	3.31433	3.26213	2.17499
69	0.607438	1.13198	1.79017	0.874337	3.00183	2.56145	1.50411
70	0.49589	0.866088	1.67436	1.18937	2.36294	2.18989	1.10581
71	0.401206	0.573313	1.24349	1.34886	1.97315	2.30183	1.14797
72	0.387083	0.489534	0.928104	1.15214	2.05619	2.87969	1.5621
73	0.465731	0.630943	0.932536	0.809712	2.60021	3.55894	2.16364
74	0.587609	0.931126	1.25908	0.662445	3.20817	3.51095	2.33891
75	0.629226	1.14102	1.68382	0.769218	3.20216	2.83321	1.78209
76	0.54542	1.00004	1.77658	1.05777	2.62116	2.29305	1.21956
77	0.433408	0.67669	1.42864	1.31611	2.08814	2.20093	1.08689
78	0.382514	0.498632	1.02829	1.26944	1.96559	2.59445	1.35303
79	0.423679	0.548824	0.892224	0.941786	2.33355	3.3115	1.91735
80	0.538364	0.798034	1.09388	0.693489	2.98989	3.6376	2.35545
81	0.627009	1.08383	1.51999	0.699085	3.29174	3.13014	2.06016
82	0.58943	1.09752	1.7938	0.925622	2.88686	2.47313	1.40998
83	0.476069	0.806828	1.60277	1.22904	2.27351	2.18527	1.09417
84	0.394052	0.547035	1.17445	1.33063	1.96227	2.37834	1.20229
85	0.396074	0.503423	0.911542	1.08827	2.12863	3.00417	1.66185
86	0.486265	0.676905	0.974025	0.7693	2.71423	3.59911	2.23102
87	0.60106	0.978482	1.33432	0.668735	3.24568	3.40125	2.26786
88	0.619027	1.13505	1.72356	0.81152	3.11323	2.71758	1.66357
89	0.524082	0.942804	1.7309	1.10862	2.51117	2.25232	1.17399
90	0.42009	0.633492	1.3498	1.32609	2.04181	2.24381	1.1148
91	0.384643	0.49608	0.987351	1.21845	2.00375	2.70718	1.43734
92	0.440566	0.582618	0.909748	0.885115	2.43972	3.40804	2.01362
93	0.557755	0.850818	1.16032	0.680759	3.07524	3.58117	2.34676
94	0.62711	1.1057	1.58454	0.727792	3.2504	3.00179	1.94149
95	0.570288	1.05589	1.78428	0.977901	2.77223	2.39786	1.32949
96	0.457959	0.75143	1.52809	1.26216	2.19565	2.19304	1.09316
97	0.389351	0.527276	1.1128	1.30339	1.96429	2.46512	1.26451
98	0.407261	0.522548	0.904013	1.02529	2.21108	3.12567	1.76319
99	0.507056	0.72555	1.0227	0.73671	2.82414	3.61372	2.2808
100	0.611285	1.02055	1.40869	0.681182	3.26254	3.28394	2.18062
