Time	[Gsbg]	[L]	[Gsa_gdp]	[Gsa_gtp]	[b1AR_S464]	[PDEcAMP]	[PDE]	[ATP]	[b1AR]	[Gs]	[A2RC]	[A2R]	[PKAC]	[ARC]	[PKAC_AKAR]	[Propranolol]	[b1ARinhib]	[light_spot]	[AC]	[PKI]	[PKAC_PKI]	[RC]	[b1AR_Gs]	[cAMP]	[GsAC]	[IBMX]	[PDE_IBMX]	[Fsk]	[FskAC]	[b1AR_p]	[L_b1AR]	[AKAR]	[AKARp]	[PP]	[PP_AKARp]	[DMNB_cAMP]	[L_b1AR_Gs]
0	0	0	0	0	0	0	0.014	5000	0.0132	3.83	0	0	0	0	0	0	0	0	0.0497	0.18	0	1.18	0	0	0	0	0	0	0	0	0	10	0	0.67	0	3.01	0
1	0.0162181	0	0.000568825	0.0139743	0	1.91992e-05	0.0139808	5000	0.0118336	3.81242	6.90435e-08	6.89416e-05	1.70637e-06	0.000231514	8.10347e-07	0	0	0	0.048025	0.179934	6.64249e-05	1.1797	0.00136644	0.00179427	0.001675	0	0	0	0	1.62822e-11	0	9.99999	7.88372e-06	0.669999	7.53204e-07	3.01	0
2	0.0238327	0	0.000576902	0.0208004	0	4.59621e-05	0.013954	5000	0.011836	3.8048	3.97941e-07	0.00104278	1.07286e-05	0.000554154	5.09545e-06	0	0	0	0.0472446	0.178973	0.00102695	1.1784	0.001364	0.00429983	0.00245545	0	0	0	0	2.64264e-10	0	9.99987	0.000109488	0.66999	1.04643e-05	3.01	0
3	0.0275226	0	0.000579318	0.0241177	0	5.85151e-05	0.0139415	5000	0.0118372	3.80111	6.52444e-07	0.00337056	1.95084e-05	0.000704449	9.26541e-06	0	0	0	0.0468744	0.176658	0.00334178	1.17592	0.00136281	0.00547785	0.00282563	0	0	0	0	9.18301e-10	0	9.99965	0.000315195	0.66997	3.01277e-05	3.01	0
4	0.029309	0	0.000580307	0.0257257	0	6.31758e-05	0.0139368	5000	0.0118378	3.79933	7.73744e-07	0.00640859	2.58327e-05	0.00075875	1.22689e-05	0	0	0	0.046697	0.17363	0.00637048	1.17283	0.00136224	0.00591579	0.00300299	0	0	0	0	1.88697e-09	0	9.9994	0.000533399	0.669949	5.09853e-05	3.01	0
5	0.0301734	0	0.000580751	0.0265043	0	6.52414e-05	0.0139348	5000	0.011838	3.79846	8.44243e-07	0.00972575	3.12243e-05	0.000781423	1.48292e-05	0	0	0	0.0466116	0.17032	0.00967969	1.16949	0.00136196	0.00611001	0.00308837	0	0	0	0	3.09887e-09	0	9.99918	0.000731688	0.66993	6.99382e-05	3.01	0
6	0.0305915	0	0.00058096	0.026881	0	6.64458e-05	0.0139336	5000	0.0118382	3.79805	9.0065e-07	0.0131565	3.63963e-05	0.000793568	1.72852e-05	0	0	0	0.0465704	0.166897	0.0131028	1.16605	0.00136182	0.00622331	0.00312958	0	0	0	0	4.5316e-09	0	9.99898	0.000912698	0.669913	8.72385e-05	3.01	0
7	0.0307938	-8.46426e-26	0.000581059	0.0270632	1.22518e-29	6.73505e-05	0.0139326	5000	0.0118382	3.79784	9.5618e-07	0.0166351	4.15985e-05	0.000802019	1.97555e-05	0	0	0	0.0465505	0.163426	0.0165738	1.16256	0.00136176	0.00630844	0.00314948	0	0	0	0	6.18149e-09	-5.68157e-27	9.99879	0.00108449	0.669896	0.000103657	3.01	-2.85113e-25
8	0.0308916	1.67099e-24	0.000581106	0.0271514	1.53151e-27	6.81725e-05	0.0139318	5000	0.0118383	3.79775	1.01639e-06	0.0201327	4.69342e-05	0.000809409	2.22891e-05	0	0	0	0.0465409	0.159936	0.0200635	1.15906	0.00136173	0.0063858	0.00315911	0	0	0	0	8.05182e-09	7.83791e-26	9.9986	0.00125346	0.66988	0.000119805	3.01	3.87784e-24
9	0.0309389	6.04421e-24	0.000581129	0.027194	1.19573e-26	6.90081e-05	0.013931	5000	0.0118383	3.7977	1.08405e-06	0.0236356	5.24557e-05	0.000816902	2.49108e-05	0	0	0	0.0465362	0.156442	0.0235582	1.15555	0.00136171	0.00646447	0.00316376	0	0	0	0	1.0149e-08	2.6397e-25	9.99842	0.00142381	0.669864	0.000136084	3.01	1.2891e-23
10	0.0309618	8.4497e-24	0.00058114	0.0272146	2.80974e-26	6.99042e-05	0.0139301	5000	0.0118383	3.79768	1.16081e-06	0.027137	5.81954e-05	0.000825053	2.7636e-05	0	0	0	0.046534	0.152949	0.0270512	1.15204	0.0013617	0.00654883	0.00316601	0	0	0	0	1.24812e-08	3.64063e-25	9.99822	0.00159821	0.669847	0.000152749	3.01	1.77752e-23
11	0.0309728	9.75499e-24	0.000581146	0.0272246	5.03558e-26	7.08848e-05	0.0139291	5000	0.0118383	3.79767	1.24781e-06	0.0306334	6.41769e-05	0.000834146	3.04759e-05	0	0	0	0.0465329	0.149461	0.0305388	1.14853	0.0013617	0.00664117	0.00316709	0	0	0	0	1.50577e-08	4.05452e-25	9.99802	0.00177838	0.66983	0.000169964	3.01	1.97404e-23
12	0.0309782	8.12641e-24	0.000581148	0.0272294	7.09678e-26	7.19636e-05	0.013928	5000	0.0118383	3.79766	1.34597e-06	0.0341229	7.04205e-05	0.000844331	3.34401e-05	0	0	0	0.0465324	0.145981	0.0340191	1.14503	0.0013617	0.00674277	0.00316762	0	0	0	0	1.78886e-08	3.32969e-25	9.99781	0.00196548	0.669812	0.000187841	3.01	1.6192e-23
13	0.0309808	5.87595e-24	0.000581149	0.0272317	8.6276e-26	7.31488e-05	0.0139269	5000	0.0118383	3.79766	1.45614e-06	0.0376044	7.69457e-05	0.000855699	3.65379e-05	0	0	0	0.0465321	0.142509	0.0374909	1.14154	0.0013617	0.00685442	0.00316788	0	0	0	0	2.09851e-08	2.34782e-25	9.9976	0.0021604	0.669794	0.000206464	3.01	1.13917e-23
14	0.030982	6.04306e-24	0.00058115	0.0272329	9.95889e-26	7.44465e-05	0.0139256	5000	0.0118383	3.79766	1.5792e-06	0.041077	8.37724e-05	0.000868309	3.97787e-05	0	0	0	0.046532	0.139047	0.0409534	1.13805	0.00136169	0.00697668	0.003168	0	0	0	0	2.43589e-08	2.54714e-25	9.99737	0.00236388	0.669774	0.000225904	3.01	1.2423e-23
15	0.0309826	7.21341e-24	0.00058115	0.0272334	1.13751e-25	7.58616e-05	0.0139241	5000	0.0118383	3.79766	1.71604e-06	0.04454	9.09216e-05	0.000882208	4.31724e-05	0	0	0	0.0465319	0.135594	0.0444059	1.13458	0.00136169	0.00711001	0.00316806	0	0	0	0	2.80227e-08	2.62737e-25	9.99713	0.00257662	0.669754	0.000246227	3.01	1.25283e-23
16	0.0309829	5.89624e-24	0.00058115	0.0272336	1.28401e-25	7.73982e-05	0.0139226	5000	0.0118383	3.79766	1.86764e-06	0.0479929	9.84158e-05	0.000897433	4.67298e-05	0	0	0	0.0465319	0.132152	0.0478477	1.13111	0.00136169	0.00725484	0.00316808	0	0	0	0	3.19901e-08	2.78988e-25	9.99689	0.00279931	0.669733	0.000267499	3.01	1.37955e-23
17	0.030983	6.65424e-24	0.000581151	0.0272338	1.43065e-25	7.90604e-05	0.0139209	5000	0.0118383	3.79766	2.03502e-06	0.0514351	0.00010628	0.000914022	5.04623e-05	0	0	0	0.0465319	0.128722	0.0512784	1.12765	0.00136169	0.00741154	0.0031681	0	0	0	0	3.62755e-08	2.69086e-25	9.99663	0.00303266	0.66971	0.000289789	3.01	1.31199e-23
18	0.0309831	6.69903e-24	0.000581151	0.0272338	1.57738e-25	8.08524e-05	0.0139191	5000	0.0118383	3.79766	2.21933e-06	0.0548661	0.00011454	0.000932009	5.43828e-05	0	0	0	0.0465319	0.125303	0.0546972	1.1242	0.00136169	0.00758051	0.0031681	0	0	0	0	4.08947e-08	2.75095e-25	9.99635	0.00327746	0.669687	0.000313169	3.01	1.31957e-23
19	0.0309831	6.1172e-24	0.000581151	0.0272338	1.72365e-25	8.27781e-05	0.0139172	5000	0.0118383	3.79766	2.4218e-06	0.0582853	0.000123225	0.000951429	5.8505e-05	0	0	0	0.0465319	0.121896	0.0581036	1.12076	0.00136169	0.00776214	0.0031681	0	0	0	0	4.58643e-08	2.74513e-25	9.99607	0.00353452	0.669662	0.00033772	3.01	1.3722e-23
20	0.0309831	6.67617e-24	0.000581151	0.0272338	1.87026e-25	8.48417e-05	0.0139152	5000	0.0118383	3.79766	2.6438e-06	0.0616922	0.000132369	0.00097232	6.28442e-05	0	0	0	0.0465319	0.118503	0.061497	1.11733	0.00136169	0.00795683	0.00316811	0	0	0	0	5.12024e-08	2.74914e-25	9.99577	0.00380476	0.669636	0.000363527	3.01	1.32116e-23
21	0.0309831	6.46464e-24	0.000581151	0.0272338	2.01644e-25	8.70478e-05	0.013913	5000	0.0118383	3.79766	2.88682e-06	0.0650862	0.000142005	0.00099472	6.74169e-05	0	0	0	0.0465319	0.115123	0.0648767	1.11392	0.00136169	0.00816503	0.0031681	0	0	0	0	5.69283e-08	2.75553e-25	9.99545	0.00408916	0.669609	0.000390684	3.01	1.34448e-23
