Time	[RuBP]	[PGA]	[NADPH]	[CO2]	[O2]	[NADP]	[starch]
91	2	9.58828	0.120218	24.5	21000	0.379782	0.5
92	2	9.58828	0.120218	24.5	21000	0.379782	0.5
93	2	9.58829	0.120218	24.5	21000	0.379782	0.5
94	2	9.58829	0.120218	24.5	21000	0.379782	0.5
95	2	9.58829	0.120218	24.5	21000	0.379782	0.5
96	2	9.58829	0.120218	24.5	21000	0.379782	0.5
97	2	9.58829	0.120218	24.5	21000	0.379782	0.5
98	2	9.58829	0.120218	24.5	21000	0.379782	0.5
99	2	9.58829	0.120218	24.5	21000	0.379782	0.5
100	2	9.58829	0.120218	24.5	21000	0.379782	0.5
