Time	[Akt]	[AktPIP3]	[AktPIP]	[AktPIPP]	[ERK]	[ERKP]	[ERKPP]	[GS]	[HRG]	[MEK]	[MEKP]	[MEKPP]	[PI3K]	[PI3Kstar]	[PIP3]	[R]	[RP]	[RHRG]	[RHRG2]	[RPI3K]	[RPI3Kstar]	[RShGS]	[RShP]	[RShc]	[Raf]	[Rafstar]	[RasGDP]	[RasGTP]	[ShGS]	[ShP]	[Shc]	[P_I]	[internalization]	[E]	[MKP3]	[PP2A]
67	6.25881	0.71572	0.953169	2.0723	934.323	62.0702	3.60649	9.66652	250.031	23.7155	48.5072	47.7773	3.21116	6.14422	0.0527953	0.0312053	16.3914	12.4365	15.5558	0.445815	0.198796	0.330861	0.311585	0.0792973	96.749	3.25098	120	0.000117959	0.00262234	999.216	0.0594794	796.206	0.452542	7	2.4	11.4
68	6.20687	0.710242	0.960648	2.12224	931.609	64.4801	3.91102	9.70414	250.031	23.0397	48.2273	48.733	3.20676	6.14812	0.0528294	0.031288	16.4215	12.4529	15.5833	0.446024	0.199097	0.293541	0.275369	0.0701336	96.7664	3.23358	120	0.000104399	0.00232231	999.305	0.0532374	796.154	0.468948	7	2.4	11.4
69	6.156	0.704805	0.967793	2.1714	928.851	66.9161	4.23317	9.73708	250.031	22.3851	47.938	49.677	3.20308	6.15138	0.052858	0.0313591	16.4465	12.4668	15.6065	0.446197	0.199348	0.260858	0.243882	0.062167	96.7839	3.21614	120	9.25753e-05	0.00206059	999.383	0.0478379	796.103	0.485383	7	2.4	11.4
70	6.10618	0.699419	0.974624	2.21978	926.05	69.3769	4.57342	9.76591	250.031	21.7511	47.64	50.6089	3.20002	6.15409	0.0528818	0.0314202	16.4673	12.4786	15.6259	0.446338	0.199555	0.232254	0.216498	0.0552393	96.8013	3.19866	120	8.22673e-05	0.00183232	999.451	0.043163	796.053	0.50184	7	2.4	11.4
71	6.05736	0.694087	0.981161	2.26739	923.207	71.8609	4.93224	9.79113	250.031	21.137	47.3343	51.5287	3.19751	6.15631	0.0529015	0.0314725	16.4843	12.4885	15.6421	0.446451	0.199725	0.207234	0.192679	0.0492136	96.8189	3.18114	120	7.32807e-05	0.00163325	999.51	0.039112	796.004	0.518316	7	2.4	11.4
72	6.00952	0.688816	0.987419	2.31425	920.323	74.3665	5.3101	9.81318	250.032	20.5422	47.0217	52.4361	3.19548	6.15812	0.0529175	0.0315172	16.498	12.4969	15.6553	0.44654	0.199861	0.185362	0.171957	0.0439715	96.8364	3.16359	120	6.54466e-05	0.00145966	999.562	0.0355993	795.957	0.534808	7	2.4	11.4
73	5.96262	0.683609	0.993416	2.36035	917.4	76.8921	5.70745	9.83244	250.032	19.9661	46.7028	53.3311	3.19385	6.15957	0.0529303	0.0315553	16.5088	12.5038	15.6661	0.446608	0.199969	0.166249	0.153925	0.0394103	96.854	3.14601	120	5.86175e-05	0.0013083	999.607	0.0325516	795.91	0.551311	7	2.4	11.4
74	5.91665	0.67847	0.999165	2.40572	914.439	79.4363	6.12472	9.84927	250.032	19.408	46.3784	54.2135	3.19259	6.1607	0.0529404	0.0315877	16.5171	12.5095	15.6746	0.446658	0.200052	0.149555	0.138233	0.0354409	96.8716	3.12841	120	5.26647e-05	0.00117633	999.646	0.0299059	795.864	0.567824	7	2.4	11.4
75	5.87156	0.6734	1.00468	2.45036	911.44	81.9975	6.56234	9.86396	250.032	18.8674	46.0492	55.0833	3.19164	6.16155	0.0529481	0.031615	16.5232	12.5141	15.6813	0.446692	0.200112	0.134979	0.124575	0.0319862	96.8892	3.11079	120	4.74762e-05	0.00106129	999.68	0.0276082	795.819	0.584345	7	2.4	11.4
76	5.82734	0.668402	1.00997	2.49428	908.405	84.5743	7.02073	9.87678	250.032	18.3438	45.7158	55.9404	3.19097	6.16216	0.0529538	0.031638	16.5274	12.5178	15.6862	0.446712	0.200154	0.122255	0.112686	0.0289791	96.9068	3.09315	120	4.2954e-05	0.000961002	999.71	0.0256121	795.774	0.60087	7	2.4	11.4
77	5.78397	0.663477	1.01506	2.5375	905.335	87.1651	7.50027	9.88798	250.032	17.8364	45.3788	56.7847	3.19053	6.16257	0.0529576	0.0316571	16.5299	12.5208	15.6898	0.44672	0.200179	0.111151	0.102336	0.0263614	96.9245	3.0755	120	3.90129e-05	0.000873588	999.735	0.0238774	795.731	0.617399	7	2.4	11.4
78	5.74141	0.658625	1.01994	2.58002	902.23	89.7686	8.00136	9.89774	250.032	17.345	45.0388	57.6162	3.1903	6.16279	0.0529598	0.031673	16.5309	12.523	15.692	0.446717	0.200189	0.101464	0.0933255	0.0240824	96.9422	3.05784	120	3.55783e-05	0.0007974	999.758	0.0223696	795.688	0.633929	7	2.4	11.4
79	5.69966	0.653848	1.02464	2.62185	899.092	92.3832	8.52436	9.90625	250.032	16.8688	44.6963	58.4349	3.19026	6.16285	0.0529606	0.031686	16.5307	12.5246	15.6932	0.446705	0.200186	0.093014	0.0854805	0.0220983	96.9598	3.04016	120	3.25853e-05	0.000731002	999.778	0.0210587	795.647	0.65046	7	2.4	11.4
80	5.65868	0.649145	1.02916	2.66301	895.923	95.0075	9.06962	9.91368	250.032	16.4075	44.3519	59.2407	3.19036	6.16278	0.0529603	0.0316965	16.5294	12.5257	15.6934	0.446686	0.200173	0.0856447	0.0786498	0.0203707	96.9775	3.02249	120	2.99773e-05	0.00067314	999.795	0.0199189	795.606	0.66699	7	2.4	11.4
81	5.61847	0.644517	1.03351	2.7035	892.722	97.6401	9.63749	9.92016	250.032	15.9605	44.0059	60.0336	3.19061	6.16258	0.0529588	0.0317048	16.5271	12.5263	15.6928	0.446659	0.200149	0.0792186	0.0727017	0.0188663	96.9952	3.00481	120	2.77049e-05	0.000622719	999.81	0.0189276	795.566	0.683519	7	2.4	11.4
82	5.579	0.639963	1.0377	2.74333	889.492	100.28	10.2283	9.92581	250.032	15.5274	43.6589	60.8137	3.19098	6.16228	0.0529565	0.0317112	16.524	12.5265	15.6914	0.446626	0.200118	0.073616	0.0675221	0.0175564	97.0129	2.98713	120	2.57251e-05	0.000578787	999.823	0.0180656	795.526	0.700044	7	2.4	11.4
83	5.54026	0.635483	1.04174	2.78252	886.233	102.925	10.8423	9.93073	250.032	15.1078	43.3112	61.581	3.19144	6.16189	0.0529534	0.031716	16.5202	12.5263	15.6894	0.446588	0.200079	0.0687317	0.0630114	0.0164156	97.0306	2.96945	120	2.40003e-05	0.000540511	999.834	0.0173159	795.487	0.716567	7	2.4	11.4
84	5.50223	0.631077	1.04562	2.82107	882.946	105.574	11.4798	9.93502	250.032	14.7011	42.9634	62.3355	3.192	6.16142	0.0529496	0.0317193	16.5157	12.5259	15.6869	0.446546	0.200034	0.0644739	0.059083	0.0154221	97.0482	2.95177	120	2.24977e-05	0.000507165	999.844	0.0166639	795.449	0.733085	7	2.4	11.4
85	5.46489	0.626744	1.04937	2.85899	879.632	108.227	12.1411	9.93876	250.032	14.3071	42.6157	63.0772	3.19264	6.16087	0.0529451	0.0317214	16.5107	12.5252	15.6838	0.446499	0.199983	0.0607627	0.0556616	0.0145568	97.0659	2.93411	120	2.11888e-05	0.000478117	999.852	0.016097	795.412	0.749598	7	2.4	11.4
86	5.42823	0.622483	1.05299	2.8963	876.292	110.881	12.8265	9.94202	250.032	13.9252	42.2685	63.8063	3.19335	6.16027	0.0529402	0.0317224	16.5052	12.5242	15.6804	0.446449	0.199927	0.0575278	0.0526814	0.0138031	97.0835	2.91645	120	2.00487e-05	0.000452814	999.86	0.0156039	795.375	0.766106	7	2.4	11.4
87	5.39224	0.618294	1.05648	2.93299	872.928	113.536	13.5362	9.94486	250.032	13.5551	41.9222	64.5227	3.19412	6.15962	0.0529348	0.0317224	16.4992	12.5231	15.6766	0.446396	0.199868	0.0547081	0.0500855	0.0131466	97.1012	2.8988	120	1.90556e-05	0.000430775	999.866	0.0151753	795.339	0.782608	7	2.4	11.4
88	5.35689	0.614175	1.05985	2.96908	869.54	116.189	14.2703	9.94734	250.032	13.1964	41.577	65.2267	3.19494	6.15892	0.0529289	0.0317216	16.4929	12.5218	15.6724	0.44634	0.199804	0.0522505	0.0478239	0.0125746	97.1188	2.88117	120	1.81908e-05	0.000411581	999.872	0.0148027	795.304	0.799104	7	2.4	11.4
89	5.32219	0.610127	1.0631	3.00458	866.129	118.841	15.0292	9.9495	250.032	12.8487	41.2332	65.9181	3.1958	6.15818	0.0529228	0.0317201	16.4863	12.5203	15.668	0.446282	0.199738	0.0501083	0.0458536	0.0120763	97.1364	2.86355	120	1.74376e-05	0.000394864	999.877	0.0144788	795.269	0.815594	7	2.4	11.4
90	5.28811	0.606147	1.06625	3.0395	862.697	121.49	15.813	9.95138	250.032	12.5117	40.8911	66.5971	3.19671	6.1574	0.0529163	0.031718	16.4794	12.5187	15.6634	0.446222	0.199668	0.0482409	0.0441367	0.0116421	97.1541	2.84595	120	1.67818e-05	0.000380307	999.881	0.0141973	795.235	0.832077	7	2.4	11.4
91	5.25464	0.602236	1.06929	3.07384	859.244	124.135	16.6219	9.95302	250.032	12.185	40.5511	67.2639	3.19765	6.15659	0.0529095	0.0317153	16.4723	12.517	15.6585	0.44616	0.199596	0.0466128	0.0426405	0.0112638	97.1716	2.82837	120	1.62107e-05	0.000367632	999.885	0.0139529	795.202	0.848553	7	2.4	11.4
92	5.22177	0.598392	1.07222	3.10761	855.77	126.774	17.456	9.95445	250.032	11.8683	40.2132	67.9185	3.19862	6.15576	0.0529025	0.0317122	16.465	12.5151	15.6535	0.446096	0.199523	0.0451934	0.0413363	0.0109339	97.1892	2.8108	120	1.57134e-05	0.000356595	999.888	0.0137406	795.169	0.865021	7	2.4	11.4
93	5.1895	0.594614	1.07506	3.14082	852.278	129.406	18.3155	9.9557	250.032	11.5613	39.8777	68.561	3.19962	6.15491	0.0528954	0.0317086	16.4575	12.5132	15.6483	0.446032	0.199447	0.0439555	0.0401993	0.0106464	97.2067	2.79327	120	1.52805e-05	0.000346986	999.891	0.0135562	795.137	0.881482	7	2.4	11.4
94	5.1578	0.590902	1.07781	3.17348	848.768	132.031	19.2005	9.95679	250.032	11.2637	39.5449	69.1915	3.20063	6.15403	0.052888	0.0317047	16.4498	12.5112	15.6429	0.445966	0.19937	0.0428758	0.0392078	0.0103957	97.2243	2.77575	120	1.49036e-05	0.00033862	999.894	0.0133963	795.105	0.897936	7	2.4	11.4
95	5.12667	0.587253	1.08047	3.2056	845.241	134.648	20.1112	9.95773	250.032	10.9751	39.2148	69.8101	3.20167	6.15314	0.0528805	0.0317005	16.442	12.5092	15.6375	0.445899	0.199291	0.0419338	0.0383429	0.010177	97.2417	2.75826	120	1.45755e-05	0.000331338	999.896	0.0132576	795.074	0.914382	7	2.4	11.4
96	5.0961	0.583669	1.08305	3.23718	841.697	137.255	21.0475	9.95856	250.032	10.6952	38.8878	70.417	3.20273	6.15223	0.0528728	0.031696	16.4341	12.5071	15.6319	0.445831	0.199212	0.0411118	0.0375883	0.00998618	97.2592	2.7408	120	1.42899e-05	0.000324999	999.898	0.0131374	795.043	0.93082	7	2.4	11.4
97	5.06608	0.580146	1.08554	3.26823	838.139	139.852	22.0096	9.95929	250.032	10.4238	38.5638	71.0123	3.2038	6.15131	0.052865	0.0316912	16.4261	12.5049	15.6263	0.445762	0.199131	0.0403941	0.0369296	0.00981963	97.2766	2.72337	120	1.40413e-05	0.000319481	999.9	0.0130333	795.013	0.94725	7	2.4	11.4
98	5.03659	0.576685	1.08796	3.29877	834.565	142.437	22.9976	9.95992	250.032	10.1607	38.2432	71.5961	3.20488	6.15037	0.0528572	0.0316863	16.418	12.5027	15.6206	0.445693	0.19905	0.0397673	0.0363544	0.00967419	97.294	2.70596	120	1.38249e-05	0.000314679	999.901	0.0129432	794.984	0.963672	7	2.4	11.4
99	5.00764	0.573285	1.0903	3.32878	830.979	145.01	24.0114	9.96047	250.032	9.90545	37.926	72.1685	3.20598	6.14943	0.0528492	0.0316811	16.4099	12.5004	15.6148	0.445623	0.198967	0.0392197	0.0358519	0.00954713	97.3114	2.6886	120	1.36366e-05	0.000310499	999.902	0.0128653	794.955	0.980086	7	2.4	11.4
100	4.9792	0.569944	1.09256	3.35829	827.379	147.57	25.0512	9.96095	250.032	9.65791	37.6124	72.7297	3.20709	6.14848	0.0528411	0.0316759	16.4016	12.4982	15.6089	0.445553	0.198884	0.0387408	0.0354125	0.00943606	97.3287	2.67126	120	1.34728e-05	0.000306862	999.903	0.012798	794.926	0.996492	7	2.4	11.4
