Time	[Akt]	[AktPIP3]	[AktPIP]	[AktPIPP]	[ERK]	[ERKP]	[ERKPP]	[GS]	[HRG]	[MEK]	[MEKP]	[MEKPP]	[PI3K]	[PI3Kstar]	[PIP3]	[R]	[RP]	[RHRG]	[RHRG2]	[RPI3K]	[RPI3Kstar]	[RShGS]	[RShP]	[RShc]	[Raf]	[Rafstar]	[RasGDP]	[RasGTP]	[ShGS]	[ShP]	[Shc]	[P_I]	[internalization]	[E]	[MKP3]	[PP2A]
26	9.3521	0.269581	0.184182	0.194136	998.032	1.96518	0.00325035	2.89997	250.038	80.8928	33.2696	5.83767	8.29174	1.55728	0.0133121	0.0379812	1.74954	4.70852	2.03132	0.122038	0.0289375	6.60985	20.8562	6.20583	96.4433	3.55673	119.963	0.036658	0.490179	817.607	148.23	799.339	0.0229922	7	2.4	11.4
27	9.3129	0.284608	0.195078	0.207416	997.64	2.35496	0.00466978	2.92522	250.031	78.5866	34.8146	6.59883	8.18823	1.65096	0.0141136	0.0312206	1.88494	4.69243	2.15793	0.129813	0.0309974	6.61912	20.6971	6.09352	96.411	3.58902	119.967	0.0325405	0.455656	836.891	129.244	799.299	0.024808	7	2.4	11.4
28	9.27025	0.301138	0.206888	0.221721	997.201	2.79261	0.00657034	2.95464	250.026	76.3242	36.2773	7.39849	8.07339	1.75481	0.0150022	0.0262109	2.03971	4.70238	2.30402	0.138471	0.0333276	6.62393	20.4979	5.97157	96.3841	3.61586	119.971	0.0288248	0.42143	854.771	111.714	799.255	0.0267685	7	2.4	11.4
29	9.2237	0.319364	0.219738	0.237195	996.711	3.28013	0.00907039	2.9889	250.023	74.1087	37.6573	8.23407	7.94555	1.87033	0.0159908	0.0225154	2.21777	4.73813	2.47269	0.14814	0.0359774	6.62349	20.2538	5.8389	96.3622	3.63776	119.975	0.02546	0.387608	871.263	95.6333	799.208	0.0288952	7	2.4	11.4
30	9.17273	0.339501	0.233768	0.253997	996.168	3.81934	0.0123065	3.02893	250.02	71.9421	38.955	9.10298	7.80283	1.9992	0.0170939	0.0198102	2.42393	4.79994	2.66782	0.158965	0.0390062	6.61675	19.9584	5.69406	96.3448	3.65521	119.978	0.0224071	0.354316	886.385	80.9915	799.156	0.0312134	7	2.4	11.4
31	9.11678	0.361776	0.249131	0.272308	995.572	4.41183	0.0164344	3.07593	250.018	69.8261	40.1713	10.0026	7.64312	2.1433	0.0183277	0.0178561	2.66408	4.88862	2.89413	0.1711	0.0424844	6.60236	19.6036	5.53525	96.3314	3.6686	119.98	0.0196354	0.321706	900.162	67.775	799.098	0.0337543	7	2.4	11.4
32	9.05526	0.386417	0.265996	0.292329	994.919	5.05901	0.0216295	3.13149	250.016	67.762	41.3076	10.9304	7.46418	2.30463	0.0197094	0.0164764	2.94539	5.00547	3.15735	0.1847	0.0464944	6.57855	19.1797	5.3603	96.3217	3.67831	119.983	0.0171212	0.289959	912.626	55.9659	799.036	0.0365553	7	2.4	11.4
33	8.98755	0.413625	0.28454	0.314285	994.21	5.76208	0.0280878	3.19766	250.016	65.7506	42.3656	11.8837	7.26376	2.48521	0.0212565	0.0155412	3.27629	5.15235	3.4642	0.1999	0.0511285	6.54305	18.6752	5.16667	96.3153	3.68469	119.985	0.0148463	0.25929	923.815	45.5409	798.966	0.0396616	7	2.4	11.4
34	8.9131	0.443533	0.30494	0.338424	993.442	6.52206	0.036026	3.2771	250.015	63.7923	43.3474	12.8603	7.03993	2.6868	0.0229843	0.0149559	3.66632	5.33163	3.82223	0.216784	0.0564846	6.49295	18.0772	4.9516	96.3119	3.68806	119.987	0.0127972	0.229951	933.779	36.469	798.89	0.0431276	7	2.4	11.4
35	8.83149	0.476138	0.327355	0.365015	992.615	7.33976	0.045682	3.3731	250.015	61.8873	44.2551	13.8576	6.79157	2.91045	0.0249022	0.014652	4.12543	5.54601	4.23938	0.23533	0.0626539	6.42467	17.3728	4.71238	96.3113	3.68873	119.989	0.0109643	0.202227	942.578	28.7095	798.807	0.0470173	7	2.4	11.4
