Time	[LacI protein]	[TetR protein]	[cI protein]	[LacI mRNA]	[TetR mRNA]	[cI mRNA]
0	0	0	0	0	20	0
1	81.4405	188.382	42.6413	19.9034	30.6156	7.491
2	218.539	358.027	84.5888	21.2335	23.6089	5.86627
3	337.623	469.627	113.055	18.5441	17.2349	4.40364
4	428.939	536.664	131.035	15.5598	12.4821	3.29582
5	495.497	572.019	141.441	13.018	9.03773	2.48567
6	542.466	585.398	146.532	11.0337	6.56428	1.90266
7	574.778	583.832	147.977	9.56151	4.79541	1.48837
8	596.57	572.335	146.993	8.51888	3.53331	1.19835
9	611.14	554.454	144.458	7.82324	2.63412	0.999828
10	621.044	532.674	141.004	7.40287	1.99408	0.869004
11	628.231	508.728	137.085	7.19849	1.5387	0.788821
12	634.16	483.805	133.028	7.16163	1.21462	0.747164
13	639.897	458.714	129.068	7.25233	0.983648	0.735535
14	646.193	433.993	125.381	7.43676	0.818491	0.748075
15	653.535	409.987	122.095	7.68527	0.699679	0.780855
16	662.19	386.909	119.309	7.97095	0.61336	0.83136
17	672.232	364.881	117.104	8.26865	0.549728	0.89813
18	683.569	343.958	115.547	8.55459	0.501895	0.980494
19	695.958	324.155	114.698	8.80638	0.465075	1.07839
20	709.029	305.46	114.615	9.00349	0.435991	1.19224
21	722.308	287.841	115.357	9.12806	0.412443	1.32284
22	735.244	271.26	116.983	9.16576	0.392984	1.47133
23	747.244	255.669	119.559	9.10681	0.376693	1.63913
24	757.703	241.023	123.156	8.94666	0.363003	1.82788
25	766.048	227.273	127.853	8.68641	0.351581	2.03944
26	771.77	214.375	133.735	8.33271	0.342247	2.27586
27	774.455	202.285	140.896	7.89715	0.334919	2.53931
28	773.809	190.962	149.44	7.39517	0.329573	2.83206
29	769.67	180.369	159.479	6.84472	0.326226	3.15642
30	762.011	170.469	171.13	6.26468	0.324926	3.51467
31	750.933	161.231	184.522	5.67343	0.325742	3.90894
32	736.647	152.624	199.784	5.08762	0.328766	4.34115
33	719.454	144.622	217.052	4.52134	0.334116	4.8128
34	699.718	137.199	236.458	3.98563	0.341938	5.32486
35	677.844	130.335	258.131	3.48836	0.35241	5.87755
36	654.248	124.011	282.19	3.03441	0.365747	6.47008
37	629.347	118.209	308.736	2.62606	0.382206	7.10045
38	603.534	112.918	337.844	2.26344	0.402092	7.76517
39	577.173	108.127	369.556	1.94507	0.425763	8.45897
40	550.587	103.829	403.869	1.66829	0.453638	9.17457
41	524.06	100.021	440.724	1.42975	0.4862	9.90249
