Time	[H+]	[Starch]	[Starch Glucosyl unit]	[Starch exposed to Beta Amylase due to action of Isoamylase (Starch DB)]	[Maltose{Cytosol}]	[Maltose{"Chloroplast Stroma"}]	[Maltotriose]	[Maltopentaose]	[(D)-Glucose{"Chloroplast Stroma"}]	[(D)-Glucose{Cytosol}]	[Arabinogalactan (AG)]	[Glucosyl Arabinogalactan (GlcAG)]	[ATP pool]	[ADP pool]	[Orthophosphate(HPi) pool]	[Glutathione (reduced)]	[G1P pool]	[G6P pool]	[Beta amylase]	[Isoamylase]	[Disproportionating enzyme 1(DPE1)]	[Disproportionating enzyme 2(DPE2)]	[Cytosolic Glucan phosphorylase]	[Hexokinase]	[Maltose exporter (MEX)]	[Glucose transporter (pGlcT)]
25	0.1	0.161968	1000	0.005841	32.8432	33.2985	111.822	993.047	0.186302	51.9107	12.5876	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
26	0.1	0.161968	1000	0.00607464	33.9749	34.1999	112.275	992.779	0.183656	52.0576	12.5884	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
27	0.1	0.161968	1000	0.00630828	35.11	35.099	112.728	992.512	0.181903	52.1866	12.5892	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
28	0.1	0.161968	1000	0.00654192	36.2483	35.9959	113.179	992.245	0.180846	52.2998	12.5898	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
29	0.1	0.161968	1000	0.00677556	37.3894	36.8905	113.63	991.978	0.180329	52.3993	12.5904	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
30	0.1	0.161968	1000	0.0070092	38.5331	37.7828	114.08	991.712	0.180232	52.4867	12.5909	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
31	0.1	0.161968	1000	0.00724284	39.679	38.6729	114.53	991.447	0.180462	52.5635	12.5914	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
32	0.1	0.161968	1000	0.00747648	40.827	39.5608	114.978	991.181	0.180947	52.6311	12.5917	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
33	0.1	0.161968	1000	0.00771012	41.9769	40.4464	115.426	990.917	0.181631	52.6906	12.5921	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
34	0.1	0.161968	1000	0.00794376	43.1285	41.3298	115.874	990.652	0.18247	52.743	12.5924	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
35	0.1	0.161968	1000	0.0081774	44.2818	42.211	116.32	990.388	0.183429	52.7891	12.5926	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
36	0.1	0.161968	1000	0.00841104	45.4365	43.09	116.766	990.125	0.184483	52.8297	12.5929	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
37	0.1	0.161968	1000	0.00864468	46.5925	43.9668	117.211	989.861	0.185611	52.8656	12.5931	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
38	0.1	0.161968	1000	0.00887832	47.7498	44.8414	117.656	989.598	0.186797	52.8971	12.5933	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
39	0.1	0.161968	1000	0.00911196	48.9083	45.7138	118.099	989.336	0.188028	52.925	12.5934	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
40	0.1	0.161968	1000	0.0093456	50.0679	46.584	118.542	989.074	0.189295	52.9496	12.5936	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
41	0.1	0.161968	1000	0.00957924	51.2285	47.4521	118.984	988.812	0.190591	52.9714	12.5937	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
42	0.1	0.161968	1000	0.00981288	52.39	48.318	119.426	988.551	0.19191	52.9906	12.5938	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
43	0.1	0.161968	1000	0.0100465	53.5525	49.1817	119.867	988.29	0.193246	53.0076	12.5939	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
44	0.1	0.161968	1000	0.0102802	54.7158	50.0433	120.307	988.03	0.194598	53.0226	12.5939	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
45	0.1	0.161968	1000	0.0105138	55.88	50.9027	120.746	987.77	0.195961	53.036	12.594	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
46	0.1	0.161968	1000	0.0107474	57.045	51.76	121.185	987.51	0.197334	53.0478	12.5941	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
47	0.1	0.161968	1000	0.0109811	58.2107	52.6152	121.623	987.251	0.198715	53.0583	12.5941	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
48	0.1	0.161968	1000	0.0112147	59.3772	53.4682	122.06	986.992	0.200103	53.0677	12.5942	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
49	0.1	0.161968	1000	0.0114484	60.5444	54.3192	122.497	986.734	0.201496	53.076	12.5942	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
50	0.1	0.161968	1000	0.011682	61.7122	55.168	122.933	986.476	0.202895	53.0834	12.5942	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
51	0.1	0.161968	1000	0.0119156	62.8807	56.0147	123.368	986.218	0.204297	53.09	12.5943	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
52	0.1	0.161968	1000	0.0121493	64.0499	56.8594	123.802	985.961	0.205704	53.096	12.5943	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
53	0.1	0.161968	1000	0.0123829	65.2197	57.7019	124.236	985.704	0.207114	53.1013	12.5943	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
54	0.1	0.161968	1000	0.0126166	66.3902	58.5424	124.668	985.448	0.208527	53.1061	12.5943	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
55	0.1	0.161968	1000	0.0128502	67.5612	59.3808	125.101	985.192	0.209943	53.1104	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
56	0.1	0.161968	1000	0.0130838	68.7329	60.2171	125.532	984.936	0.211362	53.1143	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
57	0.1	0.161968	1000	0.0133175	69.9051	61.0513	125.963	984.681	0.212783	53.1179	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
58	0.1	0.161968	1000	0.0135511	71.0779	61.8835	126.393	984.426	0.214206	53.1211	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
59	0.1	0.161968	1000	0.0137848	72.2513	62.7137	126.822	984.172	0.215632	53.124	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
60	0.1	0.161968	1000	0.0140184	73.4252	63.5418	127.25	983.918	0.21706	53.1267	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
61	0.1	0.161968	1000	0.0142521	74.5997	64.3679	127.678	983.664	0.21849	53.1292	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
62	0.1	0.161968	1000	0.0144857	75.7748	65.192	128.105	983.411	0.219923	53.1314	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
63	0.1	0.161968	1000	0.0147193	76.9504	66.014	128.531	983.158	0.221357	53.1336	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
64	0.1	0.161968	1000	0.014953	78.1265	66.8341	128.957	982.906	0.222793	53.1355	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
65	0.1	0.161968	1000	0.0151866	79.3032	67.6521	129.382	982.654	0.224231	53.1373	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
66	0.1	0.161968	1000	0.0154203	80.4804	68.4681	129.806	982.403	0.225671	53.1391	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
67	0.1	0.161968	1000	0.015654	81.6581	69.2821	130.229	982.152	0.227113	53.1407	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
68	0.1	0.161968	1000	0.0158876	82.8364	70.0942	130.652	981.901	0.228556	53.1422	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
69	0.1	0.161968	1000	0.0161213	84.0152	70.9042	131.073	981.651	0.230002	53.1437	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
70	0.1	0.161968	1000	0.016355	85.1945	71.7123	131.495	981.401	0.231449	53.145	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
71	0.1	0.161968	1000	0.0165887	86.3743	72.5184	131.915	981.151	0.232897	53.1464	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
72	0.1	0.161968	1000	0.0168224	87.5547	73.3226	132.335	980.902	0.234348	53.1476	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
73	0.1	0.161968	1000	0.0170562	88.7355	74.1248	132.753	980.654	0.2358	53.1488	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
74	0.1	0.161968	1000	0.01729	89.9169	74.9251	133.172	980.406	0.237253	53.15	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
75	0.1	0.161968	1000	0.0175238	91.0987	75.7234	133.589	980.158	0.238709	53.1512	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
76	0.1	0.161968	1000	0.0177577	92.2811	76.5198	134.006	979.91	0.240165	53.1523	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
77	0.1	0.161968	1000	0.0179917	93.464	77.3142	134.421	979.663	0.241624	53.1534	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
78	0.1	0.161968	1000	0.0182257	94.6473	78.1068	134.837	979.417	0.243084	53.1544	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
79	0.1	0.161968	1000	0.0184599	95.8312	78.8974	135.251	979.171	0.244545	53.1554	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
80	0.1	0.161968	1000	0.0186941	97.0156	79.6861	135.665	978.925	0.246008	53.1565	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
81	0.1	0.161968	1000	0.0189285	98.2004	80.4729	136.078	978.68	0.247472	53.1575	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
82	0.1	0.161968	1000	0.0191629	99.3858	81.2578	136.49	978.435	0.248937	53.1585	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
83	0.1	0.161968	1000	0.0193975	100.572	82.0408	136.901	978.19	0.250404	53.1594	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
84	0.1	0.161968	1000	0.019632	101.758	82.8219	137.312	977.946	0.251872	53.1604	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
85	0.1	0.161968	1000	0.0198665	102.945	83.6012	137.722	977.703	0.253342	53.1614	12.5944	19987.4	10000	10000	10000	1000	10000	10000	0.00783	0.0118	2	2	2	10	2	20
