Time	[PIP2_PHGFP_PM]	[PH_GFP_Cyt]	[PI_PM]	[stim_PM]	[IP3_PHGFP_Cyt]	[PIP2_PM]	[PIP_PM]	[DAG_PM]	[hv_Cytosol]	[IP3X_Cytosol]	[PLC_PM]	[PLC_act_PM]	[IP3_Cyt]
0	0	0	142857	1	0	4000	2857	2000	0	0	100	0	96.32
1	0	0	141202	1	0	5424.81	2889.16	2197.92	0	0	99.971	0.0290307	203.434
2	0	0	140548	1	0	5612.71	2893.18	2660.35	0	0	99.9622	0.0378011	442.551
3	0	0	140308	1	0	5344.3	2893.73	3168.17	0	0	99.9616	0.0384464	687.001
4	0	0	140220	1	0	4967.79	2893.82	3632.76	0	0	99.9637	0.0363485	889.424
5	0	0	140187	1	0	4599.18	2893.84	4033.78	0	0	99.9665	0.0334637	1042.33
6	0	0	140175	1	0	4270.89	2893.84	4373.99	0	0	99.9695	0.0304904	1151.03
7	0	0	140171	1	0	3987.38	2893.84	4661.89	0	0	99.9723	0.0276666	1223.49
8	0	0	140169	1	0	3747.37	2891.04	4906.32	0	0	99.9749	0.0250624	1267.19
9	0	0	140169	1	0	3546.73	2883.53	5115.05	0	0	99.9773	0.0226879	1288.5
10	0	0	140168	1	0	3379.14	2871.94	5294.45	0	0	99.9795	0.0205327	1292.53
11	0	0	140168	1	0	3239.19	2856.85	5449.6	0	0	99.9814	0.0185802	1283.32
12	0	0	140167	1	0	3122.37	2840.09	5584.55	0	0	99.9832	0.0168126	1264.04
13	0	0	140163	1	0	3025	2823.46	5702.55	0	0	99.9848	0.0152128	1237.21
14	0	0	140156	1	0	2944.05	2807.31	5806.22	0	0	99.9862	0.0137652	1204.8
15	0	0	140147	1	0	2877.04	2791.94	5897.71	0	0	99.9875	0.0124553	1168.38
16	0	0	140136	1	0	2821.9	2777.52	5978.75	0	0	99.9887	0.01127	1129.2
17	0	0	140122	1	0	2776.92	2764.18	6050.8	0	0	99.9898	0.0101975	1088.22
18	0	0	140106	1	0	2740.68	2751.96	6115.04	0	0	99.9908	0.00922713	1046.24
19	0	0	140089	1	0	2711.97	2740.91	6172.49	0	0	99.9917	0.00834905	1003.85
20	0	0	140069	1	0	2689.76	2731.01	6223.98	0	0	99.9924	0.00755453	961.551
21	0	0	140048	1	0	2673.2	2722.22	6270.25	0	0	99.9932	0.00683562	919.711
22	0	0	140026	1	0	2661.55	2714.5	6311.88	0	0	99.9938	0.00618513	878.622
23	0	0	140003	1	0	2654.16	2707.8	6349.43	0	0	99.9944	0.00559654	838.506
24	0	0	139978	1	0	2650.49	2702.04	6383.32	0	0	99.9949	0.00506395	799.53
25	0	0	139953	1	0	2650.06	2697.16	6413.97	0	0	99.9954	0.00458206	761.818
26	0	0	139927	1	0	2652.46	2693.1	6441.72	0	0	99.9959	0.00414602	725.455
27	0	0	139900	1	0	2657.33	2689.77	6466.85	0	0	99.9962	0.00375147	690.497
28	0	0	139873	1	0	2664.35	2687.13	6489.65	0	0	99.9966	0.00339447	656.978
29	0	0	139845	1	0	2673.25	2685.1	6510.34	0	0	99.9969	0.00307144	624.911
30	0	0	139817	1	0	2683.77	2683.63	6529.13	0	0	99.9972	0.00277916	594.296
31	0	0	139789	1	0	2695.7	2682.66	6546.2	0	0	99.9975	0.00251469	565.118
32	0	0	139761	1	0	2708.85	2682.14	6561.72	0	0	99.9977	0.00227538	537.356
33	0	0	139733	1	0	2723.06	2682.03	6575.83	0	0	99.9979	0.00205885	510.978
34	0	0	139705	1	0	2738.15	2682.27	6588.67	0	0	99.9981	0.00186292	485.948
35	0	0	139677	1	0	2754.02	2682.84	6600.35	0	0	99.9983	0.00168564	462.226
36	0	0	139649	1	0	2770.52	2683.68	6610.99	0	0	99.9985	0.00152523	439.768
37	0	0	139621	1	0	2787.56	2684.78	6620.67	0	0	99.9986	0.00138009	418.527
38	0	0	139593	1	0	2805.04	2686.1	6629.48	0	0	99.9988	0.00124876	398.457
39	0	0	139566	1	0	2822.88	2687.61	6637.5	0	0	99.9989	0.00112992	379.51
40	0	0	139539	1	0	2841	2689.28	6644.81	0	0	99.999	0.00102239	361.637
41	0	0	139512	1	0	2859.33	2691.11	6651.47	0	0	99.9991	0.000925101	344.789
42	0	0	139486	1	0	2877.82	2693.05	6657.53	0	0	99.9992	0.000837065	328.92
43	0	0	139459	1	0	2896.4	2695.11	6663.05	0	0	99.9992	0.000757408	313.981
44	0	0	139434	1	0	2915.03	2697.25	6668.07	0	0	99.9993	0.000685331	299.929
45	0	0	139408	1	0	2933.67	2699.47	6672.65	0	0	99.9994	0.000620113	286.717
46	0	0	139383	1	0	2952.28	2701.75	6676.82	0	0	99.9994	0.000561102	274.302
47	0	0	139358	1	0	2970.83	2704.09	6680.61	0	0	99.9995	0.000507706	262.643
48	0	0	139334	1	0	2989.29	2706.46	6684.07	0	0	99.9995	0.000459391	251.699
49	0	0	139310	1	0	3007.63	2708.87	6687.21	0	0	99.9996	0.000415674	241.432
50	0	0	139287	1	0	3025.83	2711.3	6690.08	0	0	99.9996	0.000376118	231.803
51	0	0	139264	1	0	3043.86	2713.74	6692.68	0	0	99.9997	0.000340325	222.778
52	0	0	139241	1	0	3061.72	2716.19	6695.06	0	0	99.9997	0.000307939	214.321
53	0	0	139219	1	0	3079.38	2718.64	6697.22	0	0	99.9997	0.000278635	206.401
54	0	0	139197	1	0	3096.84	2721.1	6699.18	0	0	99.9997	0.000252119	198.986
55	0	0	139175	1	0	3114.08	2723.54	6700.97	0	0	99.9998	0.000228127	192.047
56	0	0	139154	1	0	3131.09	2725.97	6702.6	0	0	99.9998	0.000206418	185.555
57	0	0	139134	1	0	3147.86	2728.38	6704.08	0	0	99.9998	0.000186774	179.484
58	0	0	139113	1	0	3164.39	2730.78	6705.42	0	0	99.9998	0.000169	173.808
59	0	0	139094	1	0	3180.68	2733.16	6706.65	0	0	99.9998	0.000152918	168.504
60	0	0	139074	1	0	3196.71	2735.51	6707.76	0	0	99.9999	0.000138366	163.549
61	0	0	139055	1	0	3212.49	2737.83	6708.77	0	0	99.9999	0.000125199	158.92
62	0	0	139036	1	0	3228.01	2740.13	6709.69	0	0	99.9999	0.000113284	154.599
63	0	0	139018	1	0	3243.27	2742.4	6710.53	0	0	99.9999	0.000102504	150.565
64	0	0	139000	1	0	3258.27	2744.64	6711.29	0	0	99.9999	9.27493e-05	146.8
65	0	0	138982	1	0	3273.01	2746.84	6711.98	0	0	99.9999	8.39231e-05	143.288
66	0	0	138965	1	0	3287.49	2749.02	6712.61	0	0	99.9999	7.59367e-05	140.012
67	0	0	138948	1	0	3301.71	2751.16	6713.18	0	0	99.9999	6.87104e-05	136.958
68	0	0	138931	1	0	3315.67	2753.26	6713.7	0	0	99.9999	6.21717e-05	134.111
69	0	0	138915	1	0	3329.37	2755.34	6714.18	0	0	99.9999	5.62553e-05	131.457
70	0	0	138899	1	0	3342.82	2757.37	6714.6	0	0	99.9999	5.09019e-05	128.984
71	0	0	138884	1	0	3356.02	2759.37	6714.99	0	0	100	4.60579e-05	126.681
72	0	0	138868	1	0	3368.96	2761.34	6715.35	0	0	100	4.16749e-05	124.535
73	0	0	138853	1	0	3381.66	2763.27	6715.67	0	0	100	3.7709e-05	122.537
74	0	0	138839	1	0	3394.12	2765.17	6715.96	0	0	100	3.41205e-05	120.677
75	0	0	138824	1	0	3406.33	2767.03	6716.22	0	0	100	3.08735e-05	118.946
76	0	0	138810	1	0	3418.31	2768.86	6716.47	0	0	100	2.79355e-05	117.335
77	0	0	138797	1	0	3430.05	2770.66	6716.68	0	0	100	2.52771e-05	115.836
78	0	0	138783	1	0	3441.56	2772.41	6716.88	0	0	100	2.28717e-05	114.441
79	0	0	138770	1	0	3452.84	2774.14	6717.06	0	0	100	2.06952e-05	113.144
80	0	0	138757	1	0	3463.9	2775.83	6717.23	0	0	100	1.87257e-05	111.938
81	0	0	138744	1	0	3474.73	2777.49	6717.37	0	0	100	1.69438e-05	110.816
82	0	0	138732	1	0	3485.35	2779.12	6717.51	0	0	100	1.53313e-05	109.773
83	0	0	138720	1	0	3495.76	2780.71	6717.63	0	0	100	1.38724e-05	108.804
84	0	0	138708	1	0	3505.96	2782.27	6717.74	0	0	100	1.25522e-05	107.904
85	0	0	138696	1	0	3515.95	2783.8	6717.84	0	0	100	1.13577e-05	107.067
86	0	0	138685	1	0	3525.74	2785.3	6717.93	0	0	100	1.02769e-05	106.289
87	0	0	138674	1	0	3535.34	2786.77	6718.02	0	0	100	9.29892e-06	105.567
88	0	0	138663	1	0	3544.73	2788.21	6718.09	0	0	100	8.41401e-06	104.896
89	0	0	138652	1	0	3553.94	2789.62	6718.16	0	0	100	7.61331e-06	104.273
90	0	0	138642	1	0	3562.96	2791	6718.22	0	0	100	6.88881e-06	103.695
91	0	0	138632	1	0	3571.8	2792.36	6718.28	0	0	100	6.23325e-06	103.158
92	0	0	138622	1	0	3580.45	2793.68	6718.33	0	0	100	5.64008e-06	102.659
93	0	0	138612	1	0	3588.93	2794.98	6718.38	0	0	100	5.10336e-06	102.196
