Time	[EC]	[Z]	[Rho]	[Y]	[Fraction_Inactive_Channels]
0	0	0	0	0.36	0
1	-0.485331	0.263012	0.168888	0.582319	-0.168888
2	-0.161567	0.213819	0.283429	0.307748	-0.283429
3	-0.487362	0.266704	0.168584	0.580658	-0.168584
4	-0.162043	0.217347	0.279369	0.304696	-0.279369
5	-0.489223	0.268549	0.169065	0.580674	-0.169065
6	-0.162535	0.218868	0.278384	0.303667	-0.278384
7	-0.491161	0.270483	0.169958	0.580677	-0.169958
8	-0.163086	0.220589	0.277318	0.302497	-0.277318
9	-0.493147	0.272252	0.171291	0.580895	-0.171291
10	-0.163682	0.222237	0.276523	0.301445	-0.276523
11	-0.495181	0.273845	0.173092	0.581335	-0.173092
12	-0.164323	0.223839	0.275966	0.300484	-0.275966
13	-0.497258	0.275221	0.175377	0.582037	-0.175377
14	-0.165009	0.225385	0.27565	0.299624	-0.27565
15	-0.499361	0.276332	0.178139	0.583028	-0.178139
16	-0.165734	0.226854	0.275601	0.29888	-0.275601
17	-0.501496	0.277151	0.1814	0.584346	-0.1814
18	-0.166501	0.228247	0.275816	0.298254	-0.275816
19	-0.503662	0.277634	0.185157	0.586028	-0.185157
20	-0.167309	0.229563	0.276273	0.297746	-0.276273
21	-0.505808	0.277742	0.189306	0.588066	-0.189306
22	-0.168141	0.230754	0.277008	0.297387	-0.277008
23	-0.507955	0.277454	0.193867	0.590501	-0.193867
24	-0.169008	0.231845	0.278005	0.297163	-0.278005
25	-0.510094	0.276743	0.198778	0.593351	-0.198778
26	-0.169904	0.232815	0.279259	0.297089	-0.279259
27	-0.512207	0.275597	0.203952	0.59661	-0.203952
28	-0.170827	0.233659	0.280769	0.297168	-0.280769
29	-0.514285	0.274011	0.209301	0.600274	-0.209301
30	-0.171772	0.23436	0.282527	0.297413	-0.282527
31	-0.516317	0.271991	0.214733	0.604326	-0.214733
32	-0.172736	0.234907	0.284523	0.297829	-0.284523
33	-0.518297	0.26955	0.220145	0.608747	-0.220145
34	-0.173718	0.235304	0.286731	0.298414	-0.286731
35	-0.520194	0.266755	0.225358	0.613438	-0.225358
36	-0.174703	0.235525	0.289132	0.299177	-0.289132
37	-0.522015	0.263628	0.23032	0.618386	-0.23032
38	-0.175698	0.235585	0.29171	0.300113	-0.29171
39	-0.523736	0.260264	0.234876	0.623472	-0.234876
40	-0.176683	0.235465	0.29441	0.301219	-0.29441
41	-0.525362	0.25671	0.238976	0.628653	-0.238976
42	-0.177665	0.235167	0.297241	0.302498	-0.297241
43	-0.526896	0.253012	0.242575	0.633884	-0.242575
44	-0.178644	0.234703	0.300163	0.303941	-0.300163
45	-0.528319	0.249298	0.245569	0.639021	-0.245569
46	-0.179601	0.234075	0.303106	0.305526	-0.303106
47	-0.529633	0.245624	0.247953	0.644009	-0.247953
48	-0.180531	0.233284	0.306048	0.307247	-0.306048
