Time	[Glucose]	[Phosphates in Glycosome]	[Glucose 6-phosphate]	[Fructose 6-phosphate]	[Dihydroxyacetone phosphate]	[Glyceraldehyde 3-phosphate]	[NAD]	[NADH]	[Pyruvate]	[3-PGA 2-PGA PEP]	[Phosphates cytosol]	[Pyruvate external]	[Glycerol]	[Glucose external]	[Glycerol 3-phosphate]	[ATP cyt.]	[ADP cyt.]	[ATP gly.]	[ADP gly.]	[DHAP gly.]	[DHAP cyt.]	[Gy3P c.]	[Gy3P g.]	[3-PGA g.]	[PEP c.]
34	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
35	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
36	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
37	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
38	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
39	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
40	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
41	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
42	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
43	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
44	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
45	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
46	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
47	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
48	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
49	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
50	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
51	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
52	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
53	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
54	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
55	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
56	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
57	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
58	0.0337405	7.67999	2.06962	0.511161	3.89794	0.0398262	3.9551	0.044904	4.78156	1.52202	6.51891	0	0	5	0.957309	2.77108	0.976744	2.64146	2.39707	1.30599	4.01415	0.985851	0.320742	0.640013	0.801872
