Time	[APAF-1]	[Caspase 9]	[Caspase 9-XIAP complex]	[XIAP]	[APAF-1-Caspase 9-XIAP complex]	[APAF-1-Caspase 9 complex]	[Caspase 3]	[Caspase 3 cleaved]	[Caspase 3 cleaved - XIAP complex]	[Caspase 9 cleaved-XIAP complex]	[Caspase 9 cleaved]	[APAF-1-Caspase 9 cleaved complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]	[Apaf-1-Caspase 9 cleaved -XIAP complex]
26	15.4054	6.68751	8.04972	26.6668	2.41679	1.97792	195.748	1.40014	2.0412	0.0110226	0.0327976	0.00982119	0.00331064	0.00331064	0.00331064	0.00331064	0.00331064
27	15.3957	6.51126	8.16914	26.354	2.45964	1.93004	195.604	1.39371	2.13104	0.0118253	0.0336434	0.0101029	0.00356201	0.00356201	0.00356201	0.00356201	0.00356201
28	15.3876	6.34244	8.28223	26.052	2.49974	1.88335	195.465	1.38555	2.21862	0.0126351	0.0344186	0.0103606	0.00381531	0.00381531	0.00381531	0.00381531	0.00381531
29	15.3806	6.18059	8.38934	25.7603	2.53731	1.8379	195.329	1.37591	2.30391	0.01345	0.0351255	0.0105952	0.00406995	0.00406995	0.00406995	0.00406995	0.00406995
30	15.3748	6.02528	8.4908	25.4787	2.57253	1.79371	195.196	1.36499	2.3869	0.0142684	0.0357666	0.0108075	0.00432535	0.00432535	0.00432535	0.00432535	0.00432535
31	15.3698	5.87612	8.58692	25.2067	2.60557	1.75081	195.066	1.35301	2.46759	0.0150884	0.0363445	0.0109985	0.00458102	0.00458102	0.00458102	0.00458102	0.00458102
32	15.3656	5.73278	8.67798	24.944	2.63659	1.70919	194.939	1.34012	2.54602	0.0159088	0.0368618	0.0111694	0.00483649	0.00483649	0.00483649	0.00483649	0.00483649
33	15.3621	5.59494	8.76426	24.6902	2.66574	1.66884	194.816	1.32648	2.6222	0.0167282	0.0373214	0.011321	0.00509136	0.00509136	0.00509136	0.00509136	0.00509136
34	15.3591	5.4623	8.84602	24.445	2.69314	1.62974	194.695	1.31222	2.69618	0.0175453	0.037726	0.0114545	0.00534526	0.00534526	0.00534526	0.00534526	0.00534526
35	15.3566	5.3346	8.92351	24.2081	2.71893	1.59188	194.577	1.29748	2.76799	0.018359	0.0380783	0.0115708	0.00559786	0.00559786	0.00559786	0.00559786	0.00559786
36	15.3545	5.21158	8.99694	23.9792	2.7432	1.55522	194.462	1.28234	2.83768	0.0191683	0.038381	0.0116709	0.00584886	0.00584886	0.00584886	0.00584886	0.00584886
37	15.3527	5.09303	9.06655	23.7579	2.76607	1.51974	194.35	1.26691	2.90531	0.0199723	0.0386369	0.0117558	0.006098	0.006098	0.006098	0.006098	0.006098
38	15.3513	4.97873	9.13252	23.5439	2.78762	1.4854	194.24	1.25127	2.97092	0.0207702	0.0388485	0.0118263	0.00634505	0.00634505	0.00634505	0.00634505	0.00634505
39	15.3501	4.86848	9.19505	23.337	2.80794	1.45218	194.133	1.23548	3.03458	0.0215613	0.0390184	0.0118833	0.0065898	0.0065898	0.0065898	0.0065898	0.0065898
40	15.3491	4.7621	9.25432	23.1369	2.82712	1.42003	194.028	1.21961	3.09633	0.0223449	0.039149	0.0119277	0.00683206	0.00683206	0.00683206	0.00683206	0.00683206
41	15.3483	4.65941	9.3105	22.9433	2.84521	1.38893	193.926	1.20371	3.15624	0.0231204	0.0392427	0.0119602	0.00707169	0.00707169	0.00707169	0.00707169	0.00707169
42	15.3476	4.56025	9.36376	22.756	2.8623	1.35884	193.825	1.18783	3.21437	0.0238873	0.0393018	0.0119817	0.00730853	0.00730853	0.00730853	0.00730853	0.00730853
43	15.3471	4.46446	9.41424	22.5747	2.87845	1.32973	193.728	1.17202	3.27076	0.0246453	0.0393284	0.0119929	0.00754247	0.00754247	0.00754247	0.00754247	0.00754247
44	15.3467	4.37191	9.46208	22.3993	2.8937	1.30155	193.632	1.15629	3.32548	0.0253938	0.0393247	0.0119944	0.00777341	0.00777341	0.00777341	0.00777341	0.00777341
45	15.3464	4.28246	9.50743	22.2294	2.90812	1.27429	193.538	1.1407	3.37859	0.0261326	0.0392926	0.011987	0.00800125	0.00800125	0.00800125	0.00800125	0.00800125
46	15.3462	4.19599	9.5504	22.065	2.92174	1.2479	193.447	1.12525	3.43014	0.0268614	0.0392341	0.0119712	0.00822593	0.00822593	0.00822593	0.00822593	0.00822593
47	15.346	4.11236	9.59111	21.9056	2.93463	1.22236	193.357	1.10998	3.48017	0.02758	0.0391509	0.0119477	0.00844737	0.00844737	0.00844737	0.00844737	0.00844737
48	15.346	4.03147	9.62969	21.7513	2.94681	1.19764	193.27	1.0949	3.52876	0.028288	0.0390448	0.0119169	0.00866553	0.00866553	0.00866553	0.00866553	0.00866553
49	15.3459	3.95321	9.66623	21.6018	2.95833	1.17371	193.184	1.08002	3.57593	0.0289855	0.0389174	0.0118795	0.00888036	0.00888036	0.00888036	0.00888036	0.00888036
50	15.346	3.87748	9.70083	21.4569	2.96923	1.15053	193.1	1.06537	3.62176	0.0296722	0.0387704	0.0118359	0.00909184	0.00909184	0.00909184	0.00909184	0.00909184
51	15.346	3.80417	9.7336	21.3164	2.97953	1.12809	193.018	1.05094	3.66628	0.0303481	0.038605	0.0117866	0.00929994	0.00929994	0.00929994	0.00929994	0.00929994
52	15.3462	3.7332	9.76462	21.1802	2.98928	1.10635	192.938	1.03675	3.70954	0.0310131	0.0384228	0.0117321	0.00950465	0.00950465	0.00950465	0.00950465	0.00950465
53	15.3463	3.66448	9.79397	21.0481	2.99849	1.0853	192.859	1.02281	3.75158	0.031667	0.0382251	0.0116727	0.00970595	0.00970595	0.00970595	0.00970595	0.00970595
54	15.3465	3.59792	9.82174	20.92	3.0072	1.0649	192.782	1.00912	3.79246	0.03231	0.038013	0.0116088	0.00990385	0.00990385	0.00990385	0.00990385	0.00990385
55	15.3467	3.53344	9.848	20.7957	3.01543	1.04513	192.706	0.995681	3.83221	0.032942	0.0377879	0.0115408	0.0100983	0.0100983	0.0100983	0.0100983	0.0100983
56	15.3469	3.47097	9.87283	20.6751	3.02321	1.02598	192.633	0.982499	3.87086	0.033563	0.0375506	0.0114691	0.0102895	0.0102895	0.0102895	0.0102895	0.0102895
57	15.3471	3.41043	9.89628	20.5581	3.03056	1.00742	192.56	0.969574	3.90848	0.0341731	0.0373024	0.011394	0.0104772	0.0104772	0.0104772	0.0104772	0.0104772
58	15.3474	3.35176	9.91844	20.4445	3.0375	0.98942	192.489	0.956907	3.94508	0.0347722	0.0370442	0.0113157	0.0106615	0.0106615	0.0106615	0.0106615	0.0106615
59	15.3477	3.29488	9.93934	20.3342	3.04406	0.971974	192.419	0.944498	3.9807	0.0353605	0.0367769	0.0112347	0.0108426	0.0108426	0.0108426	0.0108426	0.0108426
60	15.348	3.23974	9.95907	20.2271	3.05024	0.955058	192.351	0.932346	4.01539	0.035938	0.0365014	0.0111511	0.0110203	0.0110203	0.0110203	0.0110203	0.0110203
61	15.3483	3.18627	9.97766	20.123	3.05607	0.938654	192.284	0.92045	4.04917	0.0365048	0.0362185	0.0110652	0.0111947	0.0111947	0.0111947	0.0111947	0.0111947
62	15.3486	3.13442	9.99517	20.022	3.06156	0.922745	192.218	0.908808	4.08207	0.037061	0.035929	0.0109772	0.0113658	0.0113658	0.0113658	0.0113658	0.0113658
63	15.3489	3.08412	10.0116	19.9238	3.06673	0.907312	192.154	0.897417	4.11413	0.0376067	0.0356336	0.0108874	0.0115337	0.0115337	0.0115337	0.0115337	0.0115337
64	15.3492	3.03533	10.0271	19.8284	3.0716	0.892341	192.091	0.886275	4.14538	0.0381419	0.0353329	0.010796	0.0116985	0.0116985	0.0116985	0.0116985	0.0116985
65	15.3496	2.98799	10.0417	19.7357	3.07618	0.877816	192.029	0.875379	4.17585	0.0386669	0.0350277	0.0107031	0.01186	0.01186	0.01186	0.01186	0.01186
66	15.3499	2.94206	10.0554	19.6456	3.08048	0.863721	191.968	0.864725	4.20555	0.0391816	0.0347184	0.010609	0.0120184	0.0120184	0.0120184	0.0120184	0.0120184
67	15.3503	2.89749	10.0682	19.5579	3.08452	0.850042	191.908	0.85431	4.23453	0.0396863	0.0344057	0.0105139	0.0121738	0.0121738	0.0121738	0.0121738	0.0121738
68	15.3507	2.85422	10.0801	19.4727	3.0883	0.836766	191.85	0.844131	4.2628	0.040181	0.0340901	0.0104178	0.0123261	0.0123261	0.0123261	0.0123261	0.0123261
69	15.3511	2.81223	10.0913	19.3898	3.09184	0.823879	191.792	0.834183	4.2904	0.040666	0.033772	0.010321	0.0124753	0.0124753	0.0124753	0.0124753	0.0124753
70	15.3515	2.77146	10.1018	19.3092	3.09515	0.811369	191.735	0.824462	4.31733	0.0411412	0.033452	0.0102235	0.0126217	0.0126217	0.0126217	0.0126217	0.0126217
71	15.3519	2.73188	10.1115	19.2307	3.09824	0.799223	191.68	0.814965	4.34363	0.0416069	0.0331305	0.0101255	0.0127651	0.0127651	0.0127651	0.0127651	0.0127651
72	15.3523	2.69345	10.1205	19.1544	3.10112	0.787429	191.625	0.805688	4.36931	0.0420632	0.0328078	0.0100272	0.0129056	0.0129056	0.0129056	0.0129056	0.0129056
73	15.3527	2.65613	10.1289	19.0801	3.1038	0.775977	191.572	0.796627	4.39441	0.0425102	0.0324843	0.00992868	0.0130432	0.0130432	0.0130432	0.0130432	0.0130432
