Time	[RuBP]	[PGA]	[NADPH]	[CO2]	[O2]	[NADP]
0	2	2.4	0.21	230	210	0.29
1	2	3.25984	0.165006	230	210	0.334994
2	2	3.89929	0.164886	230	210	0.335114
3	2	4.35235	0.164885	230	210	0.335115
4	2	4.67327	0.164885	230	210	0.335115
5	2	4.90059	0.164885	230	210	0.335115
6	2	5.06161	0.164885	230	210	0.335115
7	2	5.17566	0.164885	230	210	0.335115
8	2	5.25645	0.164885	230	210	0.335115
9	2	5.31368	0.164885	230	210	0.335115
10	2	5.35421	0.164885	230	210	0.335115
11	2	5.38292	0.164885	230	210	0.335115
12	2	5.40326	0.164885	230	210	0.335115
13	2	5.41767	0.164885	230	210	0.335115
14	2	5.42788	0.164885	230	210	0.335115
15	2	5.4351	0.164885	230	210	0.335115
16	2	5.44022	0.164885	230	210	0.335115
17	2	5.44385	0.164885	230	210	0.335115
18	2	5.44642	0.164885	230	210	0.335115
19	2	5.44824	0.164885	230	210	0.335115
20	2	5.44953	0.164885	230	210	0.335115
21	2	5.45044	0.164885	230	210	0.335115
22	2	5.45109	0.164885	230	210	0.335115
23	2	5.45155	0.164885	230	210	0.335115
24	2	5.45187	0.164885	230	210	0.335115
25	2	5.4521	0.164885	230	210	0.335115
26	2	5.45226	0.164885	230	210	0.335115
27	2	5.45238	0.164885	230	210	0.335115
28	2	5.45246	0.164885	230	210	0.335115
29	2	5.45252	0.164885	230	210	0.335115
30	2	5.45256	0.164885	230	210	0.335115
31	2	5.45259	0.164885	230	210	0.335115
32	2	5.45261	0.164885	230	210	0.335115
33	2	5.45262	0.164885	230	210	0.335115
34	2	5.45263	0.164885	230	210	0.335115
35	2	5.45264	0.164885	230	210	0.335115
36	2	5.45265	0.164885	230	210	0.335115
37	2	5.45265	0.164885	230	210	0.335115
38	2	5.45265	0.164885	230	210	0.335115
39	2	5.45266	0.164885	230	210	0.335115
40	2	5.45266	0.164885	230	210	0.335115
41	2	5.45266	0.164885	230	210	0.335115
42	2	5.45266	0.164885	230	210	0.335115
43	2	5.45266	0.164885	230	210	0.335115
44	2	5.45266	0.164885	230	210	0.335115
45	2	5.45266	0.164885	230	210	0.335115
46	2	5.45266	0.164885	230	210	0.335115
47	2	5.45266	0.164885	230	210	0.335115
48	2	5.45266	0.164885	230	210	0.335115
49	2	5.45266	0.164885	230	210	0.335115
50	2	5.45266	0.164885	230	210	0.335115
51	2	5.45266	0.164885	230	210	0.335115
52	2	5.45266	0.164885	230	210	0.335115
53	2	5.45266	0.164885	230	210	0.335115
54	2	5.45266	0.164885	230	210	0.335115
55	2	5.45266	0.164885	230	210	0.335115
56	2	5.45266	0.164885	230	210	0.335115
57	2	5.45266	0.164885	230	210	0.335115
58	2	5.45266	0.164885	230	210	0.335115
59	2	5.45266	0.164885	230	210	0.335115
60	2	5.45266	0.164885	230	210	0.335115
61	2	5.45266	0.164885	230	210	0.335115
62	2	5.45266	0.164885	230	210	0.335115
63	2	5.45266	0.164885	230	210	0.335115
64	2	5.45266	0.164885	230	210	0.335115
65	2	5.45266	0.164885	230	210	0.335115
66	2	5.45266	0.164885	230	210	0.335115
67	2	5.45266	0.164885	230	210	0.335115
68	2	5.45266	0.164885	230	210	0.335115
69	2	5.45266	0.164885	230	210	0.335115
70	2	5.45266	0.164885	230	210	0.335115
71	2	5.45266	0.164885	230	210	0.335115
72	2	5.45266	0.164885	230	210	0.335115
73	2	5.45266	0.164885	230	210	0.335115
74	2	5.45266	0.164885	230	210	0.335115
75	2	5.45266	0.164885	230	210	0.335115
76	2	5.45266	0.164885	230	210	0.335115
77	2	5.45266	0.164885	230	210	0.335115
78	2	5.45266	0.164885	230	210	0.335115
79	2	5.45266	0.164885	230	210	0.335115
80	2	5.45266	0.164885	230	210	0.335115
81	2	5.45266	0.164885	230	210	0.335115
82	2	5.45266	0.164885	230	210	0.335115
83	2	5.45266	0.164885	230	210	0.335115
84	2	5.45266	0.164885	230	210	0.335115
85	2	5.45266	0.164885	230	210	0.335115
86	2	5.45266	0.164885	230	210	0.335115
87	2	5.45266	0.164885	230	210	0.335115
88	2	5.45266	0.164885	230	210	0.335115
89	2	5.45266	0.164885	230	210	0.335115
90	2	5.45266	0.164885	230	210	0.335115
91	2	5.45266	0.164885	230	210	0.335115
92	2	5.45266	0.164885	230	210	0.335115
93	2	5.45266	0.164885	230	210	0.335115
94	2	5.45266	0.164885	230	210	0.335115
95	2	5.45266	0.164885	230	210	0.335115
96	2	5.45266	0.164885	230	210	0.335115
97	2	5.45266	0.164885	230	210	0.335115
98	2	5.45266	0.164885	230	210	0.335115
99	2	5.45266	0.164885	230	210	0.335115
100	2	5.45266	0.164885	230	210	0.335115
