Time	[Arr]	[Ca2_buff]	[Ca2_free]	[G_GTP]	[Ga_GDP]	[Ga_GTP]	[Ga_GTP_PDE_a_Ga_GTP]	[Ga_GTP_a_PDE_a_Ga_GTP]	[Gbg]	[Gt]	[Ops]	[Ops_G]	[Ops_G_GTP]	[Ops_Gt]	[PDE]	[PDE_Ga_GTP]	[PDE_a_Ga_GTP]	[R]	[R0]	[R0_G]	[R0_G_GTP]	[R0_Gt]	[R0_RKpre]	[R1]	[R1_Arr]	[R1_G]	[R1_G_GTP]	[R1_Gt]	[R1_RKpost]	[R1_RKpre]	[R2]	[R2_Arr]	[R2_G]	[R2_G_GTP]	[R2_Gt]	[R2_RKpost]	[R2_RKpre]	[R3]	[R3_Arr]	[R3_G]	[R3_G_GTP]	[R3_Gt]	[R3_RKpost]	[R3_RKpre]	[R4]	[R4_Arr]	[R4_G]	[R4_G_GTP]	[R4_Gt]	[R4_RKpost]	[R4_RKpre]	[R5]	[R5_Arr]	[R5_G]	[R5_G_GTP]	[R5_Gt]	[R5_RKpost]	[R5_RKpre]	[R6]	[R6_Arr]	[R6_G]	[R6_G_GTP]	[R6_Gt]	[R6_RKpost]	[R6_RKpre]	[RGS]	[RGS_Ga_GTP_a_PDE_a_Ga_GTP]	[RGS_PDE_a_Ga_GTP]	[RK]	[Rec_wCa2_RK]	[cGMP]
0	3.13e+07	42.857	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	10838	4.20456e+06	4
1	3.13e+07	42.8291	0.599986	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14184.1	4.20121e+06	3.99916
2	3.13e+07	42.822	0.59999	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14184.1	4.20121e+06	3.99992
3	3.13e+07	42.8218	0.599999	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4.00001
4	3.13e+07	42.8219	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
5	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
6	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
7	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
8	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
9	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
10	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
11	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
12	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
13	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
14	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
15	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
16	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
17	3.13e+07	42.822	0.6	0	0	0	0	0	0	3.6e+08	0	0	0	0	1.335e+07	0	0	3.6e+09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e+06	0	0	14183.9	4.20121e+06	4
