Time	[MAPK]	[MAPK-PY]	[MAPK-PT]	[MAPK-PP]	[MAPKK]	[MKP]	[MAPK-PY_MAPKK]	[MAPK-PT_MAPKK]	[MAPK_MAPKK_Y]	[MAPK_MAPKK_T]	[MAPK-PP_MKP_T]	[MAPK-PP_MKP_Y]	[MAPK-PY_MKP_Y]	[MAPK-PY_MKP_T]	[MAPK-PT_MKP_Y]	[MAPK-PT_MKP_T]	[MAPK_MKP_T]	[MAPK_MKP_Y]
40	489.874	5.26994	5.25614	34.0542	8.81302	5.6417	0.0928131	0.09257	85.5008	85.5008	7.73765	7.73765	0.201255	0.988877	0.988101	0.196732	38.6768	37.8312
41	488.793	5.32676	5.31287	35.0201	8.83144	5.621	0.0940112	0.093766	85.4904	85.4904	7.93322	7.93322	0.202708	1.00911	1.00833	0.198154	38.4886	37.6057
42	487.711	5.38299	5.36901	35.9878	8.84995	5.60047	0.095204	0.0949567	85.4799	85.4799	8.12781	8.12781	0.204128	1.0292	1.02842	0.199544	38.2995	37.3831
43	486.628	5.43863	5.42457	36.9574	8.86854	5.5801	0.0963915	0.0961421	85.4695	85.4695	8.32144	8.32144	0.205516	1.04916	1.04838	0.200902	38.1097	37.1633
44	485.545	5.4937	5.47955	37.9289	8.88723	5.55988	0.0975738	0.0973224	85.4589	85.4589	8.51411	8.51411	0.206873	1.06899	1.0682	0.20223	37.9195	36.9461
45	484.461	5.54819	5.53396	38.9023	8.906	5.53982	0.0987509	0.0984976	85.4484	85.4484	8.70584	8.70584	0.208197	1.08867	1.08789	0.203526	37.7289	36.7313
46	483.377	5.6021	5.58779	39.8776	8.92486	5.5199	0.0999228	0.0996676	85.4378	85.4378	8.89662	8.89662	0.209491	1.10823	1.10744	0.204793	37.5381	36.5188
47	482.293	5.65544	5.64106	40.8548	8.94382	5.50013	0.10109	0.100833	85.4271	85.4271	9.08646	9.08646	0.210754	1.12765	1.12686	0.206029	37.3472	36.3084
48	481.207	5.70821	5.69376	41.8339	8.96286	5.48048	0.102251	0.101992	85.4164	85.4164	9.27538	9.27538	0.211987	1.14695	1.14615	0.207236	37.1564	36.1001
49	480.122	5.76042	5.7459	42.815	8.982	5.46097	0.103408	0.103147	85.4057	85.4057	9.46336	9.46336	0.213189	1.16611	1.16532	0.208413	36.9656	35.8937
50	479.035	5.81207	5.79748	43.798	9.00123	5.44159	0.10456	0.104297	85.395	85.395	9.65043	9.65043	0.214361	1.18514	1.18435	0.209561	36.775	35.6891
51	477.948	5.86316	5.84851	44.7829	9.02055	5.42233	0.105706	0.105442	85.3841	85.3841	9.83659	9.83659	0.215505	1.20404	1.20325	0.21068	36.5847	35.4864
52	476.861	5.91369	5.89898	45.7698	9.03997	5.4032	0.106848	0.106582	85.3733	85.3733	10.0218	10.0218	0.216618	1.22282	1.22203	0.211771	36.3946	35.2853
53	475.773	5.96367	5.9489	46.7586	9.05949	5.38418	0.107985	0.107717	85.3624	85.3624	10.2062	10.2062	0.217703	1.24147	1.24068	0.212834	36.205	35.0857
54	474.684	6.01311	5.99827	47.7494	9.0791	5.36527	0.109117	0.108847	85.3515	85.3515	10.3896	10.3896	0.21876	1.26	1.25921	0.213869	36.0158	34.8878
55	473.594	6.06199	6.0471	48.7421	9.09881	5.34648	0.110244	0.109973	85.3405	85.3405	10.5722	10.5722	0.219788	1.2784	1.27761	0.214876	35.8272	34.6913
56	472.504	6.11033	6.09539	49.7368	9.11862	5.32781	0.111366	0.111093	85.3295	85.3295	10.7539	10.7539	0.220789	1.29668	1.29589	0.215856	35.639	34.4962
57	471.413	6.15813	6.14314	50.7335	9.13853	5.30924	0.112483	0.112209	85.3184	85.3184	10.9347	10.9347	0.221762	1.31484	1.31405	0.216809	35.4514	34.3025
58	470.321	6.20539	6.19036	51.7322	9.15855	5.29077	0.113595	0.11332	85.3073	85.3073	11.1146	11.1146	0.222708	1.33288	1.33208	0.217736	35.2644	34.1102
59	469.229	6.25212	6.23704	52.7328	9.17866	5.27241	0.114703	0.114426	85.2961	85.2961	11.2937	11.2937	0.223627	1.3508	1.35	0.218637	35.0781	33.9191
60	468.136	6.29831	6.28319	53.7355	9.19888	5.25415	0.115806	0.115528	85.2849	85.2849	11.4719	11.4719	0.224519	1.36859	1.3678	0.219511	34.8924	33.7293
61	467.042	6.34397	6.32881	54.7401	9.2192	5.236	0.116904	0.116625	85.2736	85.2736	11.6492	11.6492	0.225386	1.38628	1.38548	0.22036	34.7074	33.5407
62	465.948	6.38911	6.37391	55.7467	9.23962	5.21794	0.117998	0.117717	85.2623	85.2623	11.8257	11.8257	0.226226	1.40384	1.40305	0.221184	34.523	33.3533
63	464.853	6.43372	6.41848	56.7554	9.26015	5.19998	0.119087	0.118804	85.251	85.251	12.0014	12.0014	0.227041	1.42129	1.42049	0.221983	34.3394	33.1671
64	463.757	6.47781	6.46254	57.766	9.28079	5.18212	0.120171	0.119887	85.2396	85.2396	12.1762	12.1762	0.22783	1.43862	1.43783	0.222757	34.1565	32.982
65	462.66	6.52138	6.50608	58.7787	9.30154	5.16436	0.12125	0.120966	85.2281	85.2281	12.3502	12.3502	0.228595	1.45584	1.45505	0.223506	33.9744	32.798
66	461.562	6.56443	6.5491	59.7934	9.32239	5.14668	0.122325	0.12204	85.2166	85.2166	12.5233	12.5233	0.229335	1.47295	1.47215	0.224232	33.793	32.615
67	460.464	6.60696	6.59161	60.8101	9.34336	5.12911	0.123396	0.123109	85.2051	85.2051	12.6956	12.6956	0.230051	1.48994	1.48915	0.224934	33.6124	32.4332
68	459.365	6.64899	6.63361	61.8288	9.36443	5.11162	0.124462	0.124174	85.1935	85.1935	12.8672	12.8672	0.230742	1.50682	1.50603	0.225612	33.4325	32.2524
69	458.265	6.69051	6.6751	62.8496	9.38562	5.09423	0.125523	0.125234	85.1818	85.1818	13.0379	13.0379	0.23141	1.5236	1.52281	0.226267	33.2534	32.0726
70	457.164	6.73151	6.71609	63.8724	9.40692	5.07692	0.12658	0.12629	85.1701	85.1701	13.2078	13.2078	0.232055	1.54026	1.53947	0.2269	33.0751	31.8938
71	456.062	6.77202	6.75657	64.8972	9.42833	5.05971	0.127632	0.127341	85.1583	85.1583	13.3769	13.3769	0.232676	1.55681	1.55603	0.227509	32.8975	31.716
72	454.96	6.81202	6.79656	65.9241	9.44986	5.04258	0.12868	0.128388	85.1465	85.1465	13.5452	13.5452	0.233275	1.57326	1.57248	0.228097	32.7208	31.5392
73	453.856	6.85153	6.83605	66.953	9.47151	5.02554	0.129724	0.12943	85.1347	85.1347	13.7127	13.7127	0.233851	1.5896	1.58882	0.228663	32.5448	31.3633
