Time	[RuBP]	[PGA]	[NADPH]	[CO2]	[O2]	[NADP]
0	2	2.4	0.21	24.5	21	0.29
1	2	2.40487	0.203743	24.5	21	0.296257
2	2	2.41001	0.197675	24.5	21	0.302325
3	2	2.41541	0.191792	24.5	21	0.308208
4	2	2.42105	0.186086	24.5	21	0.313914
5	2	2.42693	0.180554	24.5	21	0.319446
6	2	2.43305	0.175189	24.5	21	0.324811
7	2	2.43939	0.169987	24.5	21	0.330013
8	2	2.44596	0.164942	24.5	21	0.335058
9	2	2.45273	0.16005	24.5	21	0.33995
10	2	2.45971	0.155306	24.5	21	0.344694
11	2	2.4669	0.150706	24.5	21	0.349294
12	2	2.47427	0.146246	24.5	21	0.353754
13	2	2.48183	0.14192	24.5	21	0.35808
14	2	2.48958	0.137726	24.5	21	0.362274
15	2	2.4975	0.133659	24.5	21	0.366341
16	2	2.50559	0.129715	24.5	21	0.370285
17	2	2.51386	0.12589	24.5	21	0.37411
18	2	2.52228	0.122181	24.5	21	0.377819
19	2	2.53086	0.118585	24.5	21	0.381415
20	2	2.53959	0.115098	24.5	21	0.384902
21	2	2.54847	0.111716	24.5	21	0.388284
22	2	2.55749	0.108437	24.5	21	0.391563
23	2	2.56666	0.105257	24.5	21	0.394743
24	2	2.57596	0.102174	24.5	21	0.397826
25	2	2.58539	0.0991835	24.5	21	0.400817
26	2	2.59495	0.096284	24.5	21	0.403716
27	2	2.60463	0.0934723	24.5	21	0.406528
28	2	2.61444	0.0907459	24.5	21	0.409254
29	2	2.62436	0.0881022	24.5	21	0.411898
30	2	2.6344	0.0855385	24.5	21	0.414461
31	2	2.64455	0.0830526	24.5	21	0.416947
32	2	2.65481	0.0806419	24.5	21	0.419358
33	2	2.66517	0.0783043	24.5	21	0.421696
34	2	2.67564	0.0760375	24.5	21	0.423962
35	2	2.6862	0.0738394	24.5	21	0.426161
36	2	2.69686	0.0717078	24.5	21	0.428292
37	2	2.70762	0.0696408	24.5	21	0.430359
38	2	2.71847	0.0676365	24.5	21	0.432364
39	2	2.7294	0.0656929	24.5	21	0.434307
40	2	2.74042	0.0638082	24.5	21	0.436192
41	2	2.75153	0.0619806	24.5	21	0.438019
42	2	2.76272	0.0602083	24.5	21	0.439792
43	2	2.77399	0.0584898	24.5	21	0.44151
44	2	2.78533	0.0568233	24.5	21	0.443177
45	2	2.79675	0.0552073	24.5	21	0.444793
46	2	2.80825	0.0536403	24.5	21	0.44636
47	2	2.81981	0.0521208	24.5	21	0.447879
48	2	2.83145	0.0506473	24.5	21	0.449353
49	2	2.84315	0.0492184	24.5	21	0.450782
50	2	2.85492	0.0478329	24.5	21	0.452167
51	2	2.86675	0.0464893	24.5	21	0.453511
52	2	2.87865	0.0451865	24.5	21	0.454814
53	2	2.8906	0.0439231	24.5	21	0.456077
54	2	2.90262	0.042698	24.5	21	0.457302
55	2	2.91469	0.04151	24.5	21	0.45849
56	2	2.92682	0.040358	24.5	21	0.459642
57	2	2.939	0.0392409	24.5	21	0.460759
58	2	2.95124	0.0381576	24.5	21	0.461842
59	2	2.96352	0.0371072	24.5	21	0.462893
60	2	2.97586	0.0360886	24.5	21	0.463911
61	2	2.98825	0.0351009	24.5	21	0.464899
62	2	3.00068	0.0341431	24.5	21	0.465857
63	2	3.01316	0.0332143	24.5	21	0.466786
64	2	3.02569	0.0323137	24.5	21	0.467686
65	2	3.03825	0.0314403	24.5	21	0.46856
66	2	3.05087	0.0305934	24.5	21	0.469407
67	2	3.06352	0.0297722	24.5	21	0.470228
68	2	3.07621	0.0289759	24.5	21	0.471024
69	2	3.08894	0.0282036	24.5	21	0.471796
70	2	3.10171	0.0274548	24.5	21	0.472545
71	2	3.11452	0.0267287	24.5	21	0.473271
72	2	3.12737	0.0260246	24.5	21	0.473975
73	2	3.14025	0.0253418	24.5	21	0.474658
74	2	3.15316	0.0246796	24.5	21	0.47532
75	2	3.16611	0.0240376	24.5	21	0.475962
76	2	3.17909	0.023415	24.5	21	0.476585
77	2	3.1921	0.0228113	24.5	21	0.477189
78	2	3.20514	0.0222258	24.5	21	0.477774
79	2	3.21821	0.0216581	24.5	21	0.478342
80	2	3.23131	0.0211076	24.5	21	0.478892
81	2	3.24444	0.0205738	24.5	21	0.479426
82	2	3.2576	0.0200562	24.5	21	0.479944
83	2	3.27078	0.0195542	24.5	21	0.480446
84	2	3.28399	0.0190675	24.5	21	0.480933
85	2	3.29723	0.0185955	24.5	21	0.481405
86	2	3.31049	0.0181378	24.5	21	0.481862
87	2	3.32377	0.0176939	24.5	21	0.482306
88	2	3.33708	0.0172636	24.5	21	0.482736
89	2	3.35041	0.0168462	24.5	21	0.483154
90	2	3.36376	0.0164415	24.5	21	0.483558
91	2	3.37713	0.0160491	24.5	21	0.483951
92	2	3.39053	0.0156685	24.5	21	0.484331
93	2	3.40394	0.0152995	24.5	21	0.4847
94	2	3.41738	0.0149417	24.5	21	0.485058
95	2	3.43083	0.0145947	24.5	21	0.485405
96	2	3.44431	0.0142582	24.5	21	0.485742
97	2	3.4578	0.0139319	24.5	21	0.486068
98	2	3.47131	0.0136155	24.5	21	0.486384
99	2	3.48483	0.0133087	24.5	21	0.486691
100	2	3.49838	0.0130112	24.5	21	0.486989
