Time	[Ca_c]	[pp-AKT:PI3P]	[eNOS-CaM-Ca4]	[CaM-Ca4]	[CaM-Ca2]	[eNOS-CaM-Ca2]	[eNOS-Cav-1]	[Calmodulin]	[Hsp90]	[Hsp90-eNOS-CaM-Ca4]	[Hsp90-p-eNOS-CaM-Ca4]	[Hsp90-eNOS-CaM-Ca2]	[Hsp90-p-eNOS-CaM-Ca2]	[L-Arg]	[NO]	[Hsp90-p-eNOS]	[Hsp90-eNOS]	[sa49_degraded]	[s117]	[s118]
25	117.2	1.723	0.0413814	2.82716	347.522	2.11592	34.8954	7635.39	199987	1.03473	0.00884893	10.951	0.105762	499444	555.509	0.645051	0.0833162	0.0825388	0.00510288	0.0017203
26	117.2	1.723	0.0413774	2.82716	347.522	2.11571	34.8921	7635.4	199987	1.03462	0.00884857	10.9499	0.105758	499422	577.707	0.645028	0.0833133	0.0858362	0.00530674	0.00178913
27	117.2	1.723	0.0413734	2.82716	347.522	2.11551	34.8888	7635.4	199987	1.03452	0.00884821	10.9489	0.105753	499400	599.902	0.645004	0.0833104	0.0891334	0.00551057	0.00185796
28	117.2	1.723	0.0413694	2.82716	347.522	2.1153	34.8855	7635.4	199987	1.03442	0.00884784	10.9478	0.105749	499378	622.096	0.64498	0.0833074	0.0924302	0.00571439	0.00192678
29	117.2	1.723	0.0413654	2.82716	347.522	2.1151	34.8822	7635.4	199987	1.03432	0.00884748	10.9468	0.105745	499356	644.287	0.644955	0.0833043	0.0957267	0.00591818	0.0019956
30	117.2	1.723	0.0413614	2.82716	347.522	2.11489	34.8789	7635.4	199987	1.03422	0.00884711	10.9457	0.105741	499334	666.477	0.64493	0.0833012	0.0990229	0.00612196	0.00206442
31	117.2	1.723	0.0413574	2.82716	347.522	2.11469	34.8756	7635.4	199987	1.03412	0.00884675	10.9446	0.105737	499311	688.665	0.644904	0.083298	0.102319	0.00632571	0.00213324
32	117.2	1.723	0.0413534	2.82716	347.522	2.11448	34.8723	7635.4	199987	1.03402	0.00884638	10.9436	0.105732	499289	710.85	0.644878	0.0832948	0.105614	0.00652945	0.00220205
33	117.2	1.723	0.0413494	2.82716	347.522	2.11428	34.869	7635.4	199987	1.03392	0.00884601	10.9425	0.105728	499267	733.034	0.644852	0.0832916	0.10891	0.00673317	0.00227086
34	117.2	1.723	0.0413454	2.82716	347.522	2.11407	34.8656	7635.41	199987	1.03382	0.00884565	10.9414	0.105724	499245	755.216	0.644826	0.0832884	0.112205	0.00693686	0.00233967
35	117.2	1.723	0.0413415	2.82716	347.522	2.11387	34.8623	7635.41	199987	1.03372	0.00884528	10.9404	0.105719	499223	777.396	0.6448	0.0832851	0.115499	0.00714054	0.00240848
36	117.2	1.723	0.0413375	2.82716	347.522	2.11366	34.859	7635.41	199987	1.03362	0.00884491	10.9393	0.105715	499200	799.574	0.644774	0.0832818	0.118794	0.0073442	0.00247728
37	117.2	1.723	0.0413335	2.82716	347.522	2.11346	34.8557	7635.41	199987	1.03352	0.00884454	10.9383	0.105711	499178	821.75	0.644747	0.0832785	0.122088	0.00754784	0.00254608
38	117.2	1.723	0.0413295	2.82716	347.523	2.11325	34.8524	7635.41	199987	1.03342	0.00884417	10.9372	0.105707	499156	843.925	0.644721	0.0832752	0.125381	0.00775145	0.00261488
39	117.2	1.723	0.0413255	2.82716	347.523	2.11305	34.8491	7635.41	199987	1.03332	0.0088438	10.9361	0.105702	499134	866.097	0.644694	0.0832719	0.128675	0.00795505	0.00268367
