Time	[Mdm2]	[p53]	[Mdm2_p53]	[Mdm2_mRNA]	[p53_mRNA]	[ATMA]	[ATMI]	[p21]	[p21_mRNA]	[p21step1]	[p21step2]	[p53_P]	[Mdm2_P]	[p21_basal]	[p38]	[p38_P]	[GADD45]	[IR]	[damDNA]	[ROS]	[basalROS]	[Sink]	[Source]
41	6.73084	5.90957	93.3666	9.98164	10	3.3364e-08	200	7.32948e-09	0.99903	0.0163786	1.3429e-05	2.13745e-09	8.07186e-07	7	100	1.13938e-12	3.00669e-13	0	4.09496e-07	3.74388e-15	10	1	1
42	6.76387	5.92356	93.3356	9.98124	10	3.50049e-08	200	7.87839e-09	0.999006	0.0167775	1.40915e-05	2.25332e-09	8.53115e-07	7	100	1.27148e-12	3.31073e-13	0	4.19471e-07	4.28439e-15	10	1	1
43	6.79653	5.93723	93.305	9.98083	10	3.66848e-08	200	8.45402e-09	0.998983	0.0171765	1.477e-05	2.37237e-09	9.00466e-07	7	100	1.41502e-12	3.63726e-13	0	4.29446e-07	4.88667e-15	10	1	1
44	6.82882	5.95056	93.2747	9.98043	10	3.84037e-08	200	9.05699e-09	0.998959	0.0175754	1.54645e-05	2.49461e-09	9.49248e-07	7	100	1.57067e-12	3.98735e-13	0	4.3942e-07	5.55601e-15	10	1	1
45	6.86075	5.96356	93.2447	9.98003	10	4.01617e-08	200	9.68795e-09	0.998936	0.0179742	1.61748e-05	2.62004e-09	9.9947e-07	7	100	1.7391e-12	4.36211e-13	0	4.49393e-07	6.29796e-15	10	1	1
46	6.89232	5.97625	93.2151	9.97962	10	4.19587e-08	200	1.03475e-08	0.998912	0.0183731	1.69011e-05	2.74865e-09	1.05114e-06	7	100	1.92103e-12	4.76268e-13	0	4.59366e-07	7.11843e-15	10	1	1
47	6.92353	5.98862	93.1858	9.97923	10	4.37947e-08	200	1.10363e-08	0.998888	0.0187719	1.76433e-05	2.88045e-09	1.10426e-06	7	100	2.11717e-12	5.19021e-13	0	4.69338e-07	8.0236e-15	10	1	1
48	6.9544	6.00068	93.1569	9.97883	10	4.56696e-08	200	1.1755e-08	0.998865	0.0191707	1.84014e-05	3.01543e-09	1.15885e-06	7	100	2.32828e-12	5.64589e-13	0	4.79309e-07	9.02001e-15	10	1	1
49	6.98491	6.01243	93.1283	9.97843	10	4.75835e-08	200	1.25042e-08	0.998841	0.0195694	1.91755e-05	3.1536e-09	1.21491e-06	7	100	2.5552e-12	6.13104e-13	0	4.8928e-07	1.01153e-14	10	1	1
50	7.01509	6.02388	93.1	9.97803	10	4.95363e-08	200	1.32846e-08	0.998817	0.0199682	1.99655e-05	3.29494e-09	1.27244e-06	7	100	2.79864e-12	6.64678e-13	0	4.99251e-07	1.1316e-14	10	1	1
51	7.04493	6.03502	93.0721	9.97764	10	5.15279e-08	200	1.40968e-08	0.998794	0.0203669	2.07714e-05	3.43946e-09	1.33146e-06	7	100	3.0594e-12	7.19437e-13	0	5.0922e-07	1.26296e-14	10	1	1
52	7.07444	6.04587	93.0445	9.97724	10	5.35585e-08	200	1.49413e-08	0.99877	0.0207656	2.15932e-05	3.58714e-09	1.39196e-06	7	100	3.33831e-12	7.77508e-13	0	5.1919e-07	1.40642e-14	10	1	1
53	7.10362	6.05643	93.0172	9.97685	10	5.56279e-08	200	1.58189e-08	0.998747	0.0211643	2.24309e-05	3.738e-09	1.45397e-06	7	100	3.63623e-12	8.39025e-13	0	5.29158e-07	1.5628e-14	10	1	1
54	7.13248	6.0667	92.9901	9.97646	10	5.77361e-08	200	1.67301e-08	0.998723	0.0215629	2.32845e-05	3.89201e-09	1.51747e-06	7	100	3.95401e-12	9.0412e-13	0	5.39126e-07	1.73299e-14	10	1	1
55	7.16102	6.07668	92.9635	9.97607	10	5.98832e-08	200	1.76757e-08	0.998699	0.0219615	2.4154e-05	4.04919e-09	1.58249e-06	7	100	4.29255e-12	9.72929e-13	0	5.49093e-07	1.91788e-14	10	1	1
56	7.18924	6.08638	92.9371	9.97568	10	6.2069e-08	200	1.86561e-08	0.998676	0.0223601	2.50395e-05	4.20951e-09	1.64902e-06	7	100	4.65272e-12	1.04559e-12	0	5.5906e-07	2.11841e-14	10	1	1
57	7.21716	6.09581	92.911	9.97529	10	6.42936e-08	200	1.96721e-08	0.998652	0.0227587	2.59408e-05	4.37298e-09	1.71707e-06	7	100	5.03547e-12	1.12224e-12	0	5.69026e-07	2.33557e-14	10	1	1
58	7.24476	6.10496	92.8852	9.97491	10	6.65569e-08	200	2.07243e-08	0.998629	0.0231572	2.68581e-05	4.53958e-09	1.78664e-06	7	100	5.44173e-12	1.20302e-12	0	5.78992e-07	2.57039e-14	10	1	1
59	7.27207	6.11385	92.8597	9.97452	10	6.88589e-08	200	2.18132e-08	0.998605	0.0235557	2.77913e-05	4.70931e-09	1.85775e-06	7	100	5.8725e-12	1.28809e-12	0	5.88957e-07	2.82397e-14	10	1	1
60	7.29907	6.12247	92.8344	9.97413	10	7.11997e-08	200	2.29396e-08	0.998581	0.0239542	2.87403e-05	4.88217e-09	1.93039e-06	7	100	6.32876e-12	1.37759e-12	0	5.98921e-07	3.09742e-14	10	1	1
61	7.32578	6.13082	92.8095	9.97375	10	7.35791e-08	200	2.41041e-08	0.998558	0.0243527	2.97053e-05	5.05814e-09	2.00458e-06	7	100	6.81151e-12	1.47167e-12	0	6.08885e-07	3.3919e-14	10	1	1
62	7.3522	6.13892	92.7848	9.97336	10	7.59971e-08	200	2.53073e-08	0.998534	0.0247511	3.06862e-05	5.23722e-09	2.08031e-06	7	100	7.32175e-12	1.57048e-12	0	6.18848e-07	3.70859e-14	10	1	1
63	7.37834	6.14677	92.7604	9.97298	10	7.84539e-08	200	2.65497e-08	0.998511	0.0251495	3.16829e-05	5.4194e-09	2.15759e-06	7	100	7.86053e-12	1.67419e-12	0	6.28811e-07	4.04874e-14	10	1	1
64	7.40419	6.15436	92.7363	9.9726	10	8.09492e-08	200	2.78322e-08	0.998487	0.0255479	3.26956e-05	5.60467e-09	2.23643e-06	7	100	8.42895e-12	1.78294e-12	0	6.38773e-07	4.41368e-14	10	1	1
65	7.42977	6.16171	92.7125	9.97222	10	8.34831e-08	200	2.91552e-08	0.998463	0.0259463	3.37242e-05	5.79301e-09	2.31683e-06	7	100	9.02809e-12	1.8969e-12	0	6.48734e-07	4.80477e-14	10	1	1
66	7.45507	6.16882	92.6889	9.97184	10	8.60555e-08	200	3.05194e-08	0.99844	0.0263446	3.47686e-05	5.98443e-09	2.39879e-06	7	100	9.65907e-12	2.01624e-12	0	6.58695e-07	5.22341e-14	10	1	1
67	7.4801	6.17568	92.6656	9.97146	10	8.86666e-08	200	3.19255e-08	0.998416	0.0267429	3.58289e-05	6.1789e-09	2.48232e-06	7	100	1.0323e-11	2.14112e-12	0	6.68655e-07	5.671e-14	10	1	1
68	7.50487	6.18231	92.6425	9.97108	10	9.13161e-08	200	3.3374e-08	0.998393	0.0271412	3.69052e-05	6.37643e-09	2.56742e-06	7	100	1.10209e-11	2.27171e-12	0	6.78615e-07	6.14903e-14	10	1	1
69	7.52937	6.18871	92.6197	9.9707	10	9.40042e-08	200	3.48656e-08	0.998369	0.0275394	3.79973e-05	6.577e-09	2.6541e-06	7	100	1.17542e-11	2.40817e-12	0	6.88574e-07	6.65908e-14	10	1	1
70	7.55362	6.19488	92.5971	9.97032	10	9.67307e-08	200	3.64009e-08	0.998346	0.0279377	3.91053e-05	6.7806e-09	2.74237e-06	7	100	1.25239e-11	2.55069e-12	0	6.98532e-07	7.2028e-14	10	1	1
71	7.57761	6.20082	92.5748	9.96994	10	9.94957e-08	200	3.79806e-08	0.998322	0.0283359	4.02292e-05	6.98721e-09	2.83221e-06	7	100	1.33313e-11	2.69944e-12	0	7.0849e-07	7.78181e-14	10	1	1
