Time	[PDK1]	[PP2A]	[AKT]	[PI3P]	[PTEN]	[PIP2]	[p-PI3K]	[s3]	[PI3K]	[Time]	[PDK2]	[PDK1_cyto]	[p-AKT:PI3P]	[pp-AKT:PI3P]	[AKT:PI3P]	[Shear Stress]
32	5.27879	150	43.0471	7.61617	0.1	6835.43	14.0679	-32	85.9321	32	3	994.721	3.56974	1.73453	151.648	0
33	5.39988	150	41.8955	7.76216	0.1	6834.13	11.9046	-33	88.0954	33	3	994.6	3.76765	1.73618	152.6	0
34	5.50356	150	40.9348	7.88434	0.1	6833.05	10.0034	-34	89.9966	34	3	994.496	3.97071	1.73798	153.356	0
35	5.59058	150	40.1396	7.98437	0.1	6832.16	8.34822	-35	91.6518	35	3	994.409	4.17804	1.73993	153.941	0
36	5.66209	150	39.4868	8.06429	0.1	6831.42	6.92022	-36	93.0798	36	3	994.338	4.38883	1.74204	154.381	0
37	5.71946	150	38.9557	8.1263	0.1	6830.83	5.69891	-37	94.3011	37	3	994.281	4.60234	1.74431	154.697	0
38	5.76422	150	38.5279	8.17269	0.1	6830.36	4.66313	-38	95.3369	38	3	994.236	4.81789	1.74673	154.907	0
39	5.79793	150	38.1869	8.20568	0.1	6829.98	3.79183	-39	96.2082	39	3	994.202	5.03488	1.74932	155.028	0
40	5.82213	150	37.9187	8.22736	0.1	6829.69	3.06468	-40	96.9353	40	3	994.178	5.25282	1.75207	155.075	0
41	5.83827	150	37.7109	8.23966	0.1	6829.47	2.4625	-41	97.5375	41	3	994.162	5.47125	1.75497	155.062	0
42	5.8477	150	37.553	8.24425	0.1	6829.31	1.96756	-42	98.0324	42	3	994.152	5.68981	1.75805	154.998	0
43	5.85161	150	37.436	8.24263	0.1	6829.19	1.56373	-43	98.4363	43	3	994.148	5.90821	1.76128	154.894	0
44	5.85103	150	37.3522	8.23603	0.1	6829.12	1.23661	-44	98.7634	44	3	994.149	6.12618	1.76467	154.756	0
45	5.84685	150	37.2953	8.22552	0.1	6829.07	0.973495	-45	99.0265	45	3	994.153	6.34355	1.76823	154.592	0
46	5.83983	150	37.2601	8.21196	0.1	6829.05	0.763316	-46	99.2367	46	3	994.16	6.56014	1.77194	154.407	0
47	5.83058	150	37.2422	8.19605	0.1	6829.05	0.596563	-47	99.4034	47	3	994.169	6.77583	1.77582	154.205	0
48	5.81961	150	37.2379	8.17836	0.1	6829.06	0.465147	-48	99.5349	48	3	994.18	6.99054	1.77985	153.991	0
49	5.80733	150	37.2444	8.15933	0.1	6829.09	0.362257	-49	99.6377	49	3	994.193	7.20418	1.78404	153.766	0
50	5.79407	150	37.2594	8.13932	0.1	6829.12	0.282224	-50	99.7178	50	3	994.206	7.41671	1.78839	153.535	0
51	5.78007	150	37.2809	8.11861	0.1	6829.16	0.220366	-51	99.7796	51	3	994.22	7.62809	1.7929	153.297	0
52	5.76555	150	37.3074	8.0974	0.1	6829.21	0.172856	-52	99.8271	52	3	994.234	7.83829	1.79756	153.056	0
53	5.75065	150	37.3379	8.07586	0.1	6829.26	0.136593	-53	99.8634	53	3	994.249	8.04728	1.80237	152.811	0
54	5.73549	150	37.3713	8.05409	0.1	6829.32	0.109085	-54	99.8909	54	3	994.265	8.25507	1.80734	152.565	0
55	5.72017	150	37.4069	8.03221	0.1	6829.37	0.0883441	-55	99.9117	55	3	994.28	8.46163	1.81246	152.318	0
56	5.70475	150	37.4442	8.01027	0.1	6829.43	0.0727995	-56	99.9272	56	3	994.295	8.66698	1.81773	152.07	0
57	5.68928	150	37.4827	7.98832	0.1	6829.49	0.0612185	-57	99.9388	57	3	994.311	8.87111	1.82316	151.822	0
58	5.67379	150	37.5221	7.9664	0.1	6829.56	0.0526411	-58	99.9474	58	3	994.326	9.07401	1.82873	151.574	0
59	5.65832	150	37.5622	7.94453	0.1	6829.62	0.0463253	-59	99.9537	59	3	994.342	9.27571	1.83444	151.327	0
60	5.64289	150	37.6028	7.92273	0.1	6829.68	0.0417016	-60	99.9583	60	3	994.357	9.47619	1.84031	151.08	0
61	5.6275	150	37.6437	7.90103	0.1	6829.74	0.038336	-61	99.9617	61	3	994.372	9.67548	1.84632	150.833	0
62	5.61217	150	37.6849	7.87941	0.1	6829.81	0.0359001	-62	99.9641	62	3	994.388	9.87356	1.85248	150.588	0
63	5.59691	150	37.7262	7.8579	0.1	6829.87	0.0341469	-63	99.9659	63	3	994.403	10.0705	1.85878	150.344	0
64	5.58172	150	37.7675	7.8365	0.1	6829.93	0.0328921	-64	99.9671	64	3	994.418	10.2662	1.86522	150.1	0
65	5.5666	150	37.809	7.81519	0.1	6829.99	0.0319991	-65	99.968	65	3	994.433	10.4607	1.87181	149.857	0
66	5.55155	150	37.8505	7.794	0.1	6830.06	0.0313669	-66	99.9686	66	3	994.448	10.6541	1.87854	149.616	0
67	5.53658	150	37.8919	7.77292	0.1	6830.12	0.0309219	-67	99.9691	67	3	994.463	10.8463	1.88541	149.375	0
68	5.52169	150	37.9334	7.75195	0.1	6830.18	0.0306103	-68	99.9694	68	3	994.478	11.0374	1.89241	149.136	0
69	5.50688	150	37.9748	7.73109	0.1	6830.24	0.0303933	-69	99.9696	69	3	994.493	11.2273	1.89956	148.897	0
70	5.49214	150	38.0162	7.71034	0.1	6830.31	0.030243	-70	99.9698	70	3	994.508	11.4161	1.90684	148.66	0
71	5.47748	150	38.0576	7.6897	0.1	6830.37	0.0301394	-71	99.9699	71	3	994.523	11.6038	1.91426	148.423	0
72	5.46289	150	38.0989	7.66916	0.1	6830.43	0.0300685	-72	99.9699	72	3	994.537	11.7903	1.92182	148.188	0
73	5.44838	150	38.1402	7.64873	0.1	6830.49	0.0300201	-73	99.97	73	3	994.552	11.9757	1.92951	147.954	0
74	5.43395	150	38.1814	7.62842	0.1	6830.55	0.0299872	-74	99.97	74	3	994.566	12.16	1.93733	147.72	0
75	5.41959	150	38.2226	7.6082	0.1	6830.61	0.0299651	-75	99.97	75	3	994.58	12.3433	1.94528	147.488	0
76	5.40531	150	38.2638	7.5881	0.1	6830.68	0.0299502	-76	99.97	76	3	994.595	12.5254	1.95337	147.256	0
77	5.3911	150	38.3048	7.56809	0.1	6830.74	0.0299403	-77	99.9701	77	3	994.609	12.7065	1.96159	147.026	0
78	5.37696	150	38.3459	7.5482	0.1	6830.8	0.0299337	-78	99.9701	78	3	994.623	12.8864	1.96994	146.797	0
79	5.3629	150	38.3869	7.5284	0.1	6830.86	0.0299294	-79	99.9701	79	3	994.637	13.0653	1.97842	146.568	0
80	5.34891	150	38.4278	7.50871	0.1	6830.92	0.0299265	-80	99.9701	80	3	994.651	13.2432	1.98702	146.341	0
81	5.335	150	38.4687	7.48912	0.1	6830.98	0.0299246	-81	99.9701	81	3	994.665	13.42	1.99576	146.115	0
82	5.32115	150	38.5095	7.46963	0.1	6831.04	0.0299234	-82	99.9701	82	3	994.679	13.5957	2.00462	145.889	0
83	5.30738	150	38.5503	7.45025	0.1	6831.1	0.0299226	-83	99.9701	83	3	994.693	13.7704	2.0136	145.665	0
84	5.29367	150	38.5911	7.43096	0.1	6831.16	0.0299221	-84	99.9701	84	3	994.706	13.9441	2.02272	145.441	0
85	5.28004	150	38.6317	7.41177	0.1	6831.22	0.0299218	-85	99.9701	85	3	994.72	14.1167	2.03195	145.219	0
86	5.26648	150	38.6724	7.39268	0.1	6831.28	0.0299215	-86	99.9701	86	3	994.734	14.2883	2.04131	144.997	0
87	5.25299	150	38.713	7.37369	0.1	6831.34	0.0299214	-87	99.9701	87	3	994.747	14.4589	2.05079	144.776	0
88	5.23956	150	38.7535	7.35479	0.1	6831.4	0.0299213	-88	99.9701	88	3	994.76	14.6285	2.06039	144.557	0
89	5.2262	150	38.794	7.33599	0.1	6831.46	0.0299213	-89	99.9701	89	3	994.774	14.7971	2.07011	144.338	0
90	5.21291	150	38.8344	7.31729	0.1	6831.52	0.0299212	-90	99.9701	90	3	994.787	14.9647	2.07996	144.12	0
91	5.19969	150	38.8748	7.29868	0.1	6831.58	0.0299212	-91	99.9701	91	3	994.8	15.1313	2.08992	143.903	0
92	5.18654	150	38.9151	7.28017	0.1	6831.63	0.0299212	-92	99.9701	92	3	994.813	15.2969	2.1	143.687	0
93	5.17345	150	38.9554	7.26175	0.1	6831.69	0.0299212	-93	99.9701	93	3	994.827	15.4616	2.11019	143.472	0
94	5.16043	150	38.9957	7.24342	0.1	6831.75	0.0299212	-94	99.9701	94	3	994.84	15.6252	2.12051	143.258	0
95	5.14747	150	39.0359	7.22519	0.1	6831.81	0.0299212	-95	99.9701	95	3	994.853	15.788	2.13093	143.044	0
96	5.13458	150	39.076	7.20705	0.1	6831.87	0.0299212	-96	99.9701	96	3	994.865	15.9497	2.14148	142.832	0
97	5.12175	150	39.1161	7.189	0.1	6831.93	0.0299212	-97	99.9701	97	3	994.878	16.1105	2.15214	142.62	0
98	5.10899	150	39.1561	7.17104	0.1	6831.99	0.0299212	-98	99.9701	98	3	994.891	16.2704	2.16291	142.41	0
99	5.09629	150	39.1961	7.15317	0.1	6832.04	0.0299212	-99	99.9701	99	3	994.904	16.4293	2.17379	142.2	0
100	5.08366	150	39.236	7.13539	0.1	6832.1	0.0299212	-100	99.9701	100	3	994.916	16.5873	2.18479	141.991	0
