Time	[GA4]	[GID]	[DELLA]	[DELLA_U]	[GA12]	[GA15]	[GA24]	[GA9]	[GA20ox]	[GA3ox]	[ga20ox]	[della]	[ga3ox]	[gid]	[GA4-GID]	[GA9-GA3ox]	[GA24-GA20ox]	[GA15-GA20ox]	[GA12-GA20ox]	[GA4-GID-closed]	[GA12_source]	[GA3ox_source]	[GA20ox_source]	[DELLA_source]	[GID_source]	[ga20ox_source]	[gid_source]	[della_source]	[ga3ox_source]	[GA4-GID-DELLA2]	[GA4-GID-DELLA1]	[GA4_source]	[sa5_degraded]	[sa6_degraded]	[sa7_degraded]	[sa8_degraded]	[sa1_degraded]
0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0
1	0.0647905	0.217684	0.00664138	0.0207884	0.000283054	0.00036414	0.000238858	0.00888424	0.00765072	0.000852838	0.0100691	0.0486825	0.0551146	0.0510573	0.00540312	2.06191e-05	0.00801576	7.5658e-06	3.12393e-05	0.0163219	0	0	0	0	0	0	0	0	0	0.0124215	0.000163986	0	0	0	0	0	0
2	0.0533533	0.432852	0.00637312	0.0218377	0.00104489	0.00108102	0.000607947	0.00729886	0.0017169	0.000472309	0.0100699	0.0867705	0.0928653	0.0899137	0.0100042	9.36091e-06	0.00196979	5.04037e-06	2.588e-05	0.016009	0	0	0	0	0	0	0	0	0	0.0116945	0.000145841	0	0	0	0	0	0
3	0.0433633	0.63932	0.00611947	0.0228184	0.0022664	0.00209748	0.00107629	0.00345372	0.000741737	0.00064306	0.0100521	0.122917	0.125958	0.126899	0.0128012	6.03291e-06	0.00106962	4.22308e-06	2.42291e-05	0.0157388	0	0	0	0	0	0	0	0	0	0.0110311	0.000137626	0	0	0	0	0	0
4	0.0351896	0.835774	0.00588194	0.0237446	0.00315402	0.00296964	0.00150873	0.00172523	0.000557969	0.000807178	0.0100175	0.157239	0.154865	0.162094	0.0140338	3.7815e-06	0.000981182	4.49709e-06	2.53597e-05	0.0154815	0	0	0	0	0	0	0	0	0	0.0104239	0.000130096	0	0	0	0	0	0
5	0.0290346	1.02253	0.00566524	0.0246207	0.00359368	0.00356656	0.00186513	0.00130805	0.000513665	0.000950649	0.00996813	0.189832	0.180038	0.195579	0.0143535	3.37522e-06	0.00108793	4.97224e-06	2.66026e-05	0.0152154	0	0	0	0	0	0	0	0	0	0.00986312	0.00012313	0	0	0	0	0	0
6	0.0247031	1.20006	0.00547045	0.0254504	0.00374851	0.00389544	0.00210938	0.00125781	0.000507039	0.00107561	0.00990634	0.220769	0.201901	0.227436	0.0143647	3.67185e-06	0.00122379	5.36092e-06	2.73932e-05	0.0149325	0	0	0	0	0	0	0	0	0	0.00934312	0.000116667	0	0	0	0	0	0
7	0.0216969	1.36889	0.00529639	0.026237	0.00376485	0.00403274	0.00224399	0.00125863	0.000512305	0.00118409	0.0098342	0.250117	0.220845	0.257742	0.0143637	4.04493e-06	0.00133353	5.6077e-06	2.78e-05	0.0146338	0	0	0	0	0	0	0	0	0	0.00886092	0.000110675	0	0	0	0	0	0
8	0.0195776	1.52949	0.00514109	0.0269836	0.00373182	0.0040624	0.00229912	0.00124373	0.000519658	0.00127796	0.0097536	0.277939	0.237221	0.286575	0.0144398	4.31412e-06	0.00140278	5.73018e-06	2.79526e-05	0.0143234	0	0	0	0	0	0	0	0	0	0.00841451	0.00010513	0	0	0	0	0	0
9	0.018037	1.68228	0.00500261	0.0276934	0.00369569	0.00404745	0.00230971	0.00120899	0.000524797	0.00135897	0.00966622	0.304297	0.251341	0.314007	0.0145952	4.45961e-06	0.00143553	5.76564e-06	2.79562e-05	0.0140059	0	0	0	0	0	0	0	0	0	0.00800205	0.000100009	0	0	0	0	0	0
10	0.0168746	1.82766	0.00487924	0.0283691	0.00367562	0.0040252	0.00230246	0.00116301	0.000526342	0.0014287	0.00957351	0.32925	0.263486	0.340107	0.0148061	4.5102e-06	0.00144277	5.75086e-06	2.78865e-05	0.0136854	0	0	0	0	0	0	0	0	0	0.00762167	9.52885e-05	0	0	0	0	0	0
11	0.0159654	1.966	0.00476954	0.0290135	0.00367544	0.00401259	0.00229295	0.00111455	0.000524577	0.00148854	0.00947674	0.352857	0.273902	0.364943	0.0150477	4.50337e-06	0.00143567	5.71363e-06	2.77917e-05	0.013365	0	0	0	0	0	0	0	0	0	0.00727142	9.09431e-05	0	0	0	0	0	0
12	0.0152329	2.09765	0.00467229	0.029629	0.00369184	0.0040139	0.00228792	0.00106937	0.00052048	0.00153977	0.00937705	0.375174	0.282813	0.388579	0.0153026	4.46954e-06	0.00142255	5.67087e-06	2.76976e-05	0.0130472	0	0	0	0	0	0	0	0	0	0.00694933	8.69481e-05	0	0	0	0	0	0
13	0.0146299	2.22295	0.00458647	0.0302179	0.00371941	0.00402728	0.00228883	0.0010301	0.000515068	0.0015835	0.00927543	0.396255	0.290413	0.411074	0.0155612	4.42768e-06	0.00140827	5.63061e-06	2.76142e-05	0.0127338	0	0	0	0	0	0	0	0	0	0.00665345	8.32791e-05	0	0	0	0	0	0
14	0.0141259	2.34222	0.00451116	0.0307826	0.00375332	0.00404899	0.00229472	0.000997216	0.000509091	0.00162073	0.00917275	0.416154	0.29688	0.432489	0.0158192	4.38712e-06	0.00139499	5.59525e-06	2.75425e-05	0.0124263	0	0	0	0	0	0	0	0	0	0.00638191	7.99126e-05	0	0	0	0	0	0
15	0.0137002	2.45578	0.00444552	0.0313249	0.00379017	0.0040755	0.00230395	0.000970061	0.000502992	0.00165235	0.00906979	0.434922	0.302367	0.452879	0.0160749	4.3509e-06	0.00138327	5.56441e-06	2.74797e-05	0.0121261	0	0	0	0	0	0	0	0	0	0.00613294	7.68264e-05	0	0	0	0	0	0
